id,name,document
479749,涼拌綠竹筍,綠竹筍 醬油 桂冠沙拉
477654,綠竹筍肉絲粽/台灣小吃,紅蔥頭 蝦皮 綠竹筍絲 肉絲 蒜 油蔥酥 薑 香菇 辣椒 醬油 長糯米 米酒 粽葉 棉線
477223,日常咖哩便當菜｜蝦仁竹筍綠咖哩,熟綠竹筍 蝦仁 美人姬菇 豌豆莢 洋蔥 大蒜 市售綠咖哩醬 椰奶 雞高湯
461605,焗烤培根綠竹筍,綠竹筍 培根 乳酪絲
444431,綠竹筍炒肉末,綠竹筍 肉末 燒肉醬 十三香粉
445217,綠竹筍燒雞 / 家常菜,無骨雞腿排 綠竹筍 白胡椒粉 蒜瓣 黑胡椒粒 素蠔油 五香粉
439933,綠竹筍排骨湯,綠竹筍 排骨 味霸 塩 貢丸
478961,竹筍排骨湯,綠竹筍 排骨 米
446748,低卡料理~綠竹筍炒肉絲,綠竹筍 豬肉絲 醬油 辣椒
478268,竹筍雞湯,雞翅 雞腳 綠竹筍 薑片
462545,竹筍瘦肉粥,綠竹筍 乾香菇 肉絲 蝦米
439580,簡易電鍋版-綠竹筍湯,排骨 綠竹筍
449662,🌺瘦身-涼拌綠竹筍&燙花椰菜玉米筍🌺,綠竹筍 花椰菜 玉米筍 冰糖或砂糖 美奶滋
447485,🌺塔香綠竹筍香菇排骨湯🌺,帶肉的排骨 綠竹筍 白胡椒 有機鴻喜菇 乾香菇亦可用鮮香菇 米酒 九層塔
445318,滿滿的蔬菜~😍 🍜綠竹筍炒麵🍜,香菇 綠竹筍 豆包 碗豆 油麵 醬油膏
477323,竹筍炒杏鮑菇,綠竹筍 杏鮑菇 黑胡椒 香菜 蒜頭
479623,竹筍炊飯,綠竹筍 白米 醬油 蝦米 蠔油 香菇 白胡椒 蒜頭 米酒 蔥花
477794,竹筍蛤蠣粥,綠竹筍 蛤蠣 白飯 白胡椒 蒜頭 紅蔥頭 蝦米 乾香菇 香菜
478794,虱目魚肚竹筍粥,虱目魚肚 綠竹筍 隔夜的剩飯 青菜 蔥花 蒜頭酥 白胡椒粉 雞粉或者鮮味抄手
465221,竹筍排骨湯｜🍲,綠竹筍 排骨 蛤蜊
477970,~竹筍飯~,綠竹筍去殼 雞胸肉 醬油 乾香菇 黑胡椒 蝦米 油蔥酥 蒜末 白米 胡椒粉
428304,鎏沙脆絲綠竹筍,花生 馬鈴薯 蘆筍
415529,清燙綠竹筍,綠竹筍
414566,綠竹筍鹹粥,綠竹筍 豬肉絲 香菇 鮮味炒手 胡椒粉 青蔥 白米
479409,竹筍香菇雞煲,去骨雞腿肉 綠竹筍 米酒 乾香菇泡軟 醬油 大蔥 胡椒粉 蠔油 蒜仁 冰糖 辣椒 香菇水
466098,自製酸筍絲(純素),麻竹筍 綠竹筍 紅辣椒 朝天椒 米酒 砂糖
463620,竹筍湯,綠竹筍 白胡椒粉
476777,香菇竹筍粥,綠竹筍 絞肉 乾香菇 冷凍的米飯 青蔥 薑絲 鹽巴或者是雞粉 白胡椒粉 米酒 豆油伯甘甜醬油 熱開水
461730,筍子粥,綠竹筍 豬肉絲 香菇 白飯 芹菜
476461,免顧火也能做｜客家竹筍炊飯,白米15米杯 熟綠竹筍 大蒜 蒜苗綠 紅蔥頭 醬油 乾香菇泡軟 米酒 蝦米 鹽與白胡椒粉 蒜苗白 豬梅花肉或使用五花肉
466099,自製香辣玉筍(純素),綠竹筍煮熟 辣油 味醂 白醋 醬油 砂糖 食鹽 味精
418002,清炒綠竹筍(五辛素),綠竹筍 蒜頭 辣椒 蔥 香菇粉
425638,我的手作～芋泥綠竹筍蛋餅,粉漿大甲生鮮芋頭 日正水磨在來米粉 龍崎區農會綠竹筍 雞蛋 台鹽精製鹽 耆盛油蔥酥 泰山玄米油 統一四季醬油 耆盛低筋麵粉 黑龍黑豆蔭油 味好美五香粉 日正小磨香油
478901,古早味飯湯,白飯 綠竹筍切條 黑香菇切絲 豬肉條或雞肉 魚丸 蛤蚵或都用亦可 小卷切塊圈 芹菜 白胡椒塩 蒜末
419215,綠竹筍燒肉︱入口即化超下飯！,五花肉 綠竹筍 米酒 薑 醬油 蔥 蠔油 冰糖
466548,自製香辣玉筍(小份量),綠竹筍燙熟 醬油 白醋 味醂 砂糖 日式辣油 味精
466467,✨中西式結合 早午餐盤✨,蘋果片 番茄片 全麥土司 雞蛋 綠竹筍 超商雞胸肉 玉米筍 扁豆
455538,乳白色高湯，竹筍排骨湯 - 大漠國渡,綠竹筍 豬排骨
460939,筍片滷雞翅,綠竹筍 雞翅 醬油 蒜頭 蠔油 蔥 米酒 胡椒粉
396349,涼拌海鮮綠竹筍,綠竹筍 白蝦仁 花枝 魷魚 紅黃椒 蔥 地瓜 小磨坊日式芥末椒鹽 小磨坊蔥風味油
463994,酪梨鴨肉捲,鴨胸肉 酪梨 綠竹筍或小黃瓜 潤餅皮 甜麵醬蠔油
460082,蠔油豆干炒筍丁,豆干 綠竹筍 毛豆 素蠔油 醬油 砂糖 金弘胡麻油
463555,竹筍雞肉炊飯,乾香菇中 雞里肌肉 醬油 綠竹筍 米酒 蒜末 太白粉 白米 日式昆布醬油
445352,涼筍沙拉,綠竹筍 沙拉醬
383378,沙拉綠竹筍🥢,綠竹筍 沙拉
464233,竹筍香菇雞炊飯,去骨雞腿肉切塊 乾香菇 油蔥酥 綠竹筍 紅蘿蔔切丁 白胡椒粉 白米 醬油 蠔油 糖 清水
463002,鮭魚炒炊飯,無骨鮭魚 鮭魚卵 白飯 鮮香菇 綠竹筍 黑木耳 菠菜 蔥 昆布醬油 糖 白芝麻
