id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479749,涼拌綠竹筍,https://icook.tw/recipes/479749,綠竹筍、醬油、桂冠沙拉,綠竹筍2 | 醬油1大匙 | 桂冠沙拉1大匙,"水過綠竹筍，冷水開始煮約30分鐘，全程蓋鍋蓋。
關火再悶10分鐘。 | 冰鎮 | 剝殼、去除過老的纖維後，滾刀切綠竹筍，盛盤完成。","涼拌綠竹筍。食材：綠竹筍2，醬油1大匙，桂冠沙拉1大匙。做法：水過綠竹筍，冷水開始煮約30分鐘，全程蓋鍋蓋。
關火再悶10分鐘。，冰鎮，剝殼、去除過老的纖維後，滾刀切綠竹筍，盛盤完成。。",綠竹筍/479749_涼拌綠竹筍.jpg
477654,綠竹筍肉絲粽/台灣小吃,https://icook.tw/recipes/477654,紅蔥頭、蝦皮、綠竹筍絲、肉絲、鹽巴、蒜、油蔥酥、薑、香菇、辣椒、油、醬油、長糯米、米酒、粽葉、棉線、鹽,紅蔥頭3辨 | 蝦皮2匙 | 肉絲80克 | 鹽巴1.5匙 | 油蔥酥1.5匙 | 香菇5朵 | 油1大匙 | 長糯米4杯 | 粽葉20片 | 棉線10條 | 綠竹筍絲300克 | 肉絲80克 | 蒜4辨 | 薑3片 | 辣椒4根 | 醬油1匙 | 米酒半匙 | 油1大匙 | 鹽1匙,先將所有材料備妥。香菇先泡水。肉事先醃過。準備一平底鍋，放入油，再放入切好的紅蔥頭，翻炒變色。 | 再放入香菇和肉絲翻炒至肉變色。 | 放入蝦皮、油蔥酥和鹽，醬油。炒好後把香菇拿起另放。 | 將糯米和水兌1:0.7-0.8用電子鍋煮。使用剛剛泡的香菇水加入，也要加上炒料的份量。 | 準備一個平底鍋，開小火放油，放入蒜、薑、和辣椒，小火。 | 把切好的筍絲放入翻炒約2分鐘。再加入10CC的水翻炒再加鹽至變軟。(我的筍子是傳統市場買的，店家幫我去好殼)中火。 | 將筍子放一邊，空出位子來放入1小匙油，再放入肉絲。中火。 | 當肉變色後，再與筍子一起翻炒。中火。 | 約20分鐘後，電子鍋跳保溫，開鍋蓋翻一翻，再悶10分鐘。 | 粽葉需洗過。材料煮好後都放在桌上準備包粽子。 | 粽葉要事先將兩邊剪圓這樣比較好包。將兩片粽葉相疊，下方往上折呈現90度，如圖。有梗的是下方，平滑爲內。 | 90度後再往上折，折起來的那三角形就是裝糯米處。撐開，用左手撐著，右手放料。 | 先將米飯放入，把米往下壓，再放入炒好的竹筍炒肉絲。 | 再放上米飯，往下壓一些，再放上香菇，將粽葉包住飯，再把粽子包起來，綁上線即完成。 | 記得，在一開始要洗粽葉之前要用剪刀把粽葉的兩端剪成略圓形，會比較好包。用乾淨的抹布擦拭粽葉即可不用ㄧ定要用刷子。,綠竹筍肉絲粽/台灣小吃。食材：紅蔥頭3辨，蝦皮2匙，肉絲80克，鹽巴1.5匙，油蔥酥1.5匙，香菇5朵，油1大匙，長糯米4杯，粽葉20片，棉線10條，綠竹筍絲300克，肉絲80克，蒜4辨，薑3片，辣椒4根，醬油1匙，米酒半匙，油1大匙，鹽1匙。做法：先將所有材料備妥。香菇先泡水。肉事先醃過。準備一平底鍋，放入油，再放入切好的紅蔥頭，翻炒變色。，再放入香菇和肉絲翻炒至肉變色。，放入蝦皮、油蔥酥和鹽，醬油。炒好後把香菇拿起另放。，將糯米和水兌1:0.7-0.8用電子鍋煮。使用剛剛泡的香菇水加入，也要加上炒料的份量。，準備一個平底鍋，開小火放油，放入蒜、薑、和辣椒，小火。，把切好的筍絲放入翻炒約2分鐘。再加入10CC的水翻炒再加鹽至變軟。(我的筍子是傳統市場買的，店家幫我去好殼)中火。，將筍子放一邊，空出位子來放入1小匙油，再放入肉絲。中火。，當肉變色後，再與筍子一起翻炒。中火。，約20分鐘後，電子鍋跳保溫，開鍋蓋翻一翻，再悶10分鐘。，粽葉需洗過。材料煮好後都放在桌上準備包粽子。，粽葉要事先將兩邊剪圓這樣比較好包。將兩片粽葉相疊，下方往上折呈現90度，如圖。有梗的是下方，平滑爲內。，90度後再往上折，折起來的那三角形就是裝糯米處。撐開，用左手撐著，右手放料。，先將米飯放入，把米往下壓，再放入炒好的竹筍炒肉絲。，再放上米飯，往下壓一些，再放上香菇，將粽葉包住飯，再把粽子包起來，綁上線即完成。，記得，在一開始要洗粽葉之前要用剪刀把粽葉的兩端剪成略圓形，會比較好包。用乾淨的抹布擦拭粽葉即可不用ㄧ定要用刷子。。,綠竹筍/477654_綠竹筍肉絲粽_台灣小吃.jpg
477223,日常咖哩便當菜｜蝦仁竹筍綠咖哩,https://icook.tw/recipes/477223,熟綠竹筍、蝦仁、美人姬菇、豌豆莢、洋蔥、大蒜、市售綠咖哩醬、椰奶、雞高湯、食用油,熟綠竹筍2條 | 蝦仁12隻 | 美人姬菇1包 | 豌豆莢100g | 洋蔥1/2個 | 大蒜2瓣 | 市售綠咖哩醬50g | 椰奶50ml | 雞高湯250ml | 食用油1大匙,"蝦仁開背去除沙筋；綠竹筍、洋蔥切大丁；大蒜切末；美人姬菇切除根部剝開備用。 | 先以乾鍋小火煸香美人姬菇，取出備用。 | 接著加入少許油，轉中火，放入蝦仁，煎至兩面金黃取出備用。 | 鍋中加少許油，以中火繼續將洋蔥與大蒜末炒香。 | 然後放入綠咖哩拌炒至香味四溢。 | 再放入熟綠竹筍與美人姬菇拌炒均勻。 | 加入椰奶與雞高湯至略淹過所有食材。
蓋上鍋蓋燜煮約5分鐘。 | 起鍋前，加入蝦仁與豌豆莢，續煮約2分鐘即可起鍋。","日常咖哩便當菜｜蝦仁竹筍綠咖哩。食材：熟綠竹筍2條，蝦仁12隻，美人姬菇1包，豌豆莢100g，洋蔥1/2個，大蒜2瓣，市售綠咖哩醬50g，椰奶50ml，雞高湯250ml，食用油1大匙。做法：蝦仁開背去除沙筋；綠竹筍、洋蔥切大丁；大蒜切末；美人姬菇切除根部剝開備用。，先以乾鍋小火煸香美人姬菇，取出備用。，接著加入少許油，轉中火，放入蝦仁，煎至兩面金黃取出備用。，鍋中加少許油，以中火繼續將洋蔥與大蒜末炒香。，然後放入綠咖哩拌炒至香味四溢。，再放入熟綠竹筍與美人姬菇拌炒均勻。，加入椰奶與雞高湯至略淹過所有食材。
蓋上鍋蓋燜煮約5分鐘。，起鍋前，加入蝦仁與豌豆莢，續煮約2分鐘即可起鍋。。",綠竹筍/477223_日常咖哩便當菜｜蝦仁竹筍綠咖哩.jpg
461605,焗烤培根綠竹筍,https://icook.tw/recipes/461605,綠竹筍、培根、乳酪絲,綠竹筍2支 | 培根1片 | 乳酪絲適量,"水煮綠竹筍甜脆秘訣：
整支帶殼一起煮，鍋內水量淹過竹筍；以中火從冷水加蓋開始煮，且全程不掀蓋，想知道竹筍是否已經煮熟，聞到筍香味就表示可以熄火了唷！
馬上吃👉🏻放入冰塊水中冰鎮冷卻
分次吃👉🏻放入保鮮袋可冷藏5-6天 | 鍋中不放油，培根切丁煸香 | 煮熟冷卻的綠竹筍含殼對半剖開挖空 | 將挖出來的筍肉切成一口大小，回填筍殼中，
縫隙均勻放入培根丁 | 灑上適量乳酪絲，放入烤箱，以180度10分鐘，烤至表面乳酪絲融化即可😋

🌟各廠牌烤箱脾氣不同，烤至乳酪有融化或金黃酥脆就好囉！","焗烤培根綠竹筍。食材：綠竹筍2支，培根1片，乳酪絲適量。做法：水煮綠竹筍甜脆秘訣：
整支帶殼一起煮，鍋內水量淹過竹筍；以中火從冷水加蓋開始煮，且全程不掀蓋，想知道竹筍是否已經煮熟，聞到筍香味就表示可以熄火了唷！
馬上吃👉🏻放入冰塊水中冰鎮冷卻
分次吃👉🏻放入保鮮袋可冷藏5-6天，鍋中不放油，培根切丁煸香，煮熟冷卻的綠竹筍含殼對半剖開挖空，將挖出來的筍肉切成一口大小，回填筍殼中，
縫隙均勻放入培根丁，灑上適量乳酪絲，放入烤箱，以180度10分鐘，烤至表面乳酪絲融化即可😋

🌟各廠牌烤箱脾氣不同，烤至乳酪有融化或金黃酥脆就好囉！。",綠竹筍/461605_焗烤培根綠竹筍.jpg
444431,綠竹筍炒肉末,https://icook.tw/recipes/444431,綠竹筍、肉末、燒肉醬、十三香粉、食用油,綠竹筍4支 | 肉末300克 | 燒肉醬3大匙 | 十三香粉少許 | 食用油1小匙,絞肉充分退冰、竹筍去殼切片。 | 熱鍋放油，加入絞肉攤平煎熟後撥散，若有出汁，取出肉汁後續煎至略焦，取出絞肉備用。 | 將肉汁放回鍋內，加入竹筍片加蓋燜煮2分鐘，拌勻再燜2分鐘，加入燒肉醬和十三香粉翻炒均勻，最後再加入絞肉翻炒收乾即可。,綠竹筍炒肉末。食材：綠竹筍4支，肉末300克，燒肉醬3大匙，十三香粉少許，食用油1小匙。做法：絞肉充分退冰、竹筍去殼切片。，熱鍋放油，加入絞肉攤平煎熟後撥散，若有出汁，取出肉汁後續煎至略焦，取出絞肉備用。，將肉汁放回鍋內，加入竹筍片加蓋燜煮2分鐘，拌勻再燜2分鐘，加入燒肉醬和十三香粉翻炒均勻，最後再加入絞肉翻炒收乾即可。。,綠竹筍/444431_綠竹筍炒肉末.jpg
445217,綠竹筍燒雞 / 家常菜,https://icook.tw/recipes/445217,無骨雞腿排、綠竹筍、白胡椒粉、蒜瓣、黑胡椒粒、素蠔油、五香粉、水,無骨雞腿排3片 | 綠竹筍3支 | 蒜瓣3瓣 | 素蠔油1小匙 | 白胡椒粉1/3小匙 | 水50cc | 白胡椒粉1/3小匙 | 黑胡椒粒1/3小匙 | 五香粉1/3小匙 | 素蠔油1/2大匙,"●無骨雞腿排放冷藏低溫解凍，洗淨用料理剪刀修掉多的皮，每片雞腿排剪5-6片左右(不用剪太小才不會散散的)，用醃料抓醃放置15分鐘。 | ●綠竹筍爬山跟小農買，服務很好幫去殼削掉粗皮，回家刷洗乾淨，放碗裡電鍋外2杯水蒸熟放涼，放密封盒冷藏一週內吃涼拌或料理，蒸熟竹筍不會繼續發育纖維化不好吃了。 | ●蒸熟的綠竹筍切滾刀塊。
●蒜瓣洗過拍碎去膜備用。 | ●28吋平底鍋不用放油，均勻擺好雞腿塊（雞皮面朝鍋底逼油）設定計時器蓋鍋煎9分鐘。 | ●計時器響了，打開鍋蓋用筷子幫雞塊翻面。 | ●把(綠竹筍塊、蒜末、素蠔油、白胡椒粉、水）加到鍋中翻拌均勻，設定計時器蓋鍋燒5分鐘。 | ●計時器響了，打開鍋蓋翻拌一下，熄火完成。 | 燒綠竹筍好吃","綠竹筍燒雞 / 家常菜。食材：無骨雞腿排3片，綠竹筍3支，蒜瓣3瓣，素蠔油1小匙，白胡椒粉1/3小匙，水50cc，白胡椒粉1/3小匙，黑胡椒粒1/3小匙，五香粉1/3小匙，素蠔油1/2大匙。做法：●無骨雞腿排放冷藏低溫解凍，洗淨用料理剪刀修掉多的皮，每片雞腿排剪5-6片左右(不用剪太小才不會散散的)，用醃料抓醃放置15分鐘。，●綠竹筍爬山跟小農買，服務很好幫去殼削掉粗皮，回家刷洗乾淨，放碗裡電鍋外2杯水蒸熟放涼，放密封盒冷藏一週內吃涼拌或料理，蒸熟竹筍不會繼續發育纖維化不好吃了。，●蒸熟的綠竹筍切滾刀塊。
●蒜瓣洗過拍碎去膜備用。，●28吋平底鍋不用放油，均勻擺好雞腿塊（雞皮面朝鍋底逼油）設定計時器蓋鍋煎9分鐘。，●計時器響了，打開鍋蓋用筷子幫雞塊翻面。，●把(綠竹筍塊、蒜末、素蠔油、白胡椒粉、水）加到鍋中翻拌均勻，設定計時器蓋鍋燒5分鐘。，●計時器響了，打開鍋蓋翻拌一下，熄火完成。，燒綠竹筍好吃。",綠竹筍/445217_綠竹筍燒雞___家常菜.jpg
439933,綠竹筍排骨湯,https://icook.tw/recipes/439933,綠竹筍、排骨、味霸、塩、貢丸,綠竹筍3支 | 排骨1根 | 味霸2大匙 | 塩3.4茶匙 | 貢丸數顆,"綠竹筍剝皮 | 切薄片 | 筍子冷水下鍋煮 | 排骨起另一鍋水汆燙（可加些許塩，好讓血水排出） | 煮到微滾後 
放一杯涼水，將排骨過一下水（更好讓雜質分開）再放入筍子那鍋燉煮 | 好物介紹「味霸」
聞的味道是白味噌，入湯煮後 神奇的就來了 是雞湯味呢！ | 加入湯兩湯匙
加塩3茶匙 燉約30分鐘 | 可再加點貢丸（小朋友也愛吃）","綠竹筍排骨湯。食材：綠竹筍3支，排骨1根，味霸2大匙，塩3.4茶匙，貢丸數顆。做法：綠竹筍剝皮，切薄片，筍子冷水下鍋煮，排骨起另一鍋水汆燙（可加些許塩，好讓血水排出），煮到微滾後 
放一杯涼水，將排骨過一下水（更好讓雜質分開）再放入筍子那鍋燉煮，好物介紹「味霸」
聞的味道是白味噌，入湯煮後 神奇的就來了 是雞湯味呢！，加入湯兩湯匙
加塩3茶匙 燉約30分鐘，可再加點貢丸（小朋友也愛吃）。",綠竹筍/439933_綠竹筍排骨湯.jpg
478961,竹筍排骨湯,https://icook.tw/recipes/478961,綠竹筍、排骨、米、鹽,綠竹筍1根 | 排骨4塊 | 米1大匙 | 鹽適量,筍子去硬皮及粗纖維後對切，洗去中間白粉 | 筍子入鍋，加水淹過筍子，加一匙米，煮滾蓋蓋煮30分 | 排骨冷水下鍋，川燙至滾再滾3分，洗淨備用，筍子煮好夾出來，切成片備用 | 排骨先燉煮30分後下筍片，蓋蓋再燉煮30分，加鹽調味，完成囉！,竹筍排骨湯。食材：綠竹筍1根，排骨4塊，米1大匙，鹽適量。做法：筍子去硬皮及粗纖維後對切，洗去中間白粉，筍子入鍋，加水淹過筍子，加一匙米，煮滾蓋蓋煮30分，排骨冷水下鍋，川燙至滾再滾3分，洗淨備用，筍子煮好夾出來，切成片備用，排骨先燉煮30分後下筍片，蓋蓋再燉煮30分，加鹽調味，完成囉！。,綠竹筍/478961_竹筍排骨湯.jpg
446748,低卡料理~綠竹筍炒肉絲,https://icook.tw/recipes/446748,綠竹筍、豬肉絲、醬油 鹽巴 辣椒,綠竹筍2根 | 豬肉絲酌量 | 醬油 鹽巴 辣椒酌量,"把豬肉絲+醬油+水+太白粉  抓醃一下比較滑口
要不然肉絲吃起來會乾乾澀澀 | 綠竹筍剝殼,切除粗硬的纖維，再切成好入口條狀
你要是太節省，粗硬的都不切掉
待會兒吃起來，就會邊吃邊吐咬到的硬渣 | 處理完食材就像這樣，就可以開瓦斯了 | +油，先把肉絲拌炒一下
醃過的肉絲會有醬油香氣 | 然後放綠竹筍+醬油   開始拌炒！ 是不是粉簡單~ | 炒到竹筍有點軟 也上色了 | 蓋鍋燜一下，讓竹筍吸收肉汁和醬汁的香氣 | 聞到竹筍味道就差不多好了，愛吃辣的+點辣椒顏色也會更漂亮 | 好囉~起鍋 趕快去添飯！ | 給你滿滿一盤
不會發胖又吃到飽的膳食纖維","低卡料理~綠竹筍炒肉絲。食材：綠竹筍2根，豬肉絲酌量，醬油 鹽巴 辣椒酌量。做法：把豬肉絲+醬油+水+太白粉  抓醃一下比較滑口
要不然肉絲吃起來會乾乾澀澀，綠竹筍剝殼,切除粗硬的纖維，再切成好入口條狀
你要是太節省，粗硬的都不切掉
待會兒吃起來，就會邊吃邊吐咬到的硬渣，處理完食材就像這樣，就可以開瓦斯了，+油，先把肉絲拌炒一下
醃過的肉絲會有醬油香氣，然後放綠竹筍+醬油   開始拌炒！ 是不是粉簡單~，炒到竹筍有點軟 也上色了，蓋鍋燜一下，讓竹筍吸收肉汁和醬汁的香氣，聞到竹筍味道就差不多好了，愛吃辣的+點辣椒顏色也會更漂亮，好囉~起鍋 趕快去添飯！，給你滿滿一盤
不會發胖又吃到飽的膳食纖維。",綠竹筍/446748_低卡料理~綠竹筍炒肉絲.jpg
478268,竹筍雞湯,https://icook.tw/recipes/478268,雞翅、雞腳、綠竹筍、薑片、鹽,雞翅2對 | 雞腳1對 | 綠竹筍1隻 | 薑片少許 | 鹽少許,鍋中放水，水滾放入雞肉下去燙一下 | 湯鍋中放入水，放入雞肉、薑片 | 竹筍去殼，切塊，放入湯裡一起煮 | 湯滾轉小火再煮半小時到45分即可加少量的鹽調味,竹筍雞湯。食材：雞翅2對，雞腳1對，綠竹筍1隻，薑片少許，鹽少許。做法：鍋中放水，水滾放入雞肉下去燙一下，湯鍋中放入水，放入雞肉、薑片，竹筍去殼，切塊，放入湯裡一起煮，湯滾轉小火再煮半小時到45分即可加少量的鹽調味。,綠竹筍/478268_竹筍雞湯.jpg
