# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1081
# 當前分析門檻: 0.3
# 符合門檻組合數: 25
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 161 組相似食譜
# 門檻 0.2: 53 組相似食譜
# 門檻 0.3: 25 組相似食譜
# 門檻 0.4: 8 組相似食譜
# 門檻 0.5: 6 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
478961,竹筍排骨湯,439580,簡易電鍋版-綠竹筍湯,1.0
478961,竹筍排骨湯,465221,竹筍排骨湯｜🍲,0.641
439580,簡易電鍋版-綠竹筍湯,465221,竹筍排骨湯｜🍲,0.641
466099,自製香辣玉筍(純素),466548,自製香辣玉筍(小份量),0.573
439933,綠竹筍排骨湯,478961,竹筍排骨湯,0.508
439933,綠竹筍排骨湯,439580,簡易電鍋版-綠竹筍湯,0.508
479623,竹筍炊飯,460939,筍片滷雞翅,0.45
479409,竹筍香菇雞煲,419215,綠竹筍燒肉︱入口即化超下飯！,0.414
419215,綠竹筍燒肉︱入口即化超下飯！,460939,筍片滷雞翅,0.398
414566,綠竹筍鹹粥,461730,筍子粥,0.386
415529,清燙綠竹筍,463620,竹筍湯,0.372
446748,低卡料理~綠竹筍炒肉絲,461730,筍子粥,0.366
479409,竹筍香菇雞煲,460939,筍片滷雞翅,0.364
446748,低卡料理~綠竹筍炒肉絲,418002,清炒綠竹筍(五辛素),0.361
479623,竹筍炊飯,477794,竹筍蛤蠣粥,0.358
478961,竹筍排骨湯,415529,清燙綠竹筍,0.354
462545,竹筍瘦肉粥,477794,竹筍蛤蠣粥,0.354
439580,簡易電鍋版-綠竹筍湯,415529,清燙綠竹筍,0.354
445217,綠竹筍燒雞 / 家常菜,463620,竹筍湯,0.34
477323,竹筍炒杏鮑菇,477794,竹筍蛤蠣粥,0.34
439933,綠竹筍排骨湯,465221,竹筍排骨湯｜🍲,0.326
479623,竹筍炊飯,419215,綠竹筍燒肉︱入口即化超下飯！,0.321
463620,竹筍湯,464233,竹筍香菇雞炊飯,0.318
477970,~竹筍飯~,464233,竹筍香菇雞炊飯,0.317
478794,虱目魚肚竹筍粥,463620,竹筍湯,0.313
