id,name,document
453433,幸福年菜自己做做看～蠔油燴美生菜,美生菜 屏大素蠔油 屏大醬油 辣椒 蒜頭
430861,培根美生菜蛋炒飯,白飯或隔夜飯 培根 美生菜 青蔥 蒜頭 雞蛋 蠔油 醬油
478980,榴槤火腿起司吐司 /挑戰您的榴槤指數😷,全麥吐司 火腿 起司片 美生菜 榴槤 牛奶
479748,雞肉溫沙拉,雞腿排 美生菜 BB美美辣醬 杏鮑菇 美乃滋熱量減40 紅黃椒 洋蔥 水煮蛋
479094,優格咖哩雞,雞胸肉 羅美生菜 無糖優格 蕃茄醬 咖哩粉 二砂 塩
474785,酥脆塔可蔥油餅,金御園蔥抓餅 多利多滋 牛番茄 洋蔥 美生菜
477194,炸魚條佐塔塔醬,洋蔥 酸黃瓜 美力多酸豆 水煮蛋 美乃滋 鱸魚肉片 低筋麵粉 雞蛋液 麵包粉 美生菜
475167,龜甲萬味自慢–照燒醬｜照燒梅花豬肉豆腐捲,龜甲萬味自慢照燒醬 鹽滷豆腐 梅花豬肉片 小番茄 蘿美生菜
457997,生菜玉米起司吐司,吐司 美生菜 玉米粒 起司片
471838,生菜蝦鬆,美生菜 蝦仁 絞肉 紅甜椒 芹菜 蔥 洋蔥 蘋果 蒜頭 奶油 蛋白 白胡椒粉 老油條
467404,雞肉沙拉,雞胸肉 美生菜 蛋 蒜 義大利綜合香料 水果醋 黑胡椒 蜂蜜
469685,油芒番茄稀飯,白米 豬絞肉 油芒 牛番茄 美生菜 鮮香菇 薑片 蒜頭 醬油 米酒 白胡椒
471273,日式飯糰便當（紫蘇、味噌、豆皮）,豆皮壽司 醃漬櫻花 醃漬紫蘇 白芝麻粒 霧島姬菇醬菜 美生菜 山葵美乃滋 味噌調味醬 越光米飯 燒海苔 紫蘇香鬆 自慢昆布香鬆 壽司醋
463390,香煎雞腿排&烤番茄醬汁,雞腿排 美生菜 牛番茄 牛奶 蒜頭 鮮奶油 白酒optional 胡椒 馬斯卡彭
457986,秘醬雞腿排蔬食吐司,吐司片 去骨雞腿排 美生菜 蕃茄 雞蛋 沙拉 玉米筍 小黃瓜
450393,煙燻鮭魚蘋果捲,華盛頓富士蘋果 煙燻鮭魚 美生菜 小番茄 鹽水
456900,洋芋片豆腐沙拉,桂冠芙蓉豆腐 生菜萵苣 蘿美 美生菜皆可 芙蓉豆腐附的柴魚醬汁 小番茄 薄鹽醬油 原味洋芋片 檸檬汁 白糖 麻油 白芝麻
460170,毛豆牛肉炊飯,牛肉火鍋片2盒 白飯 壽喜燒醬汁 洋蔥 蒜頭 黑胡椒粉 毛豆 紅蘿蔔 美生菜 蔥
456065,香煎雞胸溫沙拉+田原香靈芝滴雞精,切片雞胸肉 美生菜 田原香靈芝滴雞精 小番茄 和風油醋醬
448201,馬告鮪魚蘋果沙拉,馬告 蘋果 鮪魚罐頭 美生菜 玉米筍 美乃滋
448740,簡單美味的便當菜料理～日式漢堡排,豬絞肉 洋蔥 美生菜 雞蛋 太白粉 屏大醬油 冰糖 米酒
464699,馬鈴薯燉排骨,小排骨 馬鈴薯 蒜 紅蘿蔔 蔭油或醬油膏 洋蔥 醬油 蒜頭 棕櫚糖或二砂 蕃茄 黑胡椒粉 甜椒 米酒 蘿美生菜 蔥
457714,甜椒炒蟹腳肉,冷凍蟹腳肉 青椒切塊 黃椒切塊 薑切絲 李錦記舊庄特級蠔油 黑胡椒 羅美生菜葉
458142,蠔油蘑菇蝦滑小漢堡,蘑菇挑選比較大朵的 市售蝦滑 李錦記舊庄特級蠔油 小蕃茄切片 起司片 生菜萵苣 蘿美生菜皆可 美乃滋 白芝麻
