id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
458247,美生菜炒荷包蛋,https://icook.tw/recipes/458247,雞蛋、美生菜、蠔油、紅蘿蔔片、醬油、雞粉,雞蛋4顆 | 美生菜1顆 | 紅蘿蔔片5 | 蠔油2匙 | 醬油0.5匙 | 雞粉1匙,將美生菜撥塊洗淨備用 | 熱油鍋逐一將蛋煎成荷包蛋盛起切塊備用 | 糖鍋加入少許油放入美生菜和紅蘿蔔片大火快炒加入雞粉調味 | 將荷包蛋放入並淋上醬油與蠔油調味即可,美生菜炒荷包蛋。食材：雞蛋4顆，美生菜1顆，紅蘿蔔片5，蠔油2匙，醬油0.5匙，雞粉1匙。做法：將美生菜撥塊洗淨備用，熱油鍋逐一將蛋煎成荷包蛋盛起切塊備用，糖鍋加入少許油放入美生菜和紅蘿蔔片大火快炒加入雞粉調味，將荷包蛋放入並淋上醬油與蠔油調味即可。,美生菜/458247_美生菜炒荷包蛋.jpg
453433,幸福年菜自己做做看～蠔油燴美生菜,https://icook.tw/recipes/453433,美生菜、屏大素蠔油、屏大醬油、辣椒、蒜頭,美生菜一顆 | 屏大素蠔油適量 | 屏大醬油1大匙 | 辣椒少許 | 蒜頭適量,最近的美生菜都好漂亮喔 | 將美生菜洗淨，煮一鍋水，水滾將美生菜放入汆燙熟後，撈起瀝乾。 | 將燙好的美生菜整齊擺盤。 | 起油鍋將蒜末辣椒爆香 | 就是要加屏大醬油 | 就是要加屏大素蠔油 | 加少許水煮滾後拌勻，即成蠔油醬汁。最後醬汁淋在美生菜上即完成。,幸福年菜自己做做看～蠔油燴美生菜。食材：美生菜一顆，屏大素蠔油適量，屏大醬油1大匙，辣椒少許，蒜頭適量。做法：最近的美生菜都好漂亮喔，將美生菜洗淨，煮一鍋水，水滾將美生菜放入汆燙熟後，撈起瀝乾。，將燙好的美生菜整齊擺盤。，起油鍋將蒜末辣椒爆香，就是要加屏大醬油，就是要加屏大素蠔油，加少許水煮滾後拌勻，即成蠔油醬汁。最後醬汁淋在美生菜上即完成。。,美生菜/453433_幸福年菜自己做做看～蠔油燴美生菜.jpg
430861,培根美生菜蛋炒飯,https://icook.tw/recipes/430861,白飯或隔夜飯、培根、美生菜、青蔥、蒜頭、雞蛋、鹽巴、香油、蠔油、醬油,白飯或隔夜飯4米杯 | 培根500克 | 美生菜1顆 | 青蔥1把 | 蒜頭1顆 | 雞蛋8顆 | 鹽巴10克 | 香油1大匙 | 蠔油1小匙 | 醬油1大匙,"前一天下班晚了，回家沒有煮飯，今天早上起來臨時煮的熱飯。為了加速放涼，所以攤開鋪在烤盤上 | 料頭（蔥蒜）切好備用，蔥綠分開放
培根切絲（也可以切丁，不要太小，培根遇熱會縮）美生菜切絲備用
放涼的熟飯（或隔夜飯）上打入蛋黃後拌勻備用 | 熱鍋，溫度達到後轉中火，培根先下鍋煎，待變金黃色後加入料頭 | 加入美生菜，美生菜也會縮，不要炒透，斷生後連同培根呈盤備用 | 清潔油鍋後重新加入菜油，轉大火，蛋液先下炒散，之後拌入裹好蛋黃的白飯，炒勻。
接著調味，鹽巴適量，香油適量，雞精粉或味精隨意。
確定炒勻後加入培根、美生菜，最後撒上蔥綠即完成。
圖左為一般炒飯，圖右為醬油炒飯（拌炒時加入適量醬油上色、加入適量蠔油提鮮，無鹽、無味精）","培根美生菜蛋炒飯。食材：白飯或隔夜飯4米杯，培根500克，美生菜1顆，青蔥1把，蒜頭1顆，雞蛋8顆，鹽巴10克，香油1大匙，蠔油1小匙，醬油1大匙。做法：前一天下班晚了，回家沒有煮飯，今天早上起來臨時煮的熱飯。為了加速放涼，所以攤開鋪在烤盤上，料頭（蔥蒜）切好備用，蔥綠分開放
培根切絲（也可以切丁，不要太小，培根遇熱會縮）美生菜切絲備用
放涼的熟飯（或隔夜飯）上打入蛋黃後拌勻備用，熱鍋，溫度達到後轉中火，培根先下鍋煎，待變金黃色後加入料頭，加入美生菜，美生菜也會縮，不要炒透，斷生後連同培根呈盤備用，清潔油鍋後重新加入菜油，轉大火，蛋液先下炒散，之後拌入裹好蛋黃的白飯，炒勻。
接著調味，鹽巴適量，香油適量，雞精粉或味精隨意。
確定炒勻後加入培根、美生菜，最後撒上蔥綠即完成。
圖左為一般炒飯，圖右為醬油炒飯（拌炒時加入適量醬油上色、加入適量蠔油提鮮，無鹽、無味精）。",美生菜/430861_培根美生菜蛋炒飯.jpg
478980,榴槤火腿起司吐司 /挑戰您的榴槤指數😷,https://icook.tw/recipes/478980,全麥吐司、火腿、起司片、美生菜、榴槤、牛奶,全麥吐司4片 | 火腿4片 | 起司片2入 | 美生菜適量 | 榴槤適量 | 牛奶適量,榴槤肉先取下然後壓成泥狀，再加入些許牛奶稀釋（也可使用無糖優格） | 將火腿稍微煎香備用 | 用可口鬆暖的全麥吐司，不須加熱直接使用，然後依序鋪上生菜、起司、火腿片 | 將榴槤醬均勻的抹上後即可享用,榴槤火腿起司吐司 /挑戰您的榴槤指數😷。食材：全麥吐司4片，火腿4片，起司片2入，美生菜適量，榴槤適量，牛奶適量。做法：榴槤肉先取下然後壓成泥狀，再加入些許牛奶稀釋（也可使用無糖優格），將火腿稍微煎香備用，用可口鬆暖的全麥吐司，不須加熱直接使用，然後依序鋪上生菜、起司、火腿片，將榴槤醬均勻的抹上後即可享用。,美生菜/478980_榴槤火腿起司吐司__挑戰您的榴槤指數😷.jpg
479748,雞肉溫沙拉,https://icook.tw/recipes/479748,雞腿排、美生菜、BB美美辣醬、杏鮑菇、美乃滋(熱量減40%)、紅黃椒、洋蔥、水煮蛋,雞腿排1份 | 美生菜適量 | 杏鮑菇1支 | 紅黃椒適量 | 洋蔥依喜好 | 水煮蛋1顆 | BB美美辣醬1匙 | 美乃滋(熱量減40%)2匙,將杏鮑菇和甜椒川燙後瀝乾 | 將雞腿排煎至金黃 | 調醬料 | 所有食材鋪上即完成,雞肉溫沙拉。食材：雞腿排1份，美生菜適量，杏鮑菇1支，紅黃椒適量，洋蔥依喜好，水煮蛋1顆，BB美美辣醬1匙，美乃滋(熱量減40%)2匙。做法：將杏鮑菇和甜椒川燙後瀝乾，將雞腿排煎至金黃，調醬料，所有食材鋪上即完成。,美生菜/479748_雞肉溫沙拉.jpg
479094,優格咖哩雞,https://icook.tw/recipes/479094,雞胸肉、羅美生菜、無糖優格、蕃茄醬、咖哩粉、橄欖油、二砂、塩,雞胸肉500克 | 羅美生菜喜歡的量 | 無糖優格1大匙 | 蕃茄醬1大匙 | 咖哩粉1大匙 | 橄欖油1大匙 | 二砂1小匙 | 塩0.5小匙,雞肉洗浄切小塊放入醃料醃漬2小時以上 | 起油鍋放入雞肉塊煎至金黃起鍋盛盤,優格咖哩雞。食材：雞胸肉500克，羅美生菜喜歡的量，無糖優格1大匙，蕃茄醬1大匙，咖哩粉1大匙，橄欖油1大匙，二砂1小匙，塩0.5小匙。做法：雞肉洗浄切小塊放入醃料醃漬2小時以上，起油鍋放入雞肉塊煎至金黃起鍋盛盤。,美生菜/479094_優格咖哩雞.jpg
474785,酥脆塔可蔥油餅,https://icook.tw/recipes/474785,金御園蔥抓餅、多利多滋、牛番茄、洋蔥、美生菜,金御園蔥抓餅1片 | 多利多滋1包 | 牛番茄¼顆 | 洋蔥¼顆 | 美生菜適量,牛蕃茄、洋蔥切丁，美生菜切絲 | 蔥油餅不用退冰，直接煎至兩面酥脆，起鍋後切半，捲成扇形，用牙籤固定 | 依序放進喜歡的配料，及多力多滋，就完成囉!,酥脆塔可蔥油餅。食材：金御園蔥抓餅1片，多利多滋1包，牛番茄¼顆，洋蔥¼顆，美生菜適量。做法：牛蕃茄、洋蔥切丁，美生菜切絲，蔥油餅不用退冰，直接煎至兩面酥脆，起鍋後切半，捲成扇形，用牙籤固定，依序放進喜歡的配料，及多力多滋，就完成囉!。,美生菜/474785_酥脆塔可蔥油餅.jpg
477194,炸魚條佐塔塔醬,https://icook.tw/recipes/477194,洋蔥、酸黃瓜、美力多酸豆、水煮蛋、美乃滋、鱸魚肉片、低筋麵粉、雞蛋液、麵包粉、美生菜,洋蔥少量4/1顆 | 酸黃瓜1根 | 美力多酸豆1小匙 | 水煮蛋半顆 | 美乃滋2湯匙 | 鱸魚肉片1片 | 低筋麵粉適量 | 雞蛋液2顆 | 麵包粉適量 | 美生菜1片,"調醬用的：洋蔥切碎（碎一點
酸黃瓜切片在切絲在切碎
酸豆切碎 
鱸魚整條處理方式（這邊是只有用到一片魚肉）：
去鱗 擦乾 墊布 去頭 剖成片肉 去皮 從紅線區切分三份 從中間再切一刀 變條狀 | 切出的魚柳條（製作過程沒有醃製):
1裹麵粉➡️蛋液➡️麵包粉 | 將裹好麵包粉的魚柳下油鍋油鍋熱度約170-180 油炸時間約在4-6分鐘（根據自己切的厚度和大小） | 炸好後瀝一下油 呈盤（自己想怎麼擺就怎麼擺）美生菜切絲當配色 | 塔塔醬調制：洋蔥切碎（碎一點
酸黃瓜切片在切絲在切碎
酸豆切碎  
半個水煮蛋加上
兩湯匙的美乃滋
把他們都拌在一起 
大功告成🎉🥳","炸魚條佐塔塔醬。食材：洋蔥少量4/1顆，酸黃瓜1根，美力多酸豆1小匙，水煮蛋半顆，美乃滋2湯匙，鱸魚肉片1片，低筋麵粉適量，雞蛋液2顆，麵包粉適量，美生菜1片。做法：調醬用的：洋蔥切碎（碎一點
酸黃瓜切片在切絲在切碎
酸豆切碎 
鱸魚整條處理方式（這邊是只有用到一片魚肉）：
去鱗 擦乾 墊布 去頭 剖成片肉 去皮 從紅線區切分三份 從中間再切一刀 變條狀，切出的魚柳條（製作過程沒有醃製):
1裹麵粉➡️蛋液➡️麵包粉，將裹好麵包粉的魚柳下油鍋油鍋熱度約170-180 油炸時間約在4-6分鐘（根據自己切的厚度和大小），炸好後瀝一下油 呈盤（自己想怎麼擺就怎麼擺）美生菜切絲當配色，塔塔醬調制：洋蔥切碎（碎一點
酸黃瓜切片在切絲在切碎
酸豆切碎  
半個水煮蛋加上
兩湯匙的美乃滋
把他們都拌在一起 
大功告成🎉🥳。",美生菜/477194_炸魚條佐塔塔醬.jpg
475167,龜甲萬味自慢–照燒醬｜照燒梅花豬肉豆腐捲,https://icook.tw/recipes/475167,龜甲萬味自慢–照燒醬、鹽滷豆腐、梅花豬肉片、油、小番茄、蘿美生菜,龜甲萬味自慢–照燒醬1包 | 鹽滷豆腐1塊 | 梅花豬肉片6片 | 油1.5大匙 | 小番茄2顆 | 蘿美生菜2片,"梅花豬肉片用厚的，口感較佳。

龜甲萬味自慢–照燒醬照燒醬，一包在手就能直接做好照燒料理
採用日本三溫糖及北海道真昆布的雅緻鮮味，甘甜跟鮮味結合，料理好的成品是很有層次的照燒美味。
不含五辛、蛋、奶，蔬食愛好者也能安心享用。 | 鹽滷豆腐()或板豆腐)切成約1.5公分厚片，以食品級紙巾吸乾水分備用。 | 將鹽滷豆腐用肉片捲起。
時間充裕時也可以先將豆腐煎至金黃再包肉片。 | 鍋內加入油，將肉片豆腐捲四面煎至金黃熟透。 | 加入龜甲萬味自慢–照燒醬，煮約1-2分鐘，並淋在豬肉豆腐捲上。

用法超簡單的龜甲萬味自慢–照燒醬，內含六種蔬果萃取液，麥芽糖、三溫糖、蔗糖，三種糖層次豐富，加在料理中，美味更加倍。
蔬食可食，不含五辛、蛋、奶，蔬食愛好者也能安心享用。 | 將豆腐肉捲與龜甲萬味自慢–照燒醬均勻裹上。 | 以生菜墊底，旁邊排上小番茄，鋪上煮好的豆腐肉捲，均勻淋上一起煮好的龜甲萬味自慢–照燒醬，完成!

忙碌的煮婦煮夫料理時不能沒有它!","龜甲萬味自慢–照燒醬｜照燒梅花豬肉豆腐捲。食材：龜甲萬味自慢–照燒醬1包，鹽滷豆腐1塊，梅花豬肉片6片，油1.5大匙，小番茄2顆，蘿美生菜2片。做法：梅花豬肉片用厚的，口感較佳。

龜甲萬味自慢–照燒醬照燒醬，一包在手就能直接做好照燒料理
採用日本三溫糖及北海道真昆布的雅緻鮮味，甘甜跟鮮味結合，料理好的成品是很有層次的照燒美味。
不含五辛、蛋、奶，蔬食愛好者也能安心享用。，鹽滷豆腐()或板豆腐)切成約1.5公分厚片，以食品級紙巾吸乾水分備用。，將鹽滷豆腐用肉片捲起。
時間充裕時也可以先將豆腐煎至金黃再包肉片。，鍋內加入油，將肉片豆腐捲四面煎至金黃熟透。，加入龜甲萬味自慢–照燒醬，煮約1-2分鐘，並淋在豬肉豆腐捲上。

用法超簡單的龜甲萬味自慢–照燒醬，內含六種蔬果萃取液，麥芽糖、三溫糖、蔗糖，三種糖層次豐富，加在料理中，美味更加倍。
蔬食可食，不含五辛、蛋、奶，蔬食愛好者也能安心享用。，將豆腐肉捲與龜甲萬味自慢–照燒醬均勻裹上。，以生菜墊底，旁邊排上小番茄，鋪上煮好的豆腐肉捲，均勻淋上一起煮好的龜甲萬味自慢–照燒醬，完成!

忙碌的煮婦煮夫料理時不能沒有它!。",美生菜/475167_龜甲萬味自慢–照燒醬｜照燒梅花豬肉豆腐捲.jpg
457997,生菜玉米起司吐司,https://icook.tw/recipes/457997,吐司、美生菜、玉米粒、起司片,吐司2片 | 美生菜少許 | 玉米粒2小匙 | 起司片2片,將美生菜洗淨切細絲瀝乾備用 | 吐司鋪上美生菜撒上玉米粒再放上起司片放入烤箱中烤至起司融化把吐司烤至微黃即可,生菜玉米起司吐司。食材：吐司2片，美生菜少許，玉米粒2小匙，起司片2片。做法：將美生菜洗淨切細絲瀝乾備用，吐司鋪上美生菜撒上玉米粒再放上起司片放入烤箱中烤至起司融化把吐司烤至微黃即可。,美生菜/457997_生菜玉米起司吐司.jpg
