# 分析摘要
# 最高相似度: 0.625
# 建議門檻: 0.50 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 16
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 124 組相似食譜
# 門檻 0.2: 43 組相似食譜
# 門檻 0.3: 16 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
471222,客家芋頭米粉,470424,肉燥芋頭米粉,0.625
479774,芋頭西米露,478946,蜜芋頭,0.571
470424,肉燥芋頭米粉,470006,芋頭米粉湯(二),0.552
477078,麻香排骨蒸芋頭,464883,排骨蒸芋頭,0.462
478946,蜜芋頭,473667,芋頭紫米糕(低糖版),0.455
478946,蜜芋頭,462730,芋頭奶茶蛋塔,0.429
471222,客家芋頭米粉,470006,芋頭米粉湯(二),0.418
475483,芋頭飯,471232,芋頭香菇瘦肉粥/鹹粥,0.385
479774,芋頭西米露,462730,芋頭奶茶蛋塔,0.354
467185,芋頭米粉,475483,芋頭飯,0.346
479774,芋頭西米露,467247,芋頭豆漿西米露（全素）,0.336
477027,萬用電子鍋/芋頭蓮子湯,469012,桂花酒釀芋頭甜湯,0.334
472309,鴨肉芋頭粥,462782,芋頭粥,0.308
462782,芋頭粥,471232,芋頭香菇瘦肉粥/鹹粥,0.308
472328,芋頭肉丸,469397,lanni 芋頭鹹飯(電鍋版),0.302
465770,芋頭丸,469397,lanni 芋頭鹹飯(電鍋版),0.302
