id,name,document
467982,芥蘭菜炒豆皮,芥蘭菜 煙燻豆皮 雞粉
471498,芥蘭菜炒臘腸,臘腸 芥蘭菜 蒜仁 胡椒粉 蠔油 糖
473073,清燙芥蘭菜佐醬油,芥蘭菜 清醬油 冰糖 蒜末
478556,芥蘭蝦仁 / 家常菜,芥蘭菜 鮮蝦 蒜瓣 白胡椒粉 老薑片 米酒
479259,炒芥藍菜 / 家常菜,芥蘭菜 蒜瓣
477403,蠔油芥藍,植物油 素蠔油膏 醬油 芥藍菜 白醋 蒜頭 細砂糖 太白粉
472633,茴香芥蘭菜湯,茴香菜 芥蘭菜有花 芹菜 蔥 鮮味炒手 米酒
471612,涼拌芥蘭芽,芥蘭芽 香菇素蠔油
474911,鹹豬肉炒芥藍,鹹豬肉 芥藍菜 蒜末 紹興酒 辣椒片
468041,蠔油芥蘭,芥蘭菜 熟白芝麻 素蠔油 冷開水 奧勒岡榛果油頂級
473252,清炒白花芥蘭,芥蘭花 香菇 壺底油
474061,芥藍炒香菇,芥藍芽 乾香菇 香菇水 蒜 蜂蜜
449348,辣炒芥蘭菜,芥藍菜 辣椒 蒜頭 安食小品醬鹽
458640,芥藍炒香腸,芥藍 香腸 雞粉 蒜末
467028,蠔油蒜香炒芥蘭,芥蘭菜 蠔油 白芝麻 蒜末
458048,蒜炒芥藍,芥蘭 蒜末 雞粉
468527,lanni 芥藍菜炒豆包,芥蘭梗斜切片 葉切小段 紅蘿蔔絲 鮮味抄手 白豆包切小方片 米酒 蒜末
455480,枸杞芥蘭,芥蘭菜 枸杞 蒜頭
439269,蒜香芥蘭菜,芥蘭 蒜頭切片 白芝麻可略
436149,蠔油臘腸芥蘭菜（簡單）,臘腸 肝腸 芥蘭菜 糖 蠔油
462059,鹹豬肉炒芥蘭（10分鐘快炒）,鹹豬肉 芥蘭菜 蒜頭
458574,蠔油沙茶牛肉燴芥蘭,牛肉片 芥蘭花 李錦記舊庄特級蠔油 蒜頭 沙茶醬 辣椒 太白粉 胡椒粉
431635,芥蘭菜炒香腸,蒜味香腸 芥蘭菜 紹興酒 辣椒 蒜頭
454159,蒜香芥蘭苗,芥蘭苗 蒜頭 糖
454684,芥藍菜炒鹹豬肉,芥藍菜 鹹豬肉 雞粉 蒜末
449660,芥蘭牛肉 / 家常菜,牛肉里肌肉片 芥藍菜 米酒 蒜瓣 白胡椒粉 紅蘿蔔 素蠔油或醬油 玉米粉或玉米粉
450856,沙茶芥蘭炒牛肉,芥蘭菜 牛肉片 蒜頭 沙茶醬 米酒
463219,蝦皮豬肉炒芥蘭｜加入香菇更添鮮,芥蘭菜 蝦皮 蠔油 蒜頭 豬肉片
449408,鮮菇炒芥蘭,芥蘭菜 鮮香菇 蒜瓣 辣椒 安食小品醬鹽
457436,蠔油炒牛肉芥蘭手剪麵,芥蘭菜 全麥麵粉 李錦記舊庄特級蠔油 米酒 麻油 蒜泥 大蒜 糖 蔥花 辣椒 牛肉絲 熟白芝麻
448811,鴨賞炒芥蘭,芥蘭菜 鴨賞 蒜末
449575,炒芥藍 / 家常菜,芥蘭菜 嫩薑絲 鮮菇 辣椒可省略
446736,蒜炒芥蘭豬肉,芥蘭菜 豬肉 醬油 蒜末 太白粉 白胡椒粉 米酒
447254,魚乾辣椒炒芥蘭,芥蘭菜 小魚乾辣椒醬 蒜末
448853,芥藍菜炒粄條,粄條 芥藍菜 番茄 香菇 蔥 雞蛋 黑豆油膏
438032,清炒芥蘭,芥蘭菜
471124,家常菜飯,鹹豬肉 芥蘭菜 蠔油 乾香菇 香菇水 紅蘿蔔 米酒 蒜頭 白胡椒 白飯
