# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 47
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 291 組相似食譜
# 門檻 0.2: 123 組相似食譜
# 門檻 0.3: 47 組相似食譜
# 門檻 0.4: 20 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
479259,炒芥藍菜 / 家常菜,468301,炒芥蘭 / 家常菜,1.0
474911,鹹豬肉炒芥藍,454684,芥藍菜炒鹹豬肉,0.575
449348,辣炒芥蘭菜,449408,鮮菇炒芥蘭,0.527
458574,蠔油沙茶牛肉燴芥蘭,450856,沙茶芥蘭炒牛肉,0.506
471498,芥蘭菜炒臘腸,436149,蠔油臘腸芥蘭菜（簡單）,0.492
473314,炒芥藍花菜,431635,芥蘭菜炒香腸,0.491
479259,炒芥藍菜 / 家常菜,449408,鮮菇炒芥蘭,0.477
468301,炒芥蘭 / 家常菜,449408,鮮菇炒芥蘭,0.477
473314,炒芥藍花菜,449348,辣炒芥蘭菜,0.467
451624,家常沙茶芥蘭牛肉,450856,沙茶芥蘭炒牛肉,0.463
436149,蠔油臘腸芥蘭菜（簡單）,449899,臘腸炒芥蘭,0.458
458048,蒜炒芥藍,454684,芥藍菜炒鹹豬肉,0.45
479259,炒芥藍菜 / 家常菜,438032,清炒芥蘭,0.444
468301,炒芥蘭 / 家常菜,438032,清炒芥蘭,0.444
462059,鹹豬肉炒芥蘭（10分鐘快炒）,454684,芥藍菜炒鹹豬肉,0.441
478556,芥蘭蝦仁 / 家常菜,479259,炒芥藍菜 / 家常菜,0.43
478556,芥蘭蝦仁 / 家常菜,468301,炒芥蘭 / 家常菜,0.43
467982,芥蘭菜炒豆皮,473314,炒芥藍花菜,0.411
462059,鹹豬肉炒芥蘭（10分鐘快炒）,471124,家常菜飯,0.408
471498,芥蘭菜炒臘腸,449899,臘腸炒芥蘭,0.401
431635,芥蘭菜炒香腸,449899,臘腸炒芥蘭,0.389
458048,蒜炒芥藍,439269,蒜香芥蘭菜,0.387
454159,蒜香芥蘭苗,451624,家常沙茶芥蘭牛肉,0.38
451624,家常沙茶芥蘭牛肉,446736,蒜炒芥蘭豬肉,0.371
458640,芥藍炒香腸,458048,蒜炒芥藍,0.366
473314,炒芥藍花菜,462059,鹹豬肉炒芥蘭（10分鐘快炒）,0.361
455480,枸杞芥蘭,462059,鹹豬肉炒芥蘭（10分鐘快炒）,0.359
462059,鹹豬肉炒芥蘭（10分鐘快炒）,438032,清炒芥蘭,0.356
449348,辣炒芥蘭菜,431635,芥蘭菜炒香腸,0.35
474911,鹹豬肉炒芥藍,462059,鹹豬肉炒芥蘭（10分鐘快炒）,0.347
458640,芥藍炒香腸,454684,芥藍菜炒鹹豬肉,0.341
474061,芥藍炒香菇,471124,家常菜飯,0.34
478556,芥蘭蝦仁 / 家常菜,449660,芥蘭牛肉 / 家常菜,0.334
473314,炒芥藍花菜,458048,蒜炒芥藍,0.328
448811,鴨賞炒芥蘭,438032,清炒芥蘭,0.309
447254,魚乾辣椒炒芥蘭,438032,清炒芥蘭,0.309
467982,芥蘭菜炒豆皮,458048,蒜炒芥藍,0.308
478556,芥蘭蝦仁 / 家常菜,446736,蒜炒芥蘭豬肉,0.308
473314,炒芥藍花菜,455480,枸杞芥蘭,0.308
471498,芥蘭菜炒臘腸,470790,芥蘭炒蝦仁,0.306
473314,炒芥藍花菜,438032,清炒芥蘭,0.306
473314,炒芥藍花菜,454684,芥藍菜炒鹹豬肉,0.305
455480,枸杞芥蘭,438032,清炒芥蘭,0.305
458574,蠔油沙茶牛肉燴芥蘭,451624,家常沙茶芥蘭牛肉,0.305
449899,臘腸炒芥蘭,438032,清炒芥蘭,0.305
473314,炒芥藍花菜,449408,鮮菇炒芥蘭,0.304
477403,蠔油芥藍,450137,蒜蓉蠔油芥蘭,0.302
