id,name,document
471967,花椰菜炒肉絲,肉絲 花椰菜 雞粉 米酒 太白粉
474336,椒鹽花椰菜,花椰菜 蒜末 椒鹽粉
473088,蝦皮炒白花椰菜,白花椰菜 蝦皮 雞粉
473074,炒花椰菜🥦,花椰菜 綠花椰菜 蒜末 味精
468587,白花椰菜炒德國香腸,白花椰菜 德國香腸 雞粉 紅蘿蔔絲
471974,白花椰菜豆皮粥,白花椰菜 白米 雞粉 燕麥 紅蘿蔔絲 油蔥酥 玉米粒 豆皮
469591,綠花椰菜聖誕樹,馬鈴薯沙拉 玉米筍 紅蘿蔔 花椰菜 小番茄
473236,氣炸咖喱味花椰菜,花椰菜 咖喱粉 麵粉 椒鹽胡椒粉 胡椒粉
470183,焗烤花椰菜豆腐,豆腐 花椰菜 水煮無鹽鮪魚罐頭 美乃滋 小黃瓜 黑胡椒
468481,巴沙魚花椰菜,巴沙魚排 蒜 黑胡椒粒 米酒 花椰菜
468098,花椰菜炒雞胸,花椰菜 雞胸肉 黑木耳 黑胡椒 玉米筍 蒜
466875,鮭魚+綠花椰菜,鮭魚 綠花椰菜 蒜片
469000,辣炒牛肉花椰菜,牛肉片 花椰菜 安食小品黑豆醬油 米酒 辣粉 蒜頭
473524,蒜香奶油花椰菜炒蝦仁,蝦仁 花椰菜切塊 蒜頭切末 乾辣椒切碎 無鹽奶油 黑胡椒粉 義大利綜合香料
465865,花椰菜番茄炒蛋,花椰菜 番茄 鮮味炒手 雞蛋 蒜頭
468380,白花椰菜炒蝦仁,白花椰 大蒜切末 米酒 青蔥 雞粉 蝦仁 白胡椒粉 白胡椒鹽
461565,花椰菜炒蛋,綠花椰菜 雞蛋 辣豆瓣醬 醬油
473476,寶寶副食～吻仔魚花椰菜炊飯,吻仔魚 洋蔥 紅蘿蔔 花椰菜 杏鮑菇 白米
468566,蛋炒花椰菜（蛋素）,花椰菜 腰果可加可不加 塩 蛋
462607,鮮蝦花椰菜,花椰菜 玉米筍 鮮蝦仁 洋蔥 蒜末
462384,綠花椰菜咖哩,綠花椰菜 洋蔥 紅蘿蔔 馬鈴薯 咖哩塊
465301,花椒鮭魚炒花椰菜,花椰菜 鮭魚 紅蘿蔔 BB秘製十三香 BB漢原花椒油 辣椒
461913,干鍋花椰菜,白花椰菜 乾辣椒 洋蔥絲 蒜片 辣豆瓣醬 蠔油 蔥段
452547,番茄炒白色花椰菜,白色花椰菜 牛番茄 番茄醬 醬油 糖可不加
455362,綠花椰菜炒香腸,綠花椰菜 香腸 雞粉
469727,奶香起士花椰菜🥦,綠花椰菜 蒜末 洋蔥 白醬 起士絲 月桂葉 綜合香料 黑胡椒粉
471272,寶寶副食品10m+～海陸花椰菜飯,白米 洋蔥丁 杏鮑菇 吻仔魚 玉米筍 花椰菜 雞腿排 鮭魚
468547,鹽麴涼拌彩椒花椰菜,綠花椰菜 紅甜椒中 黃甜椒中 有機鹽麴 奧勒岡榛果油頂級 香油或麻油
444599,「盧丁雞蛋料理」蝦仁蒸全蛋佐花椰菜,蝦仁 盧丁雞蛋 花椰菜
460730,炸魚&煮花椰菜｜過熱水蒸氣烤箱微波爐,白身魚 花椰菜 胡椒 小番茄 麵包粉 培根 低筋麵粉 高湯塊 雞蛋 醬油 白酒
457579,蒜香花椰菜,花椰菜 蒜碎 紅蘿蔔片 糖
461526,醋溜木耳花椰菜,花椰菜 木耳 薑絲 辣椒 醬油 米酒 烏醋 砂糖 玉米粉
450681,花椰菜炒魚豆腐,花椰菜 魚豆腐 雞粉 蒜末 糖
452528,花椰菜粥,花椰菜 雞蛋 白飯 安食小品醬鹽 安食小品柴魚粉 白胡椒粉 蔥花
462580,超市料理-堅果花椰菜沙拉,花椰菜 綜合堅果 胡麻醬
473348,絕對入味！香氣滿滿的乾鍋白花椰菜,五花肉 白花椰 乾辣椒 青蔥 蒜頭 醬油 豆瓣醬
449416,花椰菜湯麵,麵條 花椰菜 洋蔥 豬肉 紅蘿蔔絲 植物油 白胡椒粉 芝麻油
459728,花椰菜菇菇鯛魚蒸蛋,花椰菜 蛋 鴻禧菇雪白菇 鯛魚
456120,花椰菜豆腐玉子燒,豆腐 蛋 花椰菜 雞精粉 味淋
