id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
471967,花椰菜炒肉絲,https://icook.tw/recipes/471967,肉絲、花椰菜、雞粉、鹽、米酒、香油、太白粉,肉絲200克 | 花椰菜1朵 | 雞粉1小匙 | 鹽1茶匙 | 米酒1小匙 | 鹽1茶匙 | 香油1茶匙 | 太白粉1茶匙,將肉絲使用米酒、鹽、香油醃漬15分鐘，再使用太白粉拌勻 | 花椰菜去硬梗洗淨瀝乾備用 | 熱油鍋將肉絲炒至7分熟後盛起，再放入花椰菜炒至變色，加入雞粉調味與肉絲拌勻即可。,花椰菜炒肉絲。食材：肉絲200克，花椰菜1朵，雞粉1小匙，鹽1茶匙，米酒1小匙，鹽1茶匙，香油1茶匙，太白粉1茶匙。做法：將肉絲使用米酒、鹽、香油醃漬15分鐘，再使用太白粉拌勻，花椰菜去硬梗洗淨瀝乾備用，熱油鍋將肉絲炒至7分熟後盛起，再放入花椰菜炒至變色，加入雞粉調味與肉絲拌勻即可。。,花椰菜/471967_花椰菜炒肉絲.jpg
474336,椒鹽花椰菜,https://icook.tw/recipes/474336,花椰菜、蒜末、椒鹽粉、鹽,花椰菜1顆 | 蒜末1大匙 | 椒鹽粉1 | 鹽1小匙,花椰菜清洗後，稍微燙到變色，喜歡軟一點可以燙久一點。 | 加油爆香蒜頭。（延續了上一道菜沒有洗鍋） | 加入花椰菜，撒椒鹽粉（鹹度如果不夠再加鹽調整）翻拌均勻就可以出鍋。,椒鹽花椰菜。食材：花椰菜1顆，蒜末1大匙，椒鹽粉1，鹽1小匙。做法：花椰菜清洗後，稍微燙到變色，喜歡軟一點可以燙久一點。，加油爆香蒜頭。（延續了上一道菜沒有洗鍋），加入花椰菜，撒椒鹽粉（鹹度如果不夠再加鹽調整）翻拌均勻就可以出鍋。。,花椰菜/474336_椒鹽花椰菜.jpg
473088,蝦皮炒白花椰菜,https://icook.tw/recipes/473088,白花椰菜、蝦皮、雞粉、鹽,白花椰菜1顆 | 蝦皮1小匙 | 雞粉2小匙 | 鹽1茶匙,將白花椰菜去硬梗切小朵洗淨瀝乾備用 | 熱油鍋爆香蝦皮加入白花椰菜翻炒，加少許水蓋過悶煮 | 起鍋前加入鹽巴與雞粉炒勻即可,蝦皮炒白花椰菜。食材：白花椰菜1顆，蝦皮1小匙，雞粉2小匙，鹽1茶匙。做法：將白花椰菜去硬梗切小朵洗淨瀝乾備用，熱油鍋爆香蝦皮加入白花椰菜翻炒，加少許水蓋過悶煮，起鍋前加入鹽巴與雞粉炒勻即可。,花椰菜/473088_蝦皮炒白花椰菜.jpg
473074,炒花椰菜🥦,https://icook.tw/recipes/473074,花椰菜、綠花椰菜、蒜末、鹽巴、味精,花椰菜2 | 綠花椰菜2 | 蒜末2 | 鹽巴1 | 味精1,"備料：蒜頭切末 | 花椰菜們都處理好後、川燙

- 我們家會將部分外皮去除、吃起來才不會有硬硬的外皮口感。

- 川燙，不一定要，因為小梅子媽覺得夏季花椰菜農藥多，所以習慣都會川燙後再開始炒菜。 | 爆香蒜末 | 香氣出來後
下花椰菜，攪拌均勻 | 加水、蓋上鍋蓋悶鍋
轉中小火 | 花椰菜熟後，加鹽巴、味精調味
就可裝盤啦

- 喜歡軟一點的口感，就悶久一點。
- 不確定有沒有熟，可以直接試吃一小塊莖部判斷。","炒花椰菜🥦。食材：花椰菜2，綠花椰菜2，蒜末2，鹽巴1，味精1。做法：備料：蒜頭切末，花椰菜們都處理好後、川燙

- 我們家會將部分外皮去除、吃起來才不會有硬硬的外皮口感。

- 川燙，不一定要，因為小梅子媽覺得夏季花椰菜農藥多，所以習慣都會川燙後再開始炒菜。，爆香蒜末，香氣出來後
下花椰菜，攪拌均勻，加水、蓋上鍋蓋悶鍋
轉中小火，花椰菜熟後，加鹽巴、味精調味
就可裝盤啦

- 喜歡軟一點的口感，就悶久一點。
- 不確定有沒有熟，可以直接試吃一小塊莖部判斷。。",花椰菜/473074_炒花椰菜🥦.jpg
468587,白花椰菜炒德國香腸,https://icook.tw/recipes/468587,白花椰菜、德國香腸、雞粉、紅蘿蔔絲、鹽,白花椰菜1朵 | 德國香腸2隻 | 紅蘿蔔絲1小匙 | 雞粉1小匙 | 鹽1茶匙,將白花椰菜去硬梗洗淨瀝乾、德國香腸切片備用 | 熱油鍋加紅蘿蔔炒香加入白花椰菜及少許水蓋鍋悶煮 | 加入雞粉、鹽調味後放入德國香腸拌炒即可,白花椰菜炒德國香腸。食材：白花椰菜1朵，德國香腸2隻，紅蘿蔔絲1小匙，雞粉1小匙，鹽1茶匙。做法：將白花椰菜去硬梗洗淨瀝乾、德國香腸切片備用，熱油鍋加紅蘿蔔炒香加入白花椰菜及少許水蓋鍋悶煮，加入雞粉、鹽調味後放入德國香腸拌炒即可。,花椰菜/468587_白花椰菜炒德國香腸.jpg
471974,白花椰菜豆皮粥,https://icook.tw/recipes/471974,白花椰菜、白米、雞粉、燕麥、鹽、紅蘿蔔絲、油蔥酥、玉米粒、豆皮,白花椰菜1朵 | 白米1杯 | 燕麥0.5杯 | 紅蘿蔔絲1大匙 | 玉米粒1大匙 | 豆皮數片 | 雞粉1大匙 | 鹽2小匙 | 油蔥酥2小匙,將白米與糙米洗淨浸泡30分鐘 | 電子鍋內鍋放入浸泡過後的米依照煮粥模式加入適量的水及白花椰菜、紅蘿蔔絲、玉米、豆皮，加入鹽跟雞粉拌勻 | 使用電子鍋煮粥模式，等待煮熟通知後悶15分鐘再加入油蔥酥拌勻即可,白花椰菜豆皮粥。食材：白花椰菜1朵，白米1杯，燕麥0.5杯，紅蘿蔔絲1大匙，玉米粒1大匙，豆皮數片，雞粉1大匙，鹽2小匙，油蔥酥2小匙。做法：將白米與糙米洗淨浸泡30分鐘，電子鍋內鍋放入浸泡過後的米依照煮粥模式加入適量的水及白花椰菜、紅蘿蔔絲、玉米、豆皮，加入鹽跟雞粉拌勻，使用電子鍋煮粥模式，等待煮熟通知後悶15分鐘再加入油蔥酥拌勻即可。,花椰菜/471974_白花椰菜豆皮粥.jpg
469591,綠花椰菜聖誕樹,https://icook.tw/recipes/469591,馬鈴薯沙拉、玉米筍、鹽、紅蘿蔔、食用油、花椰菜、小番茄,馬鈴薯沙拉2碗 | 玉米筍1根 | 紅蘿蔔適量 | 花椰菜1顆 | 小番茄數根 | 鹽1匙 | 食用油少許,"準備全部的食材花椰菜切成大朵小朵不一 | 冷鍋滴適量的食用油鍋中放入切好的花椰菜(帶少許水份) | 花椰菜燜蒸後 加1小匙的鹽拌勻撈出
並將花椰菜過個冷水~ | 將馬鈴薯泥堆疊捏成圓錐狀
頂端捏得尖尖的,花椰菜插上去 | 花椰菜間可以插幾顆小番茄~
接著利用蔬菜開始佈置花椰菜聖誕樹
可用壓模壓出可愛的圖案花椰菜樹完成^","綠花椰菜聖誕樹。食材：馬鈴薯沙拉2碗，玉米筍1根，紅蘿蔔適量，花椰菜1顆，小番茄數根，鹽1匙，食用油少許。做法：準備全部的食材花椰菜切成大朵小朵不一，冷鍋滴適量的食用油鍋中放入切好的花椰菜(帶少許水份)，花椰菜燜蒸後 加1小匙的鹽拌勻撈出
並將花椰菜過個冷水~，將馬鈴薯泥堆疊捏成圓錐狀
頂端捏得尖尖的,花椰菜插上去，花椰菜間可以插幾顆小番茄~
接著利用蔬菜開始佈置花椰菜聖誕樹
可用壓模壓出可愛的圖案花椰菜樹完成^。",花椰菜/469591_綠花椰菜聖誕樹.jpg
473236,氣炸咖喱味花椰菜,https://icook.tw/recipes/473236,花椰菜、咖喱粉、麵粉、椒鹽胡椒粉、鹽巴、橄欖油、胡椒粉,花椰菜2朵 | 咖喱粉2大匙 | 麵粉1小匙 | 椒鹽胡椒粉2小匙 | 鹽巴1小匙 | 橄欖油適量 | 胡椒粉適量,"清洗花椰菜🥦
切成小朵，莖也切斷片
加入鹽巴、椒鹽粉、黑胡椒、咖喱粉，拌勻 | 再來噴 | 淋一些橄欖油，灑一些些麵粉 | 氣炸鍋190°C (375°F) 8分鐘
稍高溫，製造焦焦的效果
馬上就完成啦！","氣炸咖喱味花椰菜。食材：花椰菜2朵，咖喱粉2大匙，麵粉1小匙，椒鹽胡椒粉2小匙，鹽巴1小匙，橄欖油適量，胡椒粉適量。做法：清洗花椰菜🥦
切成小朵，莖也切斷片
加入鹽巴、椒鹽粉、黑胡椒、咖喱粉，拌勻，再來噴，淋一些橄欖油，灑一些些麵粉，氣炸鍋190°C (375°F) 8分鐘
稍高溫，製造焦焦的效果
馬上就完成啦！。",花椰菜/473236_氣炸咖喱味花椰菜.jpg
470183,焗烤花椰菜豆腐,https://icook.tw/recipes/470183,豆腐、花椰菜、鹽、水煮無鹽鮪魚罐頭、美乃滋、小黃瓜、黑胡椒,豆腐半塊 | 花椰菜4朵 | 水煮無鹽鮪魚罐頭半罐 | 小黃瓜適量 | 鹽1/2小匙 | 美乃滋1小匙 | 黑胡椒適量,豆腐重壓30分鍾將多餘的水份去除，搗碎加入鮪魚罐頭，再加黑胡椒拌勻 | 加入鹽 | 加入美乃滋 | 加入水煮切碎的花椰菜和切丁的小黃瓜，全部拌勻放入容器 | 鋪上起司 | 170度烤20分鐘即可,焗烤花椰菜豆腐。食材：豆腐半塊，花椰菜4朵，水煮無鹽鮪魚罐頭半罐，小黃瓜適量，鹽1/2小匙，美乃滋1小匙，黑胡椒適量。做法：豆腐重壓30分鍾將多餘的水份去除，搗碎加入鮪魚罐頭，再加黑胡椒拌勻，加入鹽，加入美乃滋，加入水煮切碎的花椰菜和切丁的小黃瓜，全部拌勻放入容器，鋪上起司，170度烤20分鐘即可。,花椰菜/470183_焗烤花椰菜豆腐.jpg
468481,巴沙魚花椰菜,https://icook.tw/recipes/468481,巴沙魚排、蒜、黑胡椒粒、米酒、花椰菜,巴沙魚排2片 | 蒜少許 | 黑胡椒粒少許 | 米酒少許 | 花椰菜半朵,"1.巴沙鱼切段,加入一點米酒 | 一點醬油 | 鹽少許,低筋麵粉少許 | 適量黑胡椒腌制10分鍾

2.花椰菜稍微過水煮熟 | 先撈起來放旁邊 | 巴沙鱼平底鍋煎熟 | 蒜姜炒 香,放入綠花椰,加入一勺醬油和蠔油, 撒上適量黑胡椒碎翻炒均匀即可出鍋","巴沙魚花椰菜。食材：巴沙魚排2片，蒜少許，黑胡椒粒少許，米酒少許，花椰菜半朵。做法：1.巴沙鱼切段,加入一點米酒，一點醬油，鹽少許,低筋麵粉少許，適量黑胡椒腌制10分鍾

2.花椰菜稍微過水煮熟，先撈起來放旁邊，巴沙鱼平底鍋煎熟，蒜姜炒 香,放入綠花椰,加入一勺醬油和蠔油, 撒上適量黑胡椒碎翻炒均匀即可出鍋。",花椰菜/468481_巴沙魚花椰菜.jpg
