# 分析摘要
# 最高相似度: 0.548
# 建議門檻: 0.44 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 11
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 187 組相似食譜
# 門檻 0.2: 61 組相似食譜
# 門檻 0.3: 11 組相似食譜
# 門檻 0.4: 4 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
467132,蒜香白花椰菜,461526,醋溜木耳花椰菜,0.548
473476,寶寶副食～吻仔魚花椰菜炊飯,471272,寶寶副食品10m+～海陸花椰菜飯,0.542
473088,蝦皮炒白花椰菜,468587,白花椰菜炒德國香腸,0.429
468587,白花椰菜炒德國香腸,471974,白花椰菜豆皮粥,0.408
461526,醋溜木耳花椰菜,458284,花椰菜炒木耳🥦,0.34
474336,椒鹽花椰菜,473074,炒花椰菜🥦,0.334
474336,椒鹽花椰菜,450681,花椰菜炒魚豆腐,0.334
463036,蒸花椰菜,463093,川燙花椰菜（可涼拌）,0.322
468566,蛋炒花椰菜（蛋素）,463093,川燙花椰菜（可涼拌）,0.322
463093,川燙花椰菜（可涼拌）,453441,和風花椰菜/5分鐘/零廚藝,0.322
473476,寶寶副食～吻仔魚花椰菜炊飯,462384,綠花椰菜咖哩,0.308
