id,name,document
458750,魚板炒芹菜與芹菜葉,魚板 芹菜 白胡椒
479150,芹菜炒肉片,芹菜 全聯雞肉塊切片 烤肉醬或蠔油 白胡椒
478352,芹菜炒甜不辣,芹菜 蒜頭 基隆甜不辣 薄鹽醬油 米酒
475165,芹菜丸子,西芹渣 中筋麵粉 燕麥片 咖哩粉 白胡椒粉可略 素蠔油可略 紅扁豆可略
474678,芹菜蛋花湯,雞蛋 青蔥 芹菜 香菜 米酒 食鹽 雞粉 白胡椒粉 雞高湯
474048,芹菜炒魷魚,魷魚乾 嫩薑 米酒 辣椒 蒜頭 太白粉 青蒜 芹菜 砂糖 雞粉 白胡椒粉
473678,芹菜保存,芹菜 保鮮袋
473983,芹菜炒豆乾,芹菜管 豆乾 醬油 紅蘿蔔 醬油膏 醋 蒜頭 辣椒
473076,芹菜炒花枝,芹菜 花枝 蒜 辣椒 米酒
474963,芹菜豆腐 / 素家常菜,芹菜 板豆腐 白胡椒粉 老薑片 黑胡椒粒
472382,芹菜炒魚丸,虱目魚丸 芹菜梗淨重 食鹽 老薑 砂糖 蒜頭 味精 紅辣椒 白胡椒粉
471512,芹菜炒豆包,煎豆包 紅蘿蔔 芹菜 蒜頭 安食小品醬鹽
472239,芹菜炒豆干,豆干 芹菜 醬油 蒜頭 糖 辣椒 蠔油 太白粉水
472394,芹菜炒豆包 / 家常菜,芹菜 生豆包 蒜瓣 辣椒
475718,油悶鴨胸  芹菜,油封鴨胸 芹菜 白煮蛋 醃漬白蘿蔔
474147,醬爆芹菜魷魚絲,魷魚乾 芹菜 黃酒紹興酒 乾辣椒 醬油 嫩薑 蠔油 蒜頭 烏醋 砂糖 老抽 雞粉 白胡椒粉
472396,芹菜炒鴨賞,芹菜 鴨賞 蒜苗可略 白芝麻
466437,芹菜炒花枝 芹菜炒海鮮,米酒 蒜頭 白胡椒 辣椒 芹菜 花枝 蛤蠣
470293,肉絲木耳炒芹菜,豬肉絲 蒜末 米酒 芹菜 醬油 辣椒 烏醋 木耳 太白粉 白胡椒粉 糖
470067,芹菜炒鵝腸,生鵝腸 芹菜段 酸菜心 豆芽菜 薑絲 蒜末 蔥段 辣椒絲 烏醋
473832,十分鐘上菜-芹菜炒豆乾,芹菜 豆乾 小磨坊純白胡椒粉 紅辣椒 蒜頭 豆鼓
469361,芹菜炒生魷魚,生魷魚 芹菜 紅辣椒 米酒 蒜片
471857,熗拌芹菜(五辛素),芹菜桿淨重 蒜頭 乾辣椒 白醋 紅花椒 砂糖 青花椒 醬油 芝麻香油 食鹽 味精
449444,芹菜炒牛肉,蔥花 蒜末 牛肉 薑末 芹菜 太白粉水 烏醋 醬油 胡椒粉
457610,芹菜豬肚,豬肚 芹菜 味精 烏醋 素蠔油 米酒
386514,芹菜豆乾豬五花,全聯豬五花肉片 芹菜管 李錦記醬油 蔥段 胡椒粉 豆乾絲 糖粉 蒜頭末 烏醋
469692,椒麻涼拌芹菜(五辛素),芹菜梗 胡蘿蔔 醬油 蒜頭 砂糖 乾辣椒 食鹽 青花椒 香菇粉 芝麻香油
469769,椒麻芹菜醬蘿蔔(純素),白蘿蔔淨重 西洋芹 芹菜梗 醬油 胡蘿蔔 烏醋 芝麻香油 老薑 砂糖 粗辣椒粉增香 香菜 味精 細辣椒粉提色 食鹽 青花椒粒香麻
472839,芹菜炒豆皮～簡單營養好吃的蔬食小炒,芹菜 乾豆皮 德國鹽 胡椒粉
473814,涼拌西芹(五辛素),西洋芹淨重 胡蘿蔔 香辣紅油 紫洋蔥 砂糖 蒜頭 陳醋 香醋 辣椒 米醋 白醋 川耳 醬油 味精
459384,豆瓣芹菜燒石斑魚,石斑魚 芹菜 蒜片 豆豉 豆瓣醬 黑醋 米酒或水 太白粉水
455206,芹菜炒豆皮,芹菜 乾豆皮 紅蘿蔔 蒜片 胡椒粉 米酒
464166,芹菜豆干絲 / 簡單家常菜,豆干 芹菜 蒜瓣 玄米油或酪梨油 薄鹽醬油 黑胡椒粒
450956,蠔油芹菜,芹菜 蒜碎 辣椒 酒 味霖 蠔油 胡椒粉 昆布柴魚高湯
455587,芹菜炒透抽,芹菜 透抽 青蔥 米酒 薑 地瓜粉 鮮味炒手 辣椒 蒜頭切末 紅蘿蔔
455348,芹菜葉玉子燒,芹菜葉 雞蛋
457834,炒山芹菜 / 炒野菜,山芹菜 蒜瓣 酪梨油或習慣用油
476578,醬爆四寶-香炒五花肉x豆干x芹菜x脆瓜,五花肉 五香豆干 李錦記 頭道零添加原釀醬油 幼條瓜 豆瓣醬 芹菜 砂糖
