id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
458750,魚板炒芹菜與芹菜葉,https://icook.tw/recipes/458750,魚板、芹菜、油、鹽、白胡椒,魚板5塊 | 芹菜1/2把 | 油1大匙 | 鹽1小匙 | 白胡椒1小匙,把芹菜洗乾淨摘好，梗跟葉要分開，魚板切薄片 | 先用油煎炸一下魚板 | 魚板炸到金黃，再加入芹菜梗炒 | 最後才加入芹菜葉翻炒幾下，別炒太久，加點鹽跟白胡椒調味 | 完成~,魚板炒芹菜與芹菜葉。食材：魚板5塊，芹菜1/2把，油1大匙，鹽1小匙，白胡椒1小匙。做法：把芹菜洗乾淨摘好，梗跟葉要分開，魚板切薄片，先用油煎炸一下魚板，魚板炸到金黃，再加入芹菜梗炒，最後才加入芹菜葉翻炒幾下，別炒太久，加點鹽跟白胡椒調味，完成~。,芹菜/458750_魚板炒芹菜與芹菜葉.jpg
479150,芹菜炒肉片,https://icook.tw/recipes/479150,芹菜、全聯雞肉塊（切片）、烤肉醬（或蠔油）、白胡椒,芹菜1把 | 全聯雞肉塊（切片）1盒 | 烤肉醬（或蠔油）1大匙 | 白胡椒撒3下,"1.芹菜去頭洗淨後切段
2.肉切片放入烤肉醬與胡椒粉抓醃放置5分。 | 熱油鍋放入肉片炒至變色 | 放入芹菜拌炒一下，和一小匙水大火拌炒均勻 | 熟透後即可盛盤。","芹菜炒肉片。食材：芹菜1把，全聯雞肉塊（切片）1盒，烤肉醬（或蠔油）1大匙，白胡椒撒3下。做法：1.芹菜去頭洗淨後切段
2.肉切片放入烤肉醬與胡椒粉抓醃放置5分。，熱油鍋放入肉片炒至變色，放入芹菜拌炒一下，和一小匙水大火拌炒均勻，熟透後即可盛盤。。",芹菜/479150_芹菜炒肉片.jpg
478352,芹菜炒甜不辣,https://icook.tw/recipes/478352,芹菜、蒜頭、基隆甜不辣、薄鹽醬油、水、米酒,芹菜1把 | 蒜頭3瓣 | 基隆甜不辣1盒 | 薄鹽醬油適量 | 水適量 | 米酒少許,先將甜不辣條對切 | 然後乾煎一下 | 芹菜切段 | 熱鍋加入蒜末爆香 | 接著加入甜不辣和芹菜 | 下適量的醬油、鹽、水 | 翻炒一下再加入少許的米酒鍋邊嗆一下大炒即可上桌。,芹菜炒甜不辣。食材：芹菜1把，蒜頭3瓣，基隆甜不辣1盒，薄鹽醬油適量，水適量，米酒少許。做法：先將甜不辣條對切，然後乾煎一下，芹菜切段，熱鍋加入蒜末爆香，接著加入甜不辣和芹菜，下適量的醬油、鹽、水，翻炒一下再加入少許的米酒鍋邊嗆一下大炒即可上桌。。,芹菜/478352_芹菜炒甜不辣.jpg
475165,芹菜丸子,https://icook.tw/recipes/475165,西芹渣、中筋麵粉、燕麥片、咖哩粉、鹽、白胡椒粉（可略）、素蠔油（可略）、紅扁豆（可略）,西芹渣1杯 | 中筋麵粉2匙 | 燕麥片2大匙 | 咖哩粉1大匙 | 鹽1茶匙 | 白胡椒粉（可略）1匙 | 素蠔油（可略）1匙 | 紅扁豆（可略）2大匙,"紅扁豆洗過，放入碗中，加水至紅扁豆的高度（水蓋過紅扁豆就好，不用太多）

外鍋水量：完全蓋過外鍋底部就好，不用多 | 燕麥片泡開，水量一樣蓋到燕麥片就好，不用多

（泡軟後，水不要倒掉） | 蒸好的紅扁豆，倒入大碗或盆，把所有食材加在一起

*所有食材：紅扁豆、西芹渣、中筋麵粉、泡好的燕麥和泡燕麥水的水、咖哩粉、鹽、白胡椒粉、素蠔油 | 用手揉勻所有食材

*揉好後麵團應該是濕潤的但不黏手，若覺得麵團太乾則加水，太濕則加麵粉 | 揉勻後整成條狀 | 切成想要的等份

*小丸子大約可做11、12顆
*多做一顆可以試吃熟度和味道
*太大比較不容易熟 | 揉成球狀 | 拿一個平盤，倒一大匙麵粉，將丸子均勻裹上一層麵粉 | 全部丸子裹好麵粉，備用 | 熱鍋加油，油量約比平常煎東西再多一點，油熱後，倒入全部丸子 | 中火煎至上色，記得時不時轉動鍋子，讓丸子在鍋內滾來滾去，均勻受熱

*丸子比較大顆的話，蓋上鍋蓋蓄熱比較容易熟 | 剝開來有熟，基本上就完成了～ | *單吃或搭配義大利麵都可以
*煙燻粉和紅椒粉也很搭","芹菜丸子。食材：西芹渣1杯，中筋麵粉2匙，燕麥片2大匙，咖哩粉1大匙，鹽1茶匙，白胡椒粉（可略）1匙，素蠔油（可略）1匙，紅扁豆（可略）2大匙。做法：紅扁豆洗過，放入碗中，加水至紅扁豆的高度（水蓋過紅扁豆就好，不用太多）

外鍋水量：完全蓋過外鍋底部就好，不用多，燕麥片泡開，水量一樣蓋到燕麥片就好，不用多

（泡軟後，水不要倒掉），蒸好的紅扁豆，倒入大碗或盆，把所有食材加在一起

*所有食材：紅扁豆、西芹渣、中筋麵粉、泡好的燕麥和泡燕麥水的水、咖哩粉、鹽、白胡椒粉、素蠔油，用手揉勻所有食材

*揉好後麵團應該是濕潤的但不黏手，若覺得麵團太乾則加水，太濕則加麵粉，揉勻後整成條狀，切成想要的等份

*小丸子大約可做11、12顆
*多做一顆可以試吃熟度和味道
*太大比較不容易熟，揉成球狀，拿一個平盤，倒一大匙麵粉，將丸子均勻裹上一層麵粉，全部丸子裹好麵粉，備用，熱鍋加油，油量約比平常煎東西再多一點，油熱後，倒入全部丸子，中火煎至上色，記得時不時轉動鍋子，讓丸子在鍋內滾來滾去，均勻受熱

*丸子比較大顆的話，蓋上鍋蓋蓄熱比較容易熟，剝開來有熟，基本上就完成了～，*單吃或搭配義大利麵都可以
*煙燻粉和紅椒粉也很搭。",芹菜/475165_芹菜丸子.jpg
474678,芹菜蛋花湯,https://icook.tw/recipes/474678,雞蛋、青蔥、芹菜、香菜、米酒、香油、食鹽、雞粉、白胡椒粉、雞高湯,雞蛋5顆 | 青蔥2支 | 芹菜2支 | 香菜1株 | 米酒1茶匙 | 香油1茶匙 | 食鹽1茶匙 | 雞粉1茶匙 | 白胡椒粉1/2茶匙 | 雞高湯1.2ℓ,鍋中加入雞高湯、米酒、鹽、雞粉、胡椒粉 | 燒開後淋入蛋液，再次煮滾後淋上香油 | 盆中加入蔥末、芹菜末、香菜末 | 將蛋花湯沖入鍋中，攪拌均勻即可,芹菜蛋花湯。食材：雞蛋5顆，青蔥2支，芹菜2支，香菜1株，米酒1茶匙，香油1茶匙，食鹽1茶匙，雞粉1茶匙，白胡椒粉1/2茶匙，雞高湯1.2ℓ。做法：鍋中加入雞高湯、米酒、鹽、雞粉、胡椒粉，燒開後淋入蛋液，再次煮滾後淋上香油，盆中加入蔥末、芹菜末、香菜末，將蛋花湯沖入鍋中，攪拌均勻即可。,芹菜/474678_芹菜蛋花湯.jpg
474048,芹菜炒魷魚,https://icook.tw/recipes/474048,魷魚乾、嫩薑、米酒、辣椒、香油、蒜頭、太白粉、青蒜、鹽、芹菜、砂糖、熱水、雞粉、白胡椒粉,魷魚乾半條 | 嫩薑1塊 | 辣椒2條 | 蒜頭5瓣 | 青蒜1支 | 芹菜1把 | 熱水50ml | 米酒1大匙 | 香油1茶匙 | 太白粉1/2茶匙 | 鹽1/4茶匙 | 砂糖1/4茶匙 | 雞粉1/4茶匙 | 白胡椒粉1/4茶匙,取半條乾魷魚，用剪刀逆紋剪成魷魚絲【逆紋切斷纖維，魷魚才不會捲起來】 | 取半條乾魷魚，用剪刀逆紋剪成魷魚絲【逆紋切斷纖維，魷魚才不會捲起來】 | 倒入熱水與少許白醋，泡發20分鐘 | 芹菜切段，嫩薑、蒜頭、蒜苗切片 | 蒜綠、紅辣椒切片 | 熱鍋下薑蒜芹菜，炒出香氣 | 下魷魚絲翻炒 | 加入米酒、鹽、糖、雞粉、胡椒粉，繼續翻炒 | 加少許熱水，慢慢把芹菜炒入味 | 淋入水澱粉勾芡 | 撒上蔥綠、辣椒片，淋上香油並翻炒均勻即可出鍋,芹菜炒魷魚。食材：魷魚乾半條，嫩薑1塊，辣椒2條，蒜頭5瓣，青蒜1支，芹菜1把，熱水50ml，米酒1大匙，香油1茶匙，太白粉1/2茶匙，鹽1/4茶匙，砂糖1/4茶匙，雞粉1/4茶匙，白胡椒粉1/4茶匙。做法：取半條乾魷魚，用剪刀逆紋剪成魷魚絲【逆紋切斷纖維，魷魚才不會捲起來】，取半條乾魷魚，用剪刀逆紋剪成魷魚絲【逆紋切斷纖維，魷魚才不會捲起來】，倒入熱水與少許白醋，泡發20分鐘，芹菜切段，嫩薑、蒜頭、蒜苗切片，蒜綠、紅辣椒切片，熱鍋下薑蒜芹菜，炒出香氣，下魷魚絲翻炒，加入米酒、鹽、糖、雞粉、胡椒粉，繼續翻炒，加少許熱水，慢慢把芹菜炒入味，淋入水澱粉勾芡，撒上蔥綠、辣椒片，淋上香油並翻炒均勻即可出鍋。,芹菜/474048_芹菜炒魷魚.jpg
473678,芹菜保存,https://icook.tw/recipes/473678,芹菜、保鮮袋,芹菜1大把 | 保鮮袋2個,整株芹菜洗淨瀝乾，可以攤放晾乾多餘水分 | 摘除芹菜葉，留下芹菜根 | 芹菜根切末 | 將切好的芹菜末裝在保鮮袋中，冷凍保存,芹菜保存。食材：芹菜1大把，保鮮袋2個。做法：整株芹菜洗淨瀝乾，可以攤放晾乾多餘水分，摘除芹菜葉，留下芹菜根，芹菜根切末，將切好的芹菜末裝在保鮮袋中，冷凍保存。,芹菜/473678_芹菜保存.jpg
473983,芹菜炒豆乾,https://icook.tw/recipes/473983,芹菜管、豆乾、醬油、紅蘿蔔、醬油膏、醋、鹽巴、蒜頭、辣椒,芹菜管1份 | 豆乾5片 | 紅蘿蔔1小塊 | 醬油1大匙 | 醬油膏1小匙 | 醋1小匙 | 鹽巴1小匙 | 蒜頭1大顆 | 辣椒1條,"①芹菜摘除葉子洗淨切斷
②紅蘿蔔外皮刨除切絲
③豆乾洗淨切條狀
④蒜頭、辣椒切自行喜愛的 | 取一鍋水煮滾後加入豆乾川燙一下後取出瀝乾水分
♥︎先川燙豆乾主要是去除表面豆乾表面雜味.油質
  後面烹調時間較快熟 | 豆乾瀝乾水後熱鍋倒入一些油小火慢慢翻炒煸乾取出 | 原鍋在倒一些油倒入蒜頭、辣椒爆香 | 爆香後放入芹菜及紅蘿蔔翻炒 | 翻炒差不到半熟加入調味料繼續翻炒 | 倒入豆乾翻炒拌勻慢慢收汁試一下味道即可裝盤","芹菜炒豆乾。食材：芹菜管1份，豆乾5片，紅蘿蔔1小塊，醬油1大匙，醬油膏1小匙，醋1小匙，鹽巴1小匙，蒜頭1大顆，辣椒1條。做法：①芹菜摘除葉子洗淨切斷
②紅蘿蔔外皮刨除切絲
③豆乾洗淨切條狀
④蒜頭、辣椒切自行喜愛的，取一鍋水煮滾後加入豆乾川燙一下後取出瀝乾水分
♥︎先川燙豆乾主要是去除表面豆乾表面雜味.油質
  後面烹調時間較快熟，豆乾瀝乾水後熱鍋倒入一些油小火慢慢翻炒煸乾取出，原鍋在倒一些油倒入蒜頭、辣椒爆香，爆香後放入芹菜及紅蘿蔔翻炒，翻炒差不到半熟加入調味料繼續翻炒，倒入豆乾翻炒拌勻慢慢收汁試一下味道即可裝盤。",芹菜/473983_芹菜炒豆乾.jpg
473076,芹菜炒花枝,https://icook.tw/recipes/473076,芹菜、花枝、蒜、辣椒、鹽、米酒、香油,芹菜1把 | 花枝1隻 | 蒜3瓣 | 辣椒0.5根 | 鹽2小匙 | 米酒2大匙 | 香油2小匙,芹菜梗稍微拍一下後切段、芹菜葉切碎、蒜切末、辣椒斜切備用 | 花枝切花刀後放入碗中，加入1湯匙米酒、1小匙鹽抓醃備用 | 熱鍋煮水，水滾後放入花枝川燙15秒後撈起 | 熱鍋下油，加入芹菜梗炒香 | 加入蒜末、花枝炒至上色 | 加入辣椒拌炒 | 加入1小匙鹽、1湯匙米酒、適量香油拌炒 | 起鍋灑上芹菜葉，完成,芹菜炒花枝。食材：芹菜1把，花枝1隻，蒜3瓣，辣椒0.5根，鹽2小匙，米酒2大匙，香油2小匙。做法：芹菜梗稍微拍一下後切段、芹菜葉切碎、蒜切末、辣椒斜切備用，花枝切花刀後放入碗中，加入1湯匙米酒、1小匙鹽抓醃備用，熱鍋煮水，水滾後放入花枝川燙15秒後撈起，熱鍋下油，加入芹菜梗炒香，加入蒜末、花枝炒至上色，加入辣椒拌炒，加入1小匙鹽、1湯匙米酒、適量香油拌炒，起鍋灑上芹菜葉，完成。,芹菜/473076_芹菜炒花枝.jpg
474963,芹菜豆腐 / 素家常菜,https://icook.tw/recipes/474963,芹菜、板豆腐、白胡椒粉、老薑片、鹽、酪梨油、黑胡椒粒,芹菜1把 | 板豆腐1塊 | 老薑片2片 | 酪梨油1/2大匙 | 白胡椒粉1/4小匙 | 鹽1/3小匙 | 黑胡椒粒1/3小匙,"●芹菜剪掉根部鬍鬚跟葉子，先沖洗過換水兩次再剪食指長段泡水換水兩次瀝乾。
●板豆腐剪開後倒掉水切塊。
●老薑刷洗乾淨切片再切絲。 | ●鍋小火加1 | 2大匙油，煎豆腐需10-12分鐘，用耐高溫酪梨油Omega-9營養也穩定，豆腐入鍋前用廚房紙巾每個面都拭乾再下鍋，都擺好後設定計時器蓋鍋煎5分鐘後，打開鍋蓋用筷子幫豆腐翻面，豆腐共煎10分鐘各面都煎金黃。※最後開鍋煎這樣豆腐才會酥，每面煎的時間用眼睛判斷煎的狀況金黃就翻面。 | ●煎香的豆腐，等待芹菜熟成的時間，撒上豆腐調味料提味，讓沒味道的豆腐有鹽酥雞感。 | ●用煎豆腐原鍋原油放(薑絲)爆香，如果跟鍋具感情已不錯很熟悉，安全情況下可把鍋傾斜架在瓦斯爐上集中油脂能快速的煸出薑香。 | ●聞到薑香氣後，加(芹菜)拌炒後蓋鍋蒸炒約1分鐘，1分鐘時間到打開鍋蓋翻炒一下，芹菜已變清透再把豆腐倒回鍋中翻拌讓味道融合，熄火，完成。 | 姐不是吃素的，這句有霸氣，姐喜歡天然素。","芹菜豆腐 / 素家常菜。食材：芹菜1把，板豆腐1塊，老薑片2片，酪梨油1/2大匙，白胡椒粉1/4小匙，鹽1/3小匙，黑胡椒粒1/3小匙。做法：●芹菜剪掉根部鬍鬚跟葉子，先沖洗過換水兩次再剪食指長段泡水換水兩次瀝乾。
●板豆腐剪開後倒掉水切塊。
●老薑刷洗乾淨切片再切絲。，●鍋小火加1，2大匙油，煎豆腐需10-12分鐘，用耐高溫酪梨油Omega-9營養也穩定，豆腐入鍋前用廚房紙巾每個面都拭乾再下鍋，都擺好後設定計時器蓋鍋煎5分鐘後，打開鍋蓋用筷子幫豆腐翻面，豆腐共煎10分鐘各面都煎金黃。※最後開鍋煎這樣豆腐才會酥，每面煎的時間用眼睛判斷煎的狀況金黃就翻面。，●煎香的豆腐，等待芹菜熟成的時間，撒上豆腐調味料提味，讓沒味道的豆腐有鹽酥雞感。，●用煎豆腐原鍋原油放(薑絲)爆香，如果跟鍋具感情已不錯很熟悉，安全情況下可把鍋傾斜架在瓦斯爐上集中油脂能快速的煸出薑香。，●聞到薑香氣後，加(芹菜)拌炒後蓋鍋蒸炒約1分鐘，1分鐘時間到打開鍋蓋翻炒一下，芹菜已變清透再把豆腐倒回鍋中翻拌讓味道融合，熄火，完成。，姐不是吃素的，這句有霸氣，姐喜歡天然素。。",芹菜/474963_芹菜豆腐___素家常菜.jpg
