id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479770,苦瓜鑲肉(苦瓜丸),https://icook.tw/recipes/479770,苦瓜、絞肉、紅蘿蔔、香菇、杏鮑菇、蔥末、鹹蛋、醬油、韓國香油、米酒(清酒)、塩巴,苦瓜1條 | 絞肉約500克 | 紅蘿蔔適量 | 香菇適量 | 杏鮑菇適量 | 蔥末適量 | 鹹蛋1顆 | 醬油1小茶匙 | 韓國香油1小茶匙 | 米酒(清酒)1小茶匙 | 塩巴適量,"苦瓜切圈段
用湯匙把中間籽.膜都去除 | 杏鮑菇.香菇.蔥.紅蘿蔔都切丁
鹹蛋切碎 | 絞肉先加入塩巴後把肉甩把的有點黏性 | 步驟3完成後
加入杏鮑菇丁.香菇丁.紅蘿蔔丁
拌均後加入蔥末.碎鹹蛋
陸續加入香油.米酒.醬油
再度攪拌到有點黏狀即可
(也有人會在這步加新鮮蛋黃) | 把攪拌完的肉鑲入苦瓜中
我自己會塞緊一點
就不用再多用太白粉封邊 | 放入電鍋蒸熟就完成啦~
可直接吃、淋個醬吃、煮湯吃
想怎麼吃就怎麼吃~~","苦瓜鑲肉(苦瓜丸)。食材：苦瓜1條，絞肉約500克，紅蘿蔔適量，香菇適量，杏鮑菇適量，蔥末適量，鹹蛋1顆，醬油1小茶匙，韓國香油1小茶匙，米酒(清酒)1小茶匙，塩巴適量。做法：苦瓜切圈段
用湯匙把中間籽.膜都去除，杏鮑菇.香菇.蔥.紅蘿蔔都切丁
鹹蛋切碎，絞肉先加入塩巴後把肉甩把的有點黏性，步驟3完成後
加入杏鮑菇丁.香菇丁.紅蘿蔔丁
拌均後加入蔥末.碎鹹蛋
陸續加入香油.米酒.醬油
再度攪拌到有點黏狀即可
(也有人會在這步加新鮮蛋黃)，把攪拌完的肉鑲入苦瓜中
我自己會塞緊一點
就不用再多用太白粉封邊，放入電鍋蒸熟就完成啦~
可直接吃、淋個醬吃、煮湯吃
想怎麼吃就怎麼吃~~。",苦瓜/479770_苦瓜鑲肉(苦瓜丸).jpg
479263,金沙苦瓜,https://icook.tw/recipes/479263,苦瓜、鹹蛋、蒜頭,苦瓜1-1.5條 | 鹹蛋1-2顆 | 蒜頭2-3瓣,"苦瓜切片(3-5mm)
鹹蛋黃先挖出切碎
鹹蛋白也切碎蒜頭也切碎末 | 鹹蛋黃放入加熱的油鍋裡
拌炒到微起泡
再放鹹蛋白碎
接著放入蒜頭末 | (無圖)
把苦瓜倒入金沙(鹹蛋)醬裡拌炒均勻
即可起鍋

完成！","金沙苦瓜。食材：苦瓜1-1.5條，鹹蛋1-2顆，蒜頭2-3瓣。做法：苦瓜切片(3-5mm)
鹹蛋黃先挖出切碎
鹹蛋白也切碎蒜頭也切碎末，鹹蛋黃放入加熱的油鍋裡
拌炒到微起泡
再放鹹蛋白碎
接著放入蒜頭末，(無圖)
把苦瓜倒入金沙(鹹蛋)醬裡拌炒均勻
即可起鍋

完成！。",苦瓜/479263_金沙苦瓜.jpg
478502,苦瓜鹹蛋,https://icook.tw/recipes/478502,苦瓜、鹹蛋、蒜頭、鹽、糖,苦瓜2條 | 鹹蛋2顆 | 蒜頭3瓣 | 鹽適量 | 糖1小撮,"苦瓜切半挖去囊籽後切片備用。
鹹蛋蛋黃與蛋白分離、蒜頭切碎備用。 | 煮一鍋水，水滾後放入切片的苦瓜汆燙1分鐘後撈起瀝乾備用。 | 鍋內加入適量油，放入鹹蛋黃炒至冒泡再加入蒜末爆香。 | 加入苦瓜及蛋白後轉大大翻炒，加入適量鹽、糖調味即可起鍋。 | 盛盤，開動🍽️","苦瓜鹹蛋。食材：苦瓜2條，鹹蛋2顆，蒜頭3瓣，鹽適量，糖1小撮。做法：苦瓜切半挖去囊籽後切片備用。
鹹蛋蛋黃與蛋白分離、蒜頭切碎備用。，煮一鍋水，水滾後放入切片的苦瓜汆燙1分鐘後撈起瀝乾備用。，鍋內加入適量油，放入鹹蛋黃炒至冒泡再加入蒜末爆香。，加入苦瓜及蛋白後轉大大翻炒，加入適量鹽、糖調味即可起鍋。，盛盤，開動🍽️。",苦瓜/478502_苦瓜鹹蛋.jpg
476898,苦瓜炒蛋,https://icook.tw/recipes/476898,苦瓜、蛋,苦瓜250 | 蛋4顆,先把苦瓜炒軟，我會炒到透明的樣子。 | 加蛋液，等蛋熟就可以起鍋了。,苦瓜炒蛋。食材：苦瓜250，蛋4顆。做法：先把苦瓜炒軟，我會炒到透明的樣子。，加蛋液，等蛋熟就可以起鍋了。。,苦瓜/476898_苦瓜炒蛋.jpg
479412,鳳梨苦瓜雞湯,https://icook.tw/recipes/479412,苦瓜、馬師傅蔭鳳梨、香菇、雞腿肉、米酒、調味粉,苦瓜1條 | 馬師傅蔭鳳梨1瓶 | 香菇8朵 | 雞腿肉400克 | 米酒3小匙 | 調味粉3小匙,苦瓜切塊，香菇對半切 | 用薑、酒熱水川燙雞腿肉 | 倒掉川燙的髒水，把雞肉用水洗乾淨 | 再加入蔭鳳梨的玻璃瓶4瓶過濾水，先將水煮滾 | 再放入苦瓜、香菇，一起燉煮，可以調味一下，大約燉煮20分鐘即可！,鳳梨苦瓜雞湯。食材：苦瓜1條，馬師傅蔭鳳梨1瓶，香菇8朵，雞腿肉400克，米酒3小匙，調味粉3小匙。做法：苦瓜切塊，香菇對半切，用薑、酒熱水川燙雞腿肉，倒掉川燙的髒水，把雞肉用水洗乾淨，再加入蔭鳳梨的玻璃瓶4瓶過濾水，先將水煮滾，再放入苦瓜、香菇，一起燉煮，可以調味一下，大約燉煮20分鐘即可！。,苦瓜/479412_鳳梨苦瓜雞湯.jpg
478737,豆鼓苦瓜,https://icook.tw/recipes/478737,苦瓜、醬油、豆鼓、糖,苦瓜1 | 醬油1大匙 | 豆鼓1小匙 | 糖2大匙,"苦瓜燙軟熟了之後撈起
鍋中下油、醬油、糖、豆鼓煮滾（加點水避免燒鍋）放苦瓜讓他收汁試味道即可裝盤","豆鼓苦瓜。食材：苦瓜1，醬油1大匙，豆鼓1小匙，糖2大匙。做法：苦瓜燙軟熟了之後撈起
鍋中下油、醬油、糖、豆鼓煮滾（加點水避免燒鍋）放苦瓜讓他收汁試味道即可裝盤。",苦瓜/478737_豆鼓苦瓜.jpg
477824,梅漬涼拌苦瓜,https://icook.tw/recipes/477824,苦瓜、糖、糯米醋、Q梅或是話梅,苦瓜1條 | 糖1大匙 | 糯米醋1大匙 | Q梅或是話梅2顆,苦瓜洗淨後，視大小切成3-4等份長條狀，用湯匙刮除籽和白囊，越乾淨越好，白囊是苦瓜苦味的來源 | 苦瓜切成薄片 | 水滾燙一分鐘左右，幫助去除苦味，但不宜燙過久，才能保持口感 | 撈起後冰鎮備用 | 將苦瓜瀝乾後，加入糖、醋及梅子，搖均勻後放入冰箱，醃漬一天後最入味，即可食用 | 因為用梅子醬醃漬，醃到隔天通常原本的翠綠色就會消失，但不影響食用，反而更入味好吃,梅漬涼拌苦瓜。食材：苦瓜1條，糖1大匙，糯米醋1大匙，Q梅或是話梅2顆。做法：苦瓜洗淨後，視大小切成3-4等份長條狀，用湯匙刮除籽和白囊，越乾淨越好，白囊是苦瓜苦味的來源，苦瓜切成薄片，水滾燙一分鐘左右，幫助去除苦味，但不宜燙過久，才能保持口感，撈起後冰鎮備用，將苦瓜瀝乾後，加入糖、醋及梅子，搖均勻後放入冰箱，醃漬一天後最入味，即可食用，因為用梅子醬醃漬，醃到隔天通常原本的翠綠色就會消失，但不影響食用，反而更入味好吃。,苦瓜/477824_梅漬涼拌苦瓜.jpg
478310,涼拌苦瓜鹹蛋,https://icook.tw/recipes/478310,苦瓜、鹹蛋、味霖或少糖、蒜頭切末、韓式香油、蔥花、橄欖油或植物油、辣椒末,苦瓜1條 | 鹹蛋1粒 | 蒜頭切末3瓣 | 蔥花1根 | 辣椒末1條 | 味霖或少糖1茶匙 | 韓式香油1小匙 | 橄欖油或植物油1大匙,"準備食材 | 苦瓜對切
用湯匙或刨刀尾端刮除苦瓜籽和苦瓜肉中間的白色海綿囊
並且切成薄片 | 燒一鍋熱水、放入鹽與苦瓜 | 水一沸騰立即撈出 | 泡入冷開水中降溫 | 青蔥略燙20秒左右即可撈出 | 青蔥撈出後與苦瓜一起冰鎮
存放於冰箱
1-2個鐘頭 | 將蔥、蒜、辣椒切細末 | 鹹鴨蛋對半切開
用湯匙挖出鹹蛋黃與蛋白
壓成泥狀
加入以切好的辛香料
並且將調味加入拌勻 | 將苦瓜從冰箱移出來
瀝乾水分
加入鴨蛋泥拌勻即可盛盤 | 冰涼、爽脆可口快速上桌","涼拌苦瓜鹹蛋。食材：苦瓜1條，鹹蛋1粒，蒜頭切末3瓣，蔥花1根，辣椒末1條，味霖或少糖1茶匙，韓式香油1小匙，橄欖油或植物油1大匙。做法：準備食材，苦瓜對切
用湯匙或刨刀尾端刮除苦瓜籽和苦瓜肉中間的白色海綿囊
並且切成薄片，燒一鍋熱水、放入鹽與苦瓜，水一沸騰立即撈出，泡入冷開水中降溫，青蔥略燙20秒左右即可撈出，青蔥撈出後與苦瓜一起冰鎮
存放於冰箱
1-2個鐘頭，將蔥、蒜、辣椒切細末，鹹鴨蛋對半切開
用湯匙挖出鹹蛋黃與蛋白
壓成泥狀
加入以切好的辛香料
並且將調味加入拌勻，將苦瓜從冰箱移出來
瀝乾水分
加入鴨蛋泥拌勻即可盛盤，冰涼、爽脆可口快速上桌。",苦瓜/478310_涼拌苦瓜鹹蛋.jpg
478463,家常炒苦瓜,https://icook.tw/recipes/478463,苦瓜、梅干菜、乾香菇、薑、醬油、醬油膏、糖、水,苦瓜1條 | 梅干菜1小碗 | 乾香菇6朵 | 薑1小塊 | 醬油1小匙 | 醬油膏1小匙 | 糖1小茶匙 | 水1小碗,苦瓜切片、梅干菜和乾香菇先泡水備用。薑也切絲。 | 熱油鍋先放薑絲和切片的香菇炒一下。 | 放苦瓜片下鍋翻炒一下。 | 泡軟洗淨後的梅干菜也下鍋。 | 放入所有的調味料後，加入一小碗的開水，翻炒一下後，蓋上鍋蓋，小火燜煮10分鐘。 | 打開鍋蓋收汁一下，就可以吃囉。,家常炒苦瓜。食材：苦瓜1條，梅干菜1小碗，乾香菇6朵，薑1小塊，醬油1小匙，醬油膏1小匙，糖1小茶匙，水1小碗。做法：苦瓜切片、梅干菜和乾香菇先泡水備用。薑也切絲。，熱油鍋先放薑絲和切片的香菇炒一下。，放苦瓜片下鍋翻炒一下。，泡軟洗淨後的梅干菜也下鍋。，放入所有的調味料後，加入一小碗的開水，翻炒一下後，蓋上鍋蓋，小火燜煮10分鐘。，打開鍋蓋收汁一下，就可以吃囉。。,苦瓜/478463_家常炒苦瓜.jpg
477321,豆腐苦瓜封,https://icook.tw/recipes/477321,白玉苦瓜、板豆腐、香菇、蒜頭、玉米罐頭、紅蔥頭、五香粉、青蔥、玉米粉、黑豆豉、小魚乾、醬油、水、黑糖、米酒,白玉苦瓜1條 （約350克） | 板豆腐1盒（300克） | 香菇4朵 | 玉米罐頭0.5罐（100克） | 五香粉適量 | 玉米粉適量 | 蒜頭1瓣 | 紅蔥頭1瓣 | 青蔥1根 | 黑豆豉1小把 | 小魚乾1小把 | 醬油40毫升 | 水400毫升 | 黑糖5克 | 米酒15毫升,"1.苦瓜輪切，挖除囊跟籽。用小湯匙比較好挖。
2. 起一鍋滾水，加入5克糖，川燙苦瓜1-2分鐘，撈出備用。 | 1. 板豆腐拿重物壓20分鐘，壓出水分。
2.香菇切小丁；蒜頭、紅蔥頭切碎；青蔥切蔥花，分成蔥白蔥綠。
3. 小魚乾流水沖洗乾淨；黑豆豉泡水10分鐘，瀝乾備用。 | 1. 將板豆腐搗碎，拌入香菇、玉米粒、五香粉、玉米粉攪拌均勻。玉米粉幫助內餡不易散掉。
2. 取一盤子，先灑上一層玉米粉。接著放上苦瓜，在苦瓜內壁也抹上玉米粉。
3. 把餡料填入苦瓜中壓實。
4. 表面再灑上一層玉米粉。
5. 熱鍋熱油，苦瓜封煎到兩面上色，取出備用。餡料多出來，加少許鹽，一同煎煮。 | 加入蒜頭炒香，依序加入紅蔥頭、蔥白、小魚乾、黑豆豉，每個都要炒出香氣再加入下一項。 | 加入醬油、米酒、黑糖，放入苦瓜封，小火煮15分鐘。 | 翻面，煮5分鐘，差不多收汁。 | 撒上蔥花，完成。","豆腐苦瓜封。食材：白玉苦瓜1條 （約350克），板豆腐1盒（300克），香菇4朵，玉米罐頭0.5罐（100克），五香粉適量，玉米粉適量，蒜頭1瓣，紅蔥頭1瓣，青蔥1根，黑豆豉1小把，小魚乾1小把，醬油40毫升，水400毫升，黑糖5克，米酒15毫升。做法：1.苦瓜輪切，挖除囊跟籽。用小湯匙比較好挖。
2. 起一鍋滾水，加入5克糖，川燙苦瓜1-2分鐘，撈出備用。，1. 板豆腐拿重物壓20分鐘，壓出水分。
2.香菇切小丁；蒜頭、紅蔥頭切碎；青蔥切蔥花，分成蔥白蔥綠。
3. 小魚乾流水沖洗乾淨；黑豆豉泡水10分鐘，瀝乾備用。，1. 將板豆腐搗碎，拌入香菇、玉米粒、五香粉、玉米粉攪拌均勻。玉米粉幫助內餡不易散掉。
2. 取一盤子，先灑上一層玉米粉。接著放上苦瓜，在苦瓜內壁也抹上玉米粉。
3. 把餡料填入苦瓜中壓實。
4. 表面再灑上一層玉米粉。
5. 熱鍋熱油，苦瓜封煎到兩面上色，取出備用。餡料多出來，加少許鹽，一同煎煮。，加入蒜頭炒香，依序加入紅蔥頭、蔥白、小魚乾、黑豆豉，每個都要炒出香氣再加入下一項。，加入醬油、米酒、黑糖，放入苦瓜封，小火煮15分鐘。，翻面，煮5分鐘，差不多收汁。，撒上蔥花，完成。。",苦瓜/477321_豆腐苦瓜封.jpg
