# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 25
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 199 組相似食譜
# 門檻 0.2: 66 組相似食譜
# 門檻 0.3: 25 組相似食譜
# 門檻 0.4: 9 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
479263,金沙苦瓜,478502,苦瓜鹹蛋,1.0
478737,豆鼓苦瓜,469539,苦瓜排骨湯（電鍋）,0.538
479263,金沙苦瓜,477009,青苦瓜炒鹹蛋,0.523
478502,苦瓜鹹蛋,477009,青苦瓜炒鹹蛋,0.523
479263,金沙苦瓜,479437,鹹蛋苦瓜—新手0️⃣失敗,0.43
478502,苦瓜鹹蛋,479437,鹹蛋苦瓜—新手0️⃣失敗,0.43
479437,鹹蛋苦瓜—新手0️⃣失敗,469305,醬油悶苦瓜,0.43
476996,山苦瓜炒蛋,477284,日式苦瓜沙拉,0.424
478830,十分鐘上菜-豆鼓炒苦瓜,462941,鹹蛋苦瓜,0.417
479263,金沙苦瓜,476898,苦瓜炒蛋,0.39
478502,苦瓜鹹蛋,476898,苦瓜炒蛋,0.39
478759,懶人菜譜-滷苦瓜,469305,醬油悶苦瓜,0.375
478463,家常炒苦瓜,475259,豆豉香菇燜苦瓜,0.355
476898,苦瓜炒蛋,476966,苦瓜封肉,0.348
476898,苦瓜炒蛋,477677,丁香豆鼓苦瓜,0.348
478310,涼拌苦瓜鹹蛋,479437,鹹蛋苦瓜—新手0️⃣失敗,0.348
466615,滷苦瓜,462941,鹹蛋苦瓜,0.346
476898,苦瓜炒蛋,478737,豆鼓苦瓜,0.341
477321,豆腐苦瓜封,466615,滷苦瓜,0.327
478632,十分鐘上菜-鹹蛋炒苦瓜,462941,鹹蛋苦瓜,0.326
478830,十分鐘上菜-豆鼓炒苦瓜,466615,滷苦瓜,0.319
476996,山苦瓜炒蛋,463975,柴魚燒山苦瓜炒蛋,0.314
479263,金沙苦瓜,478830,十分鐘上菜-豆鼓炒苦瓜,0.309
478502,苦瓜鹹蛋,478830,十分鐘上菜-豆鼓炒苦瓜,0.309
479231,梅釀三色苦瓜,479230,梅釀綠苦瓜,0.301
