id,name,document
479045,肉末茄子,茄子 瘦豬絞肉 米酒 蔥 醬油 大蒜 白胡椒 九層塔 蠔油 糖
478488,炒茄子,茄子圓形 九層塔 蒜頭 香菇素蠔油 白醋 糖 米酒頭 味醂
477313,醬燒茄子,茄子 醬油 醬油膏 味霖
479378,清蒸茄子(純素),茄子
474067,涼拌茄子,茄子 蒜頭 九層塔或香菜 辣椒 糖 烏醋 醬油 白醋避免茄子氧化用
478439,三杯茄子寶寶粥,茄子切段 冷凍玉米粒無鹽 九層塔葉 絞肉豬
462261,茄子蛋包豆腐,板豆腐 茄子 豆瓣醬 雞蛋 雞粉 糖 醬油
471538,煙燻肉桂茄子咖哩,黑芥末子 孜然 洋蔥 大蒜 肉豆蔻粉 茄子 鷹嘴豆罐頭 醋 雞湯塊 肉桂棒
473830,蠔油茄子雞丁,蒜頭 茄子 雞丁 太白粉 蠔油
472415,茄子義大利麵,茄子 義大利麵 洋蔥碎 義大利麵醬 義式香料 黑胡椒粉
476300,香菇雞蛋燒茄子（蛋素）,鮮香菇 茄子 香菇調味露 雞蛋 津輕醬油 白芝麻 日本芝麻油 香菜 芹菜
477339,《醬燒塔香茄子豆腐》,李錦記零添加頭道原釀醬油 蛋豆腐 茄子 大蒜 九層塔 生辣椒
466277,辣豆瓣茄子炒豆乾,茄子 豆乾 辣豆瓣醬 醬油 九層塔 糖 蒜末
467320,茄子炒蛋,雞蛋 茄子 茄汁 蒜蓉 日式醬油 日本酒 糖
472299,鹹蛋白煮茄子,日本茄子 鹹蛋白末 蒜碎 辣椒 酒 味霖 白米醋 自製檸檬果醬 昆布柴魚高湯
472102,蒜蓉蒸茄子,茄子 蒜頭 指天椒 青蔥 生抽 鎮江醋 糖 炸乾蔥
465841,三杯茄子,茄子 蒜片 蔬菜油約半杯 薑絲 胡麻油 紅辣椒 切片 醬油膏 九層塔 米酒 糖
463991,茄子肉餅,茄子 洋蔥小 紅蘿蔔 豬絞肉 醬油
473882,懶人菜譜-茄子番茄炒蛋,茄子 番茄 醬油 雞蛋 醬油膏 九層塔 烹大師 蒜末 糖冰糖
477689,長豆炒茄子 (端午應景)~簡單隨手做,茄子 長豆 蒜頭 塩 雞晶粉
459722,川燙蒜蓉醋醬涼拌茄子,茄子 蒜末 蔥末 醬油 蠔油 烏醋 味醂
466302,花椒日本水茄子,日本水茄子可用任何茄子 蒜碎 辣椒 米醋 花椒粉 昆布柴魚高湯
466677,酸辣涼拌燒茄子,茄子 青龍椒 皮蛋 蒜末 辣椒切圈 蔥花 醬油 蠔油 糖 檸檬汁
469493,土豆茄子燒豆角,馬鈴薯 醜豆 八角 茄子 乾辣椒 黃豆醬 小蔥 醬油 清水 老薑 蠔油 蒜頭 老抽 雞粉 白胡椒粉 砂糖
455190,魚醬茄子,茄子 蛋 廣達香魚醬 蔥花
462958,茄子粉絲煲,茄子 粉絲 絞肉 蒜末 蔥白 蔥綠 辣椒 醬油 米酒 砂糖
462783,塔香茄子,茄子 九層塔
462791,蒜蓉茄子,茄子 蒜末 辣椒末 醬油膏 醬油 楓康吳羽保鮮膜
459184,茄子蛋,茄子 雞蛋 黑麻油 蒜片 米酒 味精 烏醋
467720,茄子起司牛肉卷,牛肉片 茄子 蠔油或醬油膏 起司片 糖 熟粉
