id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479045,肉末茄子,https://icook.tw/recipes/479045,茄子、瘦豬絞肉、米酒、蔥、醬油、大蒜、白胡椒、九層塔、蠔油、糖,茄子4條 | 瘦豬絞肉200克 | 蔥2根 | 大蒜5瓣 | 九層塔1把 | 米酒1大匙 | 醬油2大匙 | 白胡椒1小匙 | 蠔油1大匙 | 糖1大匙,"備料茄子一開四蔥切丁分蔥白蔥綠九層塔摘葉
大蒜切丁 | 熱鍋熱油茄子皮朝下擺入茄子太多可以分兩批 皮上色後取出 | 下豬肉 炒至半熟 | 下蔥白蒜末 然後要把水分炒乾 | 下調味料 依序下 米酒 醬油 糖 蠔油 白胡椒 | 加入茄子拌炒一分鐘 | 下青蔥跟九層塔半炒 | 好吃肉末茄子就完成了！","肉末茄子。食材：茄子4條，瘦豬絞肉200克，蔥2根，大蒜5瓣，九層塔1把，米酒1大匙，醬油2大匙，白胡椒1小匙，蠔油1大匙，糖1大匙。做法：備料茄子一開四蔥切丁分蔥白蔥綠九層塔摘葉
大蒜切丁，熱鍋熱油茄子皮朝下擺入茄子太多可以分兩批 皮上色後取出，下豬肉 炒至半熟，下蔥白蒜末 然後要把水分炒乾，下調味料 依序下 米酒 醬油 糖 蠔油 白胡椒，加入茄子拌炒一分鐘，下青蔥跟九層塔半炒，好吃肉末茄子就完成了！。",茄子/479045_肉末茄子.jpg
478488,炒茄子,https://icook.tw/recipes/478488,茄子（圓形）、九層塔、蒜頭、香菇素蠔油、白醋、香油、糖、米酒頭、味醂,茄子（圓形）3顆 | 九層塔適量 | 蒜頭適量 | 香菇素蠔油適量 | 白醋一小匙 | 香油少許 | 糖少許 | 米酒頭少許 | 味醂少許,茄子去頭清洗乾淨切成塊狀，備用。 | 九層塔清洗乾淨取葉子。 | 蒜頭用刀子拍一下，撥開外皮切成蒜末。 | 鍋子先熱鍋，倒入油先爆香蒜頭放入茄子拌炒。 | 加入清水，倒入適量的香菇素蠔油、少許香油、味醂、糖和一小匙白醋，最後倒入少許的米酒頭拌炒均勻，等食材全部熟後完成。,炒茄子。食材：茄子（圓形）3顆，九層塔適量，蒜頭適量，香菇素蠔油適量，白醋一小匙，香油少許，糖少許，米酒頭少許，味醂少許。做法：茄子去頭清洗乾淨切成塊狀，備用。，九層塔清洗乾淨取葉子。，蒜頭用刀子拍一下，撥開外皮切成蒜末。，鍋子先熱鍋，倒入油先爆香蒜頭放入茄子拌炒。，加入清水，倒入適量的香菇素蠔油、少許香油、味醂、糖和一小匙白醋，最後倒入少許的米酒頭拌炒均勻，等食材全部熟後完成。。,茄子/478488_炒茄子.jpg
477313,醬燒茄子,https://icook.tw/recipes/477313,茄子、醬油、醬油膏、味霖、鹽巴,茄子1條 | 醬油2湯匙 | 醬油膏1湯匙 | 味霖2湯匙 | 鹽巴少許,"把茄子去頭，切斷後再對切！
我把皮的部分再斜切，但也可以不要喔！ | 兩面煎到焦黃！ | 放醬汁蓋蓋子讓他悶煮一下！（也可以另外勾芡，讓醬汁巴在茄子上喔！）
就可以起鍋！非常好吃！","醬燒茄子。食材：茄子1條，醬油2湯匙，醬油膏1湯匙，味霖2湯匙，鹽巴少許。做法：把茄子去頭，切斷後再對切！
我把皮的部分再斜切，但也可以不要喔！，兩面煎到焦黃！，放醬汁蓋蓋子讓他悶煮一下！（也可以另外勾芡，讓醬汁巴在茄子上喔！）
就可以起鍋！非常好吃！。",茄子/477313_醬燒茄子.jpg
479378,清蒸茄子(純素),https://icook.tw/recipes/479378,茄子,茄子2條,"香菜辣椒醬作法請見https: | icook.tw | recipes | 479278 | 1.鍋中擺入一個蒸盤，然後將水燒至大滾
2.茄子洗淨，切成大塊，碼放盤中【盡量攤開，不要重疊】 | 戴上手套，將茄子放上蒸盤【小心被蒸氣燙傷】 | 大火蒸5分鐘即可取出 | 可以搭配薑泥+烏醋，或是香菜辣椒醬享用","清蒸茄子(純素)。食材：茄子2條。做法：香菜辣椒醬作法請見https:，icook.tw，recipes，479278，1.鍋中擺入一個蒸盤，然後將水燒至大滾
2.茄子洗淨，切成大塊，碼放盤中【盡量攤開，不要重疊】，戴上手套，將茄子放上蒸盤【小心被蒸氣燙傷】，大火蒸5分鐘即可取出，可以搭配薑泥+烏醋，或是香菜辣椒醬享用。",茄子/479378_清蒸茄子(純素).jpg
474067,涼拌茄子,https://icook.tw/recipes/474067,茄子、蒜頭、九層塔或香菜、辣椒、糖、烏醋、醬油、水、香油、白醋（避免茄子氧化用）,茄子3條 | 蒜頭3瓣 | 九層塔或香菜1把 | 辣椒1小條 | 糖1茶匙 | 烏醋1大匙 | 醬油2大匙 | 水1大匙 | 香油1小匙 | 白醋（避免茄子氧化用）1小匙,茄子切段（或再直剖切開），在滾水中滴幾滴白醋，儘量將茄子壓入水面下煮，可以避免氧化維持漂亮的紫色，蓋鍋蓋約煮3分鐘。 | 茄子撈起後泡冰水，此時準備醬料，將所有材料切末拌勻，淋在茄子上即可享用 | 可以一次多做一些，夏日炎熱不開伙，直接從冰箱取出即可食用,涼拌茄子。食材：茄子3條，蒜頭3瓣，九層塔或香菜1把，辣椒1小條，糖1茶匙，烏醋1大匙，醬油2大匙，水1大匙，香油1小匙，白醋（避免茄子氧化用）1小匙。做法：茄子切段（或再直剖切開），在滾水中滴幾滴白醋，儘量將茄子壓入水面下煮，可以避免氧化維持漂亮的紫色，蓋鍋蓋約煮3分鐘。，茄子撈起後泡冰水，此時準備醬料，將所有材料切末拌勻，淋在茄子上即可享用，可以一次多做一些，夏日炎熱不開伙，直接從冰箱取出即可食用。,茄子/474067_涼拌茄子.jpg
478439,三杯茄子寶寶粥,https://icook.tw/recipes/478439,茄子切段、冷凍玉米粒無鹽、九層塔葉、絞肉豬,茄子切段1根 | 冷凍玉米粒無鹽5大匙 | 九層塔葉4葉 | 絞肉豬500克,橄欖油炒香豬絞肉 | 剩下食材一起丟進去，加半杯馬克杯的水，稍微悶一下 | 最後將九層塔再丟進去 這樣就完成了 | 將煮好的這些，果汁機打成泥，與好的白飯（偏軟）一起拌勻，之後盛起來即可,三杯茄子寶寶粥。食材：茄子切段1根，冷凍玉米粒無鹽5大匙，九層塔葉4葉，絞肉豬500克。做法：橄欖油炒香豬絞肉，剩下食材一起丟進去，加半杯馬克杯的水，稍微悶一下，最後將九層塔再丟進去 這樣就完成了，將煮好的這些，果汁機打成泥，與好的白飯（偏軟）一起拌勻，之後盛起來即可。,茄子/478439_三杯茄子寶寶粥.jpg
462261,茄子蛋包豆腐,https://icook.tw/recipes/462261,板豆腐、茄子、豆瓣醬、雞蛋、雞粉、糖、醬油,板豆腐1塊 | 茄子1條 | 雞蛋4顆 | 豆瓣醬1大匙 | 雞粉1茶匙 | 糖1小匙 | 醬油1大匙,將板豆腐切丁、茄子切成小塊狀，泡水備用 | 起油鍋將板豆腐煎至兩面金黃， | 將豆瓣醬、醬油、雞粉、糖、適量的水拌勻後加入豆腐中煮熟 | 加入茄子塊翻炒至熟透，打散雞蛋後倒入煮熟的豆腐和茄子中即完成,茄子蛋包豆腐。食材：板豆腐1塊，茄子1條，雞蛋4顆，豆瓣醬1大匙，雞粉1茶匙，糖1小匙，醬油1大匙。做法：將板豆腐切丁、茄子切成小塊狀，泡水備用，起油鍋將板豆腐煎至兩面金黃，，將豆瓣醬、醬油、雞粉、糖、適量的水拌勻後加入豆腐中煮熟，加入茄子塊翻炒至熟透，打散雞蛋後倒入煮熟的豆腐和茄子中即完成。,茄子/462261_茄子蛋包豆腐.jpg
471538,煙燻肉桂茄子咖哩,https://icook.tw/recipes/471538,黑芥末子、孜然、洋蔥、大蒜、肉豆蔻粉、茄子、鷹嘴豆罐頭、醋、水、雞湯塊、肉桂棒、鹽,黑芥末子1小匙 | 孜然1小匙 | 洋蔥1顆 | 大蒜4瓣 | 肉豆蔻粉1/2小匙 | 茄子2根 | 鷹嘴豆罐頭1罐 | 醋1大匙 | 水300ml | 雞湯塊1/2塊 | 肉桂棒1根 | 鹽如果需要,材料如圖。 | 這些是這次使用到的香料，由左至右分別是：肉豆蔻粉、黑芥末籽、孜然和肉桂棒。 | 切菜：茄子切小塊、大蒜和洋蔥切碎備用。 | 熱鍋加少許油，放入孜然和黑芥末子，爆香一下。 | 接著加入洋蔥和大蒜拌炒3分鐘。 | 加入肉豆蔻粉，拌勻。 | 加入茄子、醋、水、高湯塊和鷹嘴豆罐頭。 | 再來是點仙女棒做法的部分（欸不是）：在鍋子中間插一根點燃的肉桂棒，先許願讓他變成美味的料理，再蓋上蓋子燉煮20分鐘，最後視個人口味用鹽調味。 | 成品圖。,煙燻肉桂茄子咖哩。食材：黑芥末子1小匙，孜然1小匙，洋蔥1顆，大蒜4瓣，肉豆蔻粉1/2小匙，茄子2根，鷹嘴豆罐頭1罐，醋1大匙，水300ml，雞湯塊1/2塊，肉桂棒1根，鹽如果需要。做法：材料如圖。，這些是這次使用到的香料，由左至右分別是：肉豆蔻粉、黑芥末籽、孜然和肉桂棒。，切菜：茄子切小塊、大蒜和洋蔥切碎備用。，熱鍋加少許油，放入孜然和黑芥末子，爆香一下。，接著加入洋蔥和大蒜拌炒3分鐘。，加入肉豆蔻粉，拌勻。，加入茄子、醋、水、高湯塊和鷹嘴豆罐頭。，再來是點仙女棒做法的部分（欸不是）：在鍋子中間插一根點燃的肉桂棒，先許願讓他變成美味的料理，再蓋上蓋子燉煮20分鐘，最後視個人口味用鹽調味。，成品圖。。,茄子/471538_煙燻肉桂茄子咖哩.jpg
473830,蠔油茄子雞丁,https://icook.tw/recipes/473830,蒜頭、茄子、雞丁、太白粉、蠔油、鹽,蒜頭適量 | 茄子2根 | 雞丁適量 | 太白粉適量 | 蠔油適量 | 鹽鹽,先用太白粉抓一下雞丁 | 蒜頭切碎，茄子滾邊切塊 | 先將雞丁下鍋炒到半熟後盛起備用 | 蒜頭下鍋爆香，加入茄子拌炒後，再加入雞丁拌炒，接著加入蠔油及適當的鹽調味，炒熟上色後即可上桌,蠔油茄子雞丁。食材：蒜頭適量，茄子2根，雞丁適量，太白粉適量，蠔油適量，鹽鹽。做法：先用太白粉抓一下雞丁，蒜頭切碎，茄子滾邊切塊，先將雞丁下鍋炒到半熟後盛起備用，蒜頭下鍋爆香，加入茄子拌炒後，再加入雞丁拌炒，接著加入蠔油及適當的鹽調味，炒熟上色後即可上桌。,茄子/473830_蠔油茄子雞丁.jpg
473789,西西里茄子燉菜,https://icook.tw/recipes/473789,日本茄子(圓茄子)、新鮮番茄、濃縮番茄糊/番茄膏、洋蔥、綠橄欖、酸豆、西洋芹、頂級初榨橄欖油、鹽、糖、白醋、松子,日本茄子(圓茄子)500克 | 新鮮番茄300克 | 濃縮番茄糊/番茄膏適量 | 洋蔥250克 | 綠橄欖70克 | 酸豆適量 | 西洋芹一小株 | 頂級初榨橄欖油自己喜歡的量 | 鹽少許 | 糖70克 | 白醋60-70克 | 松子(可略),"準備材料 | 將茄子切塊狀，灑一點鹽後置放約半小時去除澀味 | 洋蔥及西洋芹切小塊 | 番茄去皮後切小塊 | 熱油鍋將茄子炸成金黃色起鍋 | 同一個鍋留下適量的油，將洋蔥及西洋芹炒香 | 加入番茄塊拌炒10分鐘後，加入濃縮番茄糊（番茄糊如果太濃稠可以兌一點水）
之後加入酸豆及綠橄欖 | 加入鹽、糖、白醋調味

將炒好的西洋芹、洋蔥及橄欖這部分的料，跟茄子分開放涼 | 加入微烤過的松子，即可組合盛盤上桌","西西里茄子燉菜。食材：日本茄子(圓茄子)500克，新鮮番茄300克，濃縮番茄糊/番茄膏適量，洋蔥250克，綠橄欖70克，酸豆適量，西洋芹一小株，頂級初榨橄欖油自己喜歡的量，鹽少許，糖70克，白醋60-70克，松子(可略)。做法：準備材料，將茄子切塊狀，灑一點鹽後置放約半小時去除澀味，洋蔥及西洋芹切小塊，番茄去皮後切小塊，熱油鍋將茄子炸成金黃色起鍋，同一個鍋留下適量的油，將洋蔥及西洋芹炒香，加入番茄塊拌炒10分鐘後，加入濃縮番茄糊（番茄糊如果太濃稠可以兌一點水）
之後加入酸豆及綠橄欖，加入鹽、糖、白醋調味

將炒好的西洋芹、洋蔥及橄欖這部分的料，跟茄子分開放涼，加入微烤過的松子，即可組合盛盤上桌。",茄子/473789_西西里茄子燉菜.jpg
