# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 861
# 當前分析門檻: 0.3
# 符合門檻組合數: 13
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 211 組相似食譜
# 門檻 0.2: 55 組相似食譜
# 門檻 0.3: 13 組相似食譜
# 門檻 0.4: 5 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
475841,氣炸茄子,479378,清蒸茄子(純素),1.0
463770,微波茄子,459722,川燙蒜蓉醋醬涼拌茄子,0.509
475841,氣炸茄子,462783,塔香茄子,0.417
479378,清蒸茄子(純素),462783,塔香茄子,0.417
466277,辣豆瓣茄子炒豆乾,462783,塔香茄子,0.416
463770,微波茄子,462958,茄子粉絲煲,0.385
477313,醬燒茄子,462791,蒜蓉茄子,0.369
472299,鹹蛋白煮茄子,466302,花椒日本水茄子,0.36
477339,《醬燒塔香茄子豆腐》,462783,塔香茄子,0.34
463991,茄子肉餅,468504,茄子炒豬絞肉,0.34
479045,肉末茄子,462783,塔香茄子,0.327
477491,水煮茄子,462783,塔香茄子,0.306
473882,懶人菜譜-茄子番茄炒蛋,462783,塔香茄子,0.306
