id,name,document
474482,山茼蒿豆腐湯,山茼蒿 雞蛋 板豆腐 安食小品醬鹽 安食小品柴魚粉 白胡椒粉
470564,炒山茼蒿,山茼蒿 皮蛋 蛋 蒜 鮮雞粉 醬油
474186,熱拌香菇風味山茼蒿,山茼蒿 醬油 烹大師香菇風味 白芝麻
470705,韓式涼拌山茼蒿쑥갓두부무침,山茼蒿 板豆腐 青蔥 蒜頭 熟白芝麻 日式醬油淡色醬油 砂糖 香菇粉 黑胡椒粉
451376,蒜炒山茼蒿,山茼蒿 蒜末
472332,扇貝肉茼蒿煎蛋,扇貝肉 茼蒿菜 蒜仁 雞蛋
451541,炒茼蒿,茼蒿 味精 米酒
433601,山茼蒿蝦仁烘蛋,雞蛋 山茼蒿 蝦仁 蒜末 黑胡椒 太白粉水粉1水3
432595,山茼蒿煎蛋(奶蛋素),山茼蒿 雞蛋 味精 白胡椒粉 植物油
432575,我的家常菜～蒜蓉炒山茼蒿,蒜頭去膜切碎 山茼蒿切段 台鹽精製鹽 泰山玄米油 康寶鮮味炒手
427255,涼拌豆皮山茼蒿,山茼萵 豆皮卷 醬油 味醂 麻油 白芝麻 蒜泥
449537,冬菜炒茼蒿,茼蒿 蒜末 冬菜
409286,山茼蒿炒蛋,山茼蒿 雞蛋 蔥花 白芝麻 安食小品黑豆油膏
451037,古早味油蔥炒茼蒿,茼蒿 油蔥酥
434008,清炒茼蒿,山茼蒿 蒜頭 辣椒 蔥 米酒 白胡椒
473135,客家鹹湯圓,紅白小湯圓 乾香菇 醬油 蔥 芹菜 白胡椒粉 山茼蒿 鮮味炒手 五花肉 紅蔥頭 蝦米 香菜
435293,肉骨茶茼蒿麵,統一麵肉骨茶口味 山茼蒿 胡蘿蔔 餛飩 米血糕 甜椒 紅椒
453144,一人壽喜鍋,牛五花肉片 白菜 春菊山茼蒿 昆布 醬油 清酒或米酒 糖
477201,麻油松阪豬湯麵,松阪豬 雞蛋 茼蒿 麵條 薑片 枸杞 麻油 糖
427977,蘑菇蛋炒茼蒿,雞蛋 茼蒿 蘑菇 蒜末
399090,蒜炒香菇山茼蒿,山茼蒿 香菇可加可不加 蒜頭 蝦米可加可不加 胡椒
432826,素食/茼蒿素丸子清湯,茼蒿菜 素丸子 素香菇精 薑絲 香油or橄欖油
426631,#209 茼蒿豬肝湯,豬肝 茼萵 薑絲 米酒 青蔥 麵粉 雞粉 枸杞 白胡椒粉 清水
476405,番茄雞蛋湯🍅加料版,雞蛋 番茄 雞腿排 蒜頭 番茄醬 醬油 味霖 香菇素蠔油 茼蒿
472095,麻油魚湯,魚 老薑 麻油 茼蒿 米血
471281,烏魚米粉湯,老薑片 新竹米粉 蒜苗 茼蒿 胡椒粉 麻油 芹菜
459596,日式豆腐魚味噌湯｜みそ汁,味噌醬 過濾水 日式柴魚高湯 鮭魚或喜好的魚種 豆腐 白蘿蔔 胡蘿蔔 山茼蒿 金針菇 蔥花
473374,鮮肉元宵,元宵 茼蒿 蒜頭 安食小品醬鹽 安食小品柴魚粉 白胡椒粉
471771,減脂鮮蝦豆腐鍋,蝦子 板豆腐 茼蒿 豆芽菜 蒜瓣 安食小品黑豆醬油 白胡椒粉
470963,豬扒陽春麵,豬扒 寬麵 雞蛋 味精 茼蒿 香蔥油
455621,蔬魚蕎麥麵｜そば,蕎麥麵 鯛魚片 烹大師鰹魚風味 牛番茄 冷開水 有機山茼蒿 黑胡椒鹽魚片用 大白菜
399282,酸辣黑木耳涼拌山茼蒿．柯媽媽の植物燕窩,山茼蒿 黑木耳菇菇醬青檸酸辣 昆布醬油
454458,韓式豆腐冬粉鍋,冬粉 韓式泡菜 洋蔥 醬油 豬里肌火鍋肉片 雪白菇 櫛瓜 嫩豆腐 山茼蒿
403558,皮蛋炒茼蒿,皮蛋 茼蒿
469985,暖暖沙茶香蘿蔔糕湯/Vegan純素,蘿蔔糕 素火腿 茼蒿 紅蘿蔔絲 鴻喜菇 沙茶醬 薑末 胡椒粉
455642,茼萵炒牛肉,茼蒿 雪花牛 蒜頭 朝天椒
360091,山茼蒿炒杏鮑菇,山茼蒿 杏鮑菇 蒜頭 味精 白胡椒粉
453145,韓式宴會蔬菜煎餅,櫛瓜 杏鮑菇 醬油 香菇 蒜泥 春風一秒抽廚房紙巾 鳴戶卷 芝麻 香菜 板豆腐 薑末 山茼蒿 絞肉 辣椒 雞蛋 麵粉 洋蔥 青蔥 雞粉
432090,鮮肉湯圓,冷凍鮮肉湯圓 山茼蒿 油蔥酥醬 雞湯塊 芹菜
357327,和風蛤蜊山茼蒿湯義大利麵,義大利麵 蛤蜊已去沙 山茼蒿 菇什麼菇都可以 日式高湯包 蒜切末
454343,白灼雙蔬,大白菜 茼蒿 乾辣椒 蒜末 醬油
