id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
474482,山茼蒿豆腐湯,https://icook.tw/recipes/474482,山茼蒿、雞蛋、板豆腐、安食小品醬鹽、安食小品柴魚粉、白胡椒粉,山茼蒿1包 | 雞蛋2顆 | 板豆腐1塊 | 安食小品醬鹽2小匙 | 安食小品柴魚粉1小匙 | 白胡椒粉隨意,"▪️山茼蒿切好洗乾淨備用
▪️板豆腐用紙巾壓出水後切塊
▪️熱油鍋，煎豆腐至上色後，夾起備用 | ▪️蛋液入油鍋炒 | 加入豆腐 | 加入滾水，蓋上鍋蓋大滾5分鐘，至湯變成乳白色 | ▪️加入山茼蒿、白胡椒粉、醬鹽、柴魚粉調味
▪️蓋上鍋蓋煮滾 | 完成✔️","山茼蒿豆腐湯。食材：山茼蒿1包，雞蛋2顆，板豆腐1塊，安食小品醬鹽2小匙，安食小品柴魚粉1小匙，白胡椒粉隨意。做法：▪️山茼蒿切好洗乾淨備用
▪️板豆腐用紙巾壓出水後切塊
▪️熱油鍋，煎豆腐至上色後，夾起備用，▪️蛋液入油鍋炒，加入豆腐，加入滾水，蓋上鍋蓋大滾5分鐘，至湯變成乳白色，▪️加入山茼蒿、白胡椒粉、醬鹽、柴魚粉調味
▪️蓋上鍋蓋煮滾，完成✔️。",茼蒿/474482_山茼蒿豆腐湯.jpg
470564,炒山茼蒿,https://icook.tw/recipes/470564,山茼蒿、皮蛋、蛋、蒜、鮮雞粉、醬油,山茼蒿1把 | 皮蛋2顆 | 蛋2顆 | 蒜3瓣 | 鮮雞粉1.5小匙 | 醬油1匙,山茼蒿斜切、蒜切末、皮蛋去殼切塊、蛋打散備用 | 熱鍋下油，加入蒜頭爆香 | 加入山茼蒿翻炒 | 加入鮮雞粉、醬油拌炒 | 加入一杯水、皮蛋煨煮 | 加入蛋液煨煮至收汁，完成,炒山茼蒿。食材：山茼蒿1把，皮蛋2顆，蛋2顆，蒜3瓣，鮮雞粉1.5小匙，醬油1匙。做法：山茼蒿斜切、蒜切末、皮蛋去殼切塊、蛋打散備用，熱鍋下油，加入蒜頭爆香，加入山茼蒿翻炒，加入鮮雞粉、醬油拌炒，加入一杯水、皮蛋煨煮，加入蛋液煨煮至收汁，完成。,茼蒿/470564_炒山茼蒿.jpg
474186,熱拌香菇風味山茼蒿,https://icook.tw/recipes/474186,山茼蒿、醬油、香油、烹大師香菇風味、白芝麻、熱水,山茼蒿1把 | 醬油2匙 | 香油2匙 | 烹大師香菇風味1/2匙 | 白芝麻適量 | 熱水1鍋,先把山茼蒿洗過，然後摘掉比較粗的梗 | 水滾後，下水川燙二~三分鐘 | 濾掉水，加入香油，醬油，烹大師，攪拌均勻 | 最後撒上白芝麻就好了，完成~,熱拌香菇風味山茼蒿。食材：山茼蒿1把，醬油2匙，香油2匙，烹大師香菇風味1/2匙，白芝麻適量，熱水1鍋。做法：先把山茼蒿洗過，然後摘掉比較粗的梗，水滾後，下水川燙二~三分鐘，濾掉水，加入香油，醬油，烹大師，攪拌均勻，最後撒上白芝麻就好了，完成~。,茼蒿/474186_熱拌香菇風味山茼蒿.jpg
470705,韓式涼拌山茼蒿쑥갓두부무침,https://icook.tw/recipes/470705,山茼蒿、板豆腐、青蔥、蒜頭、香油、熟白芝麻、日式醬油(淡色醬油)、砂糖、香菇粉、黑胡椒粉,山茼蒿700g | 板豆腐400g | 青蔥3大匙 | 蒜頭2大匙 | 香油2大匙 | 熟白芝麻1大匙 | 日式醬油(淡色醬油)1大匙 | 砂糖¼茶匙 | 香菇粉¼茶匙 | 黑胡椒粉¼茶匙,A.起一大鍋滾水，板豆腐下鍋焯水去腥，冷水投涼 | 裝入棉布袋中攥乾水分，取出豆腐渣 | B.山茼蒿沖洗+浸泡數遍，去除泥沙 | 剛才焯豆腐的水裏加2勺鹽，山茼蒿分批下鍋焯水 | 焯至再次煮開即可撈出投涼 | 裝入棉布袋中，使勁攥乾水分，然後下刀切成小段 | C.豆腐、山茼蒿裝入盆中，加入蔥蒜末、醬油、香油、砂糖、香菇粉、黑胡椒粉、熟白芝麻 | 抓拌均勻，調整鹹淡 | 裝入保鮮盒，須盡快吃完,韓式涼拌山茼蒿쑥갓두부무침。食材：山茼蒿700g，板豆腐400g，青蔥3大匙，蒜頭2大匙，香油2大匙，熟白芝麻1大匙，日式醬油(淡色醬油)1大匙，砂糖¼茶匙，香菇粉¼茶匙，黑胡椒粉¼茶匙。做法：A.起一大鍋滾水，板豆腐下鍋焯水去腥，冷水投涼，裝入棉布袋中攥乾水分，取出豆腐渣，B.山茼蒿沖洗+浸泡數遍，去除泥沙，剛才焯豆腐的水裏加2勺鹽，山茼蒿分批下鍋焯水，焯至再次煮開即可撈出投涼，裝入棉布袋中，使勁攥乾水分，然後下刀切成小段，C.豆腐、山茼蒿裝入盆中，加入蔥蒜末、醬油、香油、砂糖、香菇粉、黑胡椒粉、熟白芝麻，抓拌均勻，調整鹹淡，裝入保鮮盒，須盡快吃完。,茼蒿/470705_韓式涼拌山茼蒿쑥갓두부무침.jpg
455025,涼拌山茼蒿,https://icook.tw/recipes/455025,山茼蒿、韓式包飯醬、麻油、醬油、糖、白芝麻,山茼蒿200克 | 韓式包飯醬1.5大匙 | 麻油0.5大匙 | 醬油0.5大匙 | 糖0.5小匙 | 白芝麻1大匙,水滾，將山茼蒿整株放入燙2分鐘30秒。 | 將燙好的山茼蒿撈起泡冰水冷卻。 | 將山茼蒿分2~3批，分別擠乾水分後，切成5公分的長段。切段之後可以再擠一次水分，水分擠乾才不會稀釋掉涼拌醬。 | 在小碗裡混合1.5大匙的包飯醬、0.5大匙的麻油、0.5大匙的醬油跟0.5小匙的糖。 | 在大碗裡放入步驟(3)的山茼蒿、步驟(4)的涼拌醬跟1大匙的白芝麻。用手將所有材料抓勻即可。 | 除了當做一道涼拌菜，我們家喜歡拿來做韓式拌飯的其中一個料，跟豬肉很搭喔！,涼拌山茼蒿。食材：山茼蒿200克，韓式包飯醬1.5大匙，麻油0.5大匙，醬油0.5大匙，糖0.5小匙，白芝麻1大匙。做法：水滾，將山茼蒿整株放入燙2分鐘30秒。，將燙好的山茼蒿撈起泡冰水冷卻。，將山茼蒿分2~3批，分別擠乾水分後，切成5公分的長段。切段之後可以再擠一次水分，水分擠乾才不會稀釋掉涼拌醬。，在小碗裡混合1.5大匙的包飯醬、0.5大匙的麻油、0.5大匙的醬油跟0.5小匙的糖。，在大碗裡放入步驟(3)的山茼蒿、步驟(4)的涼拌醬跟1大匙的白芝麻。用手將所有材料抓勻即可。，除了當做一道涼拌菜，我們家喜歡拿來做韓式拌飯的其中一個料，跟豬肉很搭喔！。,茼蒿/455025_涼拌山茼蒿.jpg
451376,蒜炒山茼蒿,https://icook.tw/recipes/451376,山茼蒿、蒜末、鹽巴,山茼蒿1份 | 蒜末3瓣 | 鹽巴少許,"熱油鍋中火下蒜末炒香 | 倒入半杯水 | 放入山茼蒿大火炒開加鹽巴調味
炒至蔬菜變嫩熟即可","蒜炒山茼蒿。食材：山茼蒿1份，蒜末3瓣，鹽巴少許。做法：熱油鍋中火下蒜末炒香，倒入半杯水，放入山茼蒿大火炒開加鹽巴調味
炒至蔬菜變嫩熟即可。",茼蒿/451376_蒜炒山茼蒿.jpg
472332,扇貝肉茼蒿煎蛋,https://icook.tw/recipes/472332,扇貝肉、茼蒿菜、蒜仁、雞蛋、鹽、油,扇貝肉4顆 | 茼蒿菜適量，多吃菜有益身體 | 雞蛋2顆 | 蒜仁依自己喜好 | 鹽少許 | 油少許,"冷凍扇貝 泡水或熱水，讓它不會太凍，再切小
茼蒿         洗淨，切小段
雞蛋         打散，加適量鹽蒜仁         切碎 | 在打散的蛋內，加入切小的扇貝 | 熱鍋，加油，加入切碎的蒜仁爆香 | 炒香後，倒入蛋液，加入適量茼蒿並用鍋鏟壓一下，讓蛋液泡到（也可事先加入蛋液中） | 待凝固，翻面，就完成了

剩下的茼蒿，可以用原鍋簡單炒一下","扇貝肉茼蒿煎蛋。食材：扇貝肉4顆，茼蒿菜適量，多吃菜有益身體，雞蛋2顆，蒜仁依自己喜好，鹽少許，油少許。做法：冷凍扇貝 泡水或熱水，讓它不會太凍，再切小
茼蒿         洗淨，切小段
雞蛋         打散，加適量鹽蒜仁         切碎，在打散的蛋內，加入切小的扇貝，熱鍋，加油，加入切碎的蒜仁爆香，炒香後，倒入蛋液，加入適量茼蒿並用鍋鏟壓一下，讓蛋液泡到（也可事先加入蛋液中），待凝固，翻面，就完成了

剩下的茼蒿，可以用原鍋簡單炒一下。",茼蒿/472332_扇貝肉茼蒿煎蛋.jpg
451541,炒茼蒿,https://icook.tw/recipes/451541,茼蒿、鹽、味精、米酒,茼蒿1枝 | 鹽少量 | 味精少量 | 米酒少量,"切茼蒿 | 下茼蒿炒,下調味料 | 盛","炒茼蒿。食材：茼蒿1枝，鹽少量，味精少量，米酒少量。做法：切茼蒿，下茼蒿炒,下調味料，盛。",茼蒿/451541_炒茼蒿.jpg
433601,山茼蒿蝦仁烘蛋,https://icook.tw/recipes/433601,雞蛋、山茼蒿、蝦仁、蒜末、鹽巴、黑胡椒、香油、太白粉水（粉1:水3）,雞蛋4顆 | 山茼蒿150克 | 蝦仁50克 | 蒜末30克 | 鹽巴1小匙 | 黑胡椒1小匙 | 香油1匙 | 太白粉水（粉1:水3）2大匙,"所需食材 | ❶ 山茼蒿切段，蝦人去腸泥
❷雞蛋+鹽巴、黑胡椒、香油和2大匙太白粉水，攪拌均勻 | ❸少許油炒香蒜末，再放蝦仁炒至變色，，再放山茼蒿翻炒至軟化
❹倒入蛋液，稍微將食材撥勻，蓋上鍋蓋 | 小火燜煎至底部熟透焦香，再翻面煎熟即可起鍋

Tips:
① 煎烘蛋的鍋子，可使用18公分的不沾平底深鍋，可以煎出厚實的烘蛋
②為確保內部蛋液熟成，全程用小火慢慢煎，直到微微凝固，等到烘蛋可以滑動，代表底部已經熟化，就可以用一盤子蓋上翻面再滑入鍋中，將另一面煎熟","山茼蒿蝦仁烘蛋。食材：雞蛋4顆，山茼蒿150克，蝦仁50克，蒜末30克，鹽巴1小匙，黑胡椒1小匙，香油1匙，太白粉水（粉1:水3）2大匙。做法：所需食材，❶ 山茼蒿切段，蝦人去腸泥
❷雞蛋+鹽巴、黑胡椒、香油和2大匙太白粉水，攪拌均勻，❸少許油炒香蒜末，再放蝦仁炒至變色，，再放山茼蒿翻炒至軟化
❹倒入蛋液，稍微將食材撥勻，蓋上鍋蓋，小火燜煎至底部熟透焦香，再翻面煎熟即可起鍋

Tips:
① 煎烘蛋的鍋子，可使用18公分的不沾平底深鍋，可以煎出厚實的烘蛋
②為確保內部蛋液熟成，全程用小火慢慢煎，直到微微凝固，等到烘蛋可以滑動，代表底部已經熟化，就可以用一盤子蓋上翻面再滑入鍋中，將另一面煎熟。",茼蒿/433601_山茼蒿蝦仁烘蛋.jpg
430222,韓式涼拌山茼蒿쑥갓간장무침,https://icook.tw/recipes/430222,山茼蒿(燙熟)、蔥、蒜頭、醬油、芝麻油、熟白芝麻、鹽、砂糖、黑胡椒粉,山茼蒿(燙熟)90g | 蔥1茶匙 | 蒜頭1茶匙 | 醬油½茶匙 | 芝麻油½茶匙 | 熟白芝麻½茶匙 | 鹽少許 | 砂糖少許 | 黑胡椒粉少許,山茼蒿燙熟、擠乾後切小段（做法詳參https: | icook.tw | recipes | 429877） | 加蔥末、蒜末、醬油、芝麻油、鹽、糖、黑胡椒、白芝麻抓拌均勻,韓式涼拌山茼蒿쑥갓간장무침。食材：山茼蒿(燙熟)90g，蔥1茶匙，蒜頭1茶匙，醬油½茶匙，芝麻油½茶匙，熟白芝麻½茶匙，鹽少許，砂糖少許，黑胡椒粉少許。做法：山茼蒿燙熟、擠乾後切小段（做法詳參https:，icook.tw，recipes，429877），加蔥末、蒜末、醬油、芝麻油、鹽、糖、黑胡椒、白芝麻抓拌均勻。,茼蒿/430222_韓式涼拌山茼蒿쑥갓간장무침.jpg
