# 分析摘要
# 最高相似度: 0.651
# 建議門檻: 0.52 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 22
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 198 組相似食譜
# 門檻 0.2: 45 組相似食譜
# 門檻 0.3: 22 組相似食譜
# 門檻 0.4: 10 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
430222,韓式涼拌山茼蒿쑥갓간장무침,430220,韓式涼拌山茼蒿쑥갓된장무침,0.651
474482,山茼蒿豆腐湯,473374,鮮肉元宵,0.603
470564,炒山茼蒿,403558,皮蛋炒茼蒿,0.529
432595,山茼蒿煎蛋(奶蛋素),360091,山茼蒿炒杏鮑菇,0.506
470705,韓式涼拌山茼蒿쑥갓두부무침,430222,韓式涼拌山茼蒿쑥갓간장무침,0.5
451376,蒜炒山茼蒿,449537,冬菜炒茼蒿,0.459
451037,古早味油蔥炒茼蒿,457537,奧莉廚房 金蘭醬油 手切滷肉飯,0.454
474186,熱拌香菇風味山茼蒿,455025,涼拌山茼蒿,0.448
451376,蒜炒山茼蒿,427977,蘑菇蛋炒茼蒿,0.418
451376,蒜炒山茼蒿,433601,山茼蒿蝦仁烘蛋,0.409
449537,冬菜炒茼蒿,427977,蘑菇蛋炒茼蒿,0.384
455025,涼拌山茼蒿,427255,涼拌豆皮山茼蒿,0.368
451376,蒜炒山茼蒿,434581,涼拌福山茼蒿,0.36
451376,蒜炒山茼蒿,454343,白灼雙蔬,0.359
474482,山茼蒿豆腐湯,432595,山茼蒿煎蛋(奶蛋素),0.341
451541,炒茼蒿,470963,豬扒陽春麵,0.332
449537,冬菜炒茼蒿,454343,白灼雙蔬,0.33
451541,炒茼蒿,434008,清炒茼蒿,0.327
451541,炒茼蒿,360091,山茼蒿炒杏鮑菇,0.324
474186,熱拌香菇風味山茼蒿,404702,「此乃吾春天」茼蒿豆腐沙拉,0.308
451541,炒茼蒿,432595,山茼蒿煎蛋(奶蛋素),0.306
474186,熱拌香菇風味山茼蒿,409286,山茼蒿炒蛋,0.302
