id,name,document
479576,紅莧菜炒豬肝,紅莧菜 豬肝 麵粉 薑絲 鹽巴或者鮮味炒手 米酒
478741,莧菜炒菇菇,莧菜 鴻禧菇 金針菇 枸杞 蒜末
477146,小魚乾炒莧菜,莧菜 小魚乾 蒜末
477349,【蛋素】上湯莧菜麵,乾麵條 煮麵 紅莧菜 燙莧菜 鹹蛋 皮蛋 金針菇 薑 里仁 好湯頭 胡椒粉
473862,莧菜鱸魚蒸,白莧菜 金針菇 烹大師鰹魚風味 鱸魚排 鰹魚高湯 白胡椒粉 枸杞 米酒
475023,清炒紅莧菜,紅莧菜 蒜頭 辣椒 米酒
465457,莧菜鯛魚片,莧菜 鯛魚片 皮蛋 蒜 辣椒
466125,薑絲麻油炒莧菜,莧菜 薑絲 麻油 白芝麻
469158,莧菜肉羹蛋花味噌湯,莧菜 肉羹 雞蛋 柴魚粉 海帶芽 白胡椒粉 味噌
462401,金銀莧菜湯,莧菜 皮蛋 鹹蛋 薑絲 胡椒粉 枸杞 清水
465601,金銀蛋炒莧菜,莧菜 鹹蛋 皮蛋 蒜頭
463989,紅莧菜味噌湯,紅莧菜葉 昆布柴魚高湯 中味噌鹽分8
463817,煨莧菜 silverbeet/chard,莧菜 洋蔥 墨西哥椒 大蒜 醬油 米酒 白醋 糖 辣椒片
462551,秘製莧菜蛋花湯,白莧菜 雞蛋 蔥 蒜苗可不加 香菜可不加 醬油 味醂 白胡椒粉
464358,韓式莧菜大醬湯비름나물된장국,莧菜 白蘿蔔 韓式大醬 洋蔥 韓式粗辣椒粉 小魚乾 青蔥 芝麻油 蝦皮 蒜泥 砂糖
463829,吻仔魚炒紅莧菜,吻仔魚 紅莧菜 薑絲
476881,醬燒皮蛋莧菜／李錦記 頭道零添加原釀醬油,李錦記 頭道零添加原釀醬油 皮蛋 白莧葉 薑 辣椒 胡椒粉 太白粉
449967,小魚乾莧菜,白色細小魚乾 莧菜葉段切 蒜碎 酒 味霖 巴薩米克醋 胡椒粉 昆布柴魚高湯
448643,吻仔魚莧菜,莧菜 吻仔魚 蒜末 塩巴 鰹魚粉
448662,莧菜蓋混蛋肉末,皮蛋 鹹蛋 莧菜 肉末 辣椒 蒜頭
443055,皮蛋炒莧菜,莧菜 皮蛋 蒜頭
443303,金銀蛋莧菜,莧菜 鹹蛋 皮蛋 白胡椒粉 蒜頭 老薑片 雞高湯
447817,莧菜炒雙蛋,莧菜 鹹蛋 皮蛋 吻仔魚 蒜頭
463432,清爽又營養台灣美食｜無澱粉吻仔魚莧菜羹,莧菜 嫩豆腐 吻仔魚 洋車前子粉 蒜 白胡椒粉 赤藻糖
439331,皮蛋紅莧菜,紅莧菜 皮蛋 絞肉 薑末 米酒
436937,莧菜燴菇,莧菜 香菇 醬油 麵粉水
447202,家常莧菜湯(五辛素),紅莧菜 蒜頭 香菇粉 白胡椒粉 植物油
437958,蒜炒紅莧菜,紅莧菜 蒜末
447412,營養高鈣-紅莧菜小魚湯,莧菜紅白梗均可 小魚乾 蒜粒 柴魚粉或高湯粉
446265,❤️麻油薑炒紅莧菜❤️,紅莧菜 老薑 崁頂黑麻油 RO水
429746,莧菜粥,白飯 莧菜 鮮味炒手 香菇 黑胡椒粉 蝦米 豬肉絲 得意的一天義大利純橄欖油
453049,莧菜銀魚羹｜銀髮老人食譜 好入口好營養,莧菜 豆腐 銀芽 蝦仁丁 米酒 太白粉 魩仔魚 海帶芽 胡椒粉 薑末 洋蔥丁 枸杞 青蔥
437177,莧菜吻仔魚粥,莧菜 吻仔魚 白飯 蒜頭 蛋 米酒 胡椒粉
435008,蒜子金銀蛋莧菜,莧菜 蒜頭 皮蛋 鹹蛋 雞湯
427549,韓式涼拌莧菜비름나물무침,莧菜燙熟 蒜末 蔥末 韓式粗辣椒粉 韓式大醬 芝麻油 紫蘇油 熟白芝麻 香菇粉
427838,莧菜吻仔魚湯,莧菜 吻仔魚 蒜頭 辣椒 太白粉勾芡用 烹飪油
422615,紅莧菜炒豆包,紅莧菜 豆包 薑絲
446450,秋葵的健康勾芡法｜低碳吻仔魚莧菜湯,莧菜 吻仔魚 秋葵 蛋 豆腐 蒜頭 冷壓初榨橄欖油 白胡椒 烏醋
416846,涼拌莧菜根莖,莧菜 蕃茄小 洋蔥 白煮蛋 蒜頭辣椒醋 魚露
423726,莧菜豆腐煲～可素食,莧菜 豆腐 鴻喜菇 鰹魚粉素食可不放 蒜頭 白胡椒粉 黑胡椒粉
412480,莧菜豆腐羹,莧菜 豆腐 鴻禧菇 薑 枸杞 白胡椒粉 藻類海帶芽等 柴魚片
410351,莧菜皮蛋湯,莧菜 無鉛皮蛋 蒜頭 白胡椒粉 蔥 雞粉可有可無
425001,我的家常菜～莧菜炒小魚干,莧菜菜梗 菜葉切小段 蒜頭去膜 台鹽精製鹽 小魚干洗淨泡水 康寶鮮味炒手 泰山純玄米油
479026,印尼椰奶蔬菜湯Bobor Bayam,白莧菜 南薑 紅蔥頭 洋蔥 印尼月桂葉 蒜頭 食鹽 金勾蝦 砂糖 沙薑粉 雞粉 芫荽籽粉 濃椰漿 白胡椒粉 清水
410626,莧菜蝦仁豆腐羹,莧菜 草蝦仁 嫩豆腐 蒜末 胡椒粉
410121,蒜炒莧菜苗,莧菜苗 sb生蒜泥醬
423705,莧菜吻仔魚粥～寶寶粥,吻仔魚 莧菜 白米 蔬菜高湯
407179,莧菜炒雪白菇,莧菜 雪白菇 蒜頭
