# 分析摘要
# 最高相似度: 0.859
# 建議門檻: 0.69 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 48
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 272 組相似食譜
# 門檻 0.2: 114 組相似食譜
# 門檻 0.3: 48 組相似食譜
# 門檻 0.4: 19 組相似食譜
# 門檻 0.5: 11 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
465601,金銀蛋炒莧菜,447817,莧菜炒雙蛋,0.859
465601,金銀蛋炒莧菜,443055,皮蛋炒莧菜,0.783
465601,金銀蛋炒莧菜,435008,蒜子金銀蛋莧菜,0.733
443055,皮蛋炒莧菜,447817,莧菜炒雙蛋,0.672
465601,金銀蛋炒莧菜,448662,莧菜蓋混蛋肉末,0.655
447817,莧菜炒雙蛋,435008,蒜子金銀蛋莧菜,0.629
463829,吻仔魚炒紅莧菜,422615,紅莧菜炒豆包,0.577
465601,金銀蛋炒莧菜,443303,金銀蛋莧菜,0.574
443055,皮蛋炒莧菜,435008,蒜子金銀蛋莧菜,0.573
448662,莧菜蓋混蛋肉末,447817,莧菜炒雙蛋,0.562
448662,莧菜蓋混蛋肉末,443055,皮蛋炒莧菜,0.512
443303,金銀蛋莧菜,447817,莧菜炒雙蛋,0.493
448662,莧菜蓋混蛋肉末,435008,蒜子金銀蛋莧菜,0.479
462401,金銀莧菜湯,465601,金銀蛋炒莧菜,0.465
477146,小魚乾炒莧菜,437958,蒜炒紅莧菜,0.459
443055,皮蛋炒莧菜,443303,金銀蛋莧菜,0.45
478741,莧菜炒菇菇,412480,莧菜豆腐羹,0.431
465457,莧菜鯛魚片,448662,莧菜蓋混蛋肉末,0.43
443303,金銀蛋莧菜,435008,蒜子金銀蛋莧菜,0.421
447817,莧菜炒雙蛋,437177,莧菜吻仔魚粥,0.4
462401,金銀莧菜湯,447817,莧菜炒雙蛋,0.399
443055,皮蛋炒莧菜,407179,莧菜炒雪白菇,0.385
479576,紅莧菜炒豬肝,463829,吻仔魚炒紅莧菜,0.383
465457,莧菜鯛魚片,443055,皮蛋炒莧菜,0.382
475023,清炒紅莧菜,448662,莧菜蓋混蛋肉末,0.381
475023,清炒紅莧菜,439331,皮蛋紅莧菜,0.377
448662,莧菜蓋混蛋肉末,443303,金銀蛋莧菜,0.376
463829,吻仔魚炒紅莧菜,437958,蒜炒紅莧菜,0.352
475023,清炒紅莧菜,437177,莧菜吻仔魚粥,0.348
447817,莧菜炒雙蛋,427838,莧菜吻仔魚湯,0.346
475023,清炒紅莧菜,427838,莧菜吻仔魚湯,0.343
462401,金銀莧菜湯,435008,蒜子金銀蛋莧菜,0.341
478741,莧菜炒菇菇,477146,小魚乾炒莧菜,0.33
478741,莧菜炒菇菇,437958,蒜炒紅莧菜,0.322
479576,紅莧菜炒豬肝,422615,紅莧菜炒豆包,0.319
475023,清炒紅莧菜,437958,蒜炒紅莧菜,0.319
477146,小魚乾炒莧菜,410626,莧菜蝦仁豆腐羹,0.318
478741,莧菜炒菇菇,473862,莧菜鱸魚蒸,0.317
477146,小魚乾炒莧菜,447412,營養高鈣-紅莧菜小魚湯,0.316
479576,紅莧菜炒豬肝,475023,清炒紅莧菜,0.311
477146,小魚乾炒莧菜,448643,吻仔魚莧菜,0.31
437958,蒜炒紅莧菜,410626,莧菜蝦仁豆腐羹,0.31
448662,莧菜蓋混蛋肉末,427838,莧菜吻仔魚湯,0.308
462401,金銀莧菜湯,448662,莧菜蓋混蛋肉末,0.304
448643,吻仔魚莧菜,437958,蒜炒紅莧菜,0.303
475023,清炒紅莧菜,465457,莧菜鯛魚片,0.302
465601,金銀蛋炒莧菜,407179,莧菜炒雪白菇,0.301
464358,韓式莧菜大醬湯비름나물된장국,427549,韓式涼拌莧菜비름나물무침,0.301
