id,name,document
476977,菠菜炒肉片,牛肉片 菠菜 醬油 蒜頭 太白粉
474819,韓式菠菜,菠菜 蒜末 韓國芝麻油 糖 韓國大豆味噌醬 白芝麻 紅辣椒片
473890,炒菠菜,蒜末 波菜 味精
475103,麻油菠菜蛋花湯,菠菜 蛋 麻油
455698,菠菜雞蛋炒冬粉,菠菜 冬粉 雞粉 雞蛋 芝麻 糖
478597,日式涼拌菠菜🎶,菠菜葉 日式醬油 味醂 白芝麻
471381,麻醬菠菜,芝麻醬 香油白麻油 黑醋 菠菜
473749,菠菜腐竹,菠菜 腐竹 蒜 清酒
474076,豆腐拌菠菜,可生食豆腐 菠菜 日式醬油 熟白芝麻 日式胡麻醬 日式芝麻油或香油
476261,薑絲枸杞炒菠菜,菠菜 枸杞 薑絲 香油可略 白芝麻可略
470598,菠菜豬肝,豬肝 菠菜 蒜頭 蠔油 米酒
475133,雞蛋豬肉炒菠菜,梅花肉片 菠菜 蛋
468366,菠菜蒸蛋,菠菜 紅蘿蔔絲 雞粉 雞蛋 太白粉 清水
472405,炒香菇菠菜,大香菇 蒜或薑 蔥或珠蔥 調味料鹽 菠菜
458101,菠菜炒木耳,菠菜 木耳 雞粉 紅蘿蔔絲
471499,蒜味菠菜,菠菜 蒜頭
457754,菠菜炒鹹蛋,菠菜 鹹蛋 雞粉 糖
470906,薑香麻油炒波菜,菠菜 薑片 麻油
477488,日式菠菜蝦仁蛋炒麵,唐吉訶德的日式炒麵附醬油 超市賣的野蝦仁 蛋 甜菠菜不太適合這個料理 健康油煮起來很臭下次不買
474537,鮪魚菠菜起士烘蛋,菠菜 牛蕃茄 洋蔥 黑胡椒粒 鮪魚罐頭 雞蛋 鮮奶 起士絲 片
458089,菠菜炒香菇,菠菜 香菇 雞粉 玉米筍
472182,虱目魚骨菠菜湯,虱目魚骨有肉 薑 菠菜
471405,菠菜烘蛋🎶,雞蛋 菠菜嫩葉 芝麻鹽
470338,麻醬拌菠菜,菠菜 芝麻醬 顆粒花生醬 淺色醬油 細砂糖 熱開水 白醋 蒜泥
471002,韓式涼拌菠菜시금치무침,菠菜燙熟 蒜頭 青蔥 醬油 熟白芝麻 砂糖 味精 黑胡椒粉
470697,菠菜豆腐佐芝麻醬,菠菜葉 板豆腐 芝麻醬
470398,小魚乾炒菠菜,菠菜 小魚乾 蒜頭 辣椒
474890,奶油菠菜泥｜Vitamix調理機,新鮮菠菜 大蒜去皮 腰果奶 鹽和胡椒 肉荳蔻粉
472163,菠菜粉漿蛋餅,中筋麵粉 地瓜粉 太白粉 菠菜葉
469506,好市多鴨肉炒波菜,好市多鴨肉 菠菜 蒜粗末
475690,草仔粿(菠菜、艾蒿),糯米粉 粘米粉 糖 紅葱頭 茶包袋 艾蒿水 蝦米選用 蕉葉 竹葉 3x25 菠菜 香菇丁 乾艾蒿葉 絞肉 豆干丁 鹹菜脯絲 油葱酥 醬油 白胡椒粉 黑胡椒粉 塩
462112,涼拌菠菜,菠菜 鰹魚粉 白芝麻 醬油 糖
473242,奶香菠菜牛肉燉飯,奶粉 菠菜 牛肉 玉米 洋蔥 紅蘿蔔 豬骨湯 白飯
474252,麻油薑香炒菠菜里肌肉,菠菜 枸杞 薑片 麻油 全聯里肉塊
472040,菠菜蛋炒飯（親子丼醬）,蛋 隔夜飯 菠菜葉 蒜頭 龜甲萬親子丼醬
461412,菠菜濃湯,新鮮菠菜 蘑菇 洋蔥 糙米飯 熱開水 黑胡椒
459355,辣醬菠菜,冷凍菠菜 辣豆瓣醬 白芝麻粒 蒜泥
469464,焗烤鮭魚波菜派FishPie🥧🇬🇧,鮭魚 冷凍菠菜 冷凍毛豆 紅蘿蔔 大蔥 新鮮蘿勒葉 芥末 牛奶 低筋麵粉 馬鈴薯 地瓜 塩 黒胡椒 mozzarella起司
470087,沙茶醬炒菠菜金針菇,菠菜 金針菇 沙茶醬1湯匙 胡蘿蔔 蒜頭
457707,菠菜炒蛋,菠菜 蛋 蒜頭
456623,牛奶火腿醬汁燴菠菜,菠菜 火腿 雞粉 玉米筍 洋蔥 糖 牛奶 奶油
