id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
476977,菠菜炒肉片,https://icook.tw/recipes/476977,牛肉片、菠菜、醬油、蒜頭、太白粉,牛肉片1盒 | 菠菜1包 | 蒜頭1瓣 | 醬油適量 | 太白粉少許,肉片加入醃料，青菜切段 | 菠菜先川燙+一點鹽巴去味，撈起備用 | 熱鍋熱油後，爆香蒜頭，放入肉片拌炒 | 帶肉片熟後，放入菠菜拌炒 | 裝盤後就可以上桌囉！,菠菜炒肉片。食材：牛肉片1盒，菠菜1包，蒜頭1瓣，醬油適量，太白粉少許。做法：肉片加入醃料，青菜切段，菠菜先川燙+一點鹽巴去味，撈起備用，熱鍋熱油後，爆香蒜頭，放入肉片拌炒，帶肉片熟後，放入菠菜拌炒，裝盤後就可以上桌囉！。,菠菜/476977_菠菜炒肉片.jpg
474819,韓式菠菜,https://icook.tw/recipes/474819,菠菜、蒜末、韓國芝麻油、糖、鹽、韓國大豆（味噌）醬、白芝麻、紅辣椒片,菠菜900克 | 蒜末30克 | 韓國芝麻油40毫升 | 糖7克 | 鹽3克 | 韓國大豆（味噌）醬30克 | 白芝麻6克 | 紅辣椒片適量,菠菜切5-6公分段，梗和葉分開，清洗後備用 | 水滾加入少許鹽，先下菠菜梗，1分鐘後再下菠菜葉，1分10秒後全部撈起 | 沖涼水 | 用手擠乾水份 | 加入蒜末、韓式芝麻油、糖、鹽、韓式味噌，用手拌勻 | 放上辣椒片和芝麻點綴就完成了,韓式菠菜。食材：菠菜900克，蒜末30克，韓國芝麻油40毫升，糖7克，鹽3克，韓國大豆（味噌）醬30克，白芝麻6克，紅辣椒片適量。做法：菠菜切5-6公分段，梗和葉分開，清洗後備用，水滾加入少許鹽，先下菠菜梗，1分鐘後再下菠菜葉，1分10秒後全部撈起，沖涼水，用手擠乾水份，加入蒜末、韓式芝麻油、糖、鹽、韓式味噌，用手拌勻，放上辣椒片和芝麻點綴就完成了。,菠菜/474819_韓式菠菜.jpg
473890,炒菠菜,https://icook.tw/recipes/473890,蒜末、波菜、鹽巴、味精,蒜末少許 | 波菜2-3把 | 鹽巴半匙 | 味精半匙,先加沙拉油，將油均勻分佈在鍋鼎中，待至油熱冒些許煙，加入切好的蒜末，快速拌炒 | 再加入洗淨切好的波菜、加入半匙鹽巴、味精拌炒，再加入少許水，使其不會太乾或燒焦，當青菜成溼溼的青翠綠即可關火,炒菠菜。食材：蒜末少許，波菜2-3把，鹽巴半匙，味精半匙。做法：先加沙拉油，將油均勻分佈在鍋鼎中，待至油熱冒些許煙，加入切好的蒜末，快速拌炒，再加入洗淨切好的波菜、加入半匙鹽巴、味精拌炒，再加入少許水，使其不會太乾或燒焦，當青菜成溼溼的青翠綠即可關火。,菠菜/473890_炒菠菜.jpg
475103,麻油菠菜蛋花湯,https://icook.tw/recipes/475103,菠菜、蛋、麻油、鹽巴,菠菜300克 | 蛋3顆 | 麻油大匙 | 鹽巴小匙,"1.水滾下菠菜燙1分鐘
2.加入大蒜+菠菜 | 快炒過20秒
3.不洗鍋加水 | 水滾後加入高湯包（紫菜包）煮三分
4.關火淋蛋液
5.加入菠菜攪拌
6.加入鹽巴和麻油調味","麻油菠菜蛋花湯。食材：菠菜300克，蛋3顆，麻油大匙，鹽巴小匙。做法：1.水滾下菠菜燙1分鐘
2.加入大蒜+菠菜，快炒過20秒
3.不洗鍋加水，水滾後加入高湯包（紫菜包）煮三分
4.關火淋蛋液
5.加入菠菜攪拌
6.加入鹽巴和麻油調味。",菠菜/475103_麻油菠菜蛋花湯.jpg
455698,菠菜雞蛋炒冬粉,https://icook.tw/recipes/455698,菠菜、冬粉、雞粉、雞蛋、鹽巴、芝麻、糖,菠菜600克 | 冬粉2把 | 雞蛋4顆 | 芝麻1小匙 | 雞粉2大匙 | 鹽巴1大匙 | 糖1小匙,菠菜洗淨切段備用，冬粉泡水軟化 | 雞蛋打散，熱油鍋煎至七分熟盛起備用 | 同鍋放入菠菜加少許鹽翻炒至菠菜稍微軟化加入冬粉、雞粉鹽巴調味 | 最後加入雞蛋與糖繼續翻炒直到所有材料均勻混合撒上芝麻即可,菠菜雞蛋炒冬粉。食材：菠菜600克，冬粉2把，雞蛋4顆，芝麻1小匙，雞粉2大匙，鹽巴1大匙，糖1小匙。做法：菠菜洗淨切段備用，冬粉泡水軟化，雞蛋打散，熱油鍋煎至七分熟盛起備用，同鍋放入菠菜加少許鹽翻炒至菠菜稍微軟化加入冬粉、雞粉鹽巴調味，最後加入雞蛋與糖繼續翻炒直到所有材料均勻混合撒上芝麻即可。,菠菜/455698_菠菜雞蛋炒冬粉.jpg
471209,菠菜蛋花湯,https://icook.tw/recipes/471209,菠菜、蛋、蒜頭、高湯或水、鹽、調味料、麻油,菠菜1把 | 蛋2顆 | 蒜頭3瓣 | 高湯或水1000 | 鹽少許 | 調味料少許 | 麻油1湯匙,"1.將菠菜洗淨切段並川燙、蒜頭切碎、蛋打散備用。 | 2.鍋內到一點油炒香蒜末再加入川燙好的菠菜關火備用。 | 3.另起鍋煮開高湯待水滾關火並倒入蛋液（不要攪拌）。 | 4. 開火倒入煸炒過的菠菜再依個人口味調味，最後加入麻油。
暖湯就完成了唷！","菠菜蛋花湯。食材：菠菜1把，蛋2顆，蒜頭3瓣，高湯或水1000，鹽少許，調味料少許，麻油1湯匙。做法：1.將菠菜洗淨切段並川燙、蒜頭切碎、蛋打散備用。，2.鍋內到一點油炒香蒜末再加入川燙好的菠菜關火備用。，3.另起鍋煮開高湯待水滾關火並倒入蛋液（不要攪拌）。，4. 開火倒入煸炒過的菠菜再依個人口味調味，最後加入麻油。
暖湯就完成了唷！。",菠菜/471209_菠菜蛋花湯.jpg
478597,日式涼拌菠菜🎶,https://icook.tw/recipes/478597,菠菜葉、鹽、日式醬油、酪梨油、味醂、香油、白芝麻,菠菜葉255克 | 鹽1/2茶匙 | 酪梨油1/2茶匙 | 日式醬油1湯匙 | 味醂1/2湯匙 | 香油1茶匙 | 白芝麻適量,準備食材。菠菜葉洗淨，瀝乾水份。 | 準備醬料：日式醬油、味醂與香油拌勻。 | 煮一鍋滾水，加入1 | 2茶匙鹽與1 | 2茶匙酪梨油，然後把菠菜放入滾水，燙約40-50秒。 | 將燙好的菠菜撈起。 | 擠乾菠菜的水份，請盡量擠出多餘水份。 | 將醬料淋在菠菜、以筷子拌勻。 | 最後撒上白芝麻，拌勻後即完成。 | 冰涼享用，更消暑。,日式涼拌菠菜🎶。食材：菠菜葉255克，鹽1/2茶匙，酪梨油1/2茶匙，日式醬油1湯匙，味醂1/2湯匙，香油1茶匙，白芝麻適量。做法：準備食材。菠菜葉洗淨，瀝乾水份。，準備醬料：日式醬油、味醂與香油拌勻。，煮一鍋滾水，加入1，2茶匙鹽與1，2茶匙酪梨油，然後把菠菜放入滾水，燙約40-50秒。，將燙好的菠菜撈起。，擠乾菠菜的水份，請盡量擠出多餘水份。，將醬料淋在菠菜、以筷子拌勻。，最後撒上白芝麻，拌勻後即完成。，冰涼享用，更消暑。。,菠菜/478597_日式涼拌菠菜🎶.jpg
471381,麻醬菠菜,https://icook.tw/recipes/471381,芝麻醬、香油／白麻油、黑醋、菠菜,芝麻醬2小匙 | 香油／白麻油1大匙 | 黑醋2小匙 | 菠菜1把,"台灣買的芝麻醬～挖2小匙。 | 加入香油調勻(芝麻醬是結塊的，用湯匙切小塊才容易攪拌)。 | 加入黑醋後，醬會稠化。
直接放上燙好的菠菜就可以了。","麻醬菠菜。食材：芝麻醬2小匙，香油／白麻油1大匙，黑醋2小匙，菠菜1把。做法：台灣買的芝麻醬～挖2小匙。，加入香油調勻(芝麻醬是結塊的，用湯匙切小塊才容易攪拌)。，加入黑醋後，醬會稠化。
直接放上燙好的菠菜就可以了。。",菠菜/471381_麻醬菠菜.jpg
473749,菠菜腐竹,https://icook.tw/recipes/473749,菠菜、腐竹、鹽、蒜、清酒,菠菜250克 | 腐竹125克 | 蒜3瓣 | 鹽1茶匙 | 清酒1大匙,蒜拍扁，菠菜切短，腐竹泡水。 | 起一鍋熱水煮沸後加鹽，下菠菜梗，煮滾後加少許油，再下菠菜葉，再次滾了之後，撈起備用。 | 另起一炒鍋，加蒜，再下腐竹，略微拌炒後再加菠菜，最後加鹽調味，起鍋前加一大匙清酒。,菠菜腐竹。食材：菠菜250克，腐竹125克，蒜3瓣，鹽1茶匙，清酒1大匙。做法：蒜拍扁，菠菜切短，腐竹泡水。，起一鍋熱水煮沸後加鹽，下菠菜梗，煮滾後加少許油，再下菠菜葉，再次滾了之後，撈起備用。，另起一炒鍋，加蒜，再下腐竹，略微拌炒後再加菠菜，最後加鹽調味，起鍋前加一大匙清酒。。,菠菜/473749_菠菜腐竹.jpg
474076,豆腐拌菠菜,https://icook.tw/recipes/474076,可生食豆腐、菠菜、日式醬油、熟白芝麻、日式胡麻醬、日式芝麻油（或香油）,可生食豆腐200公克 | 菠菜250公克 | 熟白芝麻10公克 | 日式醬油1大匙 | 日式胡麻醬2大匙 | 日式芝麻油（或香油）1小匙,找一個盤子，將豆腐放上去，再於豆腐上面壓重物，約半小時就會釋出不少水分，再將水分倒掉。 | 將豆腐用叉子背部壓碎。 | 菠菜洗淨後切段，放入加少許鹽的滾水中燙熟，取出放涼，再擠出多餘水分。 | 將豆腐碎、菠菜、白芝麻和醬料拌勻即完成。,豆腐拌菠菜。食材：可生食豆腐200公克，菠菜250公克，熟白芝麻10公克，日式醬油1大匙，日式胡麻醬2大匙，日式芝麻油（或香油）1小匙。做法：找一個盤子，將豆腐放上去，再於豆腐上面壓重物，約半小時就會釋出不少水分，再將水分倒掉。，將豆腐用叉子背部壓碎。，菠菜洗淨後切段，放入加少許鹽的滾水中燙熟，取出放涼，再擠出多餘水分。，將豆腐碎、菠菜、白芝麻和醬料拌勻即完成。。,菠菜/474076_豆腐拌菠菜.jpg
