# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 36
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 159 組相似食譜
# 門檻 0.2: 70 組相似食譜
# 門檻 0.3: 36 組相似食譜
# 門檻 0.4: 21 組相似食譜
# 門檻 0.5: 9 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
471499,蒜味菠菜,457707,菠菜炒蛋,1.0
475103,麻油菠菜蛋花湯,471209,菠菜蛋花湯,0.792
471209,菠菜蛋花湯,471499,蒜味菠菜,0.683
471209,菠菜蛋花湯,457707,菠菜炒蛋,0.683
470906,薑香麻油炒波菜,474252,麻油薑香炒菠菜里肌肉,0.667
475103,麻油菠菜蛋花湯,470906,薑香麻油炒波菜,0.663
469849,燙菠菜 / 簡單家常菜,462112,涼拌菠菜,0.542
471209,菠菜蛋花湯,470906,薑香麻油炒波菜,0.525
468366,菠菜蒸蛋,458101,菠菜炒木耳,0.514
475103,麻油菠菜蛋花湯,473371,菠菜雞蛋湯,0.456
475103,麻油菠菜蛋花湯,474252,麻油薑香炒菠菜里肌肉,0.443
471499,蒜味菠菜,470398,小魚乾炒菠菜,0.439
470398,小魚乾炒菠菜,457707,菠菜炒蛋,0.439
455698,菠菜雞蛋炒冬粉,457392,菠菜蛋,0.424
473371,菠菜雞蛋湯,457392,菠菜蛋,0.42
476977,菠菜炒肉片,471499,蒜味菠菜,0.419
476977,菠菜炒肉片,457707,菠菜炒蛋,0.419
458089,菠菜炒香菇,456623,牛奶火腿醬汁燴菠菜,0.412
468366,菠菜蒸蛋,470366,山菠菜雞蛋湯,0.411
478597,日式涼拌菠菜🎶,469849,燙菠菜 / 簡單家常菜,0.404
468366,菠菜蒸蛋,457392,菠菜蛋,0.402
471405,菠菜烘蛋🎶,457392,菠菜蛋,0.39
474819,韓式菠菜,469849,燙菠菜 / 簡單家常菜,0.385
470598,菠菜豬肝,471499,蒜味菠菜,0.381
470598,菠菜豬肝,457707,菠菜炒蛋,0.381
471499,蒜味菠菜,470087,沙茶醬炒菠菜金針菇,0.371
470087,沙茶醬炒菠菜金針菇,457707,菠菜炒蛋,0.371
470366,山菠菜雞蛋湯,457392,菠菜蛋,0.364
471209,菠菜蛋花湯,473371,菠菜雞蛋湯,0.361
471209,菠菜蛋花湯,474252,麻油薑香炒菠菜里肌肉,0.35
455698,菠菜雞蛋炒冬粉,468366,菠菜蒸蛋,0.325
471499,蒜味菠菜,472040,菠菜蛋炒飯（親子丼醬）,0.32
472040,菠菜蛋炒飯（親子丼醬）,457707,菠菜炒蛋,0.32
458101,菠菜炒木耳,457754,菠菜炒鹹蛋,0.314
473371,菠菜雞蛋湯,470906,薑香麻油炒波菜,0.302
457754,菠菜炒鹹蛋,458089,菠菜炒香菇,0.301
