id,name,document
473157,蒜苗炒高麗菜,蒜苗 高麗菜 雞粉 糖
478735,蒜苗炒叉燒,叉燒 蒜苗 蒜頭 辣椒
479556,蒜苗炒蘿蔔糕,蘿蔔糕 香菜 蒜苗
474364,蒜苗鹹豬肉,五花肉條 蒜苗或青蔥 辣椒 玄米油或其他油
475368,蒜苗炒臘肉,臘肉 蒜苗
476721,蒜苗豆豉燴鯊魚肉,鯊魚肉 蒜苗 豆豉 太白粉
472621,蒜苗炒香腸,蒜味香腸 大蒜 酒 蒜末 醬油 薑末
473791,鹹蛋黃金沙蒜苗炒板豆腐,板豆腐 鹹蛋黃金沙調味料 蒜苗
473147,蒜苗炒梅花肉,梅花肉 豆乾 蒜苗 片栗粉 醬油 蠔油 羅漢果糖 粗粒黑胡椒
471631,臘雞腿炒蒜苗,臘雞腿 蒜苗 辣椒 砂糖 米酒
473036,蒜苗豆乾炒鹹豬肉,鹹豬肉 蒜苗 豆乾 米酒 黑胡椒
473822,烤烏魚子佐蒜苗白蘿蔔,烏魚子 白蘿蔔 蒜苗 高粱酒
464712,自種小蒜苗炒豆腐,水豆腐 蒜苗 胡蘿蔔絲
473191,十分鐘上菜-回鍋肉炒蒜苗,五花肉 蒜苗 小磨坊純白胡椒粉 醬油
471192,蒜苗醬燒烏魚 / 家常菜,烏魚 老薑切絲 蠔油或醬油 蒜苗 烏醋 蒜瓣 米酒 辣椒可省略 白胡椒粉
470686,青蒜苗炒蕃茄蛋🎶,蕃茄 青蒜苗 雞蛋 白胡椒粉
459608,蒜苗燒魚,鯛魚片或全魚 大蒜苗 切斜段 醬油 薑片 米酒 糖 烏醋
454291,蒜苗五花肉,蒜苗 五花肉 乾香菇 蠔油 米酒 辣椒 白胡椒
455371,蒜苗皇帝豆炒木耳及魚丸,皇帝豆 魚丸 雞粉 蒜苗 醬油 木耳 胡椒粉
465028,鴻禧菇蒜苗炒鴨賞,鴨賞 鴻禧菇 蒜片 蒜苗 白芝麻
456075,🐷蒜苗炒鹹豬肉,鹹豬肉 蒜苗 蒜瓣 洋蔥
456464,蒜苗炒松阪豬,松阪豬肉 蒜苗 米酒 蒜頭 醬油 薑 白胡椒粉 辣椒 太白粉 糖 鳳梨
452643,蒜苗松阪豬,松阪豬 蒜苗 洋蔥 小磨坊蒜香黑胡椒 小磨坊金黃蒜油 醬油 糖 米酒
452145,蒜苗烏魚膘,烏魚膘 蒜苗 薑片 麻油 米酒 醬油 冰糖
455046,蒜苗炒鴨賞,宜蘭鴨賞 蒜苗 豆乾
455006,【一鍋到底】蒜苗雞湯,雞腿肉 蒜苗 薑片 紅蘿蔔片或塊 白米 米酒 清水
459306,蒜苗炒雞腿肉杏鮑菇,雞腿肉 杏鮑菇 蒜苗 蒜頭
454048,蒜苗豬肉豆乾包,蒜苗炒豬肉 豆乾
453291,洋蔥毛肚炒蒜苗,毛肚 蒜苗 洋蔥 乾魷魚
450549,蒜苗醬燒烏魚,烏魚 老薑 米酒 蒜苗 醬油 素蠔油 烏醋
449046,芹菜蒜苗炒雞胸,雞胸 蒜苗 芹菜 洋蔥 郫縣豆瓣醬 魚露 蒜末
448713,蒜苗米血糕,米血糕 蒜苗 五花肉 辣椒 醬油 米酒 胡椒粉 砂糖
454047,蒜苗炒豬肉(離緣肉),豬肉離緣肉 蒜苗 蛋白 胡椒粉 醬油 太白粉
453983,好市多牛三寶炒蒜苗,牛三寶 蒜苗 蒜頭 辣椒 青蔥
433122,醬燒蒜苗旗魚,旗魚 蒜苗 醬油 薑 米酒 砂糖
442869,蒜苗香蒜炒香腸豆乾,香腸 蒜苗 蒜片 豆乾
