# 分析摘要
# 最高相似度: 0.765
# 建議門檻: 0.61 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 21
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 157 組相似食譜
# 門檻 0.2: 65 組相似食譜
# 門檻 0.3: 21 組相似食譜
# 門檻 0.4: 8 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
473036,蒜苗豆乾炒鹹豬肉,456706,乾煸蒜苗豆乾,0.765
456585,香腸炒蒜苗,442869,蒜苗香蒜炒香腸豆乾,0.643
475368,蒜苗炒臘肉,450023,蒜苗豆乾炒臘肉,0.617
472024,蒜苗炒鹹豬肉,456075,🐷蒜苗炒鹹豬肉,0.591
471631,臘雞腿炒蒜苗,448713,蒜苗米血糕,0.447
471631,臘雞腿炒蒜苗,433122,醬燒蒜苗旗魚,0.435
454241,臘腸炒蒜苗,463824,杏鮑菇蒜苗炒臘腸,0.429
448713,蒜苗米血糕,433122,醬燒蒜苗旗魚,0.421
478735,蒜苗炒叉燒,453983,好市多牛三寶炒蒜苗,0.392
456706,乾煸蒜苗豆乾,455046,蒜苗炒鴨賞,0.363
473191,十分鐘上菜-回鍋肉炒蒜苗,448713,蒜苗米血糕,0.36
471192,蒜苗醬燒烏魚 / 家常菜,450549,蒜苗醬燒烏魚,0.35
473036,蒜苗豆乾炒鹹豬肉,456075,🐷蒜苗炒鹹豬肉,0.349
454291,蒜苗五花肉,448713,蒜苗米血糕,0.337
472024,蒜苗炒鹹豬肉,473036,蒜苗豆乾炒鹹豬肉,0.335
473157,蒜苗炒高麗菜,432132,蒜苗臘肉,0.32
456706,乾煸蒜苗豆乾,454048,蒜苗豬肉豆乾包,0.319
465028,鴻禧菇蒜苗炒鴨賞,442869,蒜苗香蒜炒香腸豆乾,0.315
473157,蒜苗炒高麗菜,455371,蒜苗皇帝豆炒木耳及魚丸,0.309
478735,蒜苗炒叉燒,456464,蒜苗炒松阪豬,0.308
456706,乾煸蒜苗豆乾,442869,蒜苗香蒜炒香腸豆乾,0.305
