id,name,document
479305,大蒜油,去皮大蒜 食鹽 砂糖 鮮雞精粉
479583,烤蒜頭鮭魚,鮭魚 蒜頭 香菇素蠔油 鋁箔紙
479334,蒜頭蝦清湯,蝦 蒜瓣 薑片 安食小品醬鹽 白胡椒粉
479366,蒜頭蛤蠣雞湯,雞肉 薑片 蒜頭 青蔥 香菇 蛤蜊 米酒 白胡椒粉
477678,蒜頭蛤蜊雞湯,大雞腿肉 蛤蜊 蒜頭 糊椒粉
475685,油封大蒜,去皮膜頭 花椒粉
477626,大蒜蔬菜濃湯(燜燒鍋版),無鹽奶油 大蒜碎 雞高湯 馬鈴薯 麵粉 高麗菜 義大利綜合香料 洋蔥 大蒜粉 百里香 黑胡椒粉 月桂葉 鮮奶油 帕馬森起司粉 大蒜法國麵包
470977,蒜頭雞湯,雞腿塊 雞翅 蒜頭 精靈菇 米酒 白胡椒
473405,鐵板蒜頭雞,去骨雞腿切片 蒜頭 蒜泥 青蔥段 品高鐵板燒醬
472914,黑蒜頭雞湯,全雞腿 黑蒜頭 生蒜頭 薑片
476285,菜脯蒜頭蛤蜊雞湯,雞翅 雞腿 蛤蜊 蘿蔔乾菜脯 米酒 老薑 蒜頭 枸杞 味精 白胡椒粉
473718,胡椒蛤蜊蒜頭雞湯,仿土雞腿 蒜頭 胡椒 蛤蜊 薑 九層塔 米酒
472370,蜂蜜大蒜煎羊排,羊排 洋蔥 蜂蜜 大蒜 迷迭香葉 檸檬汁 黑胡椒
465106,蒜頭橄欖油,蒜頭 初榨橄欖油
476026,九層塔薑絲大蒜炒蛤蜊,蛤蜊吐好沙 辣椒 青蔥段 九層塔 薑絲 蒜頭 米酒 醬油
469782,當歸蒜頭香菇雞湯,仿土雞腿 台灣乾香菇 蒜瓣 當歸片 白胡椒粉
471984,大蒜鹽醬小黃瓜,小黃瓜 辣椒粉 蒜頭 白芝麻 烹大師鰹魚粉
462004,蒜頭炊飯,白米 蒜頭 蒜頭酥可有可用 優質鮮榨橄欖油
459090,蒜頭飯,白米飯 蒜頭 醬油膏 沙拉油或豬油
465177,蒜頭橄欖油乾麵,麵條 蒜頭橄欖油 白芝麻粒 白胡椒粉
462432,蒜頭冬粉雞湯,帶骨雞腿肉 蒜頭 黑珍珠菇 冬粉 蔥 白胡椒粉
464401,蒜頭蔥爆蝦,鮮蝦 蒜頭 胡椒粉 蔥花 米酒 糖
466129,電鍋-蒜頭菜脯雞湯,全聯雞腿肉 蒜頭 菜脯
461342,蒜頭乾麵,蒜頭 麵條 素蠔油 雞蛋
464362,蒜頭黑蜆湯,霸王黑蜆 蒜末 薑絲 蔥花 雞粉
458883,高麗菜蒜頭雞湯,仿土雞翅 高麗菜 娃娃菜 茭白筍 去皮蒜仁 蒜蓉醬 紅棗 枸杞 紹興酒 老酒 雞粉 白胡椒粉 清水
466425,香草羊排與大蒜馬鈴薯泥,羊排 迷迭香香料 百里香香料 大蒜切碎 粗胡椒粒 去皮切塊馬鈴薯 奶油 牛奶
461461,酒嗆蒜頭蝦,杏包菇 蝦子 蒜頭 辣椒 老姜 素蠔油 黑胡椒 花雕酒 生洋蔥
456895,大蒜奶油吐司,無鹽奶油 大蒜 黑胡椒
409180,黑金暖心黑菜脯黑蒜頭烏骨雞湯,養生黑蒜頭球 白蒜頭 薑片 紅棗 枸杞
458528,蒜頭醬油芒果青,青芒果 蒜末 醬油 糖 辣粉
460877,蒜頭炒雞腿 / 簡單家常菜,台灣國產土雞腿 老薑片 醬油 台灣蒜頭 白胡椒粉 辣椒盤飾用可省略 黑胡椒粒 蔥綠盤飾用可省略
458171,蘆筍蒜頭炒蝦仁,小蘆筍 蝦仁 蒜頭 香菇
454819,大蒜玉米麵包,玉米粒 美味大師大蒜麵包醬 高筋麵粉 黑胡椒碎可省略 酵母 糖 植物油 鹽可省略
447999,油封蒜頭 Garlic Confit,蒜頭 菜油 迷迭香
