id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479305,大蒜油,https://icook.tw/recipes/479305,去皮大蒜、沙拉油、食鹽、砂糖、鮮雞精粉,去皮大蒜100g | 沙拉油150g | 食鹽2小匙 | 砂糖1小匙 | 鮮雞精粉1小匙,"大蒜，氣疲 去蒂頭 | 攪打成末，過兩次清水 | 濾乾 | 可以再加壓一下，讓水分再少一些 | 150g沙拉油 | 橄欖油 都可以 | 加熱到150度，加入蒜末
倒入蒜末時要小心，會噗油 | 小火慢炸，直到氣泡變小，熄火
加入調味料 | 稍稍放涼，倒入玻璃瓶中
可以倒放變真空
冷卻，就可放冰箱儲存","大蒜油。食材：去皮大蒜100g，沙拉油150g，食鹽2小匙，砂糖1小匙，鮮雞精粉1小匙。做法：大蒜，氣疲 去蒂頭，攪打成末，過兩次清水，濾乾，可以再加壓一下，讓水分再少一些，150g沙拉油，橄欖油 都可以，加熱到150度，加入蒜末
倒入蒜末時要小心，會噗油，小火慢炸，直到氣泡變小，熄火
加入調味料，稍稍放涼，倒入玻璃瓶中
可以倒放變真空
冷卻，就可放冰箱儲存。",蒜頭/479305_大蒜油.jpg
478947,蒜頭燉雞,https://icook.tw/recipes/478947,雞腿肉,雞腿肉1,"蒜頭先煸到金黃，撈起 | 加麻油、煸薑片
香了以後放雞肉、蒜頭 | 放醬油、冰糖、米酒、蠔油、開水
燜5分鐘 | 加蔥白、辣椒，再燜三分鐘
加入蔥段收汁起鍋","蒜頭燉雞。食材：雞腿肉1。做法：蒜頭先煸到金黃，撈起，加麻油、煸薑片
香了以後放雞肉、蒜頭，放醬油、冰糖、米酒、蠔油、開水
燜5分鐘，加蔥白、辣椒，再燜三分鐘
加入蔥段收汁起鍋。",蒜頭/478947_蒜頭燉雞.jpg
479583,烤蒜頭鮭魚,https://icook.tw/recipes/479583,鮭魚、蒜頭、香菇素蠔油、鋁箔紙,鮭魚2片 | 蒜頭適量 | 香菇素蠔油適量 | 鋁箔紙1張,烤盤上放鋁箔紙，鮭魚清洗乾淨放在上面。（如果怕黏住，鋁箔紙表面可塗少許油）。 | 蒜頭用刀子拍一下，撥開外皮切成蒜末備用。 | 將蒜頭撒在鮭魚上面，淋上適量的香菇素蠔油。 | 放入烤箱，烤20分鐘，等食材熟後完成。（鮭魚大小片時間不一樣，厚度大片要在加時間）,烤蒜頭鮭魚。食材：鮭魚2片，蒜頭適量，香菇素蠔油適量，鋁箔紙1張。做法：烤盤上放鋁箔紙，鮭魚清洗乾淨放在上面。（如果怕黏住，鋁箔紙表面可塗少許油）。，蒜頭用刀子拍一下，撥開外皮切成蒜末備用。，將蒜頭撒在鮭魚上面，淋上適量的香菇素蠔油。，放入烤箱，烤20分鐘，等食材熟後完成。（鮭魚大小片時間不一樣，厚度大片要在加時間）。,蒜頭/479583_烤蒜頭鮭魚.jpg
479334,蒜頭蝦清湯,https://icook.tw/recipes/479334,蝦、蒜瓣、薑片、安食小品醬鹽、白胡椒粉,蝦8隻 | 蒜瓣4瓣 | 薑片4片 | 安食小品醬鹽1小匙 | 白胡椒粉隨意,"▪️蝦子去殼、去腸泥（殼留下） | ▪️熱油鍋之後下蝦頭蝦殼+薑片、蒜瓣炒紅 | ▪️加入水，小火熬10~15分鐘做成鮮湯
▪️過濾後加入蝦身，煮熟即可 | 最後調味，加入醬鹽和白胡椒粉，完成✅","蒜頭蝦清湯。食材：蝦8隻，蒜瓣4瓣，薑片4片，安食小品醬鹽1小匙，白胡椒粉隨意。做法：▪️蝦子去殼、去腸泥（殼留下），▪️熱油鍋之後下蝦頭蝦殼+薑片、蒜瓣炒紅，▪️加入水，小火熬10~15分鐘做成鮮湯
▪️過濾後加入蝦身，煮熟即可，最後調味，加入醬鹽和白胡椒粉，完成✅。",蒜頭/479334_蒜頭蝦清湯.jpg
479366,蒜頭蛤蠣雞湯,https://icook.tw/recipes/479366,雞肉、薑片、蒜頭、青蔥、香菇、蛤蜊、米酒、白胡椒粉、鹽巴,雞肉1/4隻 | 薑片4片 | 蒜頭2顆 | 青蔥3支 | 香菇5朵 | 蛤蜊8顆 | 米酒半瓶 | 白胡椒粉適量 | 鹽巴適量,"備料：蒜頭剝皮
青蔥切段
雞肉洗淨後先燙過
蛤蜊放鹽水，事先吐沙香菇泡水薑切片 | 熱鍋後，將雞皮朝下，煎至金黃。
雞肉出油後，加入薑片、蒜頭爆香，
再放入蔥白、香菇炒香 | 再放入香菇水、半瓶酒後，待滾後加入白胡椒粉及蔥綠 | 最後加入鹽巴調味，再加入蛤蜊煮至開口，即完成湯品。","蒜頭蛤蠣雞湯。食材：雞肉1/4隻，薑片4片，蒜頭2顆，青蔥3支，香菇5朵，蛤蜊8顆，米酒半瓶，白胡椒粉適量，鹽巴適量。做法：備料：蒜頭剝皮
青蔥切段
雞肉洗淨後先燙過
蛤蜊放鹽水，事先吐沙香菇泡水薑切片，熱鍋後，將雞皮朝下，煎至金黃。
雞肉出油後，加入薑片、蒜頭爆香，
再放入蔥白、香菇炒香，再放入香菇水、半瓶酒後，待滾後加入白胡椒粉及蔥綠，最後加入鹽巴調味，再加入蛤蜊煮至開口，即完成湯品。。",蒜頭/479366_蒜頭蛤蠣雞湯.jpg
477678,蒜頭蛤蜊雞湯,https://icook.tw/recipes/477678,大雞腿肉、蛤蜊、蒜頭、糊椒粉、鹽,大雞腿肉1隻 | 蛤蜊半斤 | 蒜頭20顆 | 糊椒粉少許 | 鹽少許,"1:雞腿、蛤蜊洗乾淨瀝乾
2:蒜頭去皮 | 1:油鍋放10顆蒜頭爆香至金黃色
    盛起放鍋內
2:原油鍋放入雞肉爆香至微焦，
     把雞肉也盛到鍋內
3:湯鍋加水（水淹過雞ㄧ點就好）
     在把剩下的10課蒜頭一起放
      盡去煮20分鐘，最後把蛤蜊
      放進去，等蛤蜊全開在放鹽和
       糊椒粉即可","蒜頭蛤蜊雞湯。食材：大雞腿肉1隻，蛤蜊半斤，蒜頭20顆，糊椒粉少許，鹽少許。做法：1:雞腿、蛤蜊洗乾淨瀝乾
2:蒜頭去皮，1:油鍋放10顆蒜頭爆香至金黃色
    盛起放鍋內
2:原油鍋放入雞肉爆香至微焦，
     把雞肉也盛到鍋內
3:湯鍋加水（水淹過雞ㄧ點就好）
     在把剩下的10課蒜頭一起放
      盡去煮20分鐘，最後把蛤蜊
      放進去，等蛤蜊全開在放鹽和
       糊椒粉即可。",蒜頭/477678_蒜頭蛤蜊雞湯.jpg
478948,蒜頭牛小排,https://icook.tw/recipes/478948,牛小排,牛小排1,"把牛小排水分吸乾後切塊 | 熱鍋下油煎蒜頭
兩面金黃色撈起來 | 牛肉放下去煎到兩面變色
再把蒜頭加下去 | 加醬汁（黑胡椒、鹽、醬油、蠔油、水）
炒一炒起鍋","蒜頭牛小排。食材：牛小排1。做法：把牛小排水分吸乾後切塊，熱鍋下油煎蒜頭
兩面金黃色撈起來，牛肉放下去煎到兩面變色
再把蒜頭加下去，加醬汁（黑胡椒、鹽、醬油、蠔油、水）
炒一炒起鍋。",蒜頭/478948_蒜頭牛小排.jpg
475685,油封大蒜,https://icook.tw/recipes/475685,去皮膜🧄頭、橄欖油、花椒粉,去皮膜🧄頭400克 | 橄欖油適量 | 花椒粉適量,蒜頭🧄去皮去膜剝乾淨切掉蒂頭 | 鍋中倒入蓋過蒜粒的橄欖油中大火加熱，並且要不時的翻動讓所有的蒜粒都能均勻的受熱。 | 當蒜粒面開始變微微焦黃及軟化時加入花椒粉及香草梗後再煮一下至筷子可以很容易插進蒜粒中便可以熄火待涼裝入瓶中 | 廚房都是一股蒜香味，蓋上瓶蓋放冰箱冷藏，隨時可以享用。 | 剛好法棍🥖也新鮮烘烤出爐立馬將油封蒜粒叉起來塗抹在切片的法棍🥖上真的是太享受了。,油封大蒜。食材：去皮膜🧄頭400克，橄欖油適量，花椒粉適量。做法：蒜頭🧄去皮去膜剝乾淨切掉蒂頭，鍋中倒入蓋過蒜粒的橄欖油中大火加熱，並且要不時的翻動讓所有的蒜粒都能均勻的受熱。，當蒜粒面開始變微微焦黃及軟化時加入花椒粉及香草梗後再煮一下至筷子可以很容易插進蒜粒中便可以熄火待涼裝入瓶中，廚房都是一股蒜香味，蓋上瓶蓋放冰箱冷藏，隨時可以享用。，剛好法棍🥖也新鮮烘烤出爐立馬將油封蒜粒叉起來塗抹在切片的法棍🥖上真的是太享受了。。,蒜頭/475685_油封大蒜.jpg
477626,大蒜蔬菜濃湯(燜燒鍋版),https://icook.tw/recipes/477626,無鹽奶油、大蒜碎、雞高湯、馬鈴薯、麵粉、高麗菜、義大利綜合香料、洋蔥、大蒜粉、百里香、黑胡椒粉、月桂葉、鮮奶油、帕馬森起司粉、大蒜法國麵包,無鹽奶油2大匙 | 大蒜碎4大匙 | 馬鈴薯50g | 高麗菜200g | 洋蔥1/2顆 | 百里香2枝 | 月桂葉1片 | 鮮奶油50c.c. | 帕馬森起司粉3大匙 | 大蒜法國麵包4片 | 雞高湯600c.c. | 麵粉2大匙 | 義大利綜合香料1小匙 | 大蒜粉1小匙 | 黑胡椒粉1/2小匙,"準備食材。 | 內鍋中加入奶油，以中火加熱至奶油融化，加入蒜末，炒至香味四溢（約 1～2 分鐘）。 | 加入洋蔥一起炒香，再放入馬鈴薯與高麗菜同炒。
接著加入麵粉、鹽、黑胡椒、蒜粉、義大利調味料拌炒均勻，再加入雞高湯、百里香、月桂葉，不斷攪拌直到變稠。 | 待湯汁滾沸後，再煮約3分鐘，即可將內鍋移到外鍋中，蓋上鍋蓋，靜罝燜燒20分鐘。 | 取出內鍋，使用食物調理棒將內鍋中的食材攪打至濃稠質地。 | 接著加入鮮奶油與帕馬森起司粉，並放回爐火上煮至再次沸騰即可享用。","大蒜蔬菜濃湯(燜燒鍋版)。食材：無鹽奶油2大匙，大蒜碎4大匙，馬鈴薯50g，高麗菜200g，洋蔥1/2顆，百里香2枝，月桂葉1片，鮮奶油50c.c.，帕馬森起司粉3大匙，大蒜法國麵包4片，雞高湯600c.c.，麵粉2大匙，義大利綜合香料1小匙，大蒜粉1小匙，黑胡椒粉1/2小匙。做法：準備食材。，內鍋中加入奶油，以中火加熱至奶油融化，加入蒜末，炒至香味四溢（約 1～2 分鐘）。，加入洋蔥一起炒香，再放入馬鈴薯與高麗菜同炒。
接著加入麵粉、鹽、黑胡椒、蒜粉、義大利調味料拌炒均勻，再加入雞高湯、百里香、月桂葉，不斷攪拌直到變稠。，待湯汁滾沸後，再煮約3分鐘，即可將內鍋移到外鍋中，蓋上鍋蓋，靜罝燜燒20分鐘。，取出內鍋，使用食物調理棒將內鍋中的食材攪打至濃稠質地。，接著加入鮮奶油與帕馬森起司粉，並放回爐火上煮至再次沸騰即可享用。。",蒜頭/477626_大蒜蔬菜濃湯(燜燒鍋版).jpg
470977,蒜頭雞湯,https://icook.tw/recipes/470977,雞腿塊、雞翅、蒜頭、精靈菇、米酒、白胡椒、鹽巴、水,雞腿塊2隻 | 雞翅4隻 | 蒜頭2大顆 | 精靈菇200克 | 米酒少許 | 白胡椒小匙 | 鹽巴適量 | 水2000毫升,"雞肉洗淨瀝乾，少許油、熱鍋煎微焦。
起另一鍋燒熱水、備用。 | 雞肉微焦，加蒜頭用雞油爆香、
米酒在這裡熗鍋、增加香氣。 | 加入自己喜歡的菇類、拌炒一下，加入剛剛煮滾的熱水 | 倒入內鍋，電鍋加水1杯，跳起來即可，喜歡有Q度雞肉的外鍋水8分就可以。","蒜頭雞湯。食材：雞腿塊2隻，雞翅4隻，蒜頭2大顆，精靈菇200克，米酒少許，白胡椒小匙，鹽巴適量，水2000毫升。做法：雞肉洗淨瀝乾，少許油、熱鍋煎微焦。
起另一鍋燒熱水、備用。，雞肉微焦，加蒜頭用雞油爆香、
米酒在這裡熗鍋、增加香氣。，加入自己喜歡的菇類、拌炒一下，加入剛剛煮滾的熱水，倒入內鍋，電鍋加水1杯，跳起來即可，喜歡有Q度雞肉的外鍋水8分就可以。。",蒜頭/470977_蒜頭雞湯.jpg
