# 分析摘要
# 最高相似度: 0.731
# 建議門檻: 0.58 (最高相似度的80%)
# 總食譜組合數: 1081
# 當前分析門檻: 0.3
# 符合門檻組合數: 20
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 107 組相似食譜
# 門檻 0.2: 45 組相似食譜
# 門檻 0.3: 20 組相似食譜
# 門檻 0.4: 9 組相似食譜
# 門檻 0.5: 6 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
446328,蓮藕排骨湯,445773,蓮藕排骨玉米湯,0.731
466584,蓮藕山藥排骨湯,445773,蓮藕排骨玉米湯,0.692
468576,蓮藕肉餅,461696,蓮藕,0.585
470448,黃瓜蓮藕排骨玉米湯,445773,蓮藕排骨玉米湯,0.551
455972,雞茸蓮藕盒｜過熱水蒸氣烤箱微波爐,455973,炸雞茸蓮藕盒｜過熱水蒸氣烤箱微波爐,0.53
466584,蓮藕山藥排骨湯,446328,蓮藕排骨湯,0.506
455974,豆渣蓮藕盒｜過熱水蒸氣烤箱微波爐,455973,炸雞茸蓮藕盒｜過熱水蒸氣烤箱微波爐,0.466
465490,洋蔥肉末炒蓮藕,446735,日式糖醋蓮藕,0.455
466584,蓮藕山藥排骨湯,466402,蓮藕玉米紅蘿蔔蓮子瘦肉湯,0.448
470448,黃瓜蓮藕排骨玉米湯,466584,蓮藕山藥排骨湯,0.382
471934,古早味碗粿 / 電鍋料理 (蓮藕粉版),463677,芋頭藕粉涼糕｜蓮藕粉取代太白粉更健康,0.382
470448,黃瓜蓮藕排骨玉米湯,446328,蓮藕排骨湯,0.377
465542,牛肉炒蓮藕,463047,蓮藕片炒雞胸,0.373
470719,蓮藕香菇烏骨雞湯,476458,免顧火也能做｜蓮藕豬骨湯,0.358
468576,蓮藕肉餅,443650,蓮藕肉餅-排油鍋,0.35
466402,蓮藕玉米紅蘿蔔蓮子瘦肉湯,445773,蓮藕排骨玉米湯,0.346
466584,蓮藕山藥排骨湯,462353,韓式涼拌蓮藕,0.325
451943,冰糖蓮藕茶,445445,蓮藕竹筍雞湯,0.32
462353,韓式涼拌蓮藕,466402,蓮藕玉米紅蘿蔔蓮子瘦肉湯,0.304
465542,牛肉炒蓮藕,461633,蓮藕豬里肌煮,0.302
