id,name,document
475551,蔥多多蔥蛋,蔥 蛋 杏包菇 柴魚粉 胡椒粉 米酒或水
478883,蔥香雞絲,去骨全雞腿 紅棗 薑片 米酒 胡椒粉 蔥
478873,米紙蔥肉餅,米紙 豬絞肉 川辣椒麻十三香 蔥花 醬油
479392,蔥燒豆包,白靈菇 豆包 醬油 蔥 蠔油 糖
477340,油蔥醬,薑末 蔥白 蔥綠末 白胡椒粉 味精或雞粉
479707,微波爐炸蔥油,青蔥
478858,金針菇蔥蛋,金針菇 蔥 蛋 白胡椒粉 安食小品柴魚粉 安食小品黑豆醬油
478631,蔥爆沙茶牛肉,蔥段 蒜頭 醬油 辣椒 米酒 沙茶 蛋白 糖
476344,蔥燒雞腿,去骨雞腿肉 蔥 蒜瓣 醬油 蠔油 鮮味炒手 五香粉 孜然粉 低筋麵粉 米酒
478722,蔥蛋卷 / 簡單早餐,雞蛋 青蔥 白胡椒粉
476031,蔥燒鱸魚,鱸魚排 青蔥 醬油 蒜頭 薑 米酒 糖 麻油
478236,甜蔥爆豬肉,豬梅花炒肉片 甜蔥 紅蘿蔔絲 木耳絲 蠔油 薄鹽醬油 白胡椒粉
474327,蔥燒鮭魚,鮭魚菲力 鹽醃料 砂糖 金門高粱酒醃料 烏醋 蔥 拍扁切段 醬油 薑片 金門高粱酒 紅蔥頭 冷開水 乾辣椒可略
475092,甜蔥雞湯,甜蔥日本大蔥 土雞肉
479507,蔥抓餅加蛋,冷凍蔥抓餅 蛋
475109,蔥燒大餅,酵母粉 棕櫚糖或糖 五香粉 中筋麵粉 蔥 熟芝麻
474962,香蔥燒餅,中筋麵粉 玄米油 糖 酵母粉 胡椒粉 洗淨晾乾的蔥 芝麻
474494,蔥肉餅-米紙,絞肉 蔥花 醬油 蒜末 胡椒粉 米紙
472378,蔥大餅,中筋麵粉 溫水 蔥花 快速酵母 胡椒粉
479714,香蔥海南雞飯,去骨雞腿排 米 薑片 青蔥 米酒 胡椒粉
474259,蔥香蝦仁,全聯蝦仁 蔥段 醬油 白芝麻
479156,蒜味蔥鹽雞胸肉,雞胸肉切塊 白胡椒粉 青蔥切末 低筋麵粉 蒜頭切末 糖 白芝麻 黑胡椒粉
479171,#281 蔥燒鯛魚塊,鯛魚片 洋蔥 可換鹽巴 胡椒粉 蒜頭 米酒 青蔥 麵粉 砂糖 太白粉水 菇類 配菜 醬油 清水 蠔油 烏醋 白胡椒粉
476745,姜葱炒蟹,螃蟹 蔥絲 澱粉 薑絲 蠔油 料酒 生抽 糖
476579,韓式蘋果蔥泡菜,青蔥 洋蔥 韓式粗辣椒粉 蘋果 魚露 蒜泥 砂糖 熟白芝麻 蘋果醋 粗辣椒片 醬油 味精
473992,油蔥麵線,麵線 洋蔥切丁 麻油
476517,蔥燒雞腿丁,雞腿腿片切大丁 青蔥 豆油伯甘田醬油 老薑片 金蘭老抽醬油 白芝麻粒 冷開水 米酒 白胡椒粉 糖 蛋清 蠔油 太白粉或者地瓜粉 橄欖油或者酪梨油
476499,香蔥滷肉燥,絞肉 蔥花 蒜磨泥 薑磨泥 醬油
475343,手抓蔥肉餅,碎肉 蔥末 香油麻油 白胡椒 醬油 手抓餅
477919,蔥燒虱目魚柳 / 家常菜,虱目魚柳 小黃瓜 青蔥 太白粉或玉米粉 蠔油 老薑片 米酒 蒜瓣 辣椒去籽
477110,醬燒蔥豆腐🎶,板豆腐 蔥 李錦記頭道原釀醬油 味醂
473064,蔥鹽雞丁,雞胸肉片 青蔥末 米酒可省略 蒜頭 太白粉讓肉更嫩可省略 水鎖住食材水分 白胡椒粉 香油麻油 熱油
477384,蔥燒虱目魚皮 / 家常菜,虱目魚皮 洋蔥 蠔油 日本甜蔥大蔥 天時野櫻莓果醋 蒜瓣 米酒 老薑 白胡椒粉 辣椒 黑胡椒粒
475093,蔥燒牛肉片,肩小排火鍋牛肉片 蔥 醬油 蠔油 鮮味抄手 黑胡椒粉 無鹽奶油 蒜頭 低筋麵粉
469070,蔥麵包,高筋麵粉 蔥花 鮮奶油 無鹽奶油 砂糖 雞蛋 酵母
473766,蔥爆鴨胸,鴨胸 大蔥日本甜蔥 紅蘿蔔絲 白芝麻 醬油 白胡椒粉 黑胡椒粉 黑糖粉
475935,蔥爆白玉蘭花蚌,白玉蘭花蚌 蔥 辣椒 蒜頭 米酒 鮮味炒手 白胡椒粉
474095,葱燒板豆腐,板豆腐 青蔥 蒜 辣椒 酱油 素壕油 胡椒粉
475471,甜蔥燒肉卷,豬五花肉片 日本甜蔥 砂糖 醬油 高粱酒 味醂 冷開水
471346,酒釀蔥抓餅,蔥抓餅 雞蛋 枸杞 蔥花 甜酒釀 蠔油 白胡椒粉
459685,雞絲蔥油拌麵,麵條 雞絲 洋蔥 辣椒 青蔥
470222,蘋果蔥肉包,中筋麵粉 酵母粉 豬肉餡 蔥 華盛頓加拉蘋果 醬油 米酒 砂糖 枸杞
470497,蔥爆豬肉,梅花豬炒肉片 蔥 辣椒 糯米椒 蒜 醬油 糖 白胡椒粉 米酒 蠔油
478933,雙蔥燒梅花軟骨(萬用鍋),梅花肉 軟骨 洋蔥 蔥 蠔油 烏醋 醬油 糖
