id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
475551,蔥多多蔥蛋,https://icook.tw/recipes/475551,蔥、蛋、杏包菇、鹽、柴魚粉、胡椒粉、米酒或水,蔥4根 | 蛋4顆 | 杏包菇2小根 | 鹽1小匙 | 柴魚粉1小匙 | 胡椒粉1茶匙 | 米酒或水適量,把雞蛋打散，加入米酒、鹽、柴魚粉，攪拌均勻；蔥切成蔥花、杏包菇也切小丁備用 | 油量稍多，加熱到有油紋，將蛋液下鍋，用筷子順時針快速攪拌滑動，讓蛋液均勻受熱 | 加入蔥花、杏包菇丁（可略），灑一點胡椒粉 | 待稍微凝固後，翻面，中火煎一分鐘即完成,蔥多多蔥蛋。食材：蔥4根，蛋4顆，杏包菇2小根，鹽1小匙，柴魚粉1小匙，胡椒粉1茶匙，米酒或水適量。做法：把雞蛋打散，加入米酒、鹽、柴魚粉，攪拌均勻；蔥切成蔥花、杏包菇也切小丁備用，油量稍多，加熱到有油紋，將蛋液下鍋，用筷子順時針快速攪拌滑動，讓蛋液均勻受熱，加入蔥花、杏包菇丁（可略），灑一點胡椒粉，待稍微凝固後，翻面，中火煎一分鐘即完成。,蔥/475551_蔥多多蔥蛋.jpg
478883,蔥香雞絲,https://icook.tw/recipes/478883,去骨全雞腿、紅棗、薑片、米酒、胡椒粉、鹽巴、蔥,去骨全雞腿1支 | 紅棗5個 | 薑片3片 | 米酒1大匙 | 胡椒粉1小匙 | 鹽巴1大匙 | 蔥4根,蒸鍋中倒蓋一個碗，將雞腿切成兩片表面塗抹鹽巴，胡椒粉放入蒸鍋倒蓋碗上面 | 鋪上薑片及去頭尾的紅棗後灑上米酒 | 外鍋放水開始蒸煮，水滾後轉中小火約煮30分鐘，趁著在等待時，將所有蔥切成蔥絲 | 蒸好雞腿肉略為放涼 | 肉撕成肉絲 | 打開倒蓋的碗會發現蒸肉的湯汁全部在碗內。 | 將湯汁加熱後放入蔥蒜攪拌後立刻關火。此時湯汁散發蔥香 | 將蔥絲雞湯倒入已經撥好的雞絲上攪拌均勻即可食用。,蔥香雞絲。食材：去骨全雞腿1支，紅棗5個，薑片3片，米酒1大匙，胡椒粉1小匙，鹽巴1大匙，蔥4根。做法：蒸鍋中倒蓋一個碗，將雞腿切成兩片表面塗抹鹽巴，胡椒粉放入蒸鍋倒蓋碗上面，鋪上薑片及去頭尾的紅棗後灑上米酒，外鍋放水開始蒸煮，水滾後轉中小火約煮30分鐘，趁著在等待時，將所有蔥切成蔥絲，蒸好雞腿肉略為放涼，肉撕成肉絲，打開倒蓋的碗會發現蒸肉的湯汁全部在碗內。，將湯汁加熱後放入蔥蒜攪拌後立刻關火。此時湯汁散發蔥香，將蔥絲雞湯倒入已經撥好的雞絲上攪拌均勻即可食用。。,蔥/478883_蔥香雞絲.jpg
478873,米紙蔥肉餅,https://icook.tw/recipes/478873,米紙、豬絞肉、川辣椒麻十三香、蔥花、醬油,米紙5張 | 豬絞肉150g | 川辣椒麻十三香一大匙 | 蔥花蔥花 適量 | 醬油一小匙,"將豬絞肉、蔥花醬油及川辣椒麻十三香，混合 | 攪拌均勻至黏稠 | 米紙兩面沾濕 | 包入調好的餡料 | 捲成蝸牛形狀 | 熱鍋加油小火慢煎
蓋上鍋蓋悶煎五分鐘後
再翻面悶煎五分鐘 | 最後可以再撒上一些川辣椒麻十三香","米紙蔥肉餅。食材：米紙5張，豬絞肉150g，川辣椒麻十三香一大匙，蔥花蔥花 適量，醬油一小匙。做法：將豬絞肉、蔥花醬油及川辣椒麻十三香，混合，攪拌均勻至黏稠，米紙兩面沾濕，包入調好的餡料，捲成蝸牛形狀，熱鍋加油小火慢煎
蓋上鍋蓋悶煎五分鐘後
再翻面悶煎五分鐘，最後可以再撒上一些川辣椒麻十三香。",蔥/478873_米紙蔥肉餅.jpg
479392,蔥燒豆包,https://icook.tw/recipes/479392,白靈菇、豆包、醬油、蔥、蠔油、糖、水,白靈菇1包 | 豆包4~5片 | 蔥3根 | 醬油1大匙 | 蠔油1大匙 | 糖1茶匙 | 水少許,蔥洗淨去蒂，分蔥白、蔥綠切段；白靈菇去蒂，撥散洗淨備用 | 起油鍋，放入豆包中小火煎至兩面焦黃，取出切小片(1片分成3小片) | 同上鍋，再加些油，放入蔥白段爆香，放入白靈菇拌炒，加入所有調味料、作法2的豆包煮至湯水收汁 | 起鍋前，放入蔥綠拌炒均勻即可,蔥燒豆包。食材：白靈菇1包，豆包4~5片，蔥3根，醬油1大匙，蠔油1大匙，糖1茶匙，水少許。做法：蔥洗淨去蒂，分蔥白、蔥綠切段；白靈菇去蒂，撥散洗淨備用，起油鍋，放入豆包中小火煎至兩面焦黃，取出切小片(1片分成3小片)，同上鍋，再加些油，放入蔥白段爆香，放入白靈菇拌炒，加入所有調味料、作法2的豆包煮至湯水收汁，起鍋前，放入蔥綠拌炒均勻即可。,蔥/479392_蔥燒豆包.jpg
477340,油蔥醬,https://icook.tw/recipes/477340,薑末、蔥白、油、鹽巴、蔥綠末、白胡椒粉、味精或雞粉,薑末2大匙 | 蔥白30克 | 鹽巴1茶匙 | 白胡椒粉1茶匙 | 味精或雞粉1茶匙 | 油100毫升 | 蔥綠末60克 | 油100毫升,將原料二加熱倒入原料ㄧ攪拌 | 將原料三加入原料一攪拌 | 將原料四加熱加入原料一攪拌,油蔥醬。食材：薑末2大匙，蔥白30克，鹽巴1茶匙，白胡椒粉1茶匙，味精或雞粉1茶匙，油100毫升，蔥綠末60克，油100毫升。做法：將原料二加熱倒入原料ㄧ攪拌，將原料三加入原料一攪拌，將原料四加熱加入原料一攪拌。,蔥/477340_油蔥醬.jpg
479707,微波爐炸蔥油,https://icook.tw/recipes/479707,青蔥、沙拉油,青蔥120g | 沙拉油150g,青蔥洗淨、控乾，切成小段 | 倒入沙拉油，蓋上蓋子，微波爐中火加熱12分鐘【具體時長須視微波爐火力而定，建議每3~4分鐘檢查一次】 | 炸至蔥段呈現深棕色即可【圖中有些太焦了】 | 蔥油就完成了，因為炸蔥酥吃油，所以剩下的蔥油不多,微波爐炸蔥油。食材：青蔥120g，沙拉油150g。做法：青蔥洗淨、控乾，切成小段，倒入沙拉油，蓋上蓋子，微波爐中火加熱12分鐘【具體時長須視微波爐火力而定，建議每3~4分鐘檢查一次】，炸至蔥段呈現深棕色即可【圖中有些太焦了】，蔥油就完成了，因為炸蔥酥吃油，所以剩下的蔥油不多。,蔥/479707_微波爐炸蔥油.jpg
478858,金針菇蔥蛋,https://icook.tw/recipes/478858,金針菇、蔥、蛋、白胡椒粉、香油、安食小品柴魚粉、安食小品黑豆醬油,金針菇1包 | 蔥1支 | 蛋2顆 | 白胡椒粉1大匙 | 香油1小匙 | 安食小品柴魚粉1小匙 | 安食小品黑豆醬油1小匙,"食譜：
▪️金針菇去尾端後切片
▪️兩顆蛋+白胡椒粉+柴魚粉+香油+蔥花打勻 | ▪️將金針菇切片沾滿蛋液後放入平底鍋煎
▪️兩面煎熟 | ▪️ 盛盤，淋上一點黑豆醬油，完成✅","金針菇蔥蛋。食材：金針菇1包，蔥1支，蛋2顆，白胡椒粉1大匙，香油1小匙，安食小品柴魚粉1小匙，安食小品黑豆醬油1小匙。做法：食譜：
▪️金針菇去尾端後切片
▪️兩顆蛋+白胡椒粉+柴魚粉+香油+蔥花打勻，▪️將金針菇切片沾滿蛋液後放入平底鍋煎
▪️兩面煎熟，▪️ 盛盤，淋上一點黑豆醬油，完成✅。",蔥/478858_金針菇蔥蛋.jpg
478631,蔥爆沙茶牛肉,https://icook.tw/recipes/478631,蔥段、蒜頭、醬油、辣椒、米酒、沙茶、香油、蛋白、糖,蔥段3 | 蒜頭3瓣 | 辣椒6根 | 沙茶3大匙 | 醬油1大匙 | 糖1小匙 | 醬油1大匙 | 米酒1大匙 | 香油1大匙 | 蛋白1,"蔥切段、蒜頭切片、辣椒切絲 | 三辛香料 一起大火爆炒香氣出來 | 放入醃製好的牛肉
醃製牛肉材料在食譜中 | 牛肉炒熟後，放入沙茶醬 任意品牌
再放入醬油一大匙 | 會釋出一些水分 慢慢炒乾 | 炒乾一些水分後 視個人口味放糖","蔥爆沙茶牛肉。食材：蔥段3，蒜頭3瓣，辣椒6根，沙茶3大匙，醬油1大匙，糖1小匙，醬油1大匙，米酒1大匙，香油1大匙，蛋白1。做法：蔥切段、蒜頭切片、辣椒切絲，三辛香料 一起大火爆炒香氣出來，放入醃製好的牛肉
醃製牛肉材料在食譜中，牛肉炒熟後，放入沙茶醬 任意品牌
再放入醬油一大匙，會釋出一些水分 慢慢炒乾，炒乾一些水分後 視個人口味放糖。",蔥/478631_蔥爆沙茶牛肉.jpg
476344,蔥燒雞腿,https://icook.tw/recipes/476344,去骨雞腿肉、蔥、蒜瓣、醬油、蠔油、鹽、鮮味炒手、五香粉、孜然粉、低筋麵粉、米酒,去骨雞腿肉200g | 蔥1根 | 蒜瓣2瓣 | 醬油1大匙 | 蠔油1小匙 | 鹽1茶匙 | 鮮味炒手1茶匙 | 五香粉1茶匙 | 孜然粉1茶匙 | 低筋麵粉2大匙 | 米酒1茶匙,去骨雞腿洗淨切塊 | 加入米酒，醬油，蠔油，鹽，鮮味炒手，五香粉，孜然粉攪拌均勻，醃10分鐘 | 雞腿肉沾低筋麵粉，沾勻 | 熱油鍋，放入蒜瓣，蔥白爆香 | 放入雞腿肉，中小火慢煎 | 煎到表面金黃，繼續煎至酥脆口感 | 最好撒上蔥花即完成✅,蔥燒雞腿。食材：去骨雞腿肉200g，蔥1根，蒜瓣2瓣，醬油1大匙，蠔油1小匙，鹽1茶匙，鮮味炒手1茶匙，五香粉1茶匙，孜然粉1茶匙，低筋麵粉2大匙，米酒1茶匙。做法：去骨雞腿洗淨切塊，加入米酒，醬油，蠔油，鹽，鮮味炒手，五香粉，孜然粉攪拌均勻，醃10分鐘，雞腿肉沾低筋麵粉，沾勻，熱油鍋，放入蒜瓣，蔥白爆香，放入雞腿肉，中小火慢煎，煎到表面金黃，繼續煎至酥脆口感，最好撒上蔥花即完成✅。,蔥/476344_蔥燒雞腿.jpg
478722,蔥蛋卷 / 簡單早餐,https://icook.tw/recipes/478722,雞蛋、青蔥、油、鹽、白胡椒粉,雞蛋4顆 | 青蔥2根 | 油1小匙 | 鹽1/6小匙 | 白胡椒粉1/6小匙 | 油1/2大匙,"雞蛋洗淨、青蔥洗淨用料理剪刀剪末。
（青蔥有黏液用剪的比較不會滑刀較安全） | 取乾淨的碗先打蛋，再加進蔥末、鹽、白胡椒粉、油一起辦打均勻。

（蛋液加點油能提升香氣，也能讓蛋卷蓬鬆。） | 平底鍋小火加油，先倒1 | 4蛋液。 | 蛋皮略定型時用平炒匙卷起。 | 再倒1 | 4蛋液，蛋汁趁還會流動時，用炒匙鏟起蛋卷讓蛋汁流到蛋卷底下，這樣可以黏合得更好。 | 蛋液略煎定型時，用平炒匙從第一圈蛋卷那面推摺卷成蛋卷。 | 一份蛋卷捲兩次成卷後推至鍋邊慢慢煎金黃，再相同動作製作第二份蛋卷，在一起煎至兩面微金黃，香氣四溢的蛋卷就完成囉。 | 蛋卷煎好時再從冷凍取出夏天美白的好朋友冷凍草莓，補充營養當盤飾也美麗。 | 蛋香蔥香滿滿，好吃。 | 下次來挑戰摺三卷的厚蔥蛋。","蔥蛋卷 / 簡單早餐。食材：雞蛋4顆，青蔥2根，油1小匙，鹽1/6小匙，白胡椒粉1/6小匙，油1/2大匙。做法：雞蛋洗淨、青蔥洗淨用料理剪刀剪末。
（青蔥有黏液用剪的比較不會滑刀較安全），取乾淨的碗先打蛋，再加進蔥末、鹽、白胡椒粉、油一起辦打均勻。

（蛋液加點油能提升香氣，也能讓蛋卷蓬鬆。），平底鍋小火加油，先倒1，4蛋液。，蛋皮略定型時用平炒匙卷起。，再倒1，4蛋液，蛋汁趁還會流動時，用炒匙鏟起蛋卷讓蛋汁流到蛋卷底下，這樣可以黏合得更好。，蛋液略煎定型時，用平炒匙從第一圈蛋卷那面推摺卷成蛋卷。，一份蛋卷捲兩次成卷後推至鍋邊慢慢煎金黃，再相同動作製作第二份蛋卷，在一起煎至兩面微金黃，香氣四溢的蛋卷就完成囉。，蛋卷煎好時再從冷凍取出夏天美白的好朋友冷凍草莓，補充營養當盤飾也美麗。，蛋香蔥香滿滿，好吃。，下次來挑戰摺三卷的厚蔥蛋。。",蔥/478722_蔥蛋卷___簡單早餐.jpg
