# 分析摘要
# 最高相似度: 0.518
# 建議門檻: 0.41 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 13
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 196 組相似食譜
# 門檻 0.2: 49 組相似食譜
# 門檻 0.3: 13 組相似食譜
# 門檻 0.4: 6 組相似食譜
# 門檻 0.5: 1 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
479707,微波爐炸蔥油,478722,蔥蛋卷 / 簡單早餐,0.518
479707,微波爐炸蔥油,477274,低蛋白蔥餅,0.499
478883,蔥香雞絲,479714,香蔥海南雞飯,0.458
476856,無敵方便蔥蛋蔥,478722,蔥蛋卷 / 簡單早餐,0.434
478873,米紙蔥肉餅,474494,蔥肉餅-米紙,0.429
474494,蔥肉餅-米紙,476499,香蔥滷肉燥,0.429
478722,蔥蛋卷 / 簡單早餐,471346,酒釀蔥抓餅,0.382
479707,微波爐炸蔥油,479714,香蔥海南雞飯,0.349
478631,蔥爆沙茶牛肉,475935,蔥爆白玉蘭花蚌,0.329
479707,微波爐炸蔥油,476031,蔥燒鱸魚,0.324
474494,蔥肉餅-米紙,473951,蔥燒梅花豬,0.324
476352,蔥薑煎魚,478631,蔥爆沙茶牛肉,0.318
479707,微波爐炸蔥油,459685,雞絲蔥油拌麵,0.317
