id,name,document
478173,薑糖漿🫚,老薑 糖 蜂蜜 檸檬汁
476895,薑燒豬肉,五花豬肉火鍋片 洋蔥切片 李錦記頭道零添加原釀醬油 低筋麵粉水 清酒 薑泥 味醂
477435,酸甜醃嫩薑,夏季嫩薑 糖冰糖或二砂糖皆可 白醋 梅子醬 話梅
479270,熱黑糖薑可可,薑 黑糖 可可方程式無糖可可粉
473906,薑母鴨,鴨肉 黃耆 米酒 川芎 麻油 當歸 薑 枸杞
476352,蔥薑煎魚,辣椒 薑絲 蔥段 醬油 味素 煎魚
477731,醃漬糖醋嫰薑,嫩薑 糖 醋
479361,秋葵薑飲OkraGinger Drink,秋葵Okra 有機薑nonGMOGinger 清水pure water
479222,蔴油薑Sesame Oil Ginger,有機薑 麻油 消毒過嘅玻璃樽
472364,地瓜薑湯,地瓜 老薑 黑糖
478389,全麥薑黃餅皮,高筋麵粉 全麥麵粉 薑黃粉 溫水
473731,薑黃蛤蜊凍,蛤蜊 去油豬皮 紅蔥頭末 味霖 香茅段 昆布柴魚高湯 薑黃粉 胡椒粉
479307,木薑子辣椒醬(五辛素),紅辣椒 朝天椒 醬油 大蒜 食鹽 木薑子馬告 老薑 砂糖 芫荽籽香菜子 味精 青花椒麻椒
476311,【全素】薑鮮小黃瓜,小黃瓜 里仁 薑香鮮味醬
471578,薑黃蘿蔔雞湯,雞肉塊 白蘿蔔 紅棗 枸杞 薑黃 蒜頭
479518,夏日飲品-薑檸養生蔬果汁,小磨坊椰奶 薑 檸檬 蘋果
471244,家鄉味薑母鴨,鴨肉 麻油 紅棗 薑片 枸杞 薑汁 黃耆 醬油 米酒 火鍋料 菜
468994,薑煮牛奶,牛奶 紅棗 枸杞 生薑 肉桂棒
478881,嫩薑涼拌川耳(五辛素),川耳泡發 嫩薑 醬油膏 香菜 白醋 紅辣椒 白芝麻油 朝天椒 砂糖 蒜末 味精
459511,薑薑四重奏,詳見下方
470184,薑燒雞腿排,去骨雞腿排 薑 米酒 八角 羅漢果糖 醬油
470115,薑黃蛤蜊香菜,蛤蜊 香菜 海帶芽乾 紅蔥頭絲 辣椒 酒 味霖 薑黃粉 椰漿粉 昆布柴魚高湯
476651,薑黃枸杞饅頭(手揉版),溫水 中筋麵粉 細砂糖 低糖酵母粉 枸杞 薑黃粉
476092,蘋果薑黃泡菜(五辛素),高麗菜 食鹽 胡蘿蔔 紅辣椒 蘋果 蘋果醋 砂糖 蒜頭 豆腐乳 薑黃粉 味精
471449,無水蔥薑鮮魚-年年有餘,魚 青蔥 米酒 辣椒 醬油 洋蔥 胡椒粉 薑 蒜頭
470703,薑味肉絲🎶,豬肉絲 薑絲
467095,醃嫩薑,嫩薑片 米醋或白醋 話梅 糖
473605,印尼薑黃飯Nasi Kuning,泰國茉莉香米 香茅檸檬草 植物油 南薑高良薑 油蔥酥 檸檬葉痲瘋柑葉 蒜頭 印尼月桂葉黃金蒲桃 薑黃粉 食鹽 濃椰漿 溫水
466768,◆薑黃飯,薑黃飯薑黃粉 薑黃飯香茅粉 棒棒雞腿 薑黃飯鹽巴 腐竹 薑黃飯泰國米 醬料味增 薑絲 新鮮香菇 薑黃飯水 醬料草菇老抽 辣豆瓣醬 醬料土蜂蜜 韓國蝦醬 韓國玉米糖漿
477615,麻油薑泥櫛瓜炒飯（蛋素）,雞蛋 麻油薑泥 福井縣越光米飯 櫛瓜 香菇調味露 白芝麻 玄米油
469456,蘿蔔薑棗湯,紅棗 薑片 白蘿蔔 蜂蜜
466156,薑黃大腸,去油大腸 紅蔥頭末 辣椒 酒 味霖 薑黃粉 花椒粉 昆布柴魚高湯
468881,簡易蔥薑醬,蔥花 薑末
465890,蜂蜜薑可可,無糖可可粉 蜂蜜 薑片
470784,廈門風味薑母野鴨,去油帶骨野鴨腿肉與野鴨翅 燙過野鴨珍 薑絲 酒 味霖 紅麴醬 醬油
478166,十分鐘料理-古早味南薑胭脂李,胭脂李 南薑末 砂糖
475722,薑黃椰奶湯麵(五辛素),關廟麵 溏心蛋 洋蔥 牛番茄 蒜頭 長豆 茄子 青椒 老薑 菇類 豆腐 素料 植物油 檸檬 香菜 淡色醬油 薑黃粉 咖喱粉 素食高湯粉 砂糖 濃椰漿
463070,薑黃雞腿飯,楓康吳羽保鮮膜 雞腿肉 小黃瓜片 紅蘿蔔丁 鴻喜菇丁 洋蔥丁 蔥花 蒜末 薑末 米 黑胡椒 魚露 醬油 薑黃粉
474252,麻油薑香炒菠菜里肌肉,菠菜 枸杞 薑片 麻油 全聯里肉塊
463444,冬瓜薑雞湯,土雞腿 冬瓜 薑
461918,斯里蘭卡芫荽籽薑茶,芫荽籽 薑片 肉桂棒可略
468275,養生薑黃玫瑰饅頭,水手牌特級粉心粉中筋 室溫水 薑黃粉 乾酵母 二砂糖
465766,薑黃雞湯麵,陽春麵 小白菜 去骨雞腿排 香菜 薑 青蔥 蔥 洋蔥 米酒 雞粉 薑黃粉 黑胡椒粉 雞高湯
472630,薑黃煮自製醃高菜(芥菜),自製醃高菜芥菜 紅蔥頭絲 蒜碎 辣椒 酒 味霖 無鹽自製紅麴醬 薑黃粉 胡椒粉 椰漿粉 昆布柴魚高湯
470906,薑香麻油炒波菜,菠菜 薑片 麻油
467826,蒜香薑黃飯,白米 薑黃粉 蒜頭
470330,麻油酒香薑蛋麵線,薑末 雞蛋 麵線 蔥花 麻油 米酒
461298,三薑飲,黃耆 大棗 枸杞子 山柰 肉桂 高良薑 乾薑
