id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
478173,薑糖漿🫚,https://icook.tw/recipes/478173,老薑、糖、蜂蜜、水、檸檬汁,老薑120克 | 糖77克 | 蜂蜜43克 | 水240克 | 檸檬汁0.5顆,薑洗乾淨後切片備用。 | 薑跟水一起煮滾，滾後關小火煮15分鐘。 | 過濾薑片，加入檸檬汁、糖跟蜂蜜煮至融化，關火倒入密封罐內 ，放涼即可使用。,薑糖漿🫚。食材：老薑120克，糖77克，蜂蜜43克，水240克，檸檬汁0.5顆。做法：薑洗乾淨後切片備用。，薑跟水一起煮滾，滾後關小火煮15分鐘。，過濾薑片，加入檸檬汁、糖跟蜂蜜煮至融化，關火倒入密封罐內 ，放涼即可使用。。,薑/478173_薑糖漿🫚.jpg
476895,薑燒豬肉,https://icook.tw/recipes/476895,五花豬肉火鍋片、洋蔥切片、李錦記頭道零添加原釀醬油、低筋麵粉水、清酒、薑泥、味醂,五花豬肉火鍋片200克 | 洋蔥切片1/4顆 | 低筋麵粉水1大匙 | 薑泥10克 | 李錦記頭道零添加原釀醬油1.5大匙 | 清酒5大匙 | 味醂1大匙,"食材：五花豬肉火鍋片、洋蔥切片、低筋麵粉水、薑泥
醬汁：李錦記頭道零添加原釀醬油、清酒、味醂 | 超市買的火鍋肉片，對切讓每一片肉片長度適中，倒入麵粉水用手搓勻，這樣可以讓肉片炒的時候容易沾附醬汁。 | 調醬汁，李錦記頭道零添加原釀醬油1.5大匙+清酒5大匙+味醂1大匙調在一起，備用。 | 熱鍋加油，加入五花豬肉片炒開到肉變成白色 | 將肉撥到一邊，放入洋蔥跟薑泥 | 倒入調好的醬汁 | 中小火拌炒煮到收汁~~ | 煮到肉片上色洋蔥軟化盛盤即可~~","薑燒豬肉。食材：五花豬肉火鍋片200克，洋蔥切片1/4顆，低筋麵粉水1大匙，薑泥10克，李錦記頭道零添加原釀醬油1.5大匙，清酒5大匙，味醂1大匙。做法：食材：五花豬肉火鍋片、洋蔥切片、低筋麵粉水、薑泥
醬汁：李錦記頭道零添加原釀醬油、清酒、味醂，超市買的火鍋肉片，對切讓每一片肉片長度適中，倒入麵粉水用手搓勻，這樣可以讓肉片炒的時候容易沾附醬汁。，調醬汁，李錦記頭道零添加原釀醬油1.5大匙+清酒5大匙+味醂1大匙調在一起，備用。，熱鍋加油，加入五花豬肉片炒開到肉變成白色，將肉撥到一邊，放入洋蔥跟薑泥，倒入調好的醬汁，中小火拌炒煮到收汁~~，煮到肉片上色洋蔥軟化盛盤即可~~。",薑/476895_薑燒豬肉.jpg
477435,酸甜醃嫩薑,https://icook.tw/recipes/477435,夏季嫩薑、鹽巴、糖（冰糖或二砂糖皆可）、白醋、水、梅子醬、話梅,夏季嫩薑1斤 | 鹽巴3大匙 | 糖（冰糖或二砂糖皆可）2杯 | 白醋2杯 | 水2杯 | 梅子醬1小匙 | 話梅4顆,"將嫩薑粉色的皮剝除，並且剔除薑比較老或是纖維比較多的地方，這些可以留下來炒菜 | 把薑一根一根洗淨，立起來讓水分蒸散，也可以用電風扇吹 | 薑放入大鍋撒鹽，鹽漬約2小時讓薑出澀水。

等待去青的同時，煮糖醋水，糖醋比例1:1，加入話梅及梅子醬一起熬煮，糖都融化後即可關火，放涼備用 | 薑的澀水倒掉，用紙巾稍微擦乾裝玻璃罐，太長的可以切2-3段，再倒入糖醋水，冰箱冷藏約3天後即可食用。 | 夏季冰箱常備小菜，食用時將嫩薑切成一口大小，配稀飯吃可以淋上醬油膏和香油。","酸甜醃嫩薑。食材：夏季嫩薑1斤，鹽巴3大匙，糖（冰糖或二砂糖皆可）2杯，白醋2杯，水2杯，梅子醬1小匙，話梅4顆。做法：將嫩薑粉色的皮剝除，並且剔除薑比較老或是纖維比較多的地方，這些可以留下來炒菜，把薑一根一根洗淨，立起來讓水分蒸散，也可以用電風扇吹，薑放入大鍋撒鹽，鹽漬約2小時讓薑出澀水。

等待去青的同時，煮糖醋水，糖醋比例1:1，加入話梅及梅子醬一起熬煮，糖都融化後即可關火，放涼備用，薑的澀水倒掉，用紙巾稍微擦乾裝玻璃罐，太長的可以切2-3段，再倒入糖醋水，冰箱冷藏約3天後即可食用。，夏季冰箱常備小菜，食用時將嫩薑切成一口大小，配稀飯吃可以淋上醬油膏和香油。。",薑/477435_酸甜醃嫩薑.jpg
479270,熱黑糖薑可可,https://icook.tw/recipes/479270,薑、黑糖、可可方程式無糖可可粉、水,薑1段 | 黑糖2大匙 | 可可方程式無糖可可粉1大匙 | 水600毫升,"1. 將薑切片
2. 注入600毫升的水
3. 放入薑片
4. 加入兩湯匙的黑糖和一湯匙的無糖可可粉
5. 煮滾之後攪拌均勻，完成 | 可以反覆沖（薑片還有味道，鍋內加水再滾即可）","熱黑糖薑可可。食材：薑1段，黑糖2大匙，可可方程式無糖可可粉1大匙，水600毫升。做法：1. 將薑切片
2. 注入600毫升的水
3. 放入薑片
4. 加入兩湯匙的黑糖和一湯匙的無糖可可粉
5. 煮滾之後攪拌均勻，完成，可以反覆沖（薑片還有味道，鍋內加水再滾即可）。",薑/479270_熱黑糖薑可可.jpg
473906,薑母鴨,https://icook.tw/recipes/473906,鴨肉、水、黃耆、米酒、川芎、麻油、當歸、薑、枸杞,鴨肉半隻 | 水1000毫升 | 米酒300 | 麻油適量 | 薑4塊 | 黃耆5克 | 川芎3克 | 當歸1克 | 枸杞2克,"爆香鴨肉

我將鴨肉帶皮下鍋，以中火煎炒至鴨油釋出。 | 加入薑片

放入拍裂切片的薑，繼續翻炒，直到薑片將鴨油充分吸收 | 倒入米酒、水、中藥材 | 小火煮30分鐘以上至柔軟為止","薑母鴨。食材：鴨肉半隻，水1000毫升，米酒300，麻油適量，薑4塊，黃耆5克，川芎3克，當歸1克，枸杞2克。做法：爆香鴨肉

我將鴨肉帶皮下鍋，以中火煎炒至鴨油釋出。，加入薑片

放入拍裂切片的薑，繼續翻炒，直到薑片將鴨油充分吸收，倒入米酒、水、中藥材，小火煮30分鐘以上至柔軟為止。",薑/473906_薑母鴨.jpg
476352,蔥薑煎魚,https://icook.tw/recipes/476352,辣椒🌶️、薑絲、蔥段、水、醬油、味素、煎魚,辣椒🌶️3支 | 薑絲半隻 | 蔥段2～3支 | 水300～400毫升 | 醬油3大匙 | 味素1/4小匙 | 煎魚1隻,下炒辣椒（和蔥一起） | 下炒薑（和辣椒一起） | 加入蔥段下炒 | 加入300cc的水 | 加入3大匙醬油 | 加1 | 4小匙味素 | 下魚一起煮（可以買已煎好的）,蔥薑煎魚。食材：辣椒🌶️3支，薑絲半隻，蔥段2～3支，水300～400毫升，醬油3大匙，味素1/4小匙，煎魚1隻。做法：下炒辣椒（和蔥一起），下炒薑（和辣椒一起），加入蔥段下炒，加入300cc的水，加入3大匙醬油，加1，4小匙味素，下魚一起煮（可以買已煎好的）。,薑/476352_蔥薑煎魚.jpg
477731,醃漬糖醋嫰薑,https://icook.tw/recipes/477731,嫩薑、鹽、糖、醋,嫩薑50元 | 鹽2小匙 | 糖4大匙 | 醋4大匙,"嫩薑沖水過，用廚房紙巾擦乾，用2小匙鹽拌一拌，2小時後，擦掉嫩薑上的水份。 | 放入玻璃容器之後，放入等量的糖醋（我放
糖醋各四大匙），蓋好蓋子放入冰箱兩天。 | 盛盤，要不要切隨意。配肉搭海鮮皆宜。","醃漬糖醋嫰薑。食材：嫩薑50元，鹽2小匙，糖4大匙，醋4大匙。做法：嫩薑沖水過，用廚房紙巾擦乾，用2小匙鹽拌一拌，2小時後，擦掉嫩薑上的水份。，放入玻璃容器之後，放入等量的糖醋（我放
糖醋各四大匙），蓋好蓋子放入冰箱兩天。，盛盤，要不要切隨意。配肉搭海鮮皆宜。。",薑/477731_醃漬糖醋嫰薑.jpg
479361,秋葵薑飲OkraGinger Drink,https://icook.tw/recipes/479361,秋葵Okra、有機薑nonGMOGinger、清水pure water,秋葵Okra3條 pieces | 有機薑nonGMOGinger3片slices | 清水pure water3杯cups,"選秋葵如手指般長，有機薑連皮。
Choose okra that is as long as a finger and organic ginger with the skin. | 洗乾淨切片、切丁。
Wash, slice and dice. | 將秋葵和有機薑放入清水中，大火煮開，然後轉小火煮大概30分鐘。
Place okra and organic ginger in water, bring to a boil over high heat, then simmer for about 30 minutes. | 煮至秋葵及薑味溢出，秋葵色澤變黃。水量少了一半。
Cook until the okra and ginger flavor comes out and the okra turns yellow. The amount of water was reduced by half. | 隔渣過濾後，只享用飲料。
After filtering, just enjoy the drink. | 可加鹽或者蜂蜜。冷飲或熱飲，都可以。
You can add salt or honey. Drink it hot or cold.","秋葵薑飲OkraGinger Drink。食材：秋葵Okra3條 pieces，有機薑nonGMOGinger3片slices，清水pure water3杯cups。做法：選秋葵如手指般長，有機薑連皮。
Choose okra that is as long as a finger and organic ginger with the skin.，洗乾淨切片、切丁。
Wash, slice and dice.，將秋葵和有機薑放入清水中，大火煮開，然後轉小火煮大概30分鐘。
Place okra and organic ginger in water, bring to a boil over high heat, then simmer for about 30 minutes.，煮至秋葵及薑味溢出，秋葵色澤變黃。水量少了一半。
Cook until the okra and ginger flavor comes out and the okra turns yellow. The amount of water was reduced by half.，隔渣過濾後，只享用飲料。
After filtering, just enjoy the drink.，可加鹽或者蜂蜜。冷飲或熱飲，都可以。
You can add salt or honey. Drink it hot or cold.。",薑/479361_秋葵薑飲OkraGinger_Drink.jpg
479222,蔴油薑Sesame Oil Ginger,https://icook.tw/recipes/479222,有機薑、麻油、消毒過嘅玻璃樽,有機薑8盎司 | 麻油1杯 | 消毒過嘅玻璃樽1個,"有機薑洗乾淨，連皮切薄片。
Wash the organic ginger and cut it into thin slices with the skin. | 白鑊文火，炒乾薑片。要炒到出香味及冇水份。
Heat the wok, fry the dried ginger slices over low heat until they are fragrant and no water is left. | 炒乾生薑片後，少了一半。
After frying the ginger slices, half of them were gone. | 炒好薑片攤凍 ，入樽。
Fry the ginger slices, cool down and put them into the bottle. | 加麻油。又一定要蓋過薑片。
Add sesame oil. Make sure it covers the ginger slices.","蔴油薑Sesame Oil Ginger。食材：有機薑8盎司，麻油1杯，消毒過嘅玻璃樽1個。做法：有機薑洗乾淨，連皮切薄片。
Wash the organic ginger and cut it into thin slices with the skin.，白鑊文火，炒乾薑片。要炒到出香味及冇水份。
Heat the wok, fry the dried ginger slices over low heat until they are fragrant and no water is left.，炒乾生薑片後，少了一半。
After frying the ginger slices, half of them were gone.，炒好薑片攤凍 ，入樽。
Fry the ginger slices, cool down and put them into the bottle.，加麻油。又一定要蓋過薑片。
Add sesame oil. Make sure it covers the ginger slices.。",薑/479222_蔴油薑Sesame_Oil_Ginger.jpg
472364,地瓜薑湯,https://icook.tw/recipes/472364,地瓜、老薑、黑糖、水,地瓜850克 | 老薑150克 | 黑糖45克 | 水1600毫升,將老薑清洗乾淨 | 用菜刀把老薑拍碎 | 鍋中加入拍碎的老薑和水 | 以大火煮滾(在煮薑湯期間準備地瓜) | 煮滾後轉爐心火，蓋上鍋蓋，並留小縫隙，以防止薑湯溢出。 | 地瓜洗淨後去皮 | 去皮後的地瓜滾刀塊(不要切太小塊，以避免地瓜煮熟後產生許多小碎塊) | 滾刀塊後的地瓜移至薑湯裡 | 蓋上鍋蓋，並留小縫隙，以防止薑湯溢出。繼續以爐心火烹煮40分鐘。 | 加入黑糖拌勻,地瓜薑湯。食材：地瓜850克，老薑150克，黑糖45克，水1600毫升。做法：將老薑清洗乾淨，用菜刀把老薑拍碎，鍋中加入拍碎的老薑和水，以大火煮滾(在煮薑湯期間準備地瓜)，煮滾後轉爐心火，蓋上鍋蓋，並留小縫隙，以防止薑湯溢出。，地瓜洗淨後去皮，去皮後的地瓜滾刀塊(不要切太小塊，以避免地瓜煮熟後產生許多小碎塊)，滾刀塊後的地瓜移至薑湯裡，蓋上鍋蓋，並留小縫隙，以防止薑湯溢出。繼續以爐心火烹煮40分鐘。，加入黑糖拌勻。,薑/472364_地瓜薑湯.jpg
