# 分析摘要
# 最高相似度: 0.739
# 建議門檻: 0.59 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 113 組相似食譜
# 門檻 0.2: 45 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
474252,麻油薑香炒菠菜里肌肉,470906,薑香麻油炒波菜,0.739
468881,簡易蔥薑醬,470330,麻油酒香薑蛋麵線,0.576
470115,薑黃蛤蜊香菜,472630,薑黃煮自製醃高菜(芥菜),0.544
473906,薑母鴨,471244,家鄉味薑母鴨,0.523
469456,蘿蔔薑棗湯,465890,蜂蜜薑可可,0.497
473731,薑黃蛤蜊凍,466156,薑黃大腸,0.429
471578,薑黃蘿蔔雞湯,469456,蘿蔔薑棗湯,0.42
479270,熱黑糖薑可可,472364,地瓜薑湯,0.389
473731,薑黃蛤蜊凍,470115,薑黃蛤蜊香菜,0.382
470115,薑黃蛤蜊香菜,466156,薑黃大腸,0.369
468881,簡易蔥薑醬,463070,薑黃雞腿飯,0.357
466156,薑黃大腸,472630,薑黃煮自製醃高菜(芥菜),0.335
471449,無水蔥薑鮮魚-年年有餘,465766,薑黃雞湯麵,0.332
473731,薑黃蛤蜊凍,472630,薑黃煮自製醃高菜(芥菜),0.329
479307,木薑子辣椒醬(五辛素),478881,嫩薑涼拌川耳(五辛素),0.318
471244,家鄉味薑母鴨,474252,麻油薑香炒菠菜里肌肉,0.318
479307,木薑子辣椒醬(五辛素),476092,蘋果薑黃泡菜(五辛素),0.315
478173,薑糖漿🫚,465890,蜂蜜薑可可,0.31
477731,醃漬糖醋嫰薑,478881,嫩薑涼拌川耳(五辛素),0.304
