id,name,document
479085,蘆筍番茄炒蛋,蘆筍 牛蕃茄 雞蛋
475870,蘆筍花枝蝦仁,蘆筍 花枝 蝦仁 蒜片 白胡椒粉 米酒
477443,蘆筍炒肥牛,蘆筍 肥牛 洋蔥 黑胡椒粉 紅蘿蔔片 壽喜燒醬油 辣椒
473888,火腿炒蘆筍,火腿片 蘆筍 蒜片 白芝麻
477246,蛤蜊蒜香炒蘆筍,蛤蜊 蘆筍 蒜末 米酒
469860,培根炒蘆筍,培根 蘆筍 薑片
478430,清炒鮮蝦蘆筍義大利麵,義大利麵條 蘆筍 蝦子 蒜頭 酒 義大利香料
474763,白蘆筍蜂蜜乳酪蛋糕,白蘆筍 原味餅乾 奶油 奶油乳酪 白砂糖 蜂蜜 雞蛋
475018,白蘆筍慕斯蛋糕,原味餅乾 奶油 白蘆筍 奶油乳酪 糖 鮮奶油 牛奶 吉利丁 檸檬汁
473404,清炒蘆筍義大利麵,蘆筍 辣椒 蒜瓣 義大利麵
457755,清炒蘆筍,蘆筍 紅蘿蔔片 雞粉
455699,香煎干貝蘆筍,干貝 蘆筍 雞粉 紅蘿蔔片
470859,醋香干貝炒蘆筍,蘆筍 全聯干貝 味醂 巴薩米克醋或黑醋
475393,肉末炒雙筍（皎白筍、蘆筍）,絞肉 皎白筍 蠔油 竹筍 醬油 蒜頭切末 白胡椒 辣椒 米酒或紹興
461420,洋蔥蘆筍濃湯,蘆筍 洋蔥 糙米飯 生腰果 薑黃粉 黑胡椒粉 熱開水
460833,黑胡椒蘑菇蘆筍,蘆筍 蘑菇 蒜頭 黑胡椒 辣椒
467684,煙燻鮭魚蘆筍扁意粉,扁意粉 煙燻鮭魚 白蘑菇 幼蘆筍 乾蔥 白酒 忌廉 雞湯 紅椒粉 黑胡椒 番茜碎
457758,蘆筍炒美白菇,蘆筍 玉米筍 雞粉 美白菇 糖 紅蘿蔔片
462097,鮮蝦干貝蘆筍,蘆筍 白蝦 干貝 洋菇 蒜頭
465026,蒜香蘆筍松阪豬,松阪豬 蘆筍 蒜粗末
463788,炒鴻禧菇蘆筍,蘆筍 紅蘿蔔 鴻禧菇 蒜頭
458690,蘆筍炒蝦仁,蘆筍 蝦仁用好市多冷凍無尾蝦 洋菇 義大利香草香料 蒜
458477,蘆筍牛肉捲,蘆筍 牛肉片 白芝麻 醬油 蠔油 米酒 胡椒粉 味霖
463886,蝦仁蘆筍佐甜椒,剝殼蝦仁 蘆筍或甜豆 胡椒粉 甜椒紅 蒜頭 米酒
457527,火腿蘆筍卷,火腿片 蘆筍 沙拉醬
460570,白蘆筍排骨湯,白蘆筍 小排 乾香菇 薑片
460496,清炒蘆筍蝦仁,蝦仁 蘆筍 紅蘿蔔絲配色 蒜末 酒個人喜好
454077,家常菜-蘆筍卷,蘆筍 豬肉片
454944,蘆筍炒蘑菇,蘆筍 蘑菇 紅蘿蔔片 醬油 黑胡椒 米酒
454605,蘆筍炒蝦,蘆筍 蝦 蝦仁 蒜頭 辣椒
458171,蘆筍蒜頭炒蝦仁,小蘆筍 蝦仁 蒜頭 香菇
459359,蘆筍炒鮮蝦干貝,蘆筍 可生食干貝 蝦仁 蒜頭
457759,蘆筍炒嫩雞胸,鮮嫩雞胸 胡蘿蔔 玉米筍 杏鮑菇 蘆筍
457405,海蘆筍中卷,海蘆筍 李錦記舊庄特級蠔油 中卷 紅甜椒 黃甜椒 蒜頭 辣椒 米酒
455920,沙茶牛肉炒蘆筍,蘆筍 牛肉片 沙茶醬 蒜片 醬油 米酒 沙拉油最後放
457465,干貝蝦仁蘆筍炒,蘆筍切段 蝦仁 干貝 蒜末 鮮味抄手
459920,蘆筍蒸灌湯小籠包,灣仔碼頭灌湯小籠包豬肉口味 蘆筍 玉米筍 雞粉 太白粉水
463094,《在家學法餐》奶油蘆筍燉飯,義大利米 紅蔥頭 蒜頭 奶油 鮮奶油 蘆筍 洋蔥丁 松茸菇 高湯水
454053,美奶滋蘆筍,蘆筍 美奶滋
453840,蘆筍比目魚義大利麵,比目魚 蘆筍 洋蔥 史雲生雞湯 義大利麵 義大利香料 煮麵水 芥未醬 砂糖
461882,和風蘆筍馬鈴薯沙拉/素/10分鐘,馬鈴薯 蘆筍 生菜 水果玉米 杏仁片 日式和風醬
456315,蠔油雞柳炒蘆筍,雞胸肉切柳狀 蘆筍 李錦記舊庄特級蠔油 紅蘿蔔絲 醬油
456376,蒔蘿奶油蘆筍炒蝦仁,蘆筍 玉米筍 蘑菇 胡蘿蔔片 自製蒔蘿奶油 薑
