# 分析摘要
# 最高相似度: 0.800
# 建議門檻: 0.64 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 147 組相似食譜
# 門檻 0.2: 67 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 10 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
457755,清炒蘆筍,455699,香煎干貝蘆筍,0.8
457755,清炒蘆筍,457758,蘆筍炒美白菇,0.66
460833,黑胡椒蘑菇蘆筍,454944,蘆筍炒蘑菇,0.572
454605,蘆筍炒蝦,459359,蘆筍炒鮮蝦干貝,0.57
455699,香煎干貝蘆筍,457758,蘆筍炒美白菇,0.528
460833,黑胡椒蘑菇蘆筍,454605,蘆筍炒蝦,0.5
474763,白蘆筍蜂蜜乳酪蛋糕,475018,白蘆筍慕斯蛋糕,0.479
473888,火腿炒蘆筍,457527,火腿蘆筍卷,0.428
454605,蘆筍炒蝦,458171,蘆筍蒜頭炒蝦仁,0.427
457758,蘆筍炒美白菇,459920,蘆筍蒸灌湯小籠包,0.426
458477,蘆筍牛肉捲,455920,沙茶牛肉炒蘆筍,0.375
458171,蘆筍蒜頭炒蝦仁,459359,蘆筍炒鮮蝦干貝,0.361
478045,蒜香蛤蠣炒蘆筍,477246,蛤蜊蒜香炒蘆筍,0.346
457755,清炒蘆筍,459920,蘆筍蒸灌湯小籠包,0.344
457755,清炒蘆筍,454944,蘆筍炒蘑菇,0.331
455699,香煎干貝蘆筍,462097,鮮蝦干貝蘆筍,0.327
469860,培根炒蘆筍,460570,白蘆筍排骨湯,0.316
462097,鮮蝦干貝蘆筍,458690,蘆筍炒蝦仁,0.308
460496,清炒蘆筍蝦仁,457465,干貝蝦仁蘆筍炒,0.304
