id,name,document
473261,雞肉蘋果蘿蔓沙拉船,蘿蔓生菜 蘋果 小黃瓜 雞胸肉 原味優格 百香果 植物油 醬油 黑胡椒粒
452836,蘿蔓炒肉末,豬絞肉 醬油 砂糖 胡蘿蔔 蘿蔓葉 春風一秒抽廚房紙巾 蒜頭 薑片
455365,凱撒燻雞蘿蔓乳酪沙拉,熏雞 羅曼 乳酪塊 凱撒沙拉醬
451237,蒜炒蘿蔓,蘿蔓 蒜末
446918,蘿蔓炒菇菇,蘿蔓萵苣 好菇道舞菇 胡蘿蔔 蒜頭 薑
475472,田園鮮蔬雞肉捲餅,金御園蔥抓餅 蘿蔓葉 牛番茄 雞胸肉 美乃滋
431269,烏魚子蘿蔓馬鈴薯沙拉（創意年菜）,烏魚子 馬鈴薯 蘿蔓 玉米粒 美乃滋
473284,酪梨生菜沙拉,蘿美萵苣 冷凍酪梨 冷凍藍莓 冷凍覆盆莓 夏威夷果
474062,太陽蛋吐司 / 十分鐘早餐,厚片吐司 雞蛋 乳酪絲 台灣蘿美 冷凍藍莓 冷凍覆盆莓
477114,鮮蝦芝士三明治 | 減脂高蛋白輕食,熟白蝦 雞蛋 萵苣蘿蔓亦可 起司片 低脂沙拉醬 無糖優格
422777,蘿蔓河粉蛋餅,河粉皮 蛋 蘿蔓 醬油 玉米粒
475167,龜甲萬味自慢–照燒醬｜照燒梅花豬肉豆腐捲,龜甲萬味自慢照燒醬 鹽滷豆腐 梅花豬肉片 小番茄 蘿美生菜
477203,好市多減脂料理～雞胸肉早午餐,牛蕃茄 卜峰雞胸肉 洋蔥 美國蘿蔓 義美低脂牛奶 義美高纖全麥吐司 冷泡咖啡包
474346,在家滿福堡 / 簡單早餐/擺盤,滿福堡麵包 台灣蘿蔓 蘋果 雞蛋 冷凍黑莓 卡啦雞腿排 冷凍草莓 冷凍藍莓
464012,五色沙拉/素/10分鐘,蘋果 地瓜 紫洋蔥 蘿蔓 奇異果 海苔
474882,壽喜燒肉堡,夾心麵包大亨堡 豬里肌肉片薄 洋蔥中 牛紅蕃茄 生菜蘿蔓 萵苣 小磨坊和風壽喜燒鍋醬
470852,鴨胸潛艇堡,內門阿隆師香酥鴨 蘿蔓 牛番茄 千島醬 小黃瓜 紅蘿蔔 馬鈴薯 美乃滋
474021,早餐沙拉,蘿美 雞蛋 天時野櫻莓果醋 冷凍草莓 冷壓初榨橄欖油 冷凍藍莓 黑胡椒粒 冷凍酪梨 堅果
452743,蘋果蕃茄沙拉/在美國料理隨手作11,綜合菠菜 蘿蔓 蘋果 蕃茄 黑莓
406317,減醣白腰豆蘿蔓沙拉,蘿蔓萵苣蘿美 白腰豆罐頭Cannellini 新鮮巴西利 紫洋蔥 月桂葉 孜然 乾辣椒片 初榨橄欖油 檸檬汁 黑胡椒
472672,生菜沙拉 / 自調油醋醬,小地瓜 雞蛋 天時野櫻莓果醋 蘿美萵苣 冷壓橄欖油 冷凍藍莓 黑胡椒粒 冷凍草莓 薄鹽醬油 綜合堅果
472718,金磚凱撒沙拉 / 清冰箱,厚片吐司 奶油 天時野櫻莓果醋 蘿美萵苣 冷壓初榨橄欖油 冷凍草莓 黑胡椒粒 冷凍藍莓 薄鹽醬油 綜合堅果
452105,蕃石榴黑莓沙拉/在美國料理隨手作14,蕃石榴 黑莓 綜合菠菜 切好的蘿蔓
474340,千島醬沙拉(五辛素),紅小番茄 橙胡蘿蔔 美乃滋沙拉醬 黃甜玉米 番茄醬 黃水煮蛋 食鹽 綠蘿蔓萵苣 奧勒岡葉 紫紫甘藍 煙燻紅椒粉 白洋蔥 黑胡椒粉
474619,燒肉滿福堡 / 簡單早餐,滿福堡麵包 梅花豬肉片 白胡椒粉 雞蛋 黑胡椒粒 無調味堅果 蠔油 台灣蘿蔓 米酒或水 冷凍黑眉 玉米粉或太白粉 冷凍草莓 冷凍黑櫻桃
391945,加州葡萄乾培根蘿美沙拉,切碎的蘿美生菜 煙燻培根 切碎 洋蔥 切碎 加州葡萄乾 黑胡椒粉 紅黃甜椒
459124,炒米粉~~,米粉 李錦記舊庄特級蠔油 胡蘿蔔絲 蒜頭 薑片 小黃瓜 雞胸肉 米酒 蘿蔓葉
451409,莓果沙拉★okane,蘿蔓 洋蔥 水煮蛋 蝦仁 黑醋栗 杏仁片 胡椒
464048,雞肉溫沙拉,蒜頭切末 小番茄對切 櫛瓜 玉米筍 蘿美生菜 雞里肌肉 黑胡椒粒 鹽或康寶炒手
452143,蘋果炒飯,華聖頓加拉蘋果 紫米飯 醬油 砂糖 蘿蔓 豬肉絲 胡椒粉鹽
464699,馬鈴薯燉排骨,小排骨 馬鈴薯 蒜 紅蘿蔔 蔭油或醬油膏 洋蔥 醬油 蒜頭 棕櫚糖或二砂 蕃茄 黑胡椒粉 甜椒 米酒 蘿美生菜 蔥
462589,油醋酪梨沙拉,酪梨中 生菜萵苣 蘿美 奧勒岡榛果油頂級 紅蕃茄牛蕃茄 巴薩米可無花果香醋紅酒醋 無調味綜合堅果腰果 杏仁
451941,意大利沙拉/在美國料理隨手作1,蘿蔓沙拉切好袋裝 蘋果 綜合葉菜 菠菜 黑莓 杏仁脆片 起司丁 蕃茄 Kraft意大利沙拉
456900,洋芋片豆腐沙拉,桂冠芙蓉豆腐 生菜萵苣 蘿美 美生菜皆可 芙蓉豆腐附的柴魚醬汁 小番茄 薄鹽醬油 原味洋芋片 檸檬汁 白糖 麻油 白芝麻
352892,蘿蔓松阪豬,Romaine 蘿蔓 松阪豬 胡椒
458142,蠔油蘑菇蝦滑小漢堡,蘑菇挑選比較大朵的 市售蝦滑 李錦記舊庄特級蠔油 小蕃茄切片 起司片 生菜萵苣 蘿美生菜皆可 美乃滋 白芝麻
445288,無骨牛小排水果沙拉,蘿蔓 蕃茄 特極初榨橄欖油 白煮蛋 蘋果汁 芭樂 百香果 柳丁 橘 橙汁 無骨牛小排
436886,凱薩沙拉,蘿美心 苜宿芽 蘋果 水煮蛋 蕃薯 堅果 凱薩醬
368035,藍起司培根烤蘿蔓熱沙拉,蘿蔓心 黑胡椒 初榨橄欖油 培根 洋蔥 巴薩米克醋 糖 藍紋乳酪別種硬質乳酪亦可
439242,新鮪魚摺疊飯糰,新鮪魚罐素 牛蕃茄 蘿蔓或美生菜 沙拉醬美乃滋 冷白飯 海苔
447656,生酮食譜|沙茶蝦丸生菜包,米林香葡萄乾麥麩皮吐司生酮 米林香豆渣蝦丸生酮 米林香素沙茶醬生酮 蘿美生菜
421878,烤鮭魚/鮭魚沙拉/零失敗,鮭魚 蘿蔓 堅果 檸檬
431936,速拌鮮蔬雞肉沙拉,雞胸肉 蘿蔓 柳丁 葡萄乾 小磨坊蒜香黑胡椒 糯米醋
449800,生酮食譜|巧克力花生牛肉堡,米林香巧克力麥麩皮吐司生酮 米林香牛肉豆渣漢堡肉排生酮 米林香花生醬生酮 牛番茄 起司片 蘿美生菜
441364,究市集｜韓式煎豬五花,究好豬帶皮五花肉條 洋蔥 韓式辣醬 蘿美心生菜 蜂蜜 蒜頭 醬油膏 胡椒粉 米酒 蒜蒜苗
