# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 13
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 132 組相似食譜
# 門檻 0.2: 36 組相似食譜
# 門檻 0.3: 13 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
459124,炒米粉~~,459069,炒米粉,1.0
472718,金磚凱撒沙拉 / 清冰箱,472994,清冰箱沙拉,0.67
472672,生菜沙拉 / 自調油醋醬,472718,金磚凱撒沙拉 / 清冰箱,0.614
472672,生菜沙拉 / 自調油醋醬,472994,清冰箱沙拉,0.559
452743,蘋果蕃茄沙拉/在美國料理隨手作11,452105,蕃石榴黑莓沙拉/在美國料理隨手作14,0.477
474021,早餐沙拉,472718,金磚凱撒沙拉 / 清冰箱,0.462
474021,早餐沙拉,472672,生菜沙拉 / 自調油醋醬,0.429
474021,早餐沙拉,472994,清冰箱沙拉,0.395
452743,蘋果蕃茄沙拉/在美國料理隨手作11,451941,意大利沙拉/在美國料理隨手作1,0.374
431269,烏魚子蘿蔓馬鈴薯沙拉（創意年菜）,422777,蘿蔓河粉蛋餅,0.368
431269,烏魚子蘿蔓馬鈴薯沙拉（創意年菜）,470852,鴨胸潛艇堡,0.365
474346,在家滿福堡 / 簡單早餐/擺盤,474619,燒肉滿福堡 / 簡單早餐,0.343
473284,酪梨生菜沙拉,474062,太陽蛋吐司 / 十分鐘早餐,0.316
