id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
460916,菜豆（豆角）飯,https://icook.tw/recipes/460916,菜豆、絞肉、蝦仁、香菇、蒜頭,菜豆適量 | 絞肉適量 | 蝦仁適量 | 香菇適量 | 蒜頭適量,"1.蒜頭、香菇、蝦仁先爆炒  舀起來備著
2.絞肉加菜豆（豆角）炒一下+蒜頭香菇蝦仁
加點水 稍微悶一下（主要讓菜豆煮爛一些）
3.加入米飯拌炒 | 試鹹度
4.加水煮飯煮熟（也可用電鍋 | 喜歡鍋巴可用瓦斯爐煮）","菜豆（豆角）飯。食材：菜豆適量，絞肉適量，蝦仁適量，香菇適量，蒜頭適量。做法：1.蒜頭、香菇、蝦仁先爆炒  舀起來備著
2.絞肉加菜豆（豆角）炒一下+蒜頭香菇蝦仁
加點水 稍微悶一下（主要讓菜豆煮爛一些）
3.加入米飯拌炒，試鹹度
4.加水煮飯煮熟（也可用電鍋，喜歡鍋巴可用瓦斯爐煮）。",豇豆(長豆)/460916_菜豆（豆角）飯.jpg
476594,豆角雞胸肉,https://icook.tw/recipes/476594,雞胸肉、四季豆、紅蘿蔔切絲、黑胡椒粒、辣椒、醬油、米酒、太白粉、蒜末,雞胸肉半個 | 四季豆5根 | 紅蘿蔔切絲4薄片 | 黑胡椒粒少許 | 辣椒1根 | 醬油適量 | 米酒1茶匙 | 太白粉少許 | 蒜末少許,"1:雞胸肉洗淨切薄片
2:紅蘿蔔切絲
3:四季豆斜切段 | 1:肉加黑胡椒粒、太白粉、米酒
    醬油、蒜末醃一個小時左右 | 1:取鍋倒油大火熱鍋，放肉快炒
    至熟後先盛盤，原油鍋放豆子
    快炒至熟後放紅蘿蔔絲拌炒幾
     下，最後在把肉倒進去伴炒幾
    下即可","豆角雞胸肉。食材：雞胸肉半個，四季豆5根，紅蘿蔔切絲4薄片，黑胡椒粒少許，辣椒1根，醬油適量，米酒1茶匙，太白粉少許，蒜末少許。做法：1:雞胸肉洗淨切薄片
2:紅蘿蔔切絲
3:四季豆斜切段，1:肉加黑胡椒粒、太白粉、米酒
    醬油、蒜末醃一個小時左右，1:取鍋倒油大火熱鍋，放肉快炒
    至熟後先盛盤，原油鍋放豆子
    快炒至熟後放紅蘿蔔絲拌炒幾
     下，最後在把肉倒進去伴炒幾
    下即可。",豇豆(長豆)/476594_豆角雞胸肉.jpg
459038,菜豆粥（長豆粥）,https://icook.tw/recipes/459038,蒜頭、菜豆、白米、油,蒜頭適量 | 菜豆1把 | 白米1杯 | 油適量,鍋內加油，並加入蒜頭炒出蒜頭香氣 | 加入菜豆一起拌炒 | 菜豆炒至半熟時，加入洗好的米一起炒，炒出米香 | 至超過菜豆，後等水滾，蓋上鍋蓋小火燜煮15分鐘至米熟即可起鍋囉！,菜豆粥（長豆粥）。食材：蒜頭適量，菜豆1把，白米1杯，油適量。做法：鍋內加油，並加入蒜頭炒出蒜頭香氣，加入菜豆一起拌炒，菜豆炒至半熟時，加入洗好的米一起炒，炒出米香，至超過菜豆，後等水滾，蓋上鍋蓋小火燜煮15分鐘至米熟即可起鍋囉！。,豇豆(長豆)/459038_菜豆粥（長豆粥）.jpg
477749,簡單下飯料理：悶炒長豆,https://icook.tw/recipes/477749,長豇豆、油蔥酥、蒜頭、乾香菇、九層塔、水、沙拉油、白胡椒粉,長豇豆1把 | 油蔥酥1匙 | 蒜頭3瓣 | 乾香菇3朵 | 九層塔適量 | 水200毫升 | 沙拉油1大匙 | 白胡椒粉依個人喜好,"長豆洗淨後去處頭尾約1公分，
手摘成小段順便去除長豆兩側較硬的豆絲。蒜頭去膜切碎

乾香菇泡軟後切絲
⚠️香菇水留著備用（好吃的秘訣）九層塔洗淨後去處較硬的梗 | 起油鍋（油稍多）
中火爆香蒜碎和香菇 | 爆出香氣後
依序放入：長豆、香菇水、油蔥酥
加蓋悶約3-5分鐘
⚠️悶煮過程記得留意鍋內水量，不要煮到乾掉囉！
加入1小匙鹽巴調味
繼續加蓋悶煮到喜歡的口感 | 起鍋前加入白胡椒（可加可不加）
試看看鹹度沒問題後
加入九層塔拌炒均勻
就可以香噴噴起鍋啦😋😋😋","簡單下飯料理：悶炒長豆。食材：長豇豆1把，油蔥酥1匙，蒜頭3瓣，乾香菇3朵，九層塔適量，水200毫升，沙拉油1大匙，白胡椒粉依個人喜好。做法：長豆洗淨後去處頭尾約1公分，
手摘成小段順便去除長豆兩側較硬的豆絲。蒜頭去膜切碎

乾香菇泡軟後切絲
⚠️香菇水留著備用（好吃的秘訣）九層塔洗淨後去處較硬的梗，起油鍋（油稍多）
中火爆香蒜碎和香菇，爆出香氣後
依序放入：長豆、香菇水、油蔥酥
加蓋悶約3-5分鐘
⚠️悶煮過程記得留意鍋內水量，不要煮到乾掉囉！
加入1小匙鹽巴調味
繼續加蓋悶煮到喜歡的口感，起鍋前加入白胡椒（可加可不加）
試看看鹹度沒問題後
加入九層塔拌炒均勻
就可以香噴噴起鍋啦😋😋😋。",豇豆(長豆)/477749_簡單下飯料理：悶炒長豆.jpg
462973,XO醬炒長豆,https://icook.tw/recipes/462973,長豆、蒜片、鹽、XO干貝醬、糖,長豆300g | 蒜片4~5瓣 | XO干貝醬2大匙 | 鹽1/4茶匙 | 糖1/2茶匙,長豆洗乾淨，切成約4cm長段，放入沸水中汆燙3分鐘撈起，馬上用冷水沖涼，瀝乾備用 | 起油鍋，將蒜片放入爆香，倒入豆角中火翻炒均勻，加入用鹽、糖翻炒均勻 | 最後加入XO干貝醬，用中大火翻炒1分鐘即可,XO醬炒長豆。食材：長豆300g，蒜片4~5瓣，XO干貝醬2大匙，鹽1/4茶匙，糖1/2茶匙。做法：長豆洗乾淨，切成約4cm長段，放入沸水中汆燙3分鐘撈起，馬上用冷水沖涼，瀝乾備用，起油鍋，將蒜片放入爆香，倒入豆角中火翻炒均勻，加入用鹽、糖翻炒均勻，最後加入XO干貝醬，用中大火翻炒1分鐘即可。,豇豆(長豆)/462973_XO醬炒長豆.jpg
477689,長豆炒茄子 (端午應景)~簡單隨手做,https://icook.tw/recipes/477689,茄子、長豆、蒜頭、塩、雞晶粉,茄子1條 | 長豆2根 | 蒜頭4瓣 | 塩1小匙 | 雞晶粉一點點,"長豆洗淨切段茄子洗淨切段
浸泡在塩醋水蒜頭扒皮拍扁

油熱下蒜頭炒出蒜香
下長豆翻炒一下
加半米杯水蓋上鍋蓋
燜煮一下 | 長豆煮些軟將茄子瀝掉水份
加進鍋子裡翻炒均勻
加塩及雞晶粉加半米杯水
翻炒均勻蓋上鍋蓋燜煮 | 茄子炒軟就可以起鍋了 | 盛盤上桌啦！~😋😋😋","長豆炒茄子 (端午應景)~簡單隨手做。食材：茄子1條，長豆2根，蒜頭4瓣，塩1小匙，雞晶粉一點點。做法：長豆洗淨切段茄子洗淨切段
浸泡在塩醋水蒜頭扒皮拍扁

油熱下蒜頭炒出蒜香
下長豆翻炒一下
加半米杯水蓋上鍋蓋
燜煮一下，長豆煮些軟將茄子瀝掉水份
加進鍋子裡翻炒均勻
加塩及雞晶粉加半米杯水
翻炒均勻蓋上鍋蓋燜煮，茄子炒軟就可以起鍋了，盛盤上桌啦！~😋😋😋。",豇豆(長豆)/477689_長豆炒茄子_(端午應景)~簡單隨手做.jpg
477055,豇豆炒豆豉肉末,https://icook.tw/recipes/477055,豇豆、絞肉、蠔油、蒜頭、糖、辣椒、鹽、豆豉,豇豆1小把 | 絞肉300克 | 蒜頭2~3瓣 | 辣椒1~2根 | 豆豉適量 | 蠔油1大匙 | 糖適量 | 鹽適量,豇豆洗淨，切小丁狀；蒜頭去膜，切末；辣椒去蒂，切末 | 起油鍋，倒入絞肉炒至變色，加入蒜末、辣椒、豆豉拌炒至香味出來，倒入豇豆丁拌炒一下，用蠔油、糖、鹽調味，倒入少許水再拌炒一下 | 蓋上鍋蓋，用中小火燜煮2分鐘至熟即可,豇豆炒豆豉肉末。食材：豇豆1小把，絞肉300克，蒜頭2~3瓣，辣椒1~2根，豆豉適量，蠔油1大匙，糖適量，鹽適量。做法：豇豆洗淨，切小丁狀；蒜頭去膜，切末；辣椒去蒂，切末，起油鍋，倒入絞肉炒至變色，加入蒜末、辣椒、豆豉拌炒至香味出來，倒入豇豆丁拌炒一下，用蠔油、糖、鹽調味，倒入少許水再拌炒一下，蓋上鍋蓋，用中小火燜煮2分鐘至熟即可。,豇豆(長豆)/477055_豇豆炒豆豉肉末.jpg
465471,菜豆炒豆棗,https://icook.tw/recipes/465471,菜豆、豆棗、鹽、芝麻、雞粉,菜豆1大把 | 豆棗0.5包 | 芝麻1茶匙 | 鹽1茶匙 | 雞粉0.5茶匙,將菜豆洗淨切段備用 | 熱油鍋放入菜豆加入鹽、雞粉翻炒至熟透 | 加入豆棗和芝麻一起拌均勻即可。,菜豆炒豆棗。食材：菜豆1大把，豆棗0.5包，芝麻1茶匙，鹽1茶匙，雞粉0.5茶匙。做法：將菜豆洗淨切段備用，熱油鍋放入菜豆加入鹽、雞粉翻炒至熟透，加入豆棗和芝麻一起拌均勻即可。。,豇豆(長豆)/465471_菜豆炒豆棗.jpg
469493,土豆茄子燒豆角,https://icook.tw/recipes/469493,馬鈴薯、醜豆、八角、茄子、乾辣椒、黃豆醬、豬油、小蔥、醬油、清水、老薑、蠔油、蒜頭、老抽、雞粉、白胡椒粉、砂糖,馬鈴薯2顆/700g | 醜豆3包/500g | 茄子2條/300g | 豬油2大匙 | 清水3碗/750ml | 八角1顆 | 乾辣椒2支 | 小蔥3支 | 老薑6片 | 蒜頭7瓣 | 黃豆醬2大匙 | 醬油1大匙 | 蠔油1大匙 | 老抽1大匙 | 雞粉1茶匙 | 白胡椒粉½茶匙 | 砂糖¼茶匙,A.先煮一鍋大米飯，一定要是熱乎的 | 把土豆、茄子、豆角買回來，豆角可以用豇豆、四季豆、芸豆、刀豆等等 | 豆角撕去纖維，用手掰成段 | 土豆去皮切條，沖洗乾淨 | 茄子切大塊 | B.鍋裏下寬油，燒熱後下土豆 | 中火炸至外殼焦黃酥脆 | 豆角下鍋 | 大火炸至起虎皮狀（表皮起白泡） | 茄子下鍋 | 大火炸一會兒，給茄子定色 | C.碗中加入黃豆醬、醬油、蠔油、老抽、砂糖、雞粉、胡椒粉，再加點水攪拌均勻 | 原鍋給2勺葷油，下蔥薑蒜、八角、乾辣椒炒香 | 炸好的蔬菜下鍋，扒拉扒拉炒香 | 淋入料汁，翻炒出醬香 | 沿鍋邊淋入3碗水，小火慢燉（中途要勤翻動，避免糊鍋底） | 料汁收濃即可，撒上蔥末點綴,土豆茄子燒豆角。食材：馬鈴薯2顆/700g，醜豆3包/500g，茄子2條/300g，豬油2大匙，清水3碗/750ml，八角1顆，乾辣椒2支，小蔥3支，老薑6片，蒜頭7瓣，黃豆醬2大匙，醬油1大匙，蠔油1大匙，老抽1大匙，雞粉1茶匙，白胡椒粉½茶匙，砂糖¼茶匙。做法：A.先煮一鍋大米飯，一定要是熱乎的，把土豆、茄子、豆角買回來，豆角可以用豇豆、四季豆、芸豆、刀豆等等，豆角撕去纖維，用手掰成段，土豆去皮切條，沖洗乾淨，茄子切大塊，B.鍋裏下寬油，燒熱後下土豆，中火炸至外殼焦黃酥脆，豆角下鍋，大火炸至起虎皮狀（表皮起白泡），茄子下鍋，大火炸一會兒，給茄子定色，C.碗中加入黃豆醬、醬油、蠔油、老抽、砂糖、雞粉、胡椒粉，再加點水攪拌均勻，原鍋給2勺葷油，下蔥薑蒜、八角、乾辣椒炒香，炸好的蔬菜下鍋，扒拉扒拉炒香，淋入料汁，翻炒出醬香，沿鍋邊淋入3碗水，小火慢燉（中途要勤翻動，避免糊鍋底），料汁收濃即可，撒上蔥末點綴。,豇豆(長豆)/469493_土豆茄子燒豆角.jpg
465764,酸豆角炒雞丁,https://icook.tw/recipes/465764,去骨雞腿肉、酸豇豆、米酒、青蔥、醬油、蒜頭、砂糖、泡椒/剁椒、雞粉、乾辣椒、花椒粉、白胡椒粉,去骨雞腿肉1塊/200g | 酸豇豆7條/180g | 青蔥5支 | 蒜頭5瓣 | 泡椒/剁椒適量 | 乾辣椒適量 | 米酒1大匙 | 醬油1茶匙 | 砂糖¼茶匙 | 雞粉¼茶匙 | 花椒粉¼茶匙 | 白胡椒粉¼茶匙,酸豇豆泡水去除鹹味，切成小段備用 | 鐵鍋燒熱，酸豆下鍋翻炒 | 把酸豆的水氣澈底炒乾，然後撥至一旁 | 倒色拉油，泡椒、乾辣椒段、蒜末、蔥白爆香 | 加入雞肉丁【雞肉須提前用水汆熟】 | 嗆米酒、醬油，大火翻炒 | 撒上蔥段、砂糖、雞粉、花椒粉、胡椒粉 | 翻炒均勻即可,酸豆角炒雞丁。食材：去骨雞腿肉1塊/200g，酸豇豆7條/180g，青蔥5支，蒜頭5瓣，泡椒/剁椒適量，乾辣椒適量，米酒1大匙，醬油1茶匙，砂糖¼茶匙，雞粉¼茶匙，花椒粉¼茶匙，白胡椒粉¼茶匙。做法：酸豇豆泡水去除鹹味，切成小段備用，鐵鍋燒熱，酸豆下鍋翻炒，把酸豆的水氣澈底炒乾，然後撥至一旁，倒色拉油，泡椒、乾辣椒段、蒜末、蔥白爆香，加入雞肉丁【雞肉須提前用水汆熟】，嗆米酒、醬油，大火翻炒，撒上蔥段、砂糖、雞粉、花椒粉、胡椒粉，翻炒均勻即可。,豇豆(長豆)/465764_酸豆角炒雞丁.jpg
