# 分析摘要
# 最高相似度: 0.663
# 建議門檻: 0.53 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 29
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 260 組相似食譜
# 門檻 0.2: 91 組相似食譜
# 門檻 0.3: 29 組相似食譜
# 門檻 0.4: 5 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
461623,醬燒長豆煨肉,460247,醬燒長豆炒肉末,0.663
459036,菜豆炒金針菇,460487,菜豆炒麵腸,0.609
462986,長豆香菇豬肉稀飯,461264,菜豆鹹稀飯,0.524
477749,簡單下飯料理：悶炒長豆,414061,藍家小館-蒜香長豇豆,0.49
441989,酸豇豆炒飯,438174,涼拌長豆(五辛素),0.419
462014,長豆玉米炒絞肉,460247,醬燒長豆炒肉末,0.4
465059,長豆打拋豬,460247,醬燒長豆炒肉末,0.396
443927,豇豆炒蛋,443922,金沙豇豆,0.396
438339,肉末豆角(二),441210,酸豆角清湯麵,0.384
464326,孜然香爆肉末長豆,441203,日曬長豆乾,0.383
477055,豇豆炒豆豉肉末,443922,金沙豇豆,0.38
459038,菜豆粥（長豆粥）,462986,長豆香菇豬肉稀飯,0.372
467117,皮蛋豆角炒肉末,438339,肉末豆角(二),0.371
477689,長豆炒茄子 (端午應景)~簡單隨手做,441203,日曬長豆乾,0.344
438339,肉末豆角(二),441989,酸豇豆炒飯,0.342
462986,長豆香菇豬肉稀飯,441203,日曬長豆乾,0.339
460916,菜豆（豆角）飯,460247,醬燒長豆炒肉末,0.338
477055,豇豆炒豆豉肉末,460247,醬燒長豆炒肉末,0.336
462014,長豆玉米炒絞肉,441203,日曬長豆乾,0.335
477055,豇豆炒豆豉肉末,443927,豇豆炒蛋,0.315
465764,酸豆角炒雞丁,438339,肉末豆角(二),0.315
459038,菜豆粥（長豆粥）,461264,菜豆鹹稀飯,0.313
459036,菜豆炒金針菇,454852,菜豆炒杏鮑菇,0.312
460487,菜豆炒麵腸,454852,菜豆炒杏鮑菇,0.312
469493,土豆茄子燒豆角,461854,茄子燒豆角(五辛素),0.307
441210,酸豆角清湯麵,441989,酸豇豆炒飯,0.304
462986,長豆香菇豬肉稀飯,460247,醬燒長豆炒肉末,0.303
477055,豇豆炒豆豉肉末,465059,長豆打拋豬,0.302
465471,菜豆炒豆棗,454852,菜豆炒杏鮑菇,0.301
