id,name,document
478284,豌豆菇菇豬肉咖哩飯,洋蔥片 紅蘿蔔塊 馬鈴薯塊 豬肉塊 咖喱塊 豌豆 雪白菇 黑巧克力片可有可無 起司絲可有可無
470801,炒豌豆,豌豆 紅蘿蔔 鴻禧菇 黑胡椒 蒜頭 枸杞
479325,大排長龍的巫婆湯店-爽口的豌豆濃湯,豌豆莢 豆仁 高湯塊 牛奶 胡椒
457085,豌豆炒蘑菇,豌豆 蘑菇 蒜粒粉 白葡萄酒 黑胡椒粒
450991,豌豆炒香菇,豌豆 胡蘿蔔 蒜頭 香菇 玉米筍
456496,蘑菇炒甜豌豆,蘑菇 甜豌豆 蠔油 糖 白胡椒粉
454976,甜豌豆炒菇,甜豌豆 玉米筍 紅甜椒 鴻禧菇 白胡椒粉 蒜碎
462151,豌豆苗日式胡麻醬沙拉,豌豆苗 日式胡麻醬
455926,豌豆苗炒雞樅,豌豆苗 黑雞樅菇 薑片 辣椒 蠔油 蔬菜高湯 低鈉鹽 茶油
460551,夏天吃的豌豆紅蘿蔔豆乾炒飯,豌豆 豆乾 雞蛋 紅蘿蔔 飯 醬油 胡椒粉
444991,豌豆竹筍炒肉,豌豆莢 竹筍 醬油 梅花肉片 味醂 米酒
433529,豌豆黃,脫皮黃豌豆 白糖
447980,土式茄汁燉豌豆,番茄 洋蔥 豌豆莢
434134,豌豆炒花枝,花枝條包裝 豌豆 米酒
436645,甜豌豆炒雞胸肉,甜豌豆 雞胸肉 紅蘿蔔
443390,豌豆義大利麵｜Vitamix調理機,頂級冷壓初榨橄欖油 大蒜去皮壓碎 黃洋蔥去皮切塊 松子 冷凍甜豌豆解凍 蔬菜高湯 檸檬汁 辣椒粉 鹽和胡椒
439120,蒜香蘑菇炒豌豆,蘑菇 豌豆 紅蘿蔔 黑胡椒粉 蒜頭 米酒
432740,彩椒佐豌豆,彩椒 豌豆 蒜頭 胡椒
427528,蘑菇炒豌豆,豌豆 蘑菇片 紅蘿蔔絲 木耳絲 蒜片
434216,甜豌豆炒時蔬,甜豌豆 杏包菇 黑木耳 紅蘿蔔絲 蒜頭
434469,蔬食豌豆濃湯｜Vitamix調理機,蔬菜高湯熱 冷凍甜豌豆解凍 羽衣甘藍 新鮮義大利巴西里葉 洋蔥去皮 大蒜去皮 鹽可自行調整
475157,開箱廚房必備調味醬！誠泰干貝XO醬,花椰菜 玉米筍 豌豆 誠泰干貝XO醬
477912,香煎紅鮋魚片 / 酥香不膩0失敗,紅鮋魚片 豌豆嬰 酥炸粉 蒜頭片
430247,高蛋白野菇豌豆濃湯,全植優蛋白飲原萃豆乳口味 無糖豆漿 洋蔥 蘑菇 鴻禧菇好菇道 奶油 馬鈴薯 熱水熬煮蔬菜用 溫水沖泡豌豆蛋白用 黑胡椒
