# 分析摘要
# 最高相似度: 0.555
# 建議門檻: 0.44 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 10
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 134 組相似食譜
# 門檻 0.2: 36 組相似食譜
# 門檻 0.3: 10 組相似食譜
# 門檻 0.4: 2 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
439120,蒜香蘑菇炒豌豆,408985,清炒豌豆紅蘿蔔,0.555
470801,炒豌豆,408985,清炒豌豆紅蘿蔔,0.538
456496,蘑菇炒甜豌豆,454976,甜豌豆炒菇,0.357
434134,豌豆炒花枝,439120,蒜香蘑菇炒豌豆,0.357
436645,甜豌豆炒雞胸肉,408985,清炒豌豆紅蘿蔔,0.347
432740,彩椒佐豌豆,408985,清炒豌豆紅蘿蔔,0.342
460551,夏天吃的豌豆紅蘿蔔豆乾炒飯,408985,清炒豌豆紅蘿蔔,0.333
462151,豌豆苗日式胡麻醬沙拉,412967,藍家小館-雙菇豌豆苗（無油）,0.31
450991,豌豆炒香菇,408985,清炒豌豆紅蘿蔔,0.308
434216,甜豌豆炒時蔬,458930,炒荷蘭豆,0.303
