id,name,document
474766,炒辣椒,朝天椒 蒜末 冰糖
476507,剝皮辣椒牛,菲利牛排 剝皮辣椒
479530,剝皮辣椒煎餃,誠泰剝皮辣椒 高麗菜 豬絞肉 醬油 麵粉水 餃子皮
475159,剝皮辣椒雞湯,雞肉 誠泰醬業剝皮辣椒 香菇
479559,醬油醃辣椒(純素),紅辣椒 青辣椒 砂糖 朝天椒 食鹽 八角 生薑 味精 桂皮 青花椒 陳醋 生抽 老抽 素蠔油 清水
476585,剝皮辣椒粉絲湯,冬粉 小青菜 豬絞肉 剝皮辣椒 老薑 米酒 醬油 烏醋 雞粉 食鹽 砂糖 白胡椒粉
476994,豆豉辣椒蒸臘魚,湖北臘魚 鹹魚乾 辣椒 蒜頭 紹興酒 嫩薑 醬油 黑豆豉 蠔油 香菜 砂糖 味精 白胡椒粉
474201,剝皮辣椒紙包雞,去骨雞腿排 剝皮辣椒汁 蔥 杏鮑菇 薑 毛豆 蒜 紅蘿蔔 米酒 花椰菜 醬油 剝皮辣椒
477598,剝皮辣椒蘿蔔排骨湯,白蘿蔔 排骨 剝皮辣椒 柴魚湯包 薑片 米酒
474497,烤剝皮辣椒雞翅,雞翅2節翅 剝皮辣椒 胡椒粉 檸檬
476872,剝皮辣椒手撕雞,雞腿 剝皮辣椒切丁 四季豆切段 玉米筍切段 香菜 雲耳 蒜頭切末 洋蔥切絲 辣椒 糖 白胡椒粉 剝皮辣椒湯汁 煮雞腿的湯汁
473947,剝皮辣椒雞炒麵,去骨雞腿肉切塊 白麵條 蔥切末 剝皮辣椒切段 蒜頭切末 油蔥酥 白胡椒粉 醬油 鴻喜菇 剝皮辣椒汁 高麗菜切塊 清水
471113,剝皮辣椒炊飯,鴻喜菇或雪白菇 洋蔥 剝皮辣椒汁 雞腿肉 醬油 蒜頭 素蠔油 味醂
473010,墨西哥酸辣椒Jalapeño,青辣椒 蒜頭 月桂葉 食鹽 小茴香 味精 芫荽籽 砂糖 黑胡椒粒 白醋 清水
472311,剝皮辣椒炒牛肉,牛肉末 剝皮辣椒 蒜末 醬油 白芝麻
470863,辣椒炒外婆菜,粗豬絞肉 蘿蔔乾 醬油 梅乾菜 青辣椒和紅辣椒 蒜片 米酒
469712,剝皮辣椒肉燥,豬絞肉 剝皮辣椒切末 蒜頭切末 油蔥酥 白胡椒粉 醬油 糖 剝皮辣椒汁 清水
477913,【悶燒鍋料理-剝皮辣椒雞】-火牌燜燒鍋,雞腿肉 蒜仁 剝皮辣椒 米酒
469307,剝皮辣椒絞肉丸子,梅花豬絞肉 剝皮辣椒 蒜頭末 剝皮辣椒汁
469225,蘋果辣椒南瓜湯,胡桃南瓜 去皮去籽 中號白洋蔥 裝飾用烤南瓜籽和油煎麵包塊 大蒜 Chipotle 醬 蔬菜湯 華盛頓蘋果 去皮 去核 切丁
468497,剝皮辣椒雞肉飯,剝皮辣椒 雞腿 白飯 剝皮辣椒汁 蒜頭 醬油 糖
471922,花生辣椒油(純素),油炸花生米 細紅辣椒粉 老薑 粗辣椒麵 八角 熟白芝麻 花椒粉 王守義十三香 粗花椒麵 冷油熟油 米酒白酒
468451,剝皮辣椒雞肉通心麵,剝皮辣椒 雞腿 通心麵 蒜頭 洋蔥 鴻禧菇雪白菇 剝皮辣椒汁 白胡椒粉
474958,【奶素】剝皮辣椒猴菇湯,乾香菇 里仁 輕鬆煮猴頭菇冷凍 枸杞 剝皮辣椒 剝皮辣椒的醬汁 里仁 好湯頭 里仁 湯豆腐 結球萵苣
474386,剝皮辣椒脆瓜豆腐燒肉,豬絞肉細 花岡山剝皮辣椒 香菇素蠔油 愛之味脆瓜 胡椒粉 冷開水 大漢板豆腐 太白粉水 蒜末 青蔥絲
476315,茭白筍剝皮辣椒雞蓋飯,茭白筍 剝皮辣椒 雞腿肉 洋蔥 雞蛋 白飯 剝皮辣椒汁 醬油 味醂
469076,剝皮辣椒雞炒飯,雞胸肉切丁 剝皮辣椒切丁 蔥切末 隔夜飯 雞蛋 白胡椒粉 玉米筍切丁 黑胡椒粉 醬油
470280,剝皮辣椒雞肉湯🐔,雞肉 剝皮辣椒罐頭 蒜頭
469932,銀耳白木耳剝皮辣椒雞湯,新鮮銀耳 仿土雞腿塊 剝皮辣椒 剝皮辣椒湯汁 薑片 香菇 米酒
470117,剝皮辣椒金針豬肉捲,豬五花肉片 剝皮辣椒 剝皮辣椒汁 金針菇 醬油 糖 米酒
469622,蒜蓉辣椒燴肉片,梅花肉切片 小黃瓜切片 蒜末 蒜蓉辣椒醬 米酒 醬油 砂糖 胡椒粉 玉米粉
472051,(一起做) 家傳醬油醃辣椒,朝天椒 青龍椒 醬油 老薑 冰糖 陳醋
