# 分析摘要
# 最高相似度: 0.520
# 建議門檻: 0.42 (最高相似度的80%)
# 總食譜組合數: 780
# 當前分析門檻: 0.3
# 符合門檻組合數: 10
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 133 組相似食譜
# 門檻 0.2: 30 組相似食譜
# 門檻 0.3: 10 組相似食譜
# 門檻 0.4: 5 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
471113,剝皮辣椒炊飯,476315,茭白筍剝皮辣椒雞蓋飯,0.52
474766,炒辣椒,472051,(一起做) 家傳醬油醃辣椒,0.512
473947,剝皮辣椒雞炒麵,469712,剝皮辣椒肉燥,0.475
468497,剝皮辣椒雞肉飯,468451,剝皮辣椒雞肉通心麵,0.462
468497,剝皮辣椒雞肉飯,476315,茭白筍剝皮辣椒雞蓋飯,0.406
475159,剝皮辣椒雞湯,470280,剝皮辣椒雞肉湯🐔,0.334
476585,剝皮辣椒粉絲湯,462770,剝皮辣椒蒸肉,0.323
479559,醬油醃辣椒(純素),473010,墨西哥酸辣椒Jalapeño,0.312
469712,剝皮辣椒肉燥,462770,剝皮辣椒蒸肉,0.311
479530,剝皮辣椒煎餃,462770,剝皮辣椒蒸肉,0.303
