id,name,document
471947,彩椒（青椒）炒肉絲,彩椒 肉絲 醬油 蠔油 白胡椒粉 糖
476444,甜椒炒魷魚,魷魚花 黃甜椒 紅甜椒 洋蔥 蒜頭 鰹魚粉
477670,青椒炒蛋,青椒 雞蛋 蒜頭 黑胡椒粉粒 辣椒可略 奧勒岡榛果油經典
478675,青椒炒麵腸,麵腸 青椒 蠔油 薑末 醬油 蒜末 糖
477401,皮蛋炒青椒,青椒 皮蛋 蒜末 味精
476982,彩椒洋蔥牛肉捲,李錦記 頭道零添加原釀醬油 紅甜椒條 黃甜椒條 青椒條 洋蔥條 牛肉片 烏醋 米酒 砂糖 太白粉 熟白芝麻
478312,青椒炒豆干,豆干 薑末 醬油 蒜末 蠔油 青椒 蔥花
476707,甜椒炒肉片,李錦記 頭道零添加原釀醬油 豬肉片 紅椒 太白粉 黃椒
478687,彩椒炒鴻禧菇,鴻禧菇 紅甜椒 黃甜椒 蒜頭 味精 白胡椒粉
475999,青椒炒牛蛙,牛蛙 青椒 姜 蒜 酱油 生抽 料酒等调料
479301,焗烤甜椒鑲肉醬,番茄肉醬 甜椒 起士絲 鹽殺青 巴西里 吐司
476102,青椒悶雞,青椒 雞腿肉 米酒 玉米筍 蠔油 新鮮香菇 砂糖 薑片 蒜頭
473915,甜椒炒蝦,甜椒 蝦仁
470379,酸梅甜椒,甜椒 牛番茄 紹興酸梅
475791,青椒炒皮蛋,青椒大顆 皮蛋 醬油 蒜末 蠔油 辣椒 陳醋
476114,紅椒炒牛肉絲,牛肉絲 紅椒 醬油 洋蔥 味霖 白胡椒
476377,青椒香炒豆干,青椒 豆干 蔥段 蒜末
474940,芥末炒青椒,香菇 青椒 蒜頭 薑 糖 芥末醬 醬油 丸子
476724,懶人雞腿肉炒青椒,樂廚十三香雞腿丁 青椒 乾辣椒可省略
475086,無水甜椒蘋果雞腿肉,無骨雞腿肉 甜椒 蘋果 胡椒 義式香料
476925,虎皮青椒鑲肉,虎皮青椒 蝦仁 豬絞肉 白胡椒粉 素蠔油 柴魚醬油
478697,甜椒地瓜起司泥沙拉,甜椒 地瓜 水煮蛋 起司片
473876,甜椒炒蝦🦐,蒜末 甜椒 洋蔥 蝦子 米酒 蔥段 味精
469861,紅蘿蔔炒青椒,青椒 杏鮑菇 紅蘿蔔絲 醬油 味噌
472535,彩椒雞肉義大利麵,雞腿肉 彩椒 杏鮑菇 蒜頭 醬油 義式香料粉
476603,香辣鮪魚拌青椒,青椒 廣達香香辣鮪魚罐頭 胡椒 蒜末 白芝麻
472261,青椒炒肉絲,青椒 豬肉絲 淡味醬油 紅蘿蔔 糊椒粉 蒜片 紅辣椒 米酒
468989,和風青椒,青椒 白芝麻 柴魚片 醬油 味醂
468820,青椒牛肉,牛小排 醬油 味醂 青椒
468230,甜椒炒肉絲,肉絲 甜椒 蒜頭 BB秘製十三香
476278,豉香青椒炒肉絲,青椒 紅辣椒 豬里肌肉絲 蒜頭 醬油 蔭豆豉 米酒 食鹽 老抽 太白粉 雞粉 五香粉 白胡椒粉
468674,雞絲炒彩椒,雞胸肉 紅甜椒中 黃甜椒中 玉米粉 青椒中 奧勒岡榛果油經典 黑胡椒粒 蒜頭 米酒 黑胡椒粉
476358,【全素】梅漬青椒 (老少咸宜版),青椒 梅子粉
475692,青椒炒雞蛋（蛋素）,青椒 雞蛋 和風高糖粉 白芝麻粒 香菇調味露 玄米油
472244,蜂蜜味噌彩椒鑲肉,彩椒 青椒 薑末 味噌 蔥末 蜂蜜 味醂 雞蛋 蒜頭 醬油 雞肉 白胡椒粉 太白粉
466036,彩椒菇菇,紅甜椒 黃甜椒 青椒 鴻禧菇 鮮味炒手 黑胡椒
470905,甜椒紅蘿蔔炒牛肉,全聯牛肉片 紅蘿蔔 醬油 甜椒 味霖 白芝麻 米酒
471127,同拌紅甜椒,紅甜椒切絲 蒜碎 酒 味霖 昆布柴魚高湯 紅甜椒塊 胡椒粉 海菜乾
473828,秘傳牛肉彩椒義大利麵,牛小排 秘傳燒肉醬 蒜頭 巴西里 胡椒粉 彩椒 黑美人菇 米酒或紹興 奶油 櫛瓜 Barilla 義大利麵 大鮮香菇 蔬菜大陸妹
463137,彩椒壽司,水果甜椒 香菇調味露 米醋 極樂蔗糖 昆布香菇高湯粉 芥末醬 日式醬油
473420,蓮藕青椒炒鴨賞,蓮藕 鴨賞 青椒 米酒 胡椒
471550,青椒火腿蔥花餅,速發酵母 細砂糖 中筋麵粉 植物油 五香粉可省 青椒切小丁 蔥花 火腿或午餐肉切小丁 芝麻灑表面
476361,【全素】梅漬青椒 (清甜可口版),青椒 梅子粉 雪碧
460618,麻香青椒炒豆乾,青椒 豆乾 辣油 芝麻 雞粉
469215,黑胡椒甜椒炒牛肉,牛肉片 彩椒 蒜頭 安食小品黑豆醬油 米酒 黑胡椒
465352,青椒肉末,青椒甜椒 絞肉 蒜頭切末 鰹魚露
477427,超市料理-美白菇蒜炒青椒,青椒 美白菇 鮮味抄手 蒜末
473429,十分鐘上菜-爆炒青椒牛肉,牛肉 青椒 醬油 樹薯粉 紅辣椒 米酒 小磨坊現磨黑胡椒粒 蒜頭
472408,荷葉餅夾青椒肉絲,速發酵母 豬里肌肉切絲 細砂糖 蛋白 中筋麵粉 植物油 姜末 太白粉 青椒切絲 紅椒切絲 大蒜切片 醬油
467148,青椒炒雞蛋,青椒中等大小 雞蛋麵 鮮味炒手 十三香粉
