id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
471947,彩椒（青椒）炒肉絲,https://icook.tw/recipes/471947,彩椒、肉絲、醬油、蠔油、油、水、白胡椒粉、糖,彩椒1顆 | 肉絲1盒 | 蠔油1大匙 | 水2大匙 | 糖1小匙 | 醬油1大匙 | 油1大匙 | 白胡椒粉適量,備料圖：醃肉絲（1大匙醬油、1大匙油、一點點白胡椒粉）攪一攪。切彩椒（青椒絲），記得要「去掉裡面的白膜」，洗完彩椒青椒可以切多一點（我照片圖較少是因爲孩子沒有很愛吃彩椒，小黃瓜絲因為冰箱有剩一起炒一炒） | 熱油鍋，先炒肉絲 （喜歡蒜味的可以先爆香蒜末） | 呈現7-8分熟 | 肉絲7-8分熟時倒入彩椒絲，翻炒一下 | 倒入調味（1大匙蠔油、2大匙水、1小匙糖），快速翻炒 | ✅起鍋完成，很下飯超好吃😋,彩椒（青椒）炒肉絲。食材：彩椒1顆，肉絲1盒，蠔油1大匙，水2大匙，糖1小匙，醬油1大匙，油1大匙，白胡椒粉適量。做法：備料圖：醃肉絲（1大匙醬油、1大匙油、一點點白胡椒粉）攪一攪。切彩椒（青椒絲），記得要「去掉裡面的白膜」，洗完彩椒青椒可以切多一點（我照片圖較少是因爲孩子沒有很愛吃彩椒，小黃瓜絲因為冰箱有剩一起炒一炒），熱油鍋，先炒肉絲 （喜歡蒜味的可以先爆香蒜末），呈現7-8分熟，肉絲7-8分熟時倒入彩椒絲，翻炒一下，倒入調味（1大匙蠔油、2大匙水、1小匙糖），快速翻炒，✅起鍋完成，很下飯超好吃😋。,青椒/471947_彩椒（青椒）炒肉絲.jpg
476444,甜椒炒魷魚,https://icook.tw/recipes/476444,魷魚花、黃甜椒、紅甜椒、洋蔥、蒜頭、鰹魚粉,魷魚花適量 | 黃甜椒1顆 | 紅甜椒1顆 | 洋蔥半顆 | 蒜頭2辧 | 鰹魚粉適量,洋蔥切絲，甜椒們切段 | 魷魚花先川燙一下就可以撈起備用 | 熱鍋熱油後，加入蒜和洋蔥拌炒 | 再放入甜椒 | 放入魷魚花後，加一點鰹魚粉及一小杯水 | 上桌後，開吃！,甜椒炒魷魚。食材：魷魚花適量，黃甜椒1顆，紅甜椒1顆，洋蔥半顆，蒜頭2辧，鰹魚粉適量。做法：洋蔥切絲，甜椒們切段，魷魚花先川燙一下就可以撈起備用，熱鍋熱油後，加入蒜和洋蔥拌炒，再放入甜椒，放入魷魚花後，加一點鰹魚粉及一小杯水，上桌後，開吃！。,青椒/476444_甜椒炒魷魚.jpg
477670,青椒炒蛋,https://icook.tw/recipes/477670,青椒、雞蛋、鹽、蒜頭、黑胡椒粉(粒)、辣椒(可略)、奧勒岡榛果油(經典),青椒3顆 | 雞蛋2顆 | 蒜頭2瓣 | 辣椒(可略)1條 | 奧勒岡榛果油(經典)2大匙 | 鹽1/2茶匙 | 黑胡椒粉(粒)1/8茶匙,1.準備食材，清理與清洗之。 | 2.青椒切片，辣椒切斜刀片，蒜頭去膜輕拍破裂，打蛋(可不用攪拌)。 | 3.起鍋開小火，放入2大匙的奧勒岡榛果油。 | 4.再放入蒜頭炒香。 | 5.再加入雞蛋。 | 6.快速翻炒雞蛋，至雞蛋凝固成片狀。 | 7.再放入青椒，改中火拌炒至轉綠呈透色。 | 8.再加入辣椒（可略）與調味料，攪拌均勻即可關火。 | 9.起鍋盛盤。,青椒炒蛋。食材：青椒3顆，雞蛋2顆，蒜頭2瓣，辣椒(可略)1條，奧勒岡榛果油(經典)2大匙，鹽1/2茶匙，黑胡椒粉(粒)1/8茶匙。做法：1.準備食材，清理與清洗之。，2.青椒切片，辣椒切斜刀片，蒜頭去膜輕拍破裂，打蛋(可不用攪拌)。，3.起鍋開小火，放入2大匙的奧勒岡榛果油。，4.再放入蒜頭炒香。，5.再加入雞蛋。，6.快速翻炒雞蛋，至雞蛋凝固成片狀。，7.再放入青椒，改中火拌炒至轉綠呈透色。，8.再加入辣椒（可略）與調味料，攪拌均勻即可關火。，9.起鍋盛盤。。,青椒/477670_青椒炒蛋.jpg
478675,青椒炒麵腸,https://icook.tw/recipes/478675,麵腸、青椒、蠔油、薑末、醬油、蒜末、糖,麵腸4根 | 青椒2顆 | 薑末1-2大匙 | 蒜末1-2大匙 | 蠔油2大匙 | 醬油適量 | 糖1大匙,麵腸洗淨，切略厚的片狀；青椒洗淨去蒂，去除籽切塊狀 | 起油鍋，放入麵腸煎至兩面金黃，倒入薑末、蒜末爆香，用蠔油、醬油、糖調味，放入青椒炒至熟即可,青椒炒麵腸。食材：麵腸4根，青椒2顆，薑末1-2大匙，蒜末1-2大匙，蠔油2大匙，醬油適量，糖1大匙。做法：麵腸洗淨，切略厚的片狀；青椒洗淨去蒂，去除籽切塊狀，起油鍋，放入麵腸煎至兩面金黃，倒入薑末、蒜末爆香，用蠔油、醬油、糖調味，放入青椒炒至熟即可。,青椒/478675_青椒炒麵腸.jpg
477401,皮蛋炒青椒,https://icook.tw/recipes/477401,青椒、皮蛋、蒜末、油、水、鹽、味精,青椒1顆 | 皮蛋3顆 | 蒜末1大匙 | 油2大匙 | 水100毫升 | 鹽少許 | 味精少許,青椒切大塊、皮蛋整顆下鍋才弄碎 | 下油，蒜末爆香 | 蒜末有香味後，下皮蛋，弄碎。 | 蛋黃稍微凝固後下青椒拌炒。因為蛋吸油，我還有補點油，各位自行斟酌。 | 青椒翻炒個幾下後倒熱水，煮到青椒變軟，下鹽巴味精。我覺得這道菜青椒軟一點比較好吃，因為需要軟，所以青椒才切比較大塊。 | 完成，水稍微收乾就好，保持一點水分攪飯好好吃喔！,皮蛋炒青椒。食材：青椒1顆，皮蛋3顆，蒜末1大匙，油2大匙，水100毫升，鹽少許，味精少許。做法：青椒切大塊、皮蛋整顆下鍋才弄碎，下油，蒜末爆香，蒜末有香味後，下皮蛋，弄碎。，蛋黃稍微凝固後下青椒拌炒。因為蛋吸油，我還有補點油，各位自行斟酌。，青椒翻炒個幾下後倒熱水，煮到青椒變軟，下鹽巴味精。我覺得這道菜青椒軟一點比較好吃，因為需要軟，所以青椒才切比較大塊。，完成，水稍微收乾就好，保持一點水分攪飯好好吃喔！。,青椒/477401_皮蛋炒青椒.jpg
476982,彩椒洋蔥牛肉捲,https://icook.tw/recipes/476982,李錦記 頭道零添加原釀醬油、紅甜椒條、黃甜椒條、青椒條、洋蔥條、牛肉片、烏醋、米酒、砂糖、水、太白粉、熟白芝麻,李錦記 頭道零添加原釀醬油1大匙 | 紅甜椒條50克 | 黃甜椒條50克 | 青椒條100克 | 洋蔥條100克 | 牛肉片16片 | 烏醋1大匙 | 米酒1大匙 | 砂糖1大匙 | 水100克 | 太白粉適量 | 熟白芝麻適量,"備好所需要的材料. | 將「李錦記 頭道零添加原釀醬油」.烏醋.米酒.二砂糖.水,倒入碗中攪拌均勻備用. | 取兩片牛肉片稍微重疊,在鋪上洋蔥條.黃甜椒條.紅甜椒條.青椒條,再捲起.(盡量要捲緊些) | 肉卷每個面撒上少許太白粉,靜置一下讓肉片和太白粉表面融合,肉質會嫩口不柴. | 平底鍋油燒熱後,將靜置捲好的牛肉捲放入鍋中,以中小火煎至定型.翻面煎至各面呈熟色. | 倒入調拌好含有「李錦記 頭道零添加原釀醬油」的醬汁,並滾動每條牛肉捲,讓牛肉捲內的蔬菜也都吸附醬汁,煮至醬汁略呈濃稠狀即可. | 盛盤,淋上鍋中剩餘醬汁,撒上適量的熟白芝麻,即完成肉嫩入味的彩椒洋蔥牛肉捲~~","彩椒洋蔥牛肉捲。食材：李錦記 頭道零添加原釀醬油1大匙，紅甜椒條50克，黃甜椒條50克，青椒條100克，洋蔥條100克，牛肉片16片，烏醋1大匙，米酒1大匙，砂糖1大匙，水100克，太白粉適量，熟白芝麻適量。做法：備好所需要的材料.，將「李錦記 頭道零添加原釀醬油」.烏醋.米酒.二砂糖.水,倒入碗中攪拌均勻備用.，取兩片牛肉片稍微重疊,在鋪上洋蔥條.黃甜椒條.紅甜椒條.青椒條,再捲起.(盡量要捲緊些)，肉卷每個面撒上少許太白粉,靜置一下讓肉片和太白粉表面融合,肉質會嫩口不柴.，平底鍋油燒熱後,將靜置捲好的牛肉捲放入鍋中,以中小火煎至定型.翻面煎至各面呈熟色.，倒入調拌好含有「李錦記 頭道零添加原釀醬油」的醬汁,並滾動每條牛肉捲,讓牛肉捲內的蔬菜也都吸附醬汁,煮至醬汁略呈濃稠狀即可.，盛盤,淋上鍋中剩餘醬汁,撒上適量的熟白芝麻,即完成肉嫩入味的彩椒洋蔥牛肉捲~~。",青椒/476982_彩椒洋蔥牛肉捲.jpg
478312,青椒炒豆干,https://icook.tw/recipes/478312,豆干、薑末、醬油、蒜末、蠔油、青椒、鹽、蔥花,豆干5-6塊 | 薑末1-2大匙 | 蒜末1-2大匙 | 青椒2大顆 | 蔥花適量(可不加) | 醬油2大匙 | 蠔油1大匙 | 鹽適量,豆干洗淨切片；青椒洗淨，去蒂切片 | 起油鍋，倒入豆干炒至微焦黃，加入薑末、蒜末炒香，加入醬油、蠔油、少許水炒至豆干入味 | 倒入青椒炒熟，用鹽調味，起鍋前撒入蔥花拌勻即可,青椒炒豆干。食材：豆干5-6塊，薑末1-2大匙，蒜末1-2大匙，青椒2大顆，蔥花適量(可不加)，醬油2大匙，蠔油1大匙，鹽適量。做法：豆干洗淨切片；青椒洗淨，去蒂切片，起油鍋，倒入豆干炒至微焦黃，加入薑末、蒜末炒香，加入醬油、蠔油、少許水炒至豆干入味，倒入青椒炒熟，用鹽調味，起鍋前撒入蔥花拌勻即可。,青椒/478312_青椒炒豆干.jpg
476707,甜椒炒肉片,https://icook.tw/recipes/476707,李錦記 頭道零添加原釀醬油、豬肉片、紅椒、太白粉、黃椒,李錦記 頭道零添加原釀醬油適量 | 豬肉片1盒 | 紅椒1顆 | 黃椒1顆 | 李錦記 頭道零添加原釀醬油1~2匙 | 太白粉適量,甜椒們先切段，肉片加入醃料醃至15分鐘以上 | 熱鍋熱油後，將醃好的肉片拌炒 | 肉片變色後，加入甜椒 | 倒入適量李錦記 頭道零添加原釀醬油，再加一點水悶煮 | 盛裝後就可以開吃了！,甜椒炒肉片。食材：李錦記 頭道零添加原釀醬油適量，豬肉片1盒，紅椒1顆，黃椒1顆，李錦記 頭道零添加原釀醬油1~2匙，太白粉適量。做法：甜椒們先切段，肉片加入醃料醃至15分鐘以上，熱鍋熱油後，將醃好的肉片拌炒，肉片變色後，加入甜椒，倒入適量李錦記 頭道零添加原釀醬油，再加一點水悶煮，盛裝後就可以開吃了！。,青椒/476707_甜椒炒肉片.jpg
478687,彩椒炒鴻禧菇,https://icook.tw/recipes/478687,鴻禧菇、紅甜椒、黃甜椒、蒜頭、油、鹽、味精、水、白胡椒粉,鴻禧菇1包 | 紅甜椒半個 | 黃甜椒半個 | 蒜頭5粒 | 油適量 | 鹽適量 | 味精適量 | 水10cc | 白胡椒粉適量,"準備的食材

*吃全素的人可以不加蒜頭（或改放薑磨），因為甜椒本身就很香了～ | 鴻禧菇-切除尾布-撥散備用
紅黃甜椒-切絲備用蒜頭-切粒備用 | 熱鍋-油-蒜粒先煸香 | 在加入鴻禧菇拌炒一下，等鴻禧菇稍微變色 | 在加入紅黃甜椒-鹽-味精-白胡椒粉-水 | 大火快炒，炒到熟就可以成盤囉 | 起鍋","彩椒炒鴻禧菇。食材：鴻禧菇1包，紅甜椒半個，黃甜椒半個，蒜頭5粒，油適量，鹽適量，味精適量，水10cc，白胡椒粉適量。做法：準備的食材

*吃全素的人可以不加蒜頭（或改放薑磨），因為甜椒本身就很香了～，鴻禧菇-切除尾布-撥散備用
紅黃甜椒-切絲備用蒜頭-切粒備用，熱鍋-油-蒜粒先煸香，在加入鴻禧菇拌炒一下，等鴻禧菇稍微變色，在加入紅黃甜椒-鹽-味精-白胡椒粉-水，大火快炒，炒到熟就可以成盤囉，起鍋。",青椒/478687_彩椒炒鴻禧菇.jpg
475999,青椒炒牛蛙,https://icook.tw/recipes/475999,牛蛙、青椒、姜、蒜、酱油、生抽、料酒等调料,牛蛙1 | 青椒1 | 姜 | 蒜1 | 酱油 | 生抽 | 料酒等调料1,牛蛙处理干净，剁成小块，用料酒、盐、姜片腌制一会儿去腥。 | 青椒切丝或切块备用。 | 热锅下油，先炒香姜蒜，再加入牛蛙翻炒至变色。 | 加入青椒继续翻炒，调入生抽、酱油、盐等调味料。 | 炒至牛蛙熟透、入味即可出锅。,青椒炒牛蛙。食材：牛蛙1，青椒1，姜，蒜1，酱油，生抽，料酒等调料1。做法：牛蛙处理干净，剁成小块，用料酒、盐、姜片腌制一会儿去腥。，青椒切丝或切块备用。，热锅下油，先炒香姜蒜，再加入牛蛙翻炒至变色。，加入青椒继续翻炒，调入生抽、酱油、盐等调味料。，炒至牛蛙熟透、入味即可出锅。。,青椒/475999_青椒炒牛蛙.jpg
