# 分析摘要
# 最高相似度: 0.704
# 建議門檻: 0.56 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 16
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 164 組相似食譜
# 門檻 0.2: 54 組相似食譜
# 門檻 0.3: 16 組相似食譜
# 門檻 0.4: 6 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
476358,【全素】梅漬青椒 (老少咸宜版),476361,【全素】梅漬青椒 (清甜可口版),0.704
478675,青椒炒麵腸,478312,青椒炒豆干,0.616
478687,彩椒炒鴻禧菇,466036,彩椒菇菇,0.571
478312,青椒炒豆干,476377,青椒香炒豆干,0.487
468989,和風青椒,468820,青椒牛肉,0.48
476444,甜椒炒魷魚,478687,彩椒炒鴻禧菇,0.416
476377,青椒香炒豆干,473876,甜椒炒蝦🦐,0.395
477401,皮蛋炒青椒,475791,青椒炒皮蛋,0.38
477401,皮蛋炒青椒,473876,甜椒炒蝦🦐,0.367
471550,青椒火腿蔥花餅,472408,荷葉餅夾青椒肉絲,0.362
476444,甜椒炒魷魚,466036,彩椒菇菇,0.333
469861,紅蘿蔔炒青椒,472535,彩椒雞肉義大利麵,0.319
473915,甜椒炒蝦,476925,虎皮青椒鑲肉,0.318
471947,彩椒（青椒）炒肉絲,468230,甜椒炒肉絲,0.312
478675,青椒炒麵腸,475791,青椒炒皮蛋,0.31
476982,彩椒洋蔥牛肉捲,476707,甜椒炒肉片,0.306
