id,name,document
476957,炒青江菜,青江菜 蒜片
476427,青江菜煎蛋,青江菜 雞蛋
479457,菇菇火腿青江菜,青江菜 火腿 雪白菇 蒜瓣 白胡椒粉 安食小品黑豆醬油
463044,青江菜炒香菇,青江菜 香菇 雞粉 太白粉
473886,醃酸菜- 青江菜,青江菜 白醋
470866,蠔油炒青江菜,青江菜 香菇 醬油 蒜頭 蠔油 辣椒 高湯粉 太白粉水
471978,辣雞醬炒青江菜煙燻豆包,青江菜 煙燻豆包 雞粉 三養辣雞醬
465877,蠔油青江菜,青江菜 蒜末 蠔油 太白粉水
464337,味噌炒青江菜（全素）,青江菜 紅蘿蔔絲 香菇調味露 玉米筍 味噌調味醬 玄米油
471639,炒滷豆乾青江菜（全素）,豆之味滷豆乾 鴻禧菇 香菇調味露 青江菜 日本玄米油
456202,青江菜炒蝦仁,青江菜 蝦仁 米酒 蒜頭 烹大師 白胡椒粉
457510,蠔油青江菜炒蛋 / 家常菜,青江菜 雞蛋 蒜辦 李錦記舊庄特級蠔油 淨水
452265,青江菜米粉湯,青江菜 米粉 乾香菇 蝦米 蒜 白胡椒粉
459149,青江菜炒蝦仁雪白菇,青江菜 蝦仁 雪白菇 老薑
450739,青江菜炒蛋 / 家常菜,青江菜 雞蛋 蒜辦
452411,青江菜加炒肉末,青江菜 華盛頓加拉蘋果 肉末豬絞肉 醬油 砂糖 蒜頭 薑片
450850,青江菜炒豆皮 / 家常菜,青江菜 生豆皮 老薑片 黑胡椒粒 白胡椒粉
454268,薑絲青江菜炒花枝(快速料理),冷凍澎湖花枝片 青江菜葉梗分開切小段 薑切絲 酒 鮮味炒手
447379,青江菜炒牛肉,好市多無骨牛小排 青江菜 蒜頭 辣椒 牛頭牌沙茶醬 好市多秘傳燒肉醬若無可換蠔油 薄鹽醬油 糯米醋 白芝麻
450637,青江菜炒玉米筍 / 家常菜,青江菜 玉米筍 蒜瓣
443158,鮮菇青江菜,蒜末 醬油或蠔油 素蠔油 紅辣椒 切斜片 糖 小型青江菜 烹大師柴魚粉或香菇粉 新鮮香菇 切成4等份 白胡椒粉 新鮮白玉菇 分散 太白粉或玉米粉
445233,青江菜炒木耳 / 家常菜,青江菜 黑木耳 蒜瓣
445002,青江菜炒菇 / 鮑魚菇,青江菜 鮑魚菇 蒜瓣
445936,燒椒醬炒豆皮青江菜,豆皮 腐竹 青江菜 蒜片 燒椒醬
478086,青江午餐肉,青江菜 午餐肉
438346,韓式青江菜泡菜청경채김치,牛奶白菜 青江菜 洋蔥 胡蘿蔔 蒜頭 蜜漬生薑 青蔥 玉筋魚露 韓國蘋果汁 韓國粗辣椒粉 砂糖 白飯 清水
441130,蒜香蘑菇炒青江菜,青江菜切段葉梗分開 蘑菇切片 蒜粒切片 鮮味炒手
443180,青江菜炒菇 / 擺盤分享,有機青江菜小顆 鴻禧菇 蒜瓣
445347,青江菜炒油揚豆腐｜五步驟｜健康Easy,青江菜 油揚豆腐 蒜片
437407,清炒青江菜(純素),青江菜 老薑 砂糖 香菇粉 白胡椒粉 清水 植物油
440491,鮮菇燴青江菜 (宴客菜),青江菜 鮮香菇 蠔油 紅蘿蔔
428198,清炒青江菜,青江菜 蒜末 正味雞粉
