id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
476957,炒青江菜,https://icook.tw/recipes/476957,青江菜、蒜片、鹽,青江菜1袋 | 蒜片半湯匙 | 鹽1小匙,"青江菜梗切長細絲。 | 菜子部份捲起來切絲。 | 油、蒜片、梗先下鍋。
隨即葉也快速拌炒。 | 盛盤。","炒青江菜。食材：青江菜1袋，蒜片半湯匙，鹽1小匙。做法：青江菜梗切長細絲。，菜子部份捲起來切絲。，油、蒜片、梗先下鍋。
隨即葉也快速拌炒。，盛盤。。",青江菜/476957_炒青江菜.jpg
476427,青江菜煎蛋,https://icook.tw/recipes/476427,青江菜、鹽巴、雞蛋,青江菜2根 | 鹽巴2小匙 | 雞蛋4顆,菜洗淨後切碎，放入碗中 | 將蛋打入碗中打散，加入鹽巴攪拌均勻。 | 熱油鍋中小火倒入蛋液 | 待邊邊微翹後翻面，煎至蛋變色熟透即可盛盤。,青江菜煎蛋。食材：青江菜2根，鹽巴2小匙，雞蛋4顆。做法：菜洗淨後切碎，放入碗中，將蛋打入碗中打散，加入鹽巴攪拌均勻。，熱油鍋中小火倒入蛋液，待邊邊微翹後翻面，煎至蛋變色熟透即可盛盤。。,青江菜/476427_青江菜煎蛋.jpg
479457,菇菇火腿青江菜,https://icook.tw/recipes/479457,青江菜、火腿、雪白菇、蒜瓣、白胡椒粉、安食小品黑豆醬油,青江菜2顆 | 火腿3片 | 雪白菇1/2顆 | 蒜瓣2瓣 | 白胡椒粉隨意 | 安食小品黑豆醬油1小匙,▪️火腿切絲、雪白菇剝好；青江菜切細絲、蒜瓣切碎 | ▪️熱油鍋爆香蒜頭，加入雪白菇和火腿拌炒 | ▪️火腿微上色後加入青江菜的根拌炒29-30秒，再加入葉子的部分，加入白胡椒粉和黑豆醬油調味 | 完成☑️,菇菇火腿青江菜。食材：青江菜2顆，火腿3片，雪白菇1/2顆，蒜瓣2瓣，白胡椒粉隨意，安食小品黑豆醬油1小匙。做法：▪️火腿切絲、雪白菇剝好；青江菜切細絲、蒜瓣切碎，▪️熱油鍋爆香蒜頭，加入雪白菇和火腿拌炒，▪️火腿微上色後加入青江菜的根拌炒29-30秒，再加入葉子的部分，加入白胡椒粉和黑豆醬油調味，完成☑️。,青江菜/479457_菇菇火腿青江菜.jpg
463044,青江菜炒香菇,https://icook.tw/recipes/463044,青江菜、香菇、雞粉、鹽、太白粉,青江菜4把 | 香菇4朵 | 雞粉1茶匙 | 鹽1茶匙 | 太白粉1小匙,青江菜洗淨切段，香菇切片備用 | 熱油鍋爆香香菇片加入青江菜快炒 | 加入雞粉、鹽調味加少量水與太白粉勾芡即完成,青江菜炒香菇。食材：青江菜4把，香菇4朵，雞粉1茶匙，鹽1茶匙，太白粉1小匙。做法：青江菜洗淨切段，香菇切片備用，熱油鍋爆香香菇片加入青江菜快炒，加入雞粉、鹽調味加少量水與太白粉勾芡即完成。,青江菜/463044_青江菜炒香菇.jpg
473886,醃酸菜- 青江菜,https://icook.tw/recipes/473886,青江菜、白醋、水、鹽,青江菜1包 | 白醋200克 | 水1000克 | 鹽2大匙,"簡單的食材 | 青江菜洗淨，對半切。 | 滾水加鹽，再下青江菜，燙約20秒。 | 撈出，再把燙青菜的熱水加過來。
放醋。 | 蓋上一個小盤子。不要讓青菜冒出水面。並加上「蓋子」。放置1-3天，就可以食用 | 醃好了。洗一下去酸味，就可以啦！ | 很像市面上買的酸菜。脆脆的。
實話：
味道不會跟市售的一樣，但是健康安全。但是口感是脆脆的，是存在的。 | 希望妳會喜歡。尤其異鄉的妳😊","醃酸菜- 青江菜。食材：青江菜1包，白醋200克，水1000克，鹽2大匙。做法：簡單的食材，青江菜洗淨，對半切。，滾水加鹽，再下青江菜，燙約20秒。，撈出，再把燙青菜的熱水加過來。
放醋。，蓋上一個小盤子。不要讓青菜冒出水面。並加上「蓋子」。放置1-3天，就可以食用，醃好了。洗一下去酸味，就可以啦！，很像市面上買的酸菜。脆脆的。
實話：
味道不會跟市售的一樣，但是健康安全。但是口感是脆脆的，是存在的。，希望妳會喜歡。尤其異鄉的妳😊。",青江菜/473886_醃酸菜-_青江菜.jpg
470866,蠔油炒青江菜,https://icook.tw/recipes/470866,青江菜、香菇、醬油、蒜頭、蠔油、辣椒、高湯粉、太白粉水,青江菜3~4顆 | 香菇2~3朵 | 蒜頭2~3瓣 | 辣椒1~2根 | 醬油1匙 | 蠔油適量 | 高湯粉適量 | 太白粉水1匙,青江菜洗淨，去蒂將菜梗、菜葉分開；香菇切片；蒜頭去膜，切末；辣椒去蒂，斜切片；將醬汁所有材料加入碗中，攪拌均勻 | 準備一鍋沸水，加入少許油，放入菜梗、香菇片汆燙約2分鐘，撈出瀝水 | 起油鍋，放入蒜末、辣椒爆香，倒入菜梗、香菇片、醬汁拌炒均勻，再加入菜葉大火拌炒幾下，即可起鍋,蠔油炒青江菜。食材：青江菜3~4顆，香菇2~3朵，蒜頭2~3瓣，辣椒1~2根，醬油1匙，蠔油適量，高湯粉適量，太白粉水1匙。做法：青江菜洗淨，去蒂將菜梗、菜葉分開；香菇切片；蒜頭去膜，切末；辣椒去蒂，斜切片；將醬汁所有材料加入碗中，攪拌均勻，準備一鍋沸水，加入少許油，放入菜梗、香菇片汆燙約2分鐘，撈出瀝水，起油鍋，放入蒜末、辣椒爆香，倒入菜梗、香菇片、醬汁拌炒均勻，再加入菜葉大火拌炒幾下，即可起鍋。,青江菜/470866_蠔油炒青江菜.jpg
471978,辣雞醬炒青江菜煙燻豆包,https://icook.tw/recipes/471978,青江菜、煙燻豆包、雞粉、鹽、三養辣雞醬,青江菜600克 | 煙燻豆包4片 | 雞粉2小匙 | 鹽1小匙 | 三養辣雞醬2茶匙,將青江菜去頭洗淨瀝乾、煙燻豆包切成適當大小 | 熱油鍋加入青江菜快炒放入煙燻豆包、雞粉、鹽、辣雞醬，快炒至食材均勻混合,辣雞醬炒青江菜煙燻豆包。食材：青江菜600克，煙燻豆包4片，雞粉2小匙，鹽1小匙，三養辣雞醬2茶匙。做法：將青江菜去頭洗淨瀝乾、煙燻豆包切成適當大小，熱油鍋加入青江菜快炒放入煙燻豆包、雞粉、鹽、辣雞醬，快炒至食材均勻混合。,青江菜/471978_辣雞醬炒青江菜煙燻豆包.jpg
465877,蠔油青江菜,https://icook.tw/recipes/465877,青江菜、蒜末、蠔油、水、太白粉水,青江菜1把 | 蒜末5顆 | 蠔油1.5 | 水90毫升 | 太白粉水適量,煮一鍋水，滾後加入青江菜及少許鹽巴，煮熟後取出備用。 | 下少許油爆香蒜末。 | 再加入蠔油炒香。 | 再加入水煮滾。 | 再用太白粉勾一點芡。 | 淋上備用的青江菜，即可美味上桌。,蠔油青江菜。食材：青江菜1把，蒜末5顆，蠔油1.5，水90毫升，太白粉水適量。做法：煮一鍋水，滾後加入青江菜及少許鹽巴，煮熟後取出備用。，下少許油爆香蒜末。，再加入蠔油炒香。，再加入水煮滾。，再用太白粉勾一點芡。，淋上備用的青江菜，即可美味上桌。。,青江菜/465877_蠔油青江菜.jpg
464337,味噌炒青江菜（全素）,https://icook.tw/recipes/464337,青江菜、紅蘿蔔絲、香菇調味露、玉米筍、味噌調味醬、玄米油,青江菜5把 | 紅蘿蔔絲適量 | 玉米筍3根 | 香菇調味露2匙 | 味噌調味醬2大匙 | 玄米油2大匙,將洗好的青江菜切段 | 鍋熱油加入後 | 放入紅蘿蔔絲和玉米筍炒香 | 再放入青江菜拌炒 | 加入香菇調味露和味噌調味醬一起拌炒即可,味噌炒青江菜（全素）。食材：青江菜5把，紅蘿蔔絲適量，玉米筍3根，香菇調味露2匙，味噌調味醬2大匙，玄米油2大匙。做法：將洗好的青江菜切段，鍋熱油加入後，放入紅蘿蔔絲和玉米筍炒香，再放入青江菜拌炒，加入香菇調味露和味噌調味醬一起拌炒即可。,青江菜/464337_味噌炒青江菜（全素）.jpg
471639,炒滷豆乾青江菜（全素）,https://icook.tw/recipes/471639,豆之味滷豆乾、鴻禧菇、香菇調味露、青江菜、日本玄米油,豆之味滷豆乾3塊 | 鴻禧菇半包 | 青江菜5把 | 香菇調味露2大匙 | 日本玄米油3大匙,"先將豆之味的滷豆乾切成片狀，和鴻禧菇一起炒香 | 加入青江菜根部再加入香菇調味露一起翻炒入味
（因為根部需要炒的時間比較久） | 最後再加入菜葉的部分一起翻炒，
再加入一匙香菇調味露拌炒至菜葉柔軟入味即可","炒滷豆乾青江菜（全素）。食材：豆之味滷豆乾3塊，鴻禧菇半包，青江菜5把，香菇調味露2大匙，日本玄米油3大匙。做法：先將豆之味的滷豆乾切成片狀，和鴻禧菇一起炒香，加入青江菜根部再加入香菇調味露一起翻炒入味
（因為根部需要炒的時間比較久），最後再加入菜葉的部分一起翻炒，
再加入一匙香菇調味露拌炒至菜葉柔軟入味即可。",青江菜/471639_炒滷豆乾青江菜（全素）.jpg
