# 分析摘要
# 最高相似度: 0.765
# 建議門檻: 0.61 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 25
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 131 組相似食譜
# 門檻 0.2: 71 組相似食譜
# 門檻 0.3: 25 組相似食譜
# 門檻 0.4: 12 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
465877,蠔油青江菜,466252,簡單不勾芡版蠔油青江菜,0.765
476427,青江菜煎蛋,450739,青江菜炒蛋 / 家常菜,0.674
476957,炒青江菜,445347,青江菜炒油揚豆腐｜五步驟｜健康Easy,0.658
457510,蠔油青江菜炒蛋 / 家常菜,450739,青江菜炒蛋 / 家常菜,0.654
437407,清炒青江菜(純素),439938,白灼青江菜(五辛素),0.634
476427,青江菜煎蛋,477328,脆皮燒肉飯菜,0.481
470866,蠔油炒青江菜,465877,蠔油青江菜,0.456
476957,炒青江菜,445936,燒椒醬炒豆皮青江菜,0.451
476855,蒜炒青江菜,466252,簡單不勾芡版蠔油青江菜,0.449
466252,簡單不勾芡版蠔油青江菜,428198,清炒青江菜,0.449
476427,青江菜煎蛋,457510,蠔油青江菜炒蛋 / 家常菜,0.441
475264,炒青江菜絲,439938,白灼青江菜(五辛素),0.429
476855,蒜炒青江菜,428198,清炒青江菜,0.38
475264,炒青江菜絲,456202,青江菜炒蝦仁,0.366
466252,簡單不勾芡版蠔油青江菜,440491,鮮菇燴青江菜 (宴客菜),0.366
450637,青江菜炒玉米筍 / 家常菜,445233,青江菜炒木耳 / 家常菜,0.363
450637,青江菜炒玉米筍 / 家常菜,445002,青江菜炒菇 / 鮑魚菇,0.363
464337,味噌炒青江菜（全素）,450637,青江菜炒玉米筍 / 家常菜,0.355
476855,蒜炒青江菜,465877,蠔油青江菜,0.344
465877,蠔油青江菜,428198,清炒青江菜,0.344
445233,青江菜炒木耳 / 家常菜,445002,青江菜炒菇 / 鮑魚菇,0.34
477328,脆皮燒肉飯菜,440491,鮮菇燴青江菜 (宴客菜),0.332
476427,青江菜煎蛋,466913,清燙青江菜,0.327
450739,青江菜炒蛋 / 家常菜,477328,脆皮燒肉飯菜,0.324
476957,炒青江菜,466913,清燙青江菜,0.308
