id,name,document
474475,青花菜保存分享,青花菜
466641,麻油青花菜,青花菜 薑絲 麻油 香菇粉可略
471608,蒜香青花菜 / 家常菜,青花菜 蒜瓣 薄鹽醬油
477082,無烤箱版｜焗烤鮪魚青花菜通心粉,油漬鮪魚罐頭 青蔥切斜刀 麵粉 清水 通心粉 鮮奶 白胡椒粉 綠花椰菜切小朵 起司絲
452132,青花菜保存,青花椰菜
461293,脆皮燒肉燴青花菜,南門市場翔記脆皮燒肉 雞蛋 青花菜 蒜瓣
453420,滑蛋花椰菜/青花菜/10分鐘/家常菜,花椰菜 雞蛋 雪白菇 辣椒
462232,蒜炒杏鮑菇青花菜,青花菜綠花椰菜 杏鮑菇 紅蘿蔔 蒜頭
453142,鱸魚青花菜 / 家常菜,鱸魚排 青花菜 老薑片
462394,和風青花菜火腿柴魚蛋沙拉,中型青花菜 熟火腿片 溏心蛋或白煮蛋 桂冠原味沙拉 薄鹽醬油 檸檬汁 柴魚片與白芝麻
453453,花枝丸青花菜 / 家常菜,青花菜 花枝丸 蒜瓣 黑胡椒粒 白胡椒粉 五香粉
445423,薑絲青花菜,青花椰菜 薑絲 枸杞 香菇粉 米酒
445696,韓式辣醬青花菜炒豬肉片,梅花豬肉片 韓國魚板 青花菜 韓式辣醬 安食小品黑豆醬油 冰糖
473894,燙青菜 / 擺盤分享,青花菜
434829,苦茶油青花菜 / 家常菜,青花菜 紅蘿蔔 蒜瓣 由豐將冷壓初榨小菓苦茶油
479561,牛排沙拉,嫩肩牛排 紅蘿蔔 青花菜 黑胡椒粒 玉米筍
434308,常備小菜/涼拌青花菜紅蘿蔔,綠色花椰菜切小塊梗跟花分開 紅蘿蔔連皮切小塊 小磨香油或韓式芝麻油 蒜頭切碎 雞粉
469280,板豆腐飯,板豆腐 青花菜 紅蘿蔔丁 雞蛋
435693,青花菜炒甜不辣 / 當季家常菜,青花菜 基隆甜不辣 蒜瓣
477341,奶油海鮮燉菜,透抽 蝦仁 馬鈴薯 紅蘿蔔 青花菜 洋蔥 北海道白醬
440910,青花菜起司濃湯｜Vitamix調理機,蔬菜高湯或其他偏好的高湯 青花菜 生腰果 蔬食帕馬森起司 亞麻仁籽 營養酵母 大蒜粉 洋蔥粉 粗鹽可選
424392,蒜片青花菜,青花菜 蒜頭 奶油
432167,簡單韓式青花菜紅蘿蔔拌菜,青花菜 紅蘿蔔切小片 芝麻香油 蒜頭切末 雞粉或鮮味炒手 黑胡椒粗粒或七味粉可省
473339,醃雞腿 義大利麵,香菇 青花菜 醃雞腿 小玉米筍 大蒜 洋蔥
477620,雞腿鐵板捲捲麵,捲捲麵 雞腿排 雞蛋 粗粒黑胡椒 黑胡椒醬 青花菜
477411,奶油白醬雞肉燉菜,娃娃菜 紅蘿蔔 無鹽奶油 洋蔥 麵粉 鴻禧菇 牛奶 青花菜 雞腿排 雞高湯
433676,青花菜 花椰菜｜過熱水蒸氣烤箱微波爐,綠花椰菜 白芝麻 醬油 白醋 砂糖 味噌
470875,韓料魷戲 尋找△ 紅蘿蔔炒青花菜,青花菜 紅蘿蔔 蒜末
478695,龍蝦義大利麵 + 水煮活龍蝦,活龍蝦一隻約550克 義大利麵 青花菜 亨氏龍蝦濃湯 昆布 粗粒黑胡椒 白酒
412248,腐乳雞丁青花菜 / 家常菜,雞胸肉 青花菜 白胡椒粉 蒜頭 黑胡椒粒 豆腐乳 太白粉 青蔥
476103,奶香培根雞肉飯,雞胸肉一盒 培根片一盒 馬鈴薯2顆 青花菜一棵 無鹽奶油少許 鮮奶少許 香鬆海苔粉少許 鹽巴少許
410709,蛋絲拌青花菜,青花椰菜 香菇 雞蛋 蒜末 辣椒 蠔油 醬油 烏醋 糖
465208,鮭魚鮮蔬 / 家常菜,鮭魚 青花菜 蒜瓣 玄米油或酪梨油
463104,奶油洋蔥炒青花菜,青花菜 洋蔥 奶油 安食小品醬鹽 黑胡椒粒
464438,小米研磨香料鹽的日常風情,小米研磨香料鹽 櫛瓜 青花菜 雞胸肉 雞腿排
472818,一鍋到底家常飯菜-肉排飯,豬中里肌肉 玄米油或酪梨油 蒜瓣 蠔油 白胡椒粉 青花菜 黑胡椒粒 紅蘿蔔 米酒
472255,蜜汁排骨 / 簡單家常年菜,豬排骨 白蘿蔔 蠔油 彩椒黃 蜂蜜 青花菜 淨水 蒜瓣 冷凍草莓 白胡椒粉 黑胡椒粒
460672,蒜香麵輪炒青花菜,青花菜 麵輪 蒜片 蠔油
467777,雙菇海上鮮,內門 阿隆師泰式澎湖冰卷 香菇 杏鮑菇 青花菜 蠔油 糖
470881,鮮蔬炒蝦,蝦 甜椒中 料酒 青花菜1掌大 塩 蒜片 黑胡椒粉 芡粉
464675,五色蔬菜起司烤蛋,茄子 紫洋蔥 黑芝麻鹽 胡蘿蔔 玉米 起司絲 青花菜
467122,牛小排拉麵,拉麵 雜骨高湯 黑胡椒 牛小排 醬油 青花菜 海帶芽 乾金針 罐頭玉米
