id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
466641,麻油青花菜,https://icook.tw/recipes/466641,青花菜、薑絲、麻油、鹽巴、香菇粉,青花菜1朵 | 薑絲20克 | 麻油2大匙 | 鹽巴3小匙 | 香菇粉1小匙,"食材 | ❶青花洗淨切小朵
❷煮一鍋滾水+2小匙鹽巴，將青花菜燙熟瀝乾備用
❸炒鍋加麻油，放入薑絲小火加熱，將薑絲煸炒乾水分呈微焦黃色
❹放入青花翻炒均勻，鹽巴、香菇粉調味拌勻即可","麻油青花菜。食材：青花菜1朵，薑絲20克，麻油2大匙，鹽巴3小匙，香菇粉1小匙。做法：食材，❶青花洗淨切小朵
❷煮一鍋滾水+2小匙鹽巴，將青花菜燙熟瀝乾備用
❸炒鍋加麻油，放入薑絲小火加熱，將薑絲煸炒乾水分呈微焦黃色
❹放入青花翻炒均勻，鹽巴、香菇粉調味拌勻即可。",青花菜/466641_麻油青花菜.jpg
471608,蒜香青花菜 / 家常菜,https://icook.tw/recipes/471608,青花菜、蒜瓣、酪梨油、薄鹽醬油,青花菜1顆 | 蒜瓣3瓣 | 酪梨油1大匙 | 薄鹽醬油2小匙,跑了一趟嘉義買到現砍的青花菜，用麵粉水（麵粉1.5大匙洗一朵青花菜），浸泡切一朵朵的青花菜1小時，再一朵朵沖洗瀝乾。 | 一顆25元的青花菜，台北買不到的價格與鮮度。 | 鍋小火放切薄的蒜片，可以將鍋握著鍋柄斜著聚集油煸蒜片，能集中油脂火力縮短煸蒜片的時間。 | 蒜片變金黃即要熄火，才不會焦掉。 | 把煸香蒜的油脂倒在碗裡加上薄鹽醬油，等等當燙青菜的淋醬。 | 用煸蒜片的原鍋有油脂加水煮滾，放青花菜汆燙至滾起，燙青菜熟成軟硬度可以依自己喜歡的口感調整。 | 青花菜擺好，淋上調好的油醬汁，吃的時候配上現煎的金黃蒜片，清爽好吃。 | 青花菜保存https: | icook.tw | recipes | 452132,蒜香青花菜 / 家常菜。食材：青花菜1顆，蒜瓣3瓣，酪梨油1大匙，薄鹽醬油2小匙。做法：跑了一趟嘉義買到現砍的青花菜，用麵粉水（麵粉1.5大匙洗一朵青花菜），浸泡切一朵朵的青花菜1小時，再一朵朵沖洗瀝乾。，一顆25元的青花菜，台北買不到的價格與鮮度。，鍋小火放切薄的蒜片，可以將鍋握著鍋柄斜著聚集油煸蒜片，能集中油脂火力縮短煸蒜片的時間。，蒜片變金黃即要熄火，才不會焦掉。，把煸香蒜的油脂倒在碗裡加上薄鹽醬油，等等當燙青菜的淋醬。，用煸蒜片的原鍋有油脂加水煮滾，放青花菜汆燙至滾起，燙青菜熟成軟硬度可以依自己喜歡的口感調整。，青花菜擺好，淋上調好的油醬汁，吃的時候配上現煎的金黃蒜片，清爽好吃。，青花菜保存https:，icook.tw，recipes，452132。,青花菜/471608_蒜香青花菜___家常菜.jpg
477082,無烤箱版｜焗烤鮪魚青花菜通心粉,https://icook.tw/recipes/477082,油漬鮪魚罐頭、青蔥、麵粉、清水、通心粉、鮮奶、鹽、白胡椒粉、綠花椰菜、起司絲,油漬鮪魚罐頭1罐 | 青蔥2支 | 麵粉2大匙 | 清水350cc | 通心粉100g | 鮮奶100cc | 鹽 | 白胡椒粉適量 | 綠花椰菜100g | 起司絲適量,先將鮪魚罐頭的油分立乾淨，放入平底鍋中，與青蔥白中火同炒至軟。 | 轉小火，加入麵粉拌炒均勻。 | 關火，加入清水攪拌均勻後，再開火煮沸。 | 加入通心粉，轉小火，蓋上鍋蓋，燜煮約8分鐘至通心粉變軟。 | 倒入鮮奶、綠花椰菜，攪拌均勻，此時可適當加入鹽與白胡椒適當調味。 | 最後加入起司絲，蓋上鍋蓋，轉小火煮約1～2分鐘。 | 起鍋前，攪拌均勻，再加入青蔥綠即可。,無烤箱版｜焗烤鮪魚青花菜通心粉。食材：油漬鮪魚罐頭1罐，青蔥2支，麵粉2大匙，清水350cc，通心粉100g，鮮奶100cc，鹽，白胡椒粉適量，綠花椰菜100g，起司絲適量。做法：先將鮪魚罐頭的油分立乾淨，放入平底鍋中，與青蔥白中火同炒至軟。，轉小火，加入麵粉拌炒均勻。，關火，加入清水攪拌均勻後，再開火煮沸。，加入通心粉，轉小火，蓋上鍋蓋，燜煮約8分鐘至通心粉變軟。，倒入鮮奶、綠花椰菜，攪拌均勻，此時可適當加入鹽與白胡椒適當調味。，最後加入起司絲，蓋上鍋蓋，轉小火煮約1～2分鐘。，起鍋前，攪拌均勻，再加入青蔥綠即可。。,青花菜/477082_無烤箱版｜焗烤鮪魚青花菜通心粉.jpg
453420,滑蛋花椰菜/青花菜/10分鐘/家常菜,https://icook.tw/recipes/453420,花椰菜、雞蛋、雪白菇、鹽、辣椒、油,花椰菜半顆 | 雞蛋2個 | 雪白菇1/4包 | 鹽1小匙 | 辣椒1根 | 油1/1匙,"將所有材料備好。我剛好有一些些雪白菇所以加了一些些。(可省略) | 準備一小鍋，將900CC水煮沸。大火。
水滾後，將切小的花椰菜放入，熄火。1分鐘後撈起放置一邊。 | 將平底鍋放入油1匙，把雪白菇放人，中火，翻炒。 | 放入10CC的水，把雪白菇變軟，再放人鹽巴、辣椒和先前過熱水的花椰菜，翻炒，大火。 | 水份略吸收後，放入1小匙的油，翻炒，再放入蛋汁。搖晃平底鍋，將蛋汁平均佈滿在鍋內。中火。 | 當蛋汁一面略熟後，再將另外2朵小花椰菜用食用剪刀將綠葉花部份剪下，平均散佈在整鍋。翻炒15秒，熄火。完成。
蛋勿需過熟一直炒!!才會好吃，滑嫩。最後盛盤時可以再剪一些綠花，撒在上方會更美。","滑蛋花椰菜/青花菜/10分鐘/家常菜。食材：花椰菜半顆，雞蛋2個，雪白菇1/4包，鹽1小匙，辣椒1根，油1/1匙。做法：將所有材料備好。我剛好有一些些雪白菇所以加了一些些。(可省略)，準備一小鍋，將900CC水煮沸。大火。
水滾後，將切小的花椰菜放入，熄火。1分鐘後撈起放置一邊。，將平底鍋放入油1匙，把雪白菇放人，中火，翻炒。，放入10CC的水，把雪白菇變軟，再放人鹽巴、辣椒和先前過熱水的花椰菜，翻炒，大火。，水份略吸收後，放入1小匙的油，翻炒，再放入蛋汁。搖晃平底鍋，將蛋汁平均佈滿在鍋內。中火。，當蛋汁一面略熟後，再將另外2朵小花椰菜用食用剪刀將綠葉花部份剪下，平均散佈在整鍋。翻炒15秒，熄火。完成。
蛋勿需過熟一直炒!!才會好吃，滑嫩。最後盛盤時可以再剪一些綠花，撒在上方會更美。。",青花菜/453420_滑蛋花椰菜_青花菜_10分鐘_家常菜.jpg
462232,蒜炒杏鮑菇青花菜,https://icook.tw/recipes/462232,青花菜、杏鮑菇、紅蘿蔔、蒜頭、食用油、水、鹽,青花菜200g | 杏鮑菇180g | 紅蘿蔔1/8條 | 蒜頭3瓣 | 食用油2大匙 | 水80~100cc | 鹽2/3茶匙,1.準備所有的食材，清理與清洗之。 | 2.紅蘿蔔切半圓片，杏鮑菇切約0.8公分圓片(中間一面可劃井字刀)，青花菜切小朵(梗粗皮隨喜好去皮或不去)，蒜頭切末。 | 3.起鍋，開中小火，乾鍋放入杏鮑菇乾煎。 | 4.煎菇過程中會出水(屬正常現象)。 | 5.續煎收乾水份，至表面微微淺金黃色後先起鍋。 | 6.再起鍋，開小火，倒入2大匙食用油，放入蒜頭，炒出香氣。 | 7.轉中小火，再放入青花菜與紅蘿蔔，拌炒一下。 | 8.加入水，蓋鍋蓋，燜煮2分鐘。 | 9.開蓋，加入步驟5.杏鮑菇與鹽，翻拌均勻即可關火。 | 10.起鍋盛盤，美味上桌!,蒜炒杏鮑菇青花菜。食材：青花菜200g，杏鮑菇180g，紅蘿蔔1/8條，蒜頭3瓣，食用油2大匙，水80~100cc，鹽2/3茶匙。做法：1.準備所有的食材，清理與清洗之。，2.紅蘿蔔切半圓片，杏鮑菇切約0.8公分圓片(中間一面可劃井字刀)，青花菜切小朵(梗粗皮隨喜好去皮或不去)，蒜頭切末。，3.起鍋，開中小火，乾鍋放入杏鮑菇乾煎。，4.煎菇過程中會出水(屬正常現象)。，5.續煎收乾水份，至表面微微淺金黃色後先起鍋。，6.再起鍋，開小火，倒入2大匙食用油，放入蒜頭，炒出香氣。，7.轉中小火，再放入青花菜與紅蘿蔔，拌炒一下。，8.加入水，蓋鍋蓋，燜煮2分鐘。，9.開蓋，加入步驟5.杏鮑菇與鹽，翻拌均勻即可關火。，10.起鍋盛盤，美味上桌!。,青花菜/462232_蒜炒杏鮑菇青花菜.jpg
453142,鱸魚青花菜 / 家常菜,https://icook.tw/recipes/453142,鱸魚排、青花菜、老薑片、酪梨油、鹽,鱸魚排2片 | 青花菜300朵 | 老薑片4片 | 酪梨油2小匙 | 鹽1/2小匙,"●冷凍金目鱸魚排烹煮前一天放冷藏低溫解凍，拆封後沖洗過，剪喜歡的大小塊，如4-8公分左右長方塊灑1 | 3小匙鹽；老薑洗淨切片。
●汆燙過鮮凍的青花菜從冷凍取出。 | ●28吋平底鍋小火加1 | 2小匙油，均勻擺好魚塊魚皮面朝鍋底蓋鍋煎，蓋鍋設定計時器煎6分鐘。 | ●計時器響了，用飯匙小心將魚片翻面，再煎2分鐘後魚排已熟先盛出。 | ●用煎魚原鍋維持小火補剩下1小匙油，均勻放好醬片煸出薑香，灑1 | 3小匙鹽。 | ●均勻擺上青花菜翻炒後蓋上鍋蓋蒸炒3分鐘。 | ● 炒青菜的境界，不能油 | 不能不熟 | 不能過熟 | 色香味都要有，完成啦。 | 簡單營養的家常菜","鱸魚青花菜 / 家常菜。食材：鱸魚排2片，青花菜300朵，老薑片4片，酪梨油2小匙，鹽1/2小匙。做法：●冷凍金目鱸魚排烹煮前一天放冷藏低溫解凍，拆封後沖洗過，剪喜歡的大小塊，如4-8公分左右長方塊灑1，3小匙鹽；老薑洗淨切片。
●汆燙過鮮凍的青花菜從冷凍取出。，●28吋平底鍋小火加1，2小匙油，均勻擺好魚塊魚皮面朝鍋底蓋鍋煎，蓋鍋設定計時器煎6分鐘。，●計時器響了，用飯匙小心將魚片翻面，再煎2分鐘後魚排已熟先盛出。，●用煎魚原鍋維持小火補剩下1小匙油，均勻放好醬片煸出薑香，灑1，3小匙鹽。，●均勻擺上青花菜翻炒後蓋上鍋蓋蒸炒3分鐘。，● 炒青菜的境界，不能油，不能不熟，不能過熟，色香味都要有，完成啦。，簡單營養的家常菜。",青花菜/453142_鱸魚青花菜___家常菜.jpg
462394,和風青花菜火腿柴魚蛋沙拉,https://icook.tw/recipes/462394,中型青花菜、熟火腿片、溏心蛋或白煮蛋、桂冠原味沙拉、薄鹽醬油、檸檬汁、柴魚片與白芝麻,中型青花菜半朵 | 熟火腿片2片 | 溏心蛋或白煮蛋2顆 | 桂冠原味沙拉20克 | 薄鹽醬油1大匙 | 檸檬汁1小匙 | 柴魚片與白芝麻適量,"將青花菜洗淨切小朵，水滾加入1小匙鹽巴，放入青花菜汆燙熟

🌟加鹽可保持蔬菜翠綠 | 溏心對切成四等份、熟火腿切片；青花菜冷卻或冰鎮後，加入水煮蛋、火腿片，與醬油、檸檬汁稍微拌勻 | 拌勻裝盤後，擠上沙拉醬、灑上芝麻與柴魚片，好吃營養的青花菜火腿蛋沙拉就完成囉😋 | 選用標示全熟品的火腿片，就可以直接涼拌食用","和風青花菜火腿柴魚蛋沙拉。食材：中型青花菜半朵，熟火腿片2片，溏心蛋或白煮蛋2顆，桂冠原味沙拉20克，薄鹽醬油1大匙，檸檬汁1小匙，柴魚片與白芝麻適量。做法：將青花菜洗淨切小朵，水滾加入1小匙鹽巴，放入青花菜汆燙熟

🌟加鹽可保持蔬菜翠綠，溏心對切成四等份、熟火腿切片；青花菜冷卻或冰鎮後，加入水煮蛋、火腿片，與醬油、檸檬汁稍微拌勻，拌勻裝盤後，擠上沙拉醬、灑上芝麻與柴魚片，好吃營養的青花菜火腿蛋沙拉就完成囉😋，選用標示全熟品的火腿片，就可以直接涼拌食用。",青花菜/462394_和風青花菜火腿柴魚蛋沙拉.jpg
453453,花枝丸青花菜 / 家常菜,https://icook.tw/recipes/453453,青花菜、花枝丸、蒜瓣、酪梨油、鹽、黑胡椒粒、白胡椒粉、五香粉,青花菜450克 | 花枝丸10顆 | 蒜瓣3瓣 | 酪梨油2小匙 | 鹽1/3小匙 | 黑胡椒粒1/2小匙 | 白胡椒粉1/3小匙 | 五香粉1/3小匙,"●花枝丸每顆剪對半。
●蒜瓣洗淨拍碎剝膜切末。
●汆燙過鮮凍的青花菜從冷凍取出。青花菜保存https: | icook.tw | recipes | 452132 | ●平底鍋小火先加1小匙油，放花枝丸蓋鍋煎3分鐘後打開鍋蓋將花枝丸用筷子逐一翻面再蓋鍋煎3分鐘，花枝丸煎金黃後，再灑黑胡椒粒、白胡椒粉、五香粉拌勻盛出。 | ●用煎花枝丸原鍋，中小火再補1小匙油先放蒜爆香，聞到蒜香灑鹽。 | ●把青花椰菜均勻擺在鍋，設定計時器，蓋鍋蒸炒3分鐘。
●3分鐘後打開鍋蓋翻炒一下，冷凍青花菜就熟了，完成。
※冷凍青花菜比青花菜易熟，生青花菜蓋鍋蒸炒時間可以設定5分鐘。 | ●再把煎香的花枝丸倒回鍋中拌拌，完成啦。 | 簡單的好吃 | 365道簡單家常菜http: | tinyurl.com | mvfkw3m2","花枝丸青花菜 / 家常菜。食材：青花菜450克，花枝丸10顆，蒜瓣3瓣，酪梨油2小匙，鹽1/3小匙，黑胡椒粒1/2小匙，白胡椒粉1/3小匙，五香粉1/3小匙。做法：●花枝丸每顆剪對半。
●蒜瓣洗淨拍碎剝膜切末。
●汆燙過鮮凍的青花菜從冷凍取出。青花菜保存https:，icook.tw，recipes，452132，●平底鍋小火先加1小匙油，放花枝丸蓋鍋煎3分鐘後打開鍋蓋將花枝丸用筷子逐一翻面再蓋鍋煎3分鐘，花枝丸煎金黃後，再灑黑胡椒粒、白胡椒粉、五香粉拌勻盛出。，●用煎花枝丸原鍋，中小火再補1小匙油先放蒜爆香，聞到蒜香灑鹽。，●把青花椰菜均勻擺在鍋，設定計時器，蓋鍋蒸炒3分鐘。
●3分鐘後打開鍋蓋翻炒一下，冷凍青花菜就熟了，完成。
※冷凍青花菜比青花菜易熟，生青花菜蓋鍋蒸炒時間可以設定5分鐘。，●再把煎香的花枝丸倒回鍋中拌拌，完成啦。，簡單的好吃，365道簡單家常菜http:，tinyurl.com，mvfkw3m2。",青花菜/453453_花枝丸青花菜___家常菜.jpg
445423,薑絲青花菜,https://icook.tw/recipes/445423,青花椰菜、薑絲、枸杞、香菇粉、米酒,青花椰菜300克 | 薑絲20克 | 枸杞10克 | 香菇粉1茶匙 | 米酒1大匙,食材 | ❶花椰菜切小朵，用鹽水稍微泡洗，在清水沖洗乾淨 | ❷滾水+鹽巴，花椰菜燙煮1分鐘瀝乾備用 | 枸杞也稍微過水備用 | ❸炒鍋少許油炒香薑絲，再放花椰菜、枸杞翻均勻 | ❹加香菇粉調味，淋點米酒嗆香，翻炒均勻即可,薑絲青花菜。食材：青花椰菜300克，薑絲20克，枸杞10克，香菇粉1茶匙，米酒1大匙。做法：食材，❶花椰菜切小朵，用鹽水稍微泡洗，在清水沖洗乾淨，❷滾水+鹽巴，花椰菜燙煮1分鐘瀝乾備用，枸杞也稍微過水備用，❸炒鍋少許油炒香薑絲，再放花椰菜、枸杞翻均勻，❹加香菇粉調味，淋點米酒嗆香，翻炒均勻即可。,青花菜/445423_薑絲青花菜.jpg
445696,韓式辣醬青花菜炒豬肉片,https://icook.tw/recipes/445696,梅花豬肉片、韓國魚板、青花菜、韓式辣醬、安食小品黑豆醬油、冰糖,梅花豬肉片1盒 | 韓國魚板2片 | 青花菜1朵 | 韓式辣醬1大匙 | 安食小品黑豆醬油1匙 | 冰糖1小匙,用油抓醃豬肉片靜置15分鐘 | 將調味料混合 | 炒豬肉片至半熟盛起備用 | 同一鍋炒青花菜，加入少許的水加速 | 加入魚板 | 加入豬肉片拌炒 | 加入調味料 | 上色 | 撒上蔥花完成✅,韓式辣醬青花菜炒豬肉片。食材：梅花豬肉片1盒，韓國魚板2片，青花菜1朵，韓式辣醬1大匙，安食小品黑豆醬油1匙，冰糖1小匙。做法：用油抓醃豬肉片靜置15分鐘，將調味料混合，炒豬肉片至半熟盛起備用，同一鍋炒青花菜，加入少許的水加速，加入魚板，加入豬肉片拌炒，加入調味料，上色，撒上蔥花完成✅。,青花菜/445696_韓式辣醬青花菜炒豬肉片.jpg
