# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 14
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 239 組相似食譜
# 門檻 0.2: 76 組相似食譜
# 門檻 0.3: 14 組相似食譜
# 門檻 0.4: 4 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
474475,青花菜保存分享,473894,燙青菜 / 擺盤分享,1.0
465208,鮭魚鮮蔬 / 家常菜,465571,蔥蒜鮭魚黃金豆腐 / 家常菜,0.648
424392,蒜片青花菜,463104,奶油洋蔥炒青花菜,0.429
452132,青花菜保存,445423,薑絲青花菜,0.402
465208,鮭魚鮮蔬 / 家常菜,461143,氣炸鮭魚麵 / 玻霸鍋料理,0.396
465208,鮭魚鮮蔬 / 家常菜,472818,一鍋到底家常飯菜-肉排飯,0.382
452132,青花菜保存,410709,蛋絲拌青花菜,0.353
434829,苦茶油青花菜 / 家常菜,470875,韓料魷戲 尋找△ 紅蘿蔔炒青花菜,0.34
453453,花枝丸青花菜 / 家常菜,461143,氣炸鮭魚麵 / 玻霸鍋料理,0.324
462232,蒜炒杏鮑菇青花菜,424392,蒜片青花菜,0.32
471608,蒜香青花菜 / 家常菜,435693,青花菜炒甜不辣 / 當季家常菜,0.318
453453,花枝丸青花菜 / 家常菜,472818,一鍋到底家常飯菜-肉排飯,0.313
472255,蜜汁排骨 / 簡單家常年菜,467119,糖醋蜜汁雞腿 / 家常菜,0.312
453420,滑蛋花椰菜/青花菜/10分鐘/家常菜,410709,蛋絲拌青花菜,0.305
