id,name,document
478663,韮菜豬肉花捲,中筋麵粉 速發酵母 豬絞肉 韮菜
474690,涼拌韭菜,韭菜 醬油膏 柴魚片
472933,韭菜炒蛋,蒜末 韭菜 蛋
478317,韭菜植物肉水餃,水餃皮 韭菜 蔥 薑 植物肉 紹興酒 香菇素蠔油 白胡椒粉 烹大師香菇風味
457013,僞韭菜盒子,吐司 韭菜 豬五花 白胡椒粉 湯匙
474424,韭菜炒雞腿排,雞腿排 韭菜 醬油 青蔥 醬油膏 蒜頭 米酒 洋蔥 白胡椒 白芝麻 烏醋 砂糖
468284,韭菜盒子,韭菜 絞肉
476118,韭菜米紙蛋餅🎶,韭菜 雞蛋 米紙 白胡椒粉
478253,韭菜黃拌香油鹽昆布,韭菜黃 鹽昆布 白芝麻
476308,減醣米紙韭菜餡餅,李錦記 頭道零添加原釀醬油 韭菜 杏鮑菇 雞蛋 雞胸肉
470311,韭菜盒子水餃,韭菜 豬絞肉 鮮味抄手 豆干 白糖 粉絲 白胡椒粉 蝦仁 五香粉 蛋 醬油 蝦皮 蠔油或醬油膏
467014,韭菜煎餅,韭菜段 蔥花 紅蘿蔔 中筋麵粉 蛋
301466,(無油)烙韭菜盒,中筋麵粉 蛋 麵粉 冬粉 蝦皮 韭菜
460117,韮菜炒肉片,韮菜 木耳 肉片 蒜頭 味醂 鮮味炒手
469763,韭菜雞蛋核桃粥,米 雞蛋 韭菜 核桃 雞湯塊
462055,韭菜炒豆乾,全聯客家豆乾 韭菜 蝦皮 大蒜
465524,韭菜水餃,水餃皮 豬絞肉45 老薑 韭菜55 蒜頭 蝦皮 醬油 米酒 黃酒 砂糖 雞粉 白胡椒粉
468581,韭菜炒冬粉,韭菜1把 絞肉 冬粉 蛋 蒜切末 醬油 塩
473201,韭菜肉排絲冬粉,冬粉 娃娃菜 素蠔油 韭菜 蔥花 味精 炒蛋 米酒 肉排
468287,蝦仁韭菜炒蛋,菇王有機鹽麴 雞蛋 蝦仁 韭菜 白胡椒粉
458641,韭菜炒魚板,韭菜 魚板 雞粉 紅蘿蔔絲 糖
470287,韭菜炒鴨腸,韭菜段 鴨腸段 蒜頭碎 醬油 辣椒段 蠔油 米酒 糖 雞粉
458430,韮菜鮮蝦餃,韮菜 猪絞肉 塩 蝦子 白胡椒粉 蔴油 薑粉
463784,韭菜盒,韭菜 冬粉 中筋麵粉 雞蛋 絞肉 堅魚粉 糖
466781,韭菜炒甜不辣,韭菜 甜不辣 薑片 辣椒
476336,韭菜菇菇炒櫛瓜麵,李錦記 頭道零添加原釀醬油 櫛瓜 紅蘿蔔 乾香菇 黑蠔菇 韭菜 雞蛋 蒜末
463346,韭菜肉包,中筋麵粉 酵母粉 豬絞肉 醬油 米酒 砂糖 韭菜 胡蘿蔔 楓康吳羽保鮮膜
469266,簡單自製韭菜盒🥟,韭菜 雞蛋 醬油 冬粉 麻油 高筋麵粉 冬菇 白胡椒粉 低筋麵粉 蝦米 白芝麻 熱水90度以上 乾燥碎豆腐
470166,油潑辣韭菜(五辛素),小韭菜 爆辣辣椒粉 韓式粗辣椒粉 蒜頭 醬油 烏醋 白芝麻 砂糖 花椒粉 味精
458062,韭菜煎蛋,韭菜 雞蛋 白胡椒粉
461954,韭菜炒雞蛋,籽熊寶頂級初榨苦茶油 味精 雞蛋 黑胡椒粉 韭菜
464816,韓式韭菜泡菜부추김치,小韭菜 胡蘿蔔 蒜頭 洋蔥 玉筋魚露 中筋麵粉 蝦皮 蜂蜜 熟白芝麻 韓式粗辣椒粉
461900,韭菜牛肉湯泡麵,牛肉泡麵 韭菜 雞蛋 青蔥 辣椒醬
461488,韭黃韭菜水餃,豬腿肉73 雞蛋 韭菜 香菇素蠔油 韭黃 醬油 香菜 米酒 水餃皮2斤 糖 五香粉 胡椒粉 蔥薑水2大隻薑1520克
469766,韓式辣拌韭菜(簡易版),小韭菜 洋蔥 韓式粗辣椒粉 蒜末 味醂 爆辣辣椒粉 醬油 魚露 蘋果醋 芝麻油 熟白芝麻 雞粉
461104,韭菜青蔥煎餅,韭菜 高麗菜葉 青蔥 雞蛋 白胡椒 麵粉
467471,四川涼拌韭菜(五辛素),韮菜 小韮菜 蒜頭 辣椒 烏醋 醬油 油潑辣子 砂糖 味精
464649,家常韭菜炒花枝,花枝 韭菜花
