id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
478663,韮菜豬肉花捲,https://icook.tw/recipes/478663,中筋麵粉、速發酵母、水、豬絞肉、韮菜,中筋麵粉300公克 | 速發酵母3克 | 水180毫升 | 豬絞肉120克 | 韮菜適量,盆內放入麵粉加入酵母及一點塩（大概2公克）然後倒入溫水180克（水佔麵粉的60%)下手揉成一個徧軟的麵團靜置發酵至1.5 －2倍大。 | 將豬絞肉先加攪拌成黏稠狀然後慢慢加入白胡椒粉，塩及醬油調成自己的口味攪拌均勻後加入韮菜末（蔥花末）及胡麻油拌勻即可放入冰箱冷藏備用。 | 麵團發酵完成後工作枱上灑些手粉將麵團移至枱面上滾圓拍平（拍出空氣）桿成一個長方形的麵片面上噴點油鋪上饀料捲起一長條再用桿麵棍桿平 | 切成大約二手指的寬度，再二片疊在一起用筷子往下壓就好了，也可以再將兩頭尾連在一起，放置蒸盤上醒15分鐘，然後上鍋蒸14分鐘，蒸好後燜3分鐘開蓋 | 熱氣騰騰出鍋啦，左邊的是頭尾二瑞捲一起，右邊是筷子壓平後沒有捲。  型狀沒有很漂亮，但是不影響好吃的。,韮菜豬肉花捲。食材：中筋麵粉300公克，速發酵母3克，水180毫升，豬絞肉120克，韮菜適量。做法：盆內放入麵粉加入酵母及一點塩（大概2公克）然後倒入溫水180克（水佔麵粉的60%)下手揉成一個徧軟的麵團靜置發酵至1.5 －2倍大。，將豬絞肉先加攪拌成黏稠狀然後慢慢加入白胡椒粉，塩及醬油調成自己的口味攪拌均勻後加入韮菜末（蔥花末）及胡麻油拌勻即可放入冰箱冷藏備用。，麵團發酵完成後工作枱上灑些手粉將麵團移至枱面上滾圓拍平（拍出空氣）桿成一個長方形的麵片面上噴點油鋪上饀料捲起一長條再用桿麵棍桿平，切成大約二手指的寬度，再二片疊在一起用筷子往下壓就好了，也可以再將兩頭尾連在一起，放置蒸盤上醒15分鐘，然後上鍋蒸14分鐘，蒸好後燜3分鐘開蓋，熱氣騰騰出鍋啦，左邊的是頭尾二瑞捲一起，右邊是筷子壓平後沒有捲。  型狀沒有很漂亮，但是不影響好吃的。。,韭菜/478663_韮菜豬肉花捲.jpg
474690,涼拌韭菜,https://icook.tw/recipes/474690,韭菜、醬油膏、柴魚片,韭菜1小把 | 醬油膏隨意 | 柴魚片隨意,"韭菜洗淨不要切 | 水滾後.再放入韭菜.川燙一分鐘即可 | 鍋內熱水倒掉 .放入冰水和冰塊.3分鐘後水倒掉 | 記得韭菜水份擠乾.放置砧板上.切段 | 切段後排放整齊
（我覺得看起來比較美味） | 加入適量醬油膏
（我習慣用黑龍薄鹽蔭油膏.不死鹹還會回甘） | 最後再加入爆多的柴魚片。
冰冰涼涼超好吃","涼拌韭菜。食材：韭菜1小把，醬油膏隨意，柴魚片隨意。做法：韭菜洗淨不要切，水滾後.再放入韭菜.川燙一分鐘即可，鍋內熱水倒掉 .放入冰水和冰塊.3分鐘後水倒掉，記得韭菜水份擠乾.放置砧板上.切段，切段後排放整齊
（我覺得看起來比較美味），加入適量醬油膏
（我習慣用黑龍薄鹽蔭油膏.不死鹹還會回甘），最後再加入爆多的柴魚片。
冰冰涼涼超好吃。",韭菜/474690_涼拌韭菜.jpg
472933,韭菜炒蛋,https://icook.tw/recipes/472933,蒜末、韭菜、蛋,蒜末1瓣 | 韭菜半把 | 蛋2顆,熱鍋倒入少許油，再把事先打好的2顆雞蛋放入鍋中翻炒 | 炒至8分熟盛起來備用 | 熱鍋倒入少許油，放入蒜末炒出香氣 | 倒入事先切成段的韭菜，稍微拌炒一下 | 再將剛剛炒好的蛋加入稍微拌炒一下 | 起鍋前加入鹽巴調味即可,韭菜炒蛋。食材：蒜末1瓣，韭菜半把，蛋2顆。做法：熱鍋倒入少許油，再把事先打好的2顆雞蛋放入鍋中翻炒，炒至8分熟盛起來備用，熱鍋倒入少許油，放入蒜末炒出香氣，倒入事先切成段的韭菜，稍微拌炒一下，再將剛剛炒好的蛋加入稍微拌炒一下，起鍋前加入鹽巴調味即可。,韭菜/472933_韭菜炒蛋.jpg
478317,韭菜植物肉水餃,https://icook.tw/recipes/478317,水餃皮、韭菜、蔥、薑、植物肉、水、紹興酒、香油、香菇素蠔油、白胡椒粉、烹大師香菇風味,水餃皮600公克 | 韭菜500公克 | 蔥80公克 | 薑40公克 | 水150公克 | 植物肉600公克 | 紹興酒30公克 | 香油30公克 | 香菇素蠔油15公克 | 白胡椒粉6公克 | 烹大師香菇風味15公克,"韭菜植物肉水餃由三部分組成：
1.水餃皮
2.韭菜3.植物肉餡：由調味過的植物肉和蔥薑水混合。

您也可以使用嫩豆包取代植物肉。 | 植物肉餡的調味食材。

使用紹興酒取代米酒，更顯餡香。 | 將植物肉與調味料攪拌均勻。 | 接著準備蔥薑水：
將蔥、薑、水以食物處理機或攪拌棒打成泥。 | 蔥薑水的樣子。 | 將蔥薑水加入植物肉餡，攪拌均勻。 | 加入切成細珠的韭菜，一樣攪拌均勻。 | 開始包水餃！

生鮮的韭菜植物肉水滾後5-8分鐘即可撈起。

冷凍的韭菜植物肉水餃可以電鍋蒸熟（約15-20分鐘），或水滾後約煮10分鐘即可。 | 植物五辛素（不含奶蛋）的韭菜植物肉水餃，希望您會喜歡。 | 內餡的樣子。 | 歡迎您參考我的「鹽麴紅蘿蔔水餃」食譜，非常謝謝您的閱讀。https: | icook.tw | recipes | 467637","韭菜植物肉水餃。食材：水餃皮600公克，韭菜500公克，蔥80公克，薑40公克，水150公克，植物肉600公克，紹興酒30公克，香油30公克，香菇素蠔油15公克，白胡椒粉6公克，烹大師香菇風味15公克。做法：韭菜植物肉水餃由三部分組成：
1.水餃皮
2.韭菜3.植物肉餡：由調味過的植物肉和蔥薑水混合。

您也可以使用嫩豆包取代植物肉。，植物肉餡的調味食材。

使用紹興酒取代米酒，更顯餡香。，將植物肉與調味料攪拌均勻。，接著準備蔥薑水：
將蔥、薑、水以食物處理機或攪拌棒打成泥。，蔥薑水的樣子。，將蔥薑水加入植物肉餡，攪拌均勻。，加入切成細珠的韭菜，一樣攪拌均勻。，開始包水餃！

生鮮的韭菜植物肉水滾後5-8分鐘即可撈起。

冷凍的韭菜植物肉水餃可以電鍋蒸熟（約15-20分鐘），或水滾後約煮10分鐘即可。，植物五辛素（不含奶蛋）的韭菜植物肉水餃，希望您會喜歡。，內餡的樣子。，歡迎您參考我的「鹽麴紅蘿蔔水餃」食譜，非常謝謝您的閱讀。https:，icook.tw，recipes，467637。",韭菜/478317_韭菜植物肉水餃.jpg
457013,僞韭菜盒子,https://icook.tw/recipes/457013,吐司、韭菜、豬五花、鹽、白胡椒粉、油、湯匙,吐司4 片 | 韭菜1 把 | 豬五花幾片 | 鹽1 小匙 | 白胡椒粉適量 | 油適量 | 湯匙1把,韭菜洗淨切小段 | 用油爆炒豬肉片 | 加入韭菜一起炒香，再加入鹽跟白胡椒粉調味 | 把炒好的韭菜內餡，放上吐司 | 用一片吐司蓋上，再用湯匙把四個邊緣壓合，然後放進鍋裡乾煎 | 煎到雙面金黃，斜切，完成~,僞韭菜盒子。食材：吐司4 片，韭菜1 把，豬五花幾片，鹽1 小匙，白胡椒粉適量，油適量，湯匙1把。做法：韭菜洗淨切小段，用油爆炒豬肉片，加入韭菜一起炒香，再加入鹽跟白胡椒粉調味，把炒好的韭菜內餡，放上吐司，用一片吐司蓋上，再用湯匙把四個邊緣壓合，然後放進鍋裡乾煎，煎到雙面金黃，斜切，完成~。,韭菜/457013_僞韭菜盒子.jpg
474424,韭菜炒雞腿排,https://icook.tw/recipes/474424,雞腿排、韭菜、醬油、青蔥、醬油膏、蒜頭、米酒、洋蔥、白胡椒、白芝麻、烏醋、砂糖,雞腿排2片 | 韭菜7把 | 青蔥1根 | 蒜頭2瓣 | 洋蔥0.5顆 | 白芝麻適量 | 醬油1大匙 | 醬油膏1小匙 | 米酒1大匙 | 白胡椒適量 | 烏醋1小匙 | 砂糖1小匙,"1. 將雞腿排表面水分擦乾。
2.洋蔥切絲；韭菜、青蔥切段，蒜頭切末。
3. 混合所有調味料。 | 熱鍋，雞皮朝下，放入雞腿排，中火煎5分鐘。 | 翻面，稍微煎一下。熄火，剪成塊狀。 | 再開火，炒香蒜末後，加入洋蔥、韭菜、青蔥拌炒。 | 倒入調味料拌炒收汁。 | 撒上白芝麻 | 完成。","韭菜炒雞腿排。食材：雞腿排2片，韭菜7把，青蔥1根，蒜頭2瓣，洋蔥0.5顆，白芝麻適量，醬油1大匙，醬油膏1小匙，米酒1大匙，白胡椒適量，烏醋1小匙，砂糖1小匙。做法：1. 將雞腿排表面水分擦乾。
2.洋蔥切絲；韭菜、青蔥切段，蒜頭切末。
3. 混合所有調味料。，熱鍋，雞皮朝下，放入雞腿排，中火煎5分鐘。，翻面，稍微煎一下。熄火，剪成塊狀。，再開火，炒香蒜末後，加入洋蔥、韭菜、青蔥拌炒。，倒入調味料拌炒收汁。，撒上白芝麻，完成。。",韭菜/474424_韭菜炒雞腿排.jpg
468284,韭菜盒子,https://icook.tw/recipes/468284,韭菜、絞肉,韭菜200g | 絞肉100g,"先倒熱水拌勻再倒冷水揉成糰
鬆弛30分 | 豬肉、香菇、豆乾、蛋、蝦米炒香拌入泡開的冬粉、韭菜 | 麵糰分成三條方便分成小段
跟水餃一樣桿開包餡","韭菜盒子。食材：韭菜200g，絞肉100g。做法：先倒熱水拌勻再倒冷水揉成糰
鬆弛30分，豬肉、香菇、豆乾、蛋、蝦米炒香拌入泡開的冬粉、韭菜，麵糰分成三條方便分成小段
跟水餃一樣桿開包餡。",韭菜/468284_韭菜盒子.jpg
476118,韭菜米紙蛋餅🎶,https://icook.tw/recipes/476118,韭菜、雞蛋、鹽、米紙、白胡椒粉,韭菜300克 | 雞蛋5顆 | 米紙10張 | 鹽1茶匙 | 白胡椒粉1茶匙,準備食材。 | 鄰居種植、分享我們的紅根韭菜，又稱細葉韭菜。因韭菜生長的環境、時間不同，韭菜根部產生變化。韭菜根部累積大量的多糖類物質和花青素，根部轉變成紅色，故紅根韭菜的營養更豐富。 | 沖洗乾淨韭菜、晾乾水份，然後切細末備用。 | 雞蛋去殼，與調味料打散、拌勻。 | 將蛋液倒入韭菜末，以叉子打發一下（呈現蓬鬆狀態）。 | 平底鍋熱鍋，倒些許蔬菜油（讓鍋底略有油亮感即可）。先取一張米紙平鋪，舀2湯匙韭菜蛋液、平鋪在米紙。 | 再取一張米紙、蓋上韭菜蛋液。若米紙遇熱捲起，翻面繼續煎，即可解決捲曲問題。 | 煎至韭菜蛋液熟透，餅皮酥脆、金黃色；即可盛盤、待涼。 | 待韭菜蛋餅稍冷卻，捲成圓筒狀態、再入鍋煎一下⋯更酥脆。 | 香、酥、脆的韭菜米紙蛋餅。 | 冷熱食用，均美味。依個人口味，沾蕃茄醬、甜辣醬食用，很好吃。,韭菜米紙蛋餅🎶。食材：韭菜300克，雞蛋5顆，米紙10張，鹽1茶匙，白胡椒粉1茶匙。做法：準備食材。，鄰居種植、分享我們的紅根韭菜，又稱細葉韭菜。因韭菜生長的環境、時間不同，韭菜根部產生變化。韭菜根部累積大量的多糖類物質和花青素，根部轉變成紅色，故紅根韭菜的營養更豐富。，沖洗乾淨韭菜、晾乾水份，然後切細末備用。，雞蛋去殼，與調味料打散、拌勻。，將蛋液倒入韭菜末，以叉子打發一下（呈現蓬鬆狀態）。，平底鍋熱鍋，倒些許蔬菜油（讓鍋底略有油亮感即可）。先取一張米紙平鋪，舀2湯匙韭菜蛋液、平鋪在米紙。，再取一張米紙、蓋上韭菜蛋液。若米紙遇熱捲起，翻面繼續煎，即可解決捲曲問題。，煎至韭菜蛋液熟透，餅皮酥脆、金黃色；即可盛盤、待涼。，待韭菜蛋餅稍冷卻，捲成圓筒狀態、再入鍋煎一下⋯更酥脆。，香、酥、脆的韭菜米紙蛋餅。，冷熱食用，均美味。依個人口味，沾蕃茄醬、甜辣醬食用，很好吃。。,韭菜/476118_韭菜米紙蛋餅🎶.jpg
478253,韭菜黃拌香油鹽昆布,https://icook.tw/recipes/478253,韭菜黃、香油、鹽昆布、白芝麻,韭菜黃1把 | 香油1大匙 | 鹽昆布2大把 | 白芝麻1大匙,"1.韭菜切段過水洗淨後
2.取一鍋水煮滾後下韭菜黃燙熟 | 熟後撈出瀝開水份加入香油、白芝麻拌均勻。 | 放入鹽昆布（分2次加）一樣拌均勻，另一次放在上頭即可。","韭菜黃拌香油鹽昆布。食材：韭菜黃1把，香油1大匙，鹽昆布2大把，白芝麻1大匙。做法：1.韭菜切段過水洗淨後
2.取一鍋水煮滾後下韭菜黃燙熟，熟後撈出瀝開水份加入香油、白芝麻拌均勻。，放入鹽昆布（分2次加）一樣拌均勻，另一次放在上頭即可。。",韭菜/478253_韭菜黃拌香油鹽昆布.jpg
476308,減醣米紙韭菜餡餅,https://icook.tw/recipes/476308,李錦記 頭道零添加原釀醬油、韭菜、杏鮑菇、雞蛋、雞胸肉,李錦記 頭道零添加原釀醬油1大匙 | 韭菜1把 | 杏鮑菇0.5個 | 雞蛋2顆 | 雞胸肉1/4塊,"準備雞胸肉、韭菜、雞蛋、杏鮑菇（取代豆乾口感）、米紙、李錦記 頭道零添加原釀醬油

雞胸肉打成末杏鮑菇及韭菜切丁 | 將雞蛋打散炒熟成蛋碎，先呈起 | 原鍋下入杏鮑菇丁、雞胸肉末炒熟並加入李錦記 頭道零添加原釀醬油調味 | 加入韭菜炒熟，再加入蛋碎 | 米紙沾溼後加入配料 | 捲起成條後再捲成圈 | 放入鍋中將兩面煎酥即可起鍋 | 呈盤上桌！","減醣米紙韭菜餡餅。食材：李錦記 頭道零添加原釀醬油1大匙，韭菜1把，杏鮑菇0.5個，雞蛋2顆，雞胸肉1/4塊。做法：準備雞胸肉、韭菜、雞蛋、杏鮑菇（取代豆乾口感）、米紙、李錦記 頭道零添加原釀醬油

雞胸肉打成末杏鮑菇及韭菜切丁，將雞蛋打散炒熟成蛋碎，先呈起，原鍋下入杏鮑菇丁、雞胸肉末炒熟並加入李錦記 頭道零添加原釀醬油調味，加入韭菜炒熟，再加入蛋碎，米紙沾溼後加入配料，捲起成條後再捲成圈，放入鍋中將兩面煎酥即可起鍋，呈盤上桌！。",韭菜/476308_減醣米紙韭菜餡餅.jpg
