# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 861
# 當前分析門檻: 0.3
# 符合門檻組合數: 27
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 192 組相似食譜
# 門檻 0.2: 59 組相似食譜
# 門檻 0.3: 27 組相似食譜
# 門檻 0.4: 10 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
457619,韭菜炒蛋🎶,458062,韭菜煎蛋,1.0
476118,韭菜米紙蛋餅🎶,457619,韭菜炒蛋🎶,0.649
476118,韭菜米紙蛋餅🎶,458062,韭菜煎蛋,0.649
457619,韭菜炒蛋🎶,468287,蝦仁韭菜炒蛋,0.535
468287,蝦仁韭菜炒蛋,458062,韭菜煎蛋,0.535
468284,韭菜盒子,463784,韭菜盒,0.489
478663,韮菜豬肉花捲,465083,第一次料理韮菜炒蛋就好吃到炸,0.444
301466,(無油)烙韭菜盒,463784,韭菜盒,0.414
468284,韭菜盒子,467784,韭菜戴帽,0.413
470166,油潑辣韭菜(五辛素),467471,四川涼拌韭菜(五辛素),0.41
476308,減醣米紙韭菜餡餅,476336,韭菜菇菇炒櫛瓜麵,0.397
468284,韭菜盒子,468581,韭菜炒冬粉,0.383
474424,韭菜炒雞腿排,470166,油潑辣韭菜(五辛素),0.363
464816,韓式韭菜泡菜부추김치,469766,韓式辣拌韭菜(簡易版),0.359
472933,韭菜炒蛋,476336,韭菜菇菇炒櫛瓜麵,0.355
468581,韭菜炒冬粉,463784,韭菜盒,0.353
476118,韭菜米紙蛋餅🎶,468287,蝦仁韭菜炒蛋,0.347
460117,韮菜炒肉片,465083,第一次料理韮菜炒蛋就好吃到炸,0.337
470166,油潑辣韭菜(五辛素),469766,韓式辣拌韭菜(簡易版),0.333
458430,韮菜鮮蝦餃,465083,第一次料理韮菜炒蛋就好吃到炸,0.331
474424,韭菜炒雞腿排,466350,醬油韭菜醬荷包蛋,0.326
466350,醬油韭菜醬荷包蛋,470166,油潑辣韭菜(五辛素),0.326
461900,韭菜牛肉湯泡麵,461104,韭菜青蔥煎餅,0.319
474424,韭菜炒雞腿排,461104,韭菜青蔥煎餅,0.318
478663,韮菜豬肉花捲,463346,韭菜肉包,0.307
301466,(無油)烙韭菜盒,461104,韭菜青蔥煎餅,0.307
465083,第一次料理韮菜炒蛋就好吃到炸,467471,四川涼拌韭菜(五辛素),0.303
