id,name,document
479278,素食香菜辣椒醬(純素),香菜芫茜 嫩薑 醬油 紅辣椒 砂糖 朝天椒 檸檬汁 味精 食鹽
470956,香菜餃子,豬絞肉細 香菜 大蔥 荸薺 薑末 大蒜苗 米酒 昆布醬油 糖
470070,香菜牛肉,牛肉片 香菜 辣椒 米酒 熟白芝麻 醬油 蔥 太白粉 蒜頭 醬油膏 二砂糖
477592,涼拌菜 小黃瓜皮蛋佐香菜,小黃瓜 皮蛋 香菜 純香油 醬油 醬油膏 糖
467464,~香菜乾絲~,干絲 香菜 紅蘿蔔蘿蔔 砂糖 紅辣椒 薑
469774,涼拌香菜木耳,新鮮黑木耳 豆芽菜 醬油 香菜 黑醋 麻油
428978,洋蔥香菜豆腐乳豬肉片,豬肉片 香菜 豆腐乳 洋蔥 米酒 青蔥 白胡椒 辣椒 醬油 味啉 蒜頭
474220,香菜胡蘿蔔丸子(純素),胡蘿蔔 香菜 中筋麵粉 食鹽 五香粉 十三香 太白粉 白胡椒粉 植物油 小蘇打粉
473200,香菜燒肉饅頭刈包,巧克力饅頭 香菜 五花火鍋肉H 煎蛋 燒肉醬 美奶滋 素蠔油 米酒
474044,涼拌香菜(五辛素),香菜淨重 蒜頭 油潑辣子 朝天椒 醬油 胡蘿蔔 烏醋 花生米 砂糖 白芝麻 味精 食鹽
470017,茄汁沙丁魚香菜,香菜 茄汁沙丁魚罐頭 紅蔥頭絲 辣椒 酒 味霖 醬油 老抽 味噌鹽分8 茄汁沙丁魚罐頭汁 胡椒粉 昆布柴魚高湯
474553,奶香蝦醬煮香菜,香菜 辣椒末 蒜末 酒 味霖 蝦醬 胡椒粉 昆布柴魚高湯 奶油
470115,薑黃蛤蜊香菜,蛤蜊 香菜 海帶芽乾 紅蔥頭絲 辣椒 酒 味霖 薑黃粉 椰漿粉 昆布柴魚高湯
476357,香菜多力多滋皮蛋豆腐,香菜多力多滋 豆腐 皮蛋 蔥花 醬油膏
468005,香菜烏醋麵,陽春麵 香菜 蔥 紅辣椒 蒜泥 烏醋 醬油膏 醬油 白胡椒
461918,斯里蘭卡芫荽籽薑茶,芫荽籽 薑片 肉桂棒可略
473714,《醬醬好》香菜控莎莎,番茄 洋蔥 香菜 黑胡椒 蒜頭 糖 辣椒 Tabasco 檸檬汁 冷壓初榨橄欖油
469723,剝皮辣椒絞肉佐香菜皮蛋,豬細絞肉 花崗山剝皮辣椒 香菇素蠔油 皮蛋 米酒水 香菜葉 蒜末 大辣椒配色用
464897,香菜滑蛋牛肉,牛五花肉片 醬油 雞蛋 蛋白 米酒頭 香菜碎 日本太白粉 太白粉水
471061,豆皮香菜蛋餅（蛋素）,雞蛋 生豆皮 香菇調味露 香菜末 味噌調味醬 白芝麻粒
455347,香菜花生,香菜 鹽味花生 蒜末 辣椒 烏醋 味醂
454675,香菜餛飩,豬絞肉 蠔油 白胡椒粉 糖 香菜末 餛飩皮
449971,香菜水餃,豬腿肉細絞 香菜末 蔥末 薑泥 糖 醬油 胡椒粉 水餃皮
461935,香菜豆皮肉絲,冷凍豆皮 肉絲 醬油 蛋 香菜 白胡椒粉 蒜頭切末 鰹魚粉 太白粉
456910,香菜豬肉水餃,豬絞肉 香菜芫荽 蒜頭 薑末 醬油 蒜末 白醋 米酒 辣椒油 砂糖 熟油 雞粉 白胡椒粉
456492,涼拌香菜牛肉,雪花牛肉片 全蛋 醬油膏 蒜頭 醬油 薑片 糖 香菜 雞粉 白芝麻
459598,洋蔥香菜燒芋頭排骨,全聯排骨肉 芋頭 洋蔥絲 蠔油 香菜 蒜頭
467957,鹽麴香菜紫米糕披薩｜世上的鹽,披薩麵糰 香菜 鹽麴 紫米糕 甜辣醬 花生粉 香菇素蠔油
458857,港式皮蛋香菜羊肉湯,雅方薑絲羊肉湯 皮蛋 香菜 薑
460317,香菜沾醬三重奏(純素),詳見下方
459515,醬油醃香菜(五辛素),香菜 蒜頭 生薑 醬油 白醋 砂糖 味精 五香粉
463337,蔥燒松阪豬佐甜香菜醬,松阪豬 蔥花 日本秘傳燒肉醬 香菜
333061,香菜炸芋片,芋頭 香菜 胡椒粉 糖分
450054,沙茶香菜牛肉絲,牛肉絲 香菜 辣椒絲 蒜末 沙茶醬 醬油 米酒 砂糖 胡椒粉 玉米粉
446973,皮蛋香菜炒麵,香菜 小黃瓜 皮蛋 醬油 綠豆芽 泡麵無調味 米酒 肉品牛豬雞蝦 薑泥 或豆乾老豆腐 甜醬油黑醬油 蔥油 或麻油 白胡椒
461178,超美味香菜醬佐小籠湯包,辣椒 蒜頭 香菜 昆布醬油 烏醋 白醋 灣仔碼頭灌湯小籠包
451242,香菜豆皮豬肉捲,香菜 豆皮 五花肉片 料亭和露昆布香菇
443952,鮪魚香菜炒蛋,雞蛋 香菜 鮪魚罐頭
451853,燒餅夾香菜焗烤蛋,燒餅 香菜 蛋 乳酪條 黑胡椒粉
449517,腐竹香菜豬肉捲,腐竹 香菜 豬肉薄片 五香粉
451057,香菜薄荷醬｜Vitamix調理機,薄荷葉 香菜 洋蔥 青辣椒 蘋果 檸檬
435634,香菜皮蛋,皮蛋 蒜頭 香菜 香菇素蠔油 醬油
443733,豆包香菜捲,豆包 香菜 蠔油 日式醬油
452284,蘋果胡麻香菜辣拌肥牛,華盛頓聖芳蘋果 肥牛肉片 香菜 蒜頭 蔥 辣椒 花椒醬 胡麻醬 糖 薄鹽醬油 醋
