id,name,document
468298,氣炸馬鈴薯,馬鈴薯 奶油
479123,風琴馬鈴薯,馬鈴薯 義大利綜合香料 蒜香胡椒鹽
479735,馬鈴薯沙拉,馬鈴薯 紅蘿蔔 玉米罐 白煮蛋 鹹蛋黃 火腿 蘋果 美乃滋或優格
479032,馬鈴薯濃湯,豬絞肉 馬鈴薯褐色皮 奶油 洋蔥 麵粉 牛奶 黑胡椒 高湯雞湯 蒜粉 巴西里可選 紅椒粉
478600,馬鈴薯煎餅,馬鈴薯視大小 品高黑胡椒鹽1g 品高蜂蜜芥末醬
477309,馬鈴薯燉肉,馬鈴薯 紅蘿蔔 洋蔥 牛五花 醬油 味醂 糖 蒟弱絲 鴻喜菇
475389,香煎馬鈴薯,馬鈴薯 黑胡椒粉
479267,火腿馬鈴薯煎餅,馬鈴薯 雞蛋 火腿 麵粉 安食小品醬鹽 蔥花 番茄醬
473459,馬鈴薯粉蒸肉 / 簡單家常菜,馬鈴薯 豬中里肌肉 蠔油或醬油 五香蒸肉粉 米酒 蒜瓣
472384,馬鈴薯蛋沙拉,馬鈴薯 紅蘿蔔 小黃瓜 蛋 美乃滋
478673,醋溜馬鈴薯,馬鈴薯 蒜末 辣椒末 米酒 白醋 蠔油 胡椒粉
472160,起司蝦球焗馬玲薯泥,馬鈴薯 鮮奶 烹大師昆布風味 優質橄欖油 黑胡椒粉 鮮蝦 米酒 蒜頭 太白粉或玉米粉 馬薩瑞拉起司 玉米筍 巴西里葉或蔥花
479737,馬鈴薯炒金針菇,馬鈴薯 金針菇 蔥 安食小品黑豆醬油 白胡椒粉
474142,馬鈴薯玉米濃湯,玉米粒 玉米醬 馬鈴薯 紅蘿蔔 火腿 雞蛋 牛奶 洋蔥 蔥 奶油
475438,薯仔炆雞翼,雞中翼 薯仔 洋蔥 糖 冬菇 胡椒粉 薑片 生抽 生粉 蠔油 紹酒
478857,番茄馬鈴薯燴蛋,番茄 馬鈴薯 蛋 蔥 番茄醬 醬油 胡椒粉 糖
476231,番茄馬鈴薯燉雞,馬鈴薯 蕃茄 蒜頭 雞柳條 雞蛋
475705,詹姆士：馬鈴薯燉肉,洋蔥 馬鈴薯 肉片 蔥 柴魚醬油
470305,「美國馬鈴薯」 佃煮馬鈴薯,美國馬鈴薯 清水 三溫糖或黃砂糖 黑豆蔭油或醬油 白芝麻粒
479802,火腿馬鈴薯炒金針菇,馬鈴薯 金針菇 蔥 安食小品黑豆醬油 白胡椒粉 火腿
470103,「美國馬鈴薯」 馬鈴薯蛋糕,美國馬鈴薯 雞蛋 披薩用起司絲 香蒜粉 義大利綜合香料 羅勒葉粉 唐辛七味粉 粗粒黑胡椒 無鹽奶油
471143,「美國馬鈴薯」香煎厚片馬鈴薯,美國馬鈴薯 大蒜切碎 辣椒末 海鹽或鹽巴 粗粒黑胡椒
474571,西班牙馬鈴薯沙拉,馬鈴薯 洋蔥 鮪魚罐頭 巴薩米克醋 義大利香料
474852,歡樂馬鈴薯沙拉,馬鈴薯 小黃瓜 德式香腸 雞蛋 美乃滋 羅勒葉粉
470903,「美國馬鈴薯」馬鈴薯芝麻球,美國馬鈴薯 無鹽奶油 白芝麻 玉米粉 黑芝麻 粗粒黑胡椒 七味唐辛子
471393,葡萄乾洋芋沙拉,加州葡萄乾 馬鈴薯 蛋
479480,馬鈴薯燉豬肋排,豬肋排 紅蘿蔔 馬鈴薯 蔥花 芝麻 味增辣醬
477173,日式馬鈴薯燉肉,馬鈴薯 全聯豬肉塊 醬油 迷迭香葉可略 味霖 味增 胡椒粉
478869,馬鈴薯番茄肉醬義大利麵,義大利麵 馬鈴薯 番茄 花椰菜 廣達香肉醬 番茄糊罐頭 黑胡椒 牛奶
467184,肉絲炒馬鈴薯絲,馬鈴薯 肉絲 雞粉 米酒 糖
478880,麻香馬鈴薯烘蛋,馬鈴薯 洋蔥 雞蛋 青花椒鹽
469872,「美國馬鈴薯」起司馬鈴薯,美國馬鈴薯 玉米粒 無鹽奶油 綠花椰菜 中筋麵粉 培根片 鮮奶 切達起司片 動物鮮奶油 粗粒黑胡椒
465869,黑胡椒炒馬鈴薯薯條,馬鈴薯 香蒜鹽 黑胡椒
477333,馬鈴薯鮮蔬煎餃,馬鈴薯 紅蘿蔔 小黃瓜 米紙 蒜頭 BB秘製十三香 蠔油
475048,韓式醬煮馬鈴薯,馬鈴薯 熟白芝麻 醬油 細砂糖 蒜泥 蔥段
479663,起士金針菇馬鈴薯煎餅,馬鈴薯 金針菇 雞蛋 蔥花 安食小品醬鹽
477209,醬燒馬鈴薯肉捲,李錦記 頭道零添加原釀醬油 馬鈴薯切絲 豬里肌肉片 胡椒 味醂 砂糖 米酒 白芝麻 玉米粉
