id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
468298,氣炸馬鈴薯,https://icook.tw/recipes/468298,馬鈴薯、橄欖油、胡椒鹽、鹽、奶油,馬鈴薯1顆 | 橄欖油1大匙 | 胡椒鹽1小匙 | 鹽1小匙 | 奶油10克,馬鈴薯切塊，滾水燙7分鐘 | 馬鈴薯撈起擦乾水分後，加入橄欖油(奶油）、胡椒鹽、鹽拌勻 | 放入氣炸鍋，180度15分鐘,氣炸馬鈴薯。食材：馬鈴薯1顆，橄欖油1大匙，胡椒鹽1小匙，鹽1小匙，奶油10克。做法：馬鈴薯切塊，滾水燙7分鐘，馬鈴薯撈起擦乾水分後，加入橄欖油(奶油）、胡椒鹽、鹽拌勻，放入氣炸鍋，180度15分鐘。,馬鈴薯/468298_氣炸馬鈴薯.jpg
479123,風琴馬鈴薯,https://icook.tw/recipes/479123,馬鈴薯、橄欖油、義大利綜合香料、蒜香胡椒鹽,馬鈴薯2顆 | 橄欖油適量 | 義大利綜合香料適量 | 蒜香胡椒鹽適量,馬鈴薯整顆洗淨後切片不切斷，走水洗掉澱粉質後瀝乾 | 均勻抹上橄欖油並灑上調味粉料，放至氣炸鍋轉190度20分鐘烤熟 | 再轉200度15分鐘烤香即可,風琴馬鈴薯。食材：馬鈴薯2顆，橄欖油適量，義大利綜合香料適量，蒜香胡椒鹽適量。做法：馬鈴薯整顆洗淨後切片不切斷，走水洗掉澱粉質後瀝乾，均勻抹上橄欖油並灑上調味粉料，放至氣炸鍋轉190度20分鐘烤熟，再轉200度15分鐘烤香即可。,馬鈴薯/479123_風琴馬鈴薯.jpg
479735,馬鈴薯沙拉,https://icook.tw/recipes/479735,馬鈴薯、紅蘿蔔、玉米罐、白煮蛋、鹹蛋黃、火腿、蘋果、美乃滋或優格,馬鈴薯2顆 | 紅蘿蔔1條 | 玉米罐半罐 | 白煮蛋2顆 | 鹹蛋黃1顆 | 火腿些許 | 蘋果1顆 | 美乃滋或優格依個人喜好,馬鈴薯切片，紅蘿蔔切丁，白煮蛋一起蒸熟 | 蘋果切丁，蒸熟白煮蛋白切丁 | 蛋黃馬鈴薯壓泥 | 全部配料拌勻放入冰箱，食用時加入些許馬鈴薯或優格即可食用,馬鈴薯沙拉。食材：馬鈴薯2顆，紅蘿蔔1條，玉米罐半罐，白煮蛋2顆，鹹蛋黃1顆，火腿些許，蘋果1顆，美乃滋或優格依個人喜好。做法：馬鈴薯切片，紅蘿蔔切丁，白煮蛋一起蒸熟，蘋果切丁，蒸熟白煮蛋白切丁，蛋黃馬鈴薯壓泥，全部配料拌勻放入冰箱，食用時加入些許馬鈴薯或優格即可食用。,馬鈴薯/479735_馬鈴薯沙拉.jpg
479032,馬鈴薯濃湯,https://icook.tw/recipes/479032,豬絞肉、馬鈴薯、奶油、洋蔥、麵粉、牛奶、黑胡椒、高湯、蒜粉、巴西里、紅椒粉、鹽,豬絞肉300g | 馬鈴薯6顆 | 洋蔥0.5顆 | 牛奶600毫升 | 高湯400克 | 奶油些許 | 麵粉1大匙 | 黑胡椒1小匙 | 蒜粉1小匙 | 巴西里1小匙 | 紅椒粉1小匙 | 鹽1小匙,"培根切塊，用平底鍋煎到焦脆，取出備用 | 馬鈴薯2顆切塊蒸熟，用湯勺搗碎，備用來增加湯的濃稠度。
其他的馬鈴薯、洋蔥切丁 | 平底鍋放油，把洋蔥、豬絞肉、奶油、麵粉炒開。 | 加入牛奶、高湯、馬鈴薯泥，攪拌均勻。
加入鹽、黑胡椒、蒜粉（巴西里）、紅椒粉，攪拌煮滾。 | 放入馬鈴薯丁煮10分鐘，撒上培根碎即可。（沒有培根沒關係，也一樣好吃）","馬鈴薯濃湯。食材：豬絞肉300g，馬鈴薯6顆，洋蔥0.5顆，牛奶600毫升，高湯400克，奶油些許，麵粉1大匙，黑胡椒1小匙，蒜粉1小匙，巴西里1小匙，紅椒粉1小匙，鹽1小匙。做法：培根切塊，用平底鍋煎到焦脆，取出備用，馬鈴薯2顆切塊蒸熟，用湯勺搗碎，備用來增加湯的濃稠度。
其他的馬鈴薯、洋蔥切丁，平底鍋放油，把洋蔥、豬絞肉、奶油、麵粉炒開。，加入牛奶、高湯、馬鈴薯泥，攪拌均勻。
加入鹽、黑胡椒、蒜粉（巴西里）、紅椒粉，攪拌煮滾。，放入馬鈴薯丁煮10分鐘，撒上培根碎即可。（沒有培根沒關係，也一樣好吃）。",馬鈴薯/479032_馬鈴薯濃湯.jpg
478600,馬鈴薯煎餅,https://icook.tw/recipes/478600,馬鈴薯、品高黑胡椒鹽1g、品高蜂蜜芥末醬,馬鈴薯1~3顆 | 品高黑胡椒鹽1g2包 | 品高蜂蜜芥末醬1顆,食材一覽。 | 馬鈴薯洗淨→削皮→切絲。 | 撒上品高黑胡椒鹽，抓拌均勻靜置。出水後擠出水分。 | 熱鍋下少許油。 | 鋪上一小片薄薄的馬鈴薯絲。 | 小火定型後翻面。 | 雙面金黃即可起鍋，建議搭配品高蜂蜜芥末醬，超對味！,馬鈴薯煎餅。食材：馬鈴薯1~3顆，品高黑胡椒鹽1g2包，品高蜂蜜芥末醬1顆。做法：食材一覽。，馬鈴薯洗淨→削皮→切絲。，撒上品高黑胡椒鹽，抓拌均勻靜置。出水後擠出水分。，熱鍋下少許油。，鋪上一小片薄薄的馬鈴薯絲。，小火定型後翻面。，雙面金黃即可起鍋，建議搭配品高蜂蜜芥末醬，超對味！。,馬鈴薯/478600_馬鈴薯煎餅.jpg
477309,馬鈴薯燉肉,https://icook.tw/recipes/477309,馬鈴薯、紅蘿蔔、洋蔥、牛五花、醬油、味醂、糖、蒟弱絲、鴻喜菇,馬鈴薯3顆 | 紅蘿蔔1/3條 | 洋蔥1/2顆 | 牛五花20片 | 醬油3大匙 | 味醂2大匙 | 糖1大匙 | 蒟弱絲適量 | 鴻喜菇1包,蒟蒻先用熱水加鹽川燙過馬鈴薯紅蘿蔔削皮後切成塊狀洋蔥切絲備用 | 取一平底鍋 熱鍋後加入適量的油 先放入洋蔥絲炒軟 再放入牛五花 待肉熟透後先將肉片挑起 再放入馬鈴薯跟紅蘿蔔稍微拌炒一下 | 取一湯鍋 將平底鍋的食材放入 加水至蓋過食材 開大火至快滾時  平均放入先前炒好的牛五花 煮滾後 先轉小火 把肉末撈乾淨後  加入醬油 味醂 跟砂糖 用湯匙攪拌均勻後 放入蒟蒻絲跟鴻喜菇 蓋上鍋蓋 繼續燉煮約30分鐘 讓湯汁再收乾一些 即可關火起鍋,馬鈴薯燉肉。食材：馬鈴薯3顆，紅蘿蔔1/3條，洋蔥1/2顆，牛五花20片，醬油3大匙，味醂2大匙，糖1大匙，蒟弱絲適量，鴻喜菇1包。做法：蒟蒻先用熱水加鹽川燙過馬鈴薯紅蘿蔔削皮後切成塊狀洋蔥切絲備用，取一平底鍋 熱鍋後加入適量的油 先放入洋蔥絲炒軟 再放入牛五花 待肉熟透後先將肉片挑起 再放入馬鈴薯跟紅蘿蔔稍微拌炒一下，取一湯鍋 將平底鍋的食材放入 加水至蓋過食材 開大火至快滾時  平均放入先前炒好的牛五花 煮滾後 先轉小火 把肉末撈乾淨後  加入醬油 味醂 跟砂糖 用湯匙攪拌均勻後 放入蒟蒻絲跟鴻喜菇 蓋上鍋蓋 繼續燉煮約30分鐘 讓湯汁再收乾一些 即可關火起鍋。,馬鈴薯/477309_馬鈴薯燉肉.jpg
475389,香煎馬鈴薯,https://icook.tw/recipes/475389,馬鈴薯、黑胡椒粉、鹽、橄欖油,馬鈴薯3顆 | 黑胡椒粉適量 | 鹽適量 | 橄欖油適量,"1.馬鈴薯削皮切小塊,用水浸泡一下後,再沖洗
2.熱鍋後,將馬鈴薯放入鍋中,加少許水,
將馬鈴薯煮至半熟後(水乾)
3.加橄欖油,將馬鈴薯煎至表面金黃(熟透)
4.加入適量鹽.黑胡椒粉調味,就可以起鍋囉 | 出鍋～😃","香煎馬鈴薯。食材：馬鈴薯3顆，黑胡椒粉適量，鹽適量，橄欖油適量。做法：1.馬鈴薯削皮切小塊,用水浸泡一下後,再沖洗
2.熱鍋後,將馬鈴薯放入鍋中,加少許水,
將馬鈴薯煮至半熟後(水乾)
3.加橄欖油,將馬鈴薯煎至表面金黃(熟透)
4.加入適量鹽.黑胡椒粉調味,就可以起鍋囉，出鍋～😃。",馬鈴薯/475389_香煎馬鈴薯.jpg
479267,火腿馬鈴薯煎餅,https://icook.tw/recipes/479267,馬鈴薯、雞蛋、火腿、麵粉、安食小品醬鹽、蔥花、番茄醬,馬鈴薯1顆 | 雞蛋1顆 | 火腿2片 | 麵粉1大匙 | 安食小品醬鹽1小撮 | 蔥花1小撮 | 番茄醬隨意,"▪️馬鈴薯切絲泡水瀝乾後備用
▪️火腿切絲，加入蛋白、麵粉、醬鹽拌勻 | ▪️熱油鍋，放入鍋內煎（留一個洞給蛋黃） | 一面金黃後翻面，加入蛋黃 | ▪️兩面煎至金黃完成，盛盤 | 撒上蔥花，擠上番茄醬🥫，完成✅","火腿馬鈴薯煎餅。食材：馬鈴薯1顆，雞蛋1顆，火腿2片，麵粉1大匙，安食小品醬鹽1小撮，蔥花1小撮，番茄醬隨意。做法：▪️馬鈴薯切絲泡水瀝乾後備用
▪️火腿切絲，加入蛋白、麵粉、醬鹽拌勻，▪️熱油鍋，放入鍋內煎（留一個洞給蛋黃），一面金黃後翻面，加入蛋黃，▪️兩面煎至金黃完成，盛盤，撒上蔥花，擠上番茄醬🥫，完成✅。",馬鈴薯/479267_火腿馬鈴薯煎餅.jpg
473459,馬鈴薯粉蒸肉 / 簡單家常菜,https://icook.tw/recipes/473459,馬鈴薯、豬中里肌肉、蠔油或醬油、五香蒸肉粉、米酒、蒜瓣,馬鈴薯2顆 | 豬中里肌肉500克 | 五香蒸肉粉50克 | 蠔油或醬油1/2大匙 | 米酒1大匙 | 蒜瓣4瓣,"●豬肉放冷藏低溫解凍後洗過去髒去腥，用(醃料)抓醃密封放冷藏靜置30分鐘入味。
●五香蒸肉粉品牌沒限定，超市、雜糧行或網路有賣，一包50克粉適合450-500克內的肉量。 | ●粉蒸肉搭配根莖蔬菜一起蒸很適合，家裡摘種馬鈴薯朋友分享2月馬鈴薯收成時節，今天的根莖蔬菜就用他。馬鈴薯用洗菜專用菜瓜布刷洗過外皮再刨皮，切厚2公分厚圓塊，放在能放蒸鍋的盤子上。 | ●粉蒸肉粉倒在盤上，用筷子夾醃過的豬肉一塊塊沾滿蒸肉粉。
(沾粉秘訣:粉分次加，這樣才不會前面的肉排沾太厚，後面的肉排粉不夠) | ●沾裹好粉蒸肉粉的肉排擺在馬鈴薯上。 | ●粉蒸肉認真是零廚藝，沾完粉就蒸熟就搞定。
可以放電鍋蒸外鍋400cc水，喜歡躺平精神的烹調方式，今天在瓦斯爐上蒸(鍋放600cc水)中火設定計時器20分鐘避免忘記，這樣能讓烹煮的蒸氣順蒸抽油煙機蒸熱容易擦拭，煮好也順清理好抽油煙機，挑戰天天煮還能是樣品屋姿態。 | ●20分鐘計時器響，目視馬鈴薯熟成狀況，再補400CC水，再次設定計時器20分鐘。 | ●又20分鐘計時器響了，先熄火再打開鍋蓋，掀蓋時小心讓水蒸氣沿鍋蓋流到鍋底再打開蓋不要讓蒸氣滴在粉蒸肉上影響口感滋味，袋上隔熱手套再端，才不會被燙到。 | 躺平烹調讓人愉快，粉蒸肉用好吃的豬肉排，鬆軟的馬鈴薯搭上粉蒸肉滋味好好味。 | 各種部位搭配不同根莖蔬菜的粉蒸肉https: | tinyurl.com | 4nbtzhvt","馬鈴薯粉蒸肉 / 簡單家常菜。食材：馬鈴薯2顆，豬中里肌肉500克，五香蒸肉粉50克，蠔油或醬油1/2大匙，米酒1大匙，蒜瓣4瓣。做法：●豬肉放冷藏低溫解凍後洗過去髒去腥，用(醃料)抓醃密封放冷藏靜置30分鐘入味。
●五香蒸肉粉品牌沒限定，超市、雜糧行或網路有賣，一包50克粉適合450-500克內的肉量。，●粉蒸肉搭配根莖蔬菜一起蒸很適合，家裡摘種馬鈴薯朋友分享2月馬鈴薯收成時節，今天的根莖蔬菜就用他。馬鈴薯用洗菜專用菜瓜布刷洗過外皮再刨皮，切厚2公分厚圓塊，放在能放蒸鍋的盤子上。，●粉蒸肉粉倒在盤上，用筷子夾醃過的豬肉一塊塊沾滿蒸肉粉。
(沾粉秘訣:粉分次加，這樣才不會前面的肉排沾太厚，後面的肉排粉不夠)，●沾裹好粉蒸肉粉的肉排擺在馬鈴薯上。，●粉蒸肉認真是零廚藝，沾完粉就蒸熟就搞定。
可以放電鍋蒸外鍋400cc水，喜歡躺平精神的烹調方式，今天在瓦斯爐上蒸(鍋放600cc水)中火設定計時器20分鐘避免忘記，這樣能讓烹煮的蒸氣順蒸抽油煙機蒸熱容易擦拭，煮好也順清理好抽油煙機，挑戰天天煮還能是樣品屋姿態。，●20分鐘計時器響，目視馬鈴薯熟成狀況，再補400CC水，再次設定計時器20分鐘。，●又20分鐘計時器響了，先熄火再打開鍋蓋，掀蓋時小心讓水蒸氣沿鍋蓋流到鍋底再打開蓋不要讓蒸氣滴在粉蒸肉上影響口感滋味，袋上隔熱手套再端，才不會被燙到。，躺平烹調讓人愉快，粉蒸肉用好吃的豬肉排，鬆軟的馬鈴薯搭上粉蒸肉滋味好好味。，各種部位搭配不同根莖蔬菜的粉蒸肉https:，tinyurl.com，4nbtzhvt。",馬鈴薯/473459_馬鈴薯粉蒸肉___簡單家常菜.jpg
472384,馬鈴薯蛋沙拉,https://icook.tw/recipes/472384,馬鈴薯、紅蘿蔔、小黃瓜、蛋、美乃滋、鹽,馬鈴薯2顆 | 紅蘿蔔0.5根 | 小黃瓜1根 | 蛋4顆 | 美乃滋100克 | 鹽1小匙,"紅蘿蔔削皮（我最後只用一半），馬鈴薯和蛋洗乾淨放到電鍋蒸（外鍋一杯水） | 蒸熟的馬鈴薯比較好削皮，削皮後切丁，再蒸一次（確保夠軟）。
水煮蛋，紅蘿蔔切丁。 | 等待時間小黃瓜切丁，灑上一匙鹽醃漬一小時逼出水分（這樣會比較脆） | 馬鈴薯壓成泥，去除小黃瓜多餘的水。食材放入冷藏，要吃時再拿出來加入美乃滋攪拌均勻～（個人想要提味，所以有再加一點胡椒鹽） | 超簡單的馬鈴薯沙拉就完成啦～","馬鈴薯蛋沙拉。食材：馬鈴薯2顆，紅蘿蔔0.5根，小黃瓜1根，蛋4顆，美乃滋100克，鹽1小匙。做法：紅蘿蔔削皮（我最後只用一半），馬鈴薯和蛋洗乾淨放到電鍋蒸（外鍋一杯水），蒸熟的馬鈴薯比較好削皮，削皮後切丁，再蒸一次（確保夠軟）。
水煮蛋，紅蘿蔔切丁。，等待時間小黃瓜切丁，灑上一匙鹽醃漬一小時逼出水分（這樣會比較脆），馬鈴薯壓成泥，去除小黃瓜多餘的水。食材放入冷藏，要吃時再拿出來加入美乃滋攪拌均勻～（個人想要提味，所以有再加一點胡椒鹽），超簡單的馬鈴薯沙拉就完成啦～。",馬鈴薯/472384_馬鈴薯蛋沙拉.jpg
