# 分析摘要
# 最高相似度: 0.894
# 建議門檻: 0.72 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 16
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 127 組相似食譜
# 門檻 0.2: 45 組相似食譜
# 門檻 0.3: 16 組相似食譜
# 門檻 0.4: 6 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
479737,馬鈴薯炒金針菇,479802,火腿馬鈴薯炒金針菇,0.894
479267,火腿馬鈴薯煎餅,479663,起士金針菇馬鈴薯煎餅,0.593
472384,馬鈴薯蛋沙拉,474852,歡樂馬鈴薯沙拉,0.53
477645,蛋香馬鈴薯餅,478880,麻香馬鈴薯烘蛋,0.507
477645,蛋香馬鈴薯餅,479663,起士金針菇馬鈴薯煎餅,0.43
476231,番茄馬鈴薯燉雞,477645,蛋香馬鈴薯餅,0.401
468298,氣炸馬鈴薯,474142,馬鈴薯玉米濃湯,0.394
472384,馬鈴薯蛋沙拉,479280,日式馬鈴薯蛋沙拉(大份量),0.393
472384,馬鈴薯蛋沙拉,477333,馬鈴薯鮮蔬煎餃,0.387
477645,蛋香馬鈴薯餅,474852,歡樂馬鈴薯沙拉,0.375
479267,火腿馬鈴薯煎餅,477645,蛋香馬鈴薯餅,0.343
475389,香煎馬鈴薯,479280,日式馬鈴薯蛋沙拉(大份量),0.33
478857,番茄馬鈴薯燴蛋,477173,日式馬鈴薯燉肉,0.316
474142,馬鈴薯玉米濃湯,477645,蛋香馬鈴薯餅,0.314
479737,馬鈴薯炒金針菇,479663,起士金針菇馬鈴薯煎餅,0.309
476231,番茄馬鈴薯燉雞,472418,炒馬鈴薯,0.305
