id,name,document
477399,金沙高麗菜,高麗菜 鹹蛋 紅蘿蔔 蒜頭 蝦米 辣椒可省略 青蔥
473843,焗烤高麗菜,高麗菜 乳酪絲 雞粉 黑胡椒
473157,蒜苗炒高麗菜,蒜苗 高麗菜 雞粉 糖
478677,魚香高麗菜,高麗菜 豬絞肉 辣豆瓣醬 薑末 醬油 蒜末 蔥花
479753,玉米高麗菜水餃,豬絞肉 高麗菜 醬油 玉米粒 雞蛋 餃子皮 胡椒粉 糖
475638,高麗菜飯,豬五花肉切塊 高麗菜切塊 蒜頭切末 白米 鮮香菇切片 蠔油 蝦米 醬油 油蔥酥 白胡椒粉 清水 糖
477648,蝦醬高麗菜,高麗菜 蝦醬 辣椒 蒜末
474237,高麗菜封,高麗菜 絞肉 蔥 醬油 白胡椒 麻油
479116,高麗菜豬肉水餃,豬絞肉 高麗菜 清醬油 薑泥 青蔥花 胡椒粉 玉米粒 黑木耳
475601,炒高麗菜,高麗菜 蒜頭 蝦米 醬油 烏醋
468318,高麗菜炒豆皮,高麗菜 煙燻豆包 雞粉 糖
477692,手撕高麗菜,豬五花肉切片 高麗菜 蔥切末 蒜頭切末 蠔油 乾辣椒切段 烏醋 糖
476128,炒高麗菜冬粉,小高麗菜 蛋 醬油 蘿蔔絲 烏醋 木耳絲 胡椒粉 蔥 蒜頭
478733,鹽昆布拌高麗菜,高麗菜 鹽昆布
471981,高麗菜煎餅,高麗菜 紅蘿蔔 中筋麵粉 洋蔥 全蛋 烹大師鰹魚風味 豬絞肉 冷開水 日式美奶滋 甜口美奶滋 蔥花 黑胡椒粉 柴魚片
479669,韓式辣拌高麗菜,高麗菜 洋蔥 糖稀糖漿 青蔥 韓式粗辣椒粉 蒜末 白醋 魚露 醬油 粗辣椒片 細紅辣椒粉 熟白芝麻 熟黑芝麻 芝麻香油 雞粉 牛肉粉
477225,高麗菜肉捲,李錦記 頭道零添加原釀醬油 絞肉 香菇 洋蔥 高麗菜片
474541,高麗菜煎,高麗菜絲 全蛋 鮮味炒手 芝麻油 黑胡椒粉 白胡椒粉
478897,剩飯做成高麗菜飯,剩飯 香菇 淡味醬油 乾蝦仁 胡椒粉 高麗菜 肉絲
474828,培根高麗菜/10分鐘,培根 高麗菜 蒜
475306,高麗菜炒冬粉,高麗菜 香菇 醬油 紅蘿蔔 白胡椒粉 冬粉 豬肉肥瘦都可 食油 酒
473664,高麗菜炒飯,蛋 高麗菜 白飯或隔夜飯 蔥 蒜 醬油
474920,餐廳的高麗菜,高麗菜 煎雞排的油 枸杞
477978,高麗菜玉米豬肉水餃,五花肉 水餃皮 玉米罐 味精 高麗菜 素蠔油
477917,高麗菜嬰泡菜 / 涼拌菜,高麗菜嬰小顆 紅蘿蔔 蒜瓣小顆 辣椒去籽 天時野櫻莓果醋
478205,高麗菜筍絲粥/鹹粥,白米 筍子 高麗菜 肉絲 白胡椒粉 醬油 米酒
475277,高麗菜炒洋菇,高麗菜絲 洋菇切片
474189,番茄高麗菜煎餅,低筋麵粉 高麗菜
471980,味噌味雞胸炒高麗菜,高麗菜 雞胸肉 雞粉 米酒 味增 味霖
476533,不銹鋼鍋炒高麗菜,高麗菜 蒜瓣
474408,高麗菜醬油炒飯,高麗菜 剩白飯 醬油 雞蛋 糖 蔥花
473274,蝦米香菇高麗菜,高麗菜 香菇 蝦米 蒜
475779,臘肉高麗菜心炒飯,白飯 臘肉 高麗菜心 蔥 蒜苗 醬油 黑胡椒粉 辣椒不辣的 米酒
477700,蒜炒高麗菜嬰 / 家常菜,高麗菜嬰 台灣蒜瓣 米酒
474172,素高麗菜捲,高麗菜葉 傳統板豆腐 紅蘿蔔 去皮 芹菜梗 白胡椒粉 烹大師香菇風味 義大利麵
475327,餐廳的高麗菜 Part3,高麗菜
473953,台式泡菜（高麗菜）,高麗菜 蒜頭 朝天椒 糖 米醋白醋 Ro水 紅蘿蔔 脆梅
474215,高麗菜炒肉末,高麗菜 絞肉 蒜頭 醬油
479055,🥕玉米高麗菜炒飯🌽,高麗菜 紅蘿蔔 洋蔥 雞蛋 玉米罐頭 冷飯或隔夜飯 低鹽醬油 胡椒粉
476802,《日式關東煮高麗菜捲》來當高麗菜富翁,高麗菜 紅蘿蔔丁 乾香菇 魚漿 豬絞肉絞細
469623,高麗菜餅,高麗菜
460508,高麗菜乾煎蛋,雞蛋 高麗菜乾 雞粉
473626,沙茶炒高麗菜,高麗菜 豆包 素沙茶
475063,餐廳的高麗菜Part2,高麗菜 煎雞排的油
473702,三杯雞風味雞胸炒高麗菜,雞胸肉片 高麗菜 雞粉 蒜苗 米酒 三杯雞風味醬
479620,簡單高麗菜香菇炊飯（電子鍋）,米 高麗菜切絲 乾香菇泡水切絲 蒜末可省 醬油 米酒 麻油可香油代替 鹽巴依個人
